,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
wake_county__north_carolina__families__margin_of_error,"±2,728",±0.2,±0.2,±0.6,±0.3,±0.4,±0.7,±0.7,±0.7,±0.5,±0.5,"±1,347","±1,965",,(X),(X),(X)
wake_county__north_carolina__married_couple_families__estimate,"211,269",0.7%,0.7%,2.0%,3.1%,5.7%,11.8%,13.6%,25.2%,16.4%,20.8%,"122,697","149,552",,(X),(X),(X)
wake_county__north_carolina__married_couple_families__margin_of_error,"±3,017",±0.2,±0.2,±0.3,±0.4,±0.5,±0.6,±0.7,±0.8,±0.6,±0.6,"±1,677","±2,293",,(X),(X),(X)
wake_county__north_carolina__nonfamily_households__estimate,"139,768",6.5%,4.4%,10.0%,11.0%,15.8%,21.3%,12.3%,11.6%,4.0%,3.0%,"52,013","68,294",,(X),(X),26.4%
wake_county__north_carolina__nonfamily_households__margin_of_error,"±2,921",±0.5,±0.6,±0.7,±0.9,±0.9,±1.2,±0.9,±0.8,±0.6,±0.4,"±1,235","±1,949",,(X),(X),(X)
davidson_county__tennessee__households__estimate,"289,191",5.9%,3.4%,7.7%,8.9%,13.7%,19.2%,13.3%,14.9%,5.8%,7.2%,"62,515","89,045",,37.8%,(X),(X)
davidson_county__tennessee__households__margin_of_error,"±1,394",±0.4,±0.3,±0.5,±0.4,±0.6,±0.6,±0.6,±0.6,±0.4,±0.4,±811,"±1,440",,(X),(X),(X)
davidson_county__tennessee__families__estimate,"156,379",4.1%,2.0%,6.1%,7.4%,11.2%,18.0%,14.7%,18.4%,7.8%,10.3%,"77,046","106,981",,(X),40.4%,(X)
davidson_county__tennessee__families__margin_of_error,"±2,462",±0.5,±0.3,±0.6,±0.6,±0.7,±0.7,±0.8,±0.8,±0.6,±0.6,"±1,660","±2,079",,(X),(X),(X)
davidson_county__tennessee__married_couple_families__estimate,"107,588",1.2%,0.9%,3.3%,5.2%,8.2%,17.2%,16.4%,23.2%,10.4%,14.1%,"96,425","129,358",,(X),(X),(X)
davidson_county__tennessee__married_couple_families__margin_of_error,"±2,202",±0.3,±0.3,±0.4,±0.6,±0.8,±0.9,±0.8,±1.1,±0.7,±0.8,"±1,593","±2,702",,(X),(X),(X)
davidson_county__tennessee__nonfamily_households__estimate,"132,812",8.7%,5.2%,10.0%,11.2%,17.0%,20.5%,11.3%,9.7%,2.9%,3.5%,"47,954","65,330",,(X),(X),33.5%
davidson_county__tennessee__nonfamily_households__margin_of_error,"±2,489",±0.7,±0.5,±0.9,±0.8,±1.0,±1.0,±0.8,±0.7,±0.4,±0.5,"±1,125","±2,122",,(X),(X),(X)
dallas_county__texas__households__estimate,"945,996",5.6%,3.5%,8.1%,9.4%,13.6%,18.8%,12.7%,14.4%,6.0%,8.0%,"61,870","90,748",,38.2%,(X),(X)
dallas_county__texas__households__margin_of_error,"±2,684",±0.2,±0.2,±0.3,±0.3,±0.3,±0.4,±0.3,±0.3,±0.2,±0.2,±471,±793,,(X),(X),(X)
dallas_county__texas__families__estimate,"607,453",4.0%,2.3%,6.9%,8.8%,13.3%,18.2%,13.1%,16.2%,7.1%,10.1%,"69,689","102,499",,(X),40.9%,(X)
dallas_county__texas__families__margin_of_error,"±4,275",±0.2,±0.2,±0.3,±0.3,±0.5,±0.5,±0.4,±0.4,±0.3,±0.3,±804,±900,,(X),(X),(X)
dallas_county__texas__married_couple_families__estimate,"410,965",1.6%,1.2%,4.1%,6.4%,11.5%,17.0%,14.7%,20.0%,9.4%,14.1%,"88,236","124,920",,(X),(X),(X)
dallas_county__texas__married_couple_families__margin_of_error,"±4,568",±0.2,±0.2,±0.3,±0.3,±0.5,±0.6,±0.4,±0.6,±0.4,±0.4,"±1,269","±1,305",,(X),(X),(X)
dallas_county__texas__nonfamily_households__estimate,"338,543",9.7%,5.9%,11.2%,11.1%,14.4%,19.8%,10.9%,9.8%,3.3%,4.0%,"47,117","65,804",,(X),(X),32.0%
dallas_county__texas__nonfamily_households__margin_of_error,"±4,024",±0.4,±0.4,±0.5,±0.5,±0.5,±0.6,±0.5,±0.5,±0.2,±0.3,±775,"±1,579",,(X),(X),(X)
fairfax_county__virginia__households__estimate,"398,653",2.7%,1.2%,2.9%,3.7%,6.0%,10.7%,11.3%,20.0%,15.1%,26.5%,"127,866","163,072",,27.5%,(X),(X)
fairfax_county__virginia__households__margin_of_error,"±1,053",±0.2,±0.1,±0.2,±0.3,±0.3,±0.3,±0.4,±0.5,±0.3,±0.5,"±1,462","±2,406",,(X),(X),(X)
fairfax_county__virginia__families__estimate,"281,773",1.7%,0.8%,2.1%,3.1%,4.9%,8.6%,9.8%,19.1%,16.8%,33.0%,"149,576","185,183",,(X),28.4%,(X)
fairfax_county__virginia__families__margin_of_error,"±1,943",±0.2,±0.1,±0.2,±0.3,±0.3,±0.4,±0.4,±0.6,±0.5,±0.7,"±1,901","±3,046",,(X),(X),(X)
fairfax_county__virginia__married_couple_families__estimate,"230,661",0.7%,0.6%,1.1%,2.2%,4.0%,7.2%,8.6%,19.2%,18.2%,38.2%,"166,055","203,823",,(X),(X),(X)
fairfax_county__virginia__married_couple_families__margin_of_error,"±2,491",±0.2,±0.1,±0.1,±0.2,±0.3,±0.4,±0.5,±0.6,±0.6,±0.8,"±1,970","±3,362",,(X),(X),(X)
fairfax_county__virginia__nonfamily_households__estimate,"116,880",5.7%,2.4%,5.1%,5.7%,9.1%,16.4%,15.0%,21.2%,10.5%,8.9%,"83,585","103,450",,(X),(X),23.3%
fairfax_county__virginia__nonfamily_households__margin_of_error,"±1,996",±0.5,±0.3,±0.5,±0.5,±0.8,±0.8,±0.7,±1.0,±0.7,±0.6,"±2,209","±2,319",,(X),(X),(X)
loudoun_county__virginia__households__estimate,"132,565",1.8%,0.9%,2.0%,2.9%,4.7%,9.4%,9.5%,19.7%,17.3%,31.8%,"147,111","174,594",,30.3%,(X),(X)
loudoun_county__virginia__households__margin_of_error,±526,±0.2,±0.2,±0.3,±0.4,±0.4,±0.5,±0.7,±0.9,±0.8,±0.8,"±3,537","±3,576",,(X),(X),(X)
loudoun_county__virginia__families__estimate,"103,902",0.9%,0.6%,1.3%,2.3%,3.6%,7.5%,8.7%,19.0%,19.1%,37.1%,"164,579","191,672",,(X),29.8%,(X)
loudoun_county__virginia__families__margin_of_error,"±1,237",±0.2,±0.2,±0.4,±0.4,±0.5,±0.6,±0.8,±1.0,±0.9,±1.0,"±2,873","±4,203",,(X),(X),(X)
loudoun_county__virginia__married_couple_families__estimate,"88,541",0.4%,0.4%,0.7%,1.4%,2.7%,6.0%,7.7%,18.5%,20.4%,41.8%,"178,394","206,559",,(X),(X),(X)
loudoun_county__virginia__married_couple_families__margin_of_error,"±1,430",±0.1,±0.2,±0.2,±0.3,±0.4,±0.7,±0.7,±1.1,±1.0,±1.1,"±3,015","±4,776",,(X),(X),(X)
loudoun_county__virginia__nonfamily_households__estimate,"28,663",5.4%,2.3%,5.0%,5.7%,9.4%,18.0%,12.6%,21.9%,10.9%,8.7%,"83,879","103,506",,(X),(X),28.9%
loudoun_county__virginia__nonfamily_households__margin_of_error,"±1,172",±0.9,±0.6,±1.0,±1.3,±1.2,±1.7,±1.2,±1.7,±1.3,±1.2,"±3,989","±4,708",,(X),(X),(X)
