"Label (Grouping)","Santa Clara County, California!!Owner-occupied housing units with a mortgage!!Estimate","Santa Clara County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Montgomery County, Maryland!!Owner-occupied housing units with a mortgage!!Estimate","Montgomery County, Maryland!!Percent owner-occupied housing units with a mortgage!!Estimate","Wake County, North Carolina!!Owner-occupied housing units with a mortgage!!Estimate","Wake County, North Carolina!!Percent owner-occupied housing units with a mortgage!!Estimate","Davidson County, Tennessee!!Owner-occupied housing units with a mortgage!!Estimate","Davidson County, Tennessee!!Percent owner-occupied housing units with a mortgage!!Estimate","Dallas County, Texas!!Owner-occupied housing units with a mortgage!!Estimate","Dallas County, Texas!!Percent owner-occupied housing units with a mortgage!!Estimate","Fairfax County, Virginia!!Owner-occupied housing units with a mortgage!!Estimate","Fairfax County, Virginia!!Percent owner-occupied housing units with a mortgage!!Estimate","Loudoun County, Virginia!!Owner-occupied housing units with a mortgage!!Estimate","Loudoun County, Virginia!!Percent owner-occupied housing units with a mortgage!!Estimate"
"            Less than 20 percent","50","0.0%","68","0.0%","87","0.0%","55","0.0%","95","0.0%","22","0.0%","0","0.0%"
"            20 to 29 percent","188","0.1%","44","0.0%","502","0.3%","494","0.4%","1,343","0.5%","89","0.0%","21","0.0%"
"            30 percent or more","6,627","2.7%","4,669","2.6%","7,854","4.0%","7,008","6.4%","18,447","6.5%","4,713","2.3%","1,356","1.6%"
"        $35,000 to $49,999","7,115","2.8%","6,987","3.9%","11,977","6.1%","10,199","9.3%","25,402","8.9%","6,678","3.2%","1,919","2.2%"
"            Less than 20 percent","39","0.0%","147","0.1%","568","0.3%","601","0.5%","1,333","0.5%","82","0.0%","180","0.2%"
"            20 to 29 percent","330","0.1%","349","0.2%","3,383","1.7%","2,677","2.4%","5,175","1.8%","498","0.2%","99","0.1%"
"            30 percent or more","6,746","2.7%","6,491","3.7%","8,026","4.1%","6,921","6.3%","18,894","6.6%","6,098","3.0%","1,640","1.9%"
"        $50,000 to $74,999","15,938","6.4%","15,364","8.7%","26,069","13.2%","19,925","18.1%","47,905","16.8%","15,015","7.3%","5,470","6.3%"
"            Less than 20 percent","870","0.3%","1,048","0.6%","5,558","2.8%","4,010","3.6%","7,938","2.8%","455","0.2%","357","0.4%"
"            20 to 29 percent","1,774","0.7%","3,164","1.8%","12,996","6.6%","9,337","8.5%","20,263","7.1%","2,303","1.1%","1,196","1.4%"
"            30 percent or more","13,294","5.3%","11,152","6.3%","7,515","3.8%","6,578","6.0%","19,704","6.9%","12,257","6.0%","3,917","4.5%"
"        $75,000 or more","214,281","85.7%","145,853","82.3%","144,669","73.1%","67,210","61.0%","177,977","62.4%","175,229","85.1%","76,838","88.6%"
"            Less than 20 percent","94,304","37.7%","80,966","45.7%","106,308","53.7%","47,369","43.0%","115,772","40.6%","94,382","45.8%","41,450","47.8%"
"            20 to 29 percent","66,155","26.5%","43,109","24.3%","30,597","15.5%","16,426","14.9%","46,107","16.2%","54,856","26.6%","24,906","28.7%"
"            30 percent or more","53,822","21.5%","21,778","12.3%","7,764","3.9%","3,415","3.1%","16,098","5.6%","25,991","12.6%","10,482","12.1%"
"        Zero or negative income","877","0.4%","657","0.4%","485","0.2%","611","0.6%","1,170","0.4%","831","0.4%","250","0.3%"
"    REAL ESTATE TAXES","","","","","","","","","","","","","",""
"        Less than $800","3,219","1.3%","3,595","2.0%","7,508","3.8%","5,646","5.1%","12,252","4.3%","3,333","1.6%","1,346","1.6%"
"        $800 to $1,499","5,711","2.3%","7,673","4.3%","32,188","16.3%","33,184","30.1%","24,147","8.5%","4,164","2.0%","1,686","1.9%"
"        $1,500 or more","238,677","95.5%","163,747","92.4%","156,880","79.3%","68,534","62.2%","238,516","83.6%","195,431","94.9%","82,444","95.1%"
"        No real estate taxes paid","2,337","0.9%","2,126","1.2%","1,226","0.6%","2,821","2.6%","10,510","3.7%","2,971","1.4%","1,259","1.5%"
"        Median (dollars)","8,748","8,748","4,684","4,684","2,536","2,536","1,838","1,838","3,985","3,985","5,958","5,958","5,539","5,539"
