label_grouping,santa_clara_county_californiatotalestimate,santa_clara_county_californiatotalmargin_of_error,santa_clara_county_californiamaleestimate,santa_clara_county_californiamalemargin_of_error,santa_clara_county_californiafemaleestimate,santa_clara_county_californiafemalemargin_of_error,montgomery_county_marylandtotalestimate,montgomery_county_marylandtotalmargin_of_error,montgomery_county_marylandmaleestimate,montgomery_county_marylandmalemargin_of_error,montgomery_county_marylandfemaleestimate,montgomery_county_marylandfemalemargin_of_error,wake_county_north_carolinatotalestimate,wake_county_north_carolinatotalmargin_of_error,wake_county_north_carolinamaleestimate,wake_county_north_carolinamalemargin_of_error,wake_county_north_carolinafemaleestimate,wake_county_north_carolinafemalemargin_of_error,davidson_county_tennesseetotalestimate,davidson_county_tennesseetotalmargin_of_error,davidson_county_tennesseemaleestimate,davidson_county_tennesseemalemargin_of_error,davidson_county_tennesseefemaleestimate,davidson_county_tennesseefemalemargin_of_error,dallas_county_texastotalestimate,dallas_county_texastotalmargin_of_error,dallas_county_texasmaleestimate,dallas_county_texasmalemargin_of_error,dallas_county_texasfemaleestimate,dallas_county_texasfemalemargin_of_error,fairfax_county_virginiatotalestimate,fairfax_county_virginiatotalmargin_of_error,fairfax_county_virginiamaleestimate,fairfax_county_virginiamalemargin_of_error,fairfax_county_virginiafemaleestimate,fairfax_county_virginiafemalemargin_of_error,loudoun_county_virginiatotalestimate,loudoun_county_virginiatotalmargin_of_error,loudoun_county_virginiamaleestimate,loudoun_county_virginiamalemargin_of_error,loudoun_county_virginiafemaleestimate,loudoun_county_virginiafemalemargin_of_error
    5 to 14 years,12.8,0.1,13.0,0.1,12.6,0.1,13.0,0.1,13.7,0.1,12.3,0.1,14.2,0.1,14.7,0.1,13.7,0.1,11.5,0.1,12.0,0.1,10.9,0.1,14.9,0.1,15.4,0.1,14.4,0.1,13.1,0.1,13.6,0.1,12.7,0.1,17.1,0.1,17.5,0.1,16.6,0.1
    15 to 17 years,3.6,0.1,3.7,0.1,3.5,0.1,3.9,0.1,4.1,0.1,3.7,0.1,4.1,0.1,4.2,0.1,4.0,0.1,3.0,0.1,3.3,0.2,2.7,0.1,4.1,0.1,4.3,0.1,4.0,0.1,3.9,0.1,4.1,0.1,3.8,0.1,4.5,0.1,4.6,0.1,4.5,0.1
    18 to 24 years,8.7,0.1,9.0,0.1,8.4,0.1,8.0,0.1,8.5,0.1,7.5,0.1,9.4,0.1,9.9,0.1,8.9,0.1,10.3,0.1,10.3,0.1,10.4,0.2,9.7,0.1,10.0,0.1,9.5,0.1,8.4,0.1,8.7,0.1,8.1,0.1,7.2,0.2,7.5,0.2,6.9,0.3
    15 to 44 years,42.4,0.1,43.6,0.1,41.2,0.1,39.0,0.1,40.0,0.1,38.0,0.1,43.6,0.1,44.2,0.1,43.1,0.1,46.4,0.1,47.4,0.1,45.5,0.1,44.0,0.1,44.6,0.1,43.4,0.1,40.7,0.1,41.4,0.1,40.1,0.1,41.7,0.1,41.6,0.1,41.8,0.1
    16 years and over,79.7,0.1,79.5,0.1,80.0,0.1,79.1,0.2,77.9,0.2,80.3,0.2,78.0,0.2,77.0,0.2,79.0,0.2,80.3,0.2,79.6,0.3,81.0,0.2,75.9,0.1,75.1,0.1,76.7,0.2,78.8,0.1,78.0,0.2,79.5,0.2,73.7,0.3,73.2,0.4,74.1,0.4
    18 years and over,77.2,*****,76.8,0.1,77.7,0.1,76.6,0.1,75.3,0.1,77.8,0.1,75.3,*****,74.3,0.1,76.2,0.1,78.6,0.1,77.7,0.2,79.4,0.1,73.3,*****,72.3,0.1,74.2,0.1,76.2,0.1,75.4,0.1,77.0,0.1,70.9,*****,70.1,0.1,71.7,0.1
    60 years and over,17.7,0.2,16.1,0.3,19.3,0.3,20.2,0.2,18.2,0.3,22.1,0.3,15.0,0.3,13.7,0.4,16.3,0.4,16.5,0.4,14.7,0.6,18.1,0.4,14.7,0.2,13.2,0.2,16.2,0.2,17.9,0.3,16.9,0.4,18.9,0.3,12.7,0.4,11.9,0.5,13.5,0.6
    62 years and over,15.3,0.2,13.7,0.2,17.0,0.2,17.6,0.2,15.7,0.3,19.4,0.3,12.9,0.2,11.6,0.3,14.1,0.3,14.0,0.3,12.3,0.5,15.6,0.4,12.6,0.2,11.2,0.2,14.1,0.2,15.3,0.2,14.4,0.3,16.2,0.3,10.8,0.4,10.1,0.6,11.6,0.5
    65 years and over,12.5,0.1,11.0,0.1,14.0,0.1,14.1,0.1,12.5,0.1,15.5,0.1,10.3,0.1,9.1,0.1,11.4,0.1,11.1,0.1,9.6,0.1,12.5,0.1,9.9,0.1,8.6,0.1,11.2,0.1,11.9,0.1,11.0,0.1,12.8,0.1,8.3,0.1,7.4,0.1,9.1,0.1
    75 years and over,5.5,0.1,4.5,0.1,6.4,0.1,6.1,0.1,4.9,0.1,7.2,0.1,3.9,0.1,3.1,0.1,4.7,0.1,4.6,0.1,3.5,0.1,5.6,0.1,4.0,0.1,3.1,0.1,4.8,0.1,4.5,0.1,3.9,0.1,5.2,0.1,3.0,0.2,2.4,0.2,3.6,0.2
SUMMARY INDICATORS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
    Median age (years),37.2,0.2,36.3,0.2,38.3,0.2,38.9,0.2,37.5,0.3,40.2,0.3,35.7,0.1,34.7,0.1,36.5,0.3,34.2,0.2,33.6,0.2,34.9,0.2,33.4,0.1,32.6,0.2,34.3,0.2,37.6,0.2,36.5,0.2,38.6,0.3,35.8,0.2,35.4,0.2,36.1,0.3
    Sex ratio (males per 100 females),101.4,0.1,N/A,N/A,N/A,N/A,93.1,0.1,N/A,N/A,N/A,N/A,94.9,0.1,N/A,N/A,N/A,N/A,92.6,0.3,N/A,N/A,N/A,N/A,97.0,0.1,N/A,N/A,N/A,N/A,98.1,0.2,N/A,N/A,N/A,N/A,98.6,0.1,N/A,N/A,N/A,N/A
    Age dependency ratio,54.4,0.1,N/A,N/A,N/A,N/A,59.9,0.1,N/A,N/A,N/A,N/A,53.9,0.1,N/A,N/A,N/A,N/A,48.2,0.2,N/A,N/A,N/A,N/A,57.7,0.1,N/A,N/A,N/A,N/A,55.5,0.1,N/A,N/A,N/A,N/A,59.6,0.1,N/A,N/A,N/A,N/A
    Old-Age dependency ratio,19.3,0.1,N/A,N/A,N/A,N/A,22.5,0.1,N/A,N/A,N/A,N/A,15.8,0.1,N/A,N/A,N/A,N/A,16.4,0.1,N/A,N/A,N/A,N/A,15.6,0.1,N/A,N/A,N/A,N/A,18.5,0.1,N/A,N/A,N/A,N/A,13.2,0.1,N/A,N/A,N/A,N/A
    Child dependency ratio,35.1,0.1,N/A,N/A,N/A,N/A,37.4,0.1,N/A,N/A,N/A,N/A,38.0,0.1,N/A,N/A,N/A,N/A,31.7,0.1,N/A,N/A,N/A,N/A,42.2,0.1,N/A,N/A,N/A,N/A,37.0,0.1,N/A,N/A,N/A,N/A,46.4,0.1,N/A,N/A,N/A,N/A
PERCENT IMPUTED,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
    Sex,0.0,N/A,N/A,N/A,N/A,N/A,0.1,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,0.1,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,0.1,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
    Age,1.6,N/A,N/A,N/A,N/A,N/A,2.2,N/A,N/A,N/A,N/A,N/A,0.9,N/A,N/A,N/A,N/A,N/A,1.8,N/A,N/A,N/A,N/A,N/A,1.3,N/A,N/A,N/A,N/A,N/A,1.6,N/A,N/A,N/A,N/A,N/A,1.5,N/A,N/A,N/A,N/A,N/A
