label_grouping,santa_clara_county_californiatotalestimate,santa_clara_county_californiamaleestimate,santa_clara_county_californiafemaleestimate,santa_clara_county_californiamedian_earnings_dollarsestimate,santa_clara_county_californiamedian_earnings_dollars_for_maleestimate,santa_clara_county_californiamedian_earnings_dollars_for_femaleestimate,montgomery_county_marylandtotalestimate,montgomery_county_marylandmaleestimate,montgomery_county_marylandfemaleestimate,montgomery_county_marylandmedian_earnings_dollarsestimate,montgomery_county_marylandmedian_earnings_dollars_for_maleestimate,montgomery_county_marylandmedian_earnings_dollars_for_femaleestimate,wake_county_north_carolinatotalestimate,wake_county_north_carolinamaleestimate,wake_county_north_carolinafemaleestimate,wake_county_north_carolinamedian_earnings_dollarsestimate,wake_county_north_carolinamedian_earnings_dollars_for_maleestimate,wake_county_north_carolinamedian_earnings_dollars_for_femaleestimate,davidson_county_tennesseetotalestimate,davidson_county_tennesseemaleestimate,davidson_county_tennesseefemaleestimate,davidson_county_tennesseemedian_earnings_dollarsestimate,davidson_county_tennesseemedian_earnings_dollars_for_maleestimate,davidson_county_tennesseemedian_earnings_dollars_for_femaleestimate,dallas_county_texastotalestimate,dallas_county_texasmaleestimate,dallas_county_texasfemaleestimate,dallas_county_texasmedian_earnings_dollarsestimate,dallas_county_texasmedian_earnings_dollars_for_maleestimate,dallas_county_texasmedian_earnings_dollars_for_femaleestimate,fairfax_county_virginiatotalestimate,fairfax_county_virginiamaleestimate,fairfax_county_virginiafemaleestimate,fairfax_county_virginiamedian_earnings_dollarsestimate,fairfax_county_virginiamedian_earnings_dollars_for_maleestimate,fairfax_county_virginiamedian_earnings_dollars_for_femaleestimate,loudoun_county_virginiatotalestimate,loudoun_county_virginiamaleestimate,loudoun_county_virginiafemaleestimate,loudoun_county_virginiamedian_earnings_dollarsestimate,loudoun_county_virginiamedian_earnings_dollars_for_maleestimate,loudoun_county_virginiamedian_earnings_dollars_for_femaleestimate
Building and grounds cleaning and maintenance occupations,"27,886",64.90%,35.10%,"20,583","24,392","16,008","18,791",44.40%,55.60%,"17,263","21,031","15,530","13,501",62.10%,37.90%,"17,081","21,546","12,640","12,280",58.10%,41.90%,"15,914","20,139","13,604","58,409",56.90%,43.10%,"16,058","18,686","12,258","21,944",51.20%,48.80%,"25,144","26,033","21,499","3,994",63.00%,37.00%,"28,623","29,139","21,882"
Personal care and service occupations,"32,445",24.50%,75.50%,"15,976","19,442","14,956","21,072",24.60%,75.40%,"18,800","31,439","16,335","13,253",26.20%,73.80%,"11,995","11,485","12,229","11,459",27.40%,72.60%,"15,375","21,971","11,856","31,333",24.70%,75.30%,"13,576","20,153","12,533","19,760",16.80%,83.20%,"19,582","19,308","19,647","4,766",34.50%,65.50%,"12,196","21,188","11,010"
Sales and office occupations:,"175,131",39.20%,60.80%,"31,999","37,016","29,743","100,347",39.50%,60.50%,"32,799","40,776","30,654","109,051",44.30%,55.70%,"30,877","36,656","27,481","81,490",40.90%,59.10%,"27,170","30,852","25,919","280,276",39.30%,60.70%,"27,819","32,043","25,578","111,965",38.90%,61.10%,"36,732","43,651","32,393","37,778",41.20%,58.80%,"37,158","50,515","31,736"
Sales and related occupations,"82,848",49.90%,50.10%,"26,978","40,823","19,585","42,679",52.10%,47.90%,"30,693","45,713","17,381","58,293",55.90%,44.10%,"30,687","40,348","20,852","34,087",54.10%,45.90%,"30,609","35,561","22,248","118,316",51.30%,48.70%,"25,806","36,424","18,241","49,077",50.80%,49.20%,"30,405","45,517","16,509","17,342",49.70%,50.30%,"31,324","60,674","19,598"
Office and administrative support occupations,"92,283",29.50%,70.50%,"35,633","31,575","36,379","57,668",30.20%,69.80%,"34,525","36,605","34,050","50,758",30.80%,69.20%,"31,026","31,558","30,768","47,403",31.40%,68.60%,"26,485","26,222","26,602","161,960",30.40%,69.60%,"28,901","30,266","28,371","62,888",29.60%,70.40%,"40,650","42,162","40,034","20,436",34.00%,66.00%,"38,468","42,981","37,416"
"Natural resources, construction, and maintenance occupations:","55,685",94.90%,5.10%,"32,179","34,214","16,044","29,453",97.40%,2.60%,"33,674","33,835","15,759","26,400",94.30%,5.70%,"26,497","26,707","26,067","23,936",94.60%,5.40%,"22,908","23,743","11,920","130,357",97.90%,2.10%,"23,527","23,560","21,374","31,625",97.40%,2.60%,"32,248","32,226","40,779","7,907",98.00%,2.00%,"42,464","42,464","42,463"
"Farming, fishing, and forestry occupations","2,832",73.80%,26.20%,"16,520","16,071","16,812",193,100.00%,0.00%,"29,150","29,150",-,612,73.20%,26.80%,"6,982","6,451","16,990",540,37.80%,62.20%,"11,321","15,943","4,643","1,611",97.00%,3.00%,"17,134","16,895",-,451,71.40%,28.60%,"23,842","21,204","24,871",463,96.80%,3.20%,"31,079","31,155",-
Construction and extraction occupations,"34,828",98.10%,1.90%,"31,298","31,570","13,717","21,256",97.70%,2.30%,"30,432","30,935","13,212","17,360",95.40%,4.60%,"20,867","20,757","27,623","16,963",96.20%,3.80%,"20,982","21,021","14,464","88,883",98.40%,1.60%,"21,563","21,612","14,923","21,440",97.60%,2.40%,"31,176","31,156","32,057","4,891",98.40%,1.60%,"40,548","40,138",-
"Installation, maintenance, and repair occupations","18,025",92.10%,7.90%,"41,444","42,626","19,442","8,004",96.40%,3.60%,"39,818","39,065","63,945","8,428",93.50%,6.50%,"38,493","39,659","26,077","6,433",95.40%,4.60%,"36,026","36,903","18,273","39,863",97.00%,3.00%,"33,633","33,783","29,619","9,734",98.20%,1.80%,"40,836","40,625","63,674","2,553",97.40%,2.60%,"51,921","52,231",-
"Production, transportation, and material moving occupations:","64,202",74.00%,26.00%,"30,227","30,861","27,269","24,398",79.90%,20.10%,"26,674","29,748","16,382","30,346",80.10%,19.90%,"27,413","29,294","23,097","28,545",76.50%,23.50%,"26,173","27,737","20,665","144,625",74.40%,25.60%,"24,963","27,671","19,192","27,635",77.50%,22.50%,"28,686","30,798","23,131","8,630",68.00%,32.00%,"31,782","40,126","20,573"
Production occupations,"37,986",66.70%,33.30%,"32,908","35,307","30,082","8,771",71.20%,28.80%,"31,486","34,483","21,954","12,383",75.90%,24.10%,"33,808","40,753","24,475","12,549",62.20%,37.80%,"25,226","30,339","20,217","68,759",64.20%,35.80%,"23,693","26,554","19,769","9,646",73.20%,26.80%,"35,292","40,813","16,981","2,150",64.00%,36.00%,"42,194","50,446","33,526"
Transportation occupations,"16,395",85.70%,14.30%,"30,857","30,822","31,070","11,182",90.50%,9.50%,"27,391","29,438","12,799","11,989",80.10%,19.90%,"25,886","26,234","25,496","8,132",89.70%,10.30%,"30,401","30,781","28,494","41,603",87.10%,12.90%,"32,484","35,327","21,116","13,946",78.60%,21.40%,"28,709","29,511","26,415","4,774",68.40%,31.60%,"33,200","40,800","20,705"
Material moving occupations,"9,821",82.90%,17.10%,"22,158","23,542","16,047","4,445",70.60%,29.40%,"15,802","19,764","8,832","5,974",88.90%,11.10%,"17,526","20,516","14,331","7,864",85.70%,14.30%,"22,071","25,146","18,731","34,263",79.70%,20.30%,"20,452","21,382","16,079","4,043",84.10%,15.90%,"12,267","11,574","18,485","1,706",72.00%,28.00%,"16,879","20,046","16,457"
PERCENT IMPUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Civilian employed population 16 years and over,"967,374","538,173",55.60%,"429,201",44.40%,"555,886","286,622",51.60%,"269,264",48.40%,"528,812","280,575",53.10%,"248,237",46.90%,"363,716","187,534",51.60%,"176,182",48.40%,"1,254,419","684,743",54.60%,"569,676",45.40%,"613,246","326,241",53.20%,"287,005",46.80%,"203,967","109,953",53.90%,"94,014",46.10%,,,,,,,
"Management, business, science, and arts occupations:","504,290","284,719",56.50%,"219,571",43.50%,"309,332","156,921",50.70%,"152,411",49.30%,"258,535","130,332",50.40%,"128,203",49.60%,"145,072","66,485",45.80%,"78,587",54.20%,"422,547","203,701",48.20%,"218,846",51.80%,"336,897","180,103",53.50%,"156,794",46.50%,"115,638","62,926",54.40%,"52,712",45.60%,,,,,,,
"Management, business, and financial occupations:","195,924","106,315",54.30%,"89,609",45.70%,"125,409","67,932",54.20%,"57,477",45.80%,"109,845","60,340",54.90%,"49,505",45.10%,"56,966","28,325",49.70%,"28,641",50.30%,"191,478","100,865",52.70%,"90,613",47.30%,"149,227","80,785",54.10%,"68,442",45.90%,"54,177","30,957",57.10%,"23,220",42.90%,,,,,,,
Management occupations,"134,156","81,315",60.60%,"52,841",39.40%,"79,912","46,414",58.10%,"33,498",41.90%,"72,690","44,007",60.50%,"28,683",39.50%,"35,908","18,431",51.30%,"17,477",48.70%,"115,945","68,506",59.10%,"47,439",40.90%,"95,640","55,003",57.50%,"40,637",42.50%,"35,445","22,433",63.30%,"13,012",36.70%,,,,,,,
Business and financial operations occupations,"61,768","25,000",40.50%,"36,768",59.50%,"45,497","21,518",47.30%,"23,979",52.70%,"37,155","16,333",44.00%,"20,822",56.00%,"21,058","9,894",47.00%,"11,164",53.00%,"75,533","32,359",42.80%,"43,174",57.20%,"53,587","25,782",48.10%,"27,805",51.90%,"18,732","8,524",45.50%,"10,208",54.50%,,,,,,,
"Computer, engineering, and science occupations:","175,129","133,064",76.00%,"42,065",24.00%,"69,405","46,479",67.00%,"22,926",33.00%,"60,005","44,744",74.60%,"15,261",25.40%,"16,331","11,167",68.40%,"5,164",31.60%,"63,081","45,557",72.20%,"17,524",27.80%,"83,102","60,197",72.40%,"22,905",27.60%,"32,817","24,071",73.30%,"8,746",26.70%,,,,,,,
Computer and mathematical occupations,"104,138","80,650",77.40%,"23,488",22.60%,"33,165","23,918",72.10%,"9,247",27.90%,"37,018","29,592",79.90%,"7,426",20.10%,"9,483","6,728",70.90%,"2,755",29.10%,"40,419","28,923",71.60%,"11,496",28.40%,"61,284","43,919",71.70%,"17,365",28.30%,"24,447","17,587",71.90%,"6,860",28.10%,,,,,,,
Architecture and engineering occupations,"56,358","45,211",80.20%,"11,147",19.80%,"13,466","10,939",81.20%,"2,527",18.80%,"13,024","10,441",80.20%,"2,583",19.80%,"4,235","3,254",76.80%,981,23.20%,"16,030","13,241",82.60%,"2,789",17.40%,"13,807","11,376",82.40%,"2,431",17.60%,"5,743","4,874",84.90%,869,15.10%,,,,,,,
"Life, physical, and social science occupations","14,633","7,203",49.20%,"7,430",50.80%,"22,774","11,622",51.00%,"11,152",49.00%,"9,963","4,711",47.30%,"5,252",52.70%,"2,613","1,185",45.40%,"1,428",54.60%,"6,632","3,393",51.20%,"3,239",48.80%,"8,011","4,902",61.20%,"3,109",38.80%,"2,627","1,610",61.30%,"1,017",38.70%,,,,,,,
"Education, legal, community service, arts, and media occupations:","94,956","36,158",38.10%,"58,798",61.90%,"83,719","32,663",39.00%,"51,056",61.00%,"61,090","18,353",30.00%,"42,737",70.00%,"48,759","19,997",41.00%,"28,762",59.00%,"113,989","41,389",36.30%,"72,600",63.70%,"76,722","31,283",40.80%,"45,439",59.20%,"21,242","6,373",30.00%,"14,869",70.00%,,,,,,,
Community and social services occupations,"11,673","4,264",36.50%,"7,409",63.50%,"10,730","3,457",32.20%,"7,273",67.80%,"7,721","2,228",28.90%,"5,493",71.10%,"6,548","2,618",40.00%,"3,930",60.00%,"14,081","5,346",38.00%,"8,735",62.00%,"7,959","3,103",39.00%,"4,856",61.00%,"1,455",537,36.90%,918,63.10%,,,,,,,
Legal occupations,"11,022","5,295",48.00%,"5,727",52.00%,"16,869","9,856",58.40%,"7,013",41.60%,"6,048","2,795",46.20%,"3,253",53.80%,"5,419","2,497",46.10%,"2,922",53.90%,"16,784","9,134",54.40%,"7,650",45.60%,"17,290","11,361",65.70%,"5,929",34.30%,"3,149","1,207",38.30%,"1,942",61.70%,,,,,,,
"Education, training, and library occupations","51,693","14,773",28.60%,"36,920",71.40%,"36,132","10,204",28.20%,"25,928",71.80%,"36,606","8,229",22.50%,"28,377",77.50%,"22,820","5,870",25.70%,"16,950",74.30%,"56,933","14,384",25.30%,"42,549",74.70%,"35,774","10,002",28.00%,"25,772",72.00%,"11,689","2,170",18.60%,"9,519",81.40%,,,,,,,
"Arts, design, entertainment, sports, and media occupations","20,568","11,826",57.50%,"8,742",42.50%,"19,988","9,146",45.80%,"10,842",54.20%,"10,715","5,101",47.60%,"5,614",52.40%,"13,972","9,012",64.50%,"4,960",35.50%,"26,191","12,525",47.80%,"13,666",52.20%,"15,699","6,817",43.40%,"8,882",56.60%,"4,949","2,459",49.70%,"2,490",50.30%,,,,,,,
Healthcare practitioner and technical occupations:,"38,281","9,182",24.00%,"29,099",76.00%,"30,799","9,847",32.00%,"20,952",68.00%,"27,595","6,895",25.00%,"20,700",75.00%,"23,016","6,996",30.40%,"16,020",69.60%,"53,999","15,890",29.40%,"38,109",70.60%,"27,846","7,838",28.10%,"20,008",71.90%,"7,402","1,525",20.60%,"5,877",79.40%,,,,,,,
Health diagnosing and treating practitioners and other technical occupations,"28,852","6,861",23.80%,"21,991",76.20%,"23,402","8,010",34.20%,"15,392",65.80%,"19,612","4,761",24.30%,"14,851",75.70%,"18,064","5,071",28.10%,"12,993",71.90%,"36,846","11,741",31.90%,"25,105",68.10%,"21,491","6,765",31.50%,"14,726",68.50%,"5,514",945,17.10%,"4,569",82.90%,,,,,,,
Health technologists and technicians,"9,429","2,321",24.60%,"7,108",75.40%,"7,397","1,837",24.80%,"5,560",75.20%,"7,983","2,134",26.70%,"5,849",73.30%,"4,952","1,925",38.90%,"3,027",61.10%,"17,153","4,149",24.20%,"13,004",75.80%,"6,355","1,073",16.90%,"5,282",83.10%,"1,888",580,30.70%,"1,308",69.30%,,,,,,,
Service occupations:,"154,201","64,835",42.00%,"89,366",58.00%,"91,181","36,646",40.20%,"54,535",59.80%,"71,900","31,923",44.40%,"39,977",55.60%,"60,657","27,910",46.00%,"32,747",54.00%,"217,043","91,136",42.00%,"125,907",58.00%,"103,192","44,107",42.70%,"59,085",57.30%,"28,869","12,487",43.30%,"16,382",56.70%,,,,,,,
Healthcare support occupations,"15,209","3,028",19.90%,"12,181",80.10%,"10,032","2,420",24.10%,"7,612",75.90%,"9,339","1,247",13.40%,"8,092",86.60%,"4,385",525,12.00%,"3,860",88.00%,"24,517","3,366",13.70%,"21,151",86.30%,"8,211","1,562",19.00%,"6,649",81.00%,"2,132",174,8.20%,"1,958",91.80%,,,,,,,
Protective service occupations:,"13,275","10,459",78.80%,"2,816",21.20%,"9,331","7,341",78.70%,"1,990",21.30%,"7,918","5,493",69.40%,"2,425",30.60%,"6,884","4,868",70.70%,"2,016",29.30%,"19,124","13,417",70.20%,"5,707",29.80%,"12,678","10,072",79.40%,"2,606",20.60%,"4,833","3,378",69.90%,"1,455",30.10%,,,,,,,
"Fire fighting and prevention, and other protective service workers including supervisors","9,112","7,312",80.20%,"1,800",19.80%,"5,772","4,371",75.70%,"1,401",24.30%,"4,238","3,384",79.80%,854,20.20%,"5,056","3,529",69.80%,"1,527",30.20%,"13,498","9,271",68.70%,"4,227",31.30%,"8,222","6,180",75.20%,"2,042",24.80%,"2,831","1,918",67.70%,913,32.30%,,,,,,,
Law enforcement workers including supervisors,"4,163","3,147",75.60%,"1,016",24.40%,"3,559","2,970",83.50%,589,16.50%,"3,680","2,109",57.30%,"1,571",42.70%,"1,828","1,339",73.20%,489,26.80%,"5,626","4,146",73.70%,"1,480",26.30%,"4,456","3,892",87.30%,564,12.70%,"2,002","1,460",72.90%,542,27.10%,,,,,,,
Food preparation and serving related occupations,"47,720","24,113",50.50%,"23,607",49.50%,"26,584","13,690",51.50%,"12,894",48.50%,"25,672","12,581",49.00%,"13,091",51.00%,"22,332","12,679",56.80%,"9,653",43.20%,"77,672","37,859",48.70%,"39,813",51.30%,"34,074","16,754",49.20%,"17,320",50.80%,"9,052","4,862",53.70%,"4,190",46.30%,,,,,,,
Building and grounds cleaning and maintenance occupations,"35,146","18,045",51.30%,"17,101",48.70%,"22,688","7,873",34.70%,"14,815",65.30%,"15,251","8,828",57.90%,"6,423",42.10%,"12,206","5,940",48.70%,"6,266",51.30%,"55,904","26,944",48.20%,"28,960",51.80%,"21,929","11,316",51.60%,"10,613",48.40%,"4,703","1,854",39.40%,"2,849",60.60%,,,,,,,
Personal care and service occupations,"42,851","9,190",21.40%,"33,661",78.60%,"22,546","5,322",23.60%,"17,224",76.40%,"13,720","3,774",27.50%,"9,946",72.50%,"14,850","3,898",26.20%,"10,952",73.80%,"39,826","9,550",24.00%,"30,276",76.00%,"26,300","4,403",16.70%,"21,897",83.30%,"8,149","2,219",27.20%,"5,930",72.80%,,,,,,,
