year,label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiapercent,montgomery_county_marylandestimate,montgomery_county_marylandpercent,wake_county_north_carolinaestimate,wake_county_north_carolinapercent,davidson_county_tennesseeestimate,davidson_county_tennesseepercent,dallas_county_texasestimate,dallas_county_texaspercent,fairfax_county_virginiaestimate,fairfax_county_virginiapercent,loudoun_county_virginiaestimate,loudoun_county_virginiapercent,unnamed_16,unnamed_17,unnamed_18,unnamed_19,unnamed_20,unnamed_21,unnamed_22
2010,Females 16 years and over,"702,192","702,192","406,514","406,514","361,284","361,284","264,855","264,855","913,408","913,408","435,334","435,334","116,928","116,928",,,,,,,
2010,In labor force,"418,843",59.60%,"275,943",67.90%,"234,383",64.90%,"164,994",62.30%,"560,634",61.40%,"290,919",66.80%,"82,829",70.80%,,,,,,,
2010,Civilian labor force,"418,771",59.60%,"274,852",67.60%,"234,383",64.90%,"164,944",62.30%,"560,564",61.40%,"288,981",66.40%,"82,757",70.80%,,,,,,,
2010,Employed,"372,904",53.10%,"255,032",62.70%,"211,292",58.50%,"148,084",55.90%,"501,999",55.00%,"272,050",62.50%,"78,580",67.20%,,,,,,,
2010,Own children under 6 years,"147,002","147,002","73,664","73,664","76,817","76,817","49,932","49,932","218,096","218,096","86,161","86,161","33,502","33,502",,,,,,,
2010,All parents in family in labor force,"89,946",61.20%,"50,332",68.30%,"51,347",66.80%,"31,960",64.00%,"128,027",58.70%,"55,057",63.90%,"21,043",62.80%,,,,,,,
2010,Own children 6 to 17 years,"269,623","269,623","154,931","154,931","151,732","151,732","78,573","78,573","407,054","407,054","169,830","169,830","60,537","60,537",,,,,,,
2010,All parents in family in labor force,"180,741",67.00%,"118,386",76.40%,"107,629",70.90%,"56,624",72.10%,"269,544",66.20%,"123,732",72.90%,"44,193",73.00%,,,,,,,
2010,COMMUTING TO WORK,,,,,,,,,,,,,,,,,,,,,
2010,Workers 16 years and over,"812,674","812,674","513,199","513,199","440,953","440,953","293,471","293,471","1,089,516","1,089,516","580,604","580,604","168,346","168,346",,,,,,,
2010,"Car, truck, or van -- drove alone","630,326",77.60%,"332,681",64.80%,"359,221",81.50%,"231,031",78.70%,"872,579",80.10%,"418,788",72.10%,"129,296",76.80%,,,,,,,
2010,"Car, truck, or van -- carpooled","82,241",10.10%,"57,064",11.10%,"37,898",8.60%,"32,907",11.20%,"116,989",10.70%,"59,285",10.20%,"15,594",9.30%,,,,,,,
2010,Public transportation (excluding taxicab),"24,060",3.00%,"77,525",15.10%,"4,626",1.00%,"6,038",2.10%,"29,151",2.70%,"51,279",8.80%,"5,174",3.10%,,,,,,,
2010,Walked,"14,875",1.80%,"10,156",2.00%,"5,561",1.30%,"6,034",2.10%,"14,929",1.40%,"13,563",2.30%,"3,349",2.00%,,,,,,,
2010,Other means,"19,985",2.50%,"5,388",1.00%,"6,065",1.40%,"4,632",1.60%,"17,947",1.60%,"8,619",1.50%,"2,040",1.20%,,,,,,,
2010,Worked at home,"41,187",5.10%,"30,385",5.90%,"27,582",6.30%,"12,829",4.40%,"37,921",3.50%,"29,070",5.00%,"12,893",7.70%,,,,,,,
2010,Mean travel time to work (minutes),24.3,(X),34,(X),23.9,(X),22.9,(X),25.6,(X),32.3,(X),34.2,(X),,,,,,,
2010,OCCUPATION,,,,,,,,,,,,,,,,,,,,,
2010,Civilian employed population 16 years and over,"834,009","834,009","523,864","523,864","448,710","448,710","303,923","303,923","1,107,409","1,107,409","582,131","582,131","169,495","169,495",,,,,,,
2010,"Management, business, science, and arts occupations","420,630",50.40%,"291,351",55.60%,"220,354",49.10%,"113,936",37.50%,"360,413",32.50%,"319,193",54.80%,"95,320",56.20%,,,,,,,
2010,Service occupations,"118,361",14.20%,"78,315",14.90%,"62,559",13.90%,"56,016",18.40%,"191,738",17.30%,"91,713",15.80%,"19,860",11.70%,,,,,,,
2010,Sales and office occupations,"175,131",21.00%,"100,347",19.20%,"109,051",24.30%,"81,490",26.80%,"280,276",25.30%,"111,965",19.20%,"37,778",22.30%,,,,,,,
2010,"Natural resources, construction, and maintenance occupations","55,685",6.70%,"29,453",5.60%,"26,400",5.90%,"23,936",7.90%,"130,357",11.80%,"31,625",5.40%,"7,907",4.70%,,,,,,,
2010,"Production, transportation, and material moving occupations","64,202",7.70%,"24,398",4.70%,"30,346",6.80%,"28,545",9.40%,"144,625",13.10%,"27,635",4.70%,"8,630",5.10%,,,,,,,
2010,INDUSTRY,,,,,,,,,,,,,,,,,,,,,
2010,Civilian employed population 16 years and over,"834,009","834,009","523,864","523,864","448,710","448,710","303,923","303,923","1,107,409","1,107,409","582,131","582,131","169,495","169,495",,,,,,,
2010,"Agriculture, forestry, fishing and hunting, and mining","5,591",0.70%,999,0.20%,"1,525",0.30%,"1,007",0.30%,"7,371",0.70%,"1,052",0.20%,"1,093",0.60%,,,,,,,
2010,Construction,"42,199",5.10%,"30,963",5.90%,"24,783",5.50%,"19,621",6.50%,"101,760",9.20%,"33,637",5.80%,"7,187",4.20%,,,,,,,
2010,Manufacturing,"156,189",18.70%,"15,790",3.00%,"38,715",8.60%,"19,955",6.60%,"110,618",10.00%,"19,999",3.40%,"6,832",4.00%,,,,,,,
2010,Wholesale trade,"18,133",2.20%,"6,021",1.10%,"14,416",3.20%,"7,549",2.50%,"28,738",2.60%,"7,456",1.30%,"2,167",1.30%,,,,,,,
2010,Retail trade,"88,192",10.60%,"41,531",7.90%,"51,145",11.40%,"38,244",12.60%,"117,273",10.60%,"43,621",7.50%,"17,995",10.60%,,,,,,,
2010,"Transportation and warehousing, and utilities","20,789",2.50%,"10,476",2.00%,"17,584",3.90%,"11,799",3.90%,"64,592",5.80%,"17,823",3.10%,"5,821",3.40%,,,,,,,
2010,Information,"30,861",3.70%,"16,346",3.10%,"11,500",2.60%,"9,415",3.10%,"27,332",2.50%,"18,673",3.20%,"7,608",4.50%,,,,,,,
2010,"Finance and insurance, and real estate and rental and leasing","41,459",5.00%,"32,943",6.30%,"29,963",6.70%,"19,974",6.60%,"107,710",9.70%,"41,097",7.10%,"11,108",6.60%,,,,,,,
2010,"Professional, scientific, and management, and administrative and waste management services","153,969",18.50%,"111,816",21.30%,"73,272",16.30%,"30,115",9.90%,"144,022",13.00%,"139,634",24.00%,"46,219",27.30%,,,,,,,
2010,"Educational services, and health care and social assistance","160,641",19.30%,"114,768",21.90%,"95,599",21.30%,"77,468",25.50%,"199,218",18.00%,"92,976",16.00%,"27,998",16.50%,,,,,,,
2010,"Arts, entertainment, and recreation, and accommodation and food services","57,324",6.90%,"45,371",8.70%,"41,681",9.30%,"37,083",12.20%,"101,238",9.10%,"54,128",9.30%,"13,215",7.80%,,,,,,,
2010,"Other services, except public administration","37,362",4.50%,"36,984",7.10%,"21,437",4.80%,"16,588",5.50%,"64,829",5.90%,"35,130",6.00%,"8,230",4.90%,,,,,,,
2010,Public administration,"21,300",2.60%,"59,856",11.40%,"27,090",6.00%,"15,105",5.00%,"32,708",3.00%,"76,905",13.20%,"14,022",8.30%,,,,,,,
2010,CLASS OF WORKER,,,,,,,,,,,,,,,,,,,,,
2010,Civilian employed population 16 years and over,"834,009","834,009","523,864","523,864","448,710","448,710","303,923","303,923","1,107,409","1,107,409","582,131","582,131","169,495","169,495",,,,,,,
2010,Private wage and salary workers,"694,977",83.30%,"371,708",71.00%,"356,500",79.40%,"245,276",80.70%,"911,733",82.30%,"420,830",72.30%,"133,221",78.60%,,,,,,,
2010,Government workers,"83,966",10.10%,"116,869",22.30%,"70,898",15.80%,"36,116",11.90%,"119,514",10.80%,"131,185",22.50%,"29,161",17.20%,,,,,,,
2010,Self-employed in own not incorporated business workers,"54,114",6.50%,"34,759",6.60%,"21,250",4.70%,"22,173",7.30%,"74,868",6.80%,"29,767",5.10%,"6,979",4.10%,,,,,,,
2010,Unpaid family workers,952,0.10%,528,0.10%,62,0.00%,358,0.10%,"1,294",0.10%,349,0.10%,134,0.10%,,,,,,,
2010,INCOME AND BENEFITS (IN 2010 INFLATION-ADJUSTED DOLLARS),,,,,,,,,,,,,,,,,,,,,
2010,Total households,"599,235","599,235","359,476","359,476","338,054","338,054","249,899","249,899","843,416","843,416","389,415","389,415","102,979","102,979",,,,,,,
2010,"Less than $10,000","26,848",4.50%,"15,610",4.30%,"15,893",4.70%,"23,873",9.60%,"61,052",7.20%,"12,355",3.20%,"1,295",1.30%,,,,,,,
2010,"$10,000 to $14,999","18,689",3.10%,"8,773",2.40%,"14,601",4.30%,"19,427",7.80%,"47,102",5.60%,"4,395",1.10%,920,0.90%,,,,,,,
2010,"$15,000 to $24,999","42,137",7.00%,"18,495",5.10%,"31,307",9.30%,"28,870",11.60%,"106,558",12.60%,"15,836",4.10%,"2,683",2.60%,,,,,,,
2010,"$25,000 to $34,999","36,652",6.10%,"21,416",6.00%,"30,625",9.10%,"28,501",11.40%,"102,144",12.10%,"15,999",4.10%,"2,338",2.30%,,,,,,,
2010,"$35,000 to $49,999","60,885",10.20%,"31,310",8.70%,"45,130",13.30%,"41,307",16.50%,"125,268",14.90%,"30,121",7.70%,"6,586",6.40%,,,,,,,
2010,"$50,000 to $74,999","82,393",13.70%,"56,332",15.70%,"63,901",18.90%,"46,119",18.50%,"155,255",18.40%,"56,231",14.40%,"13,440",13.10%,,,,,,,
2010,"$75,000 to $99,999","71,905",12.00%,"44,044",12.30%,"45,014",13.30%,"23,977",9.60%,"91,748",10.90%,"49,896",12.80%,"12,081",11.70%,,,,,,,
2010,"$100,000 to $149,999","114,228",19.10%,"69,725",19.40%,"51,342",15.20%,"19,787",7.90%,"86,550",10.30%,"81,325",20.90%,"28,459",27.60%,,,,,,,
2010,"$150,000 to $199,999","67,331",11.20%,"40,352",11.20%,"20,596",6.10%,"7,565",3.00%,"31,405",3.70%,"54,562",14.00%,"16,640",16.20%,,,,,,,
2010,"$200,000 or more","78,167",13.00%,"53,419",14.90%,"19,645",5.80%,"10,473",4.20%,"36,334",4.30%,"68,695",17.60%,"18,537",18.00%,,,,,,,
2010,Median household income (dollars),"85,002",(X),"89,155",(X),"61,426",(X),"43,616",(X),"46,860",(X),"103,010",(X),"119,540",(X),,,,,,,
2010,Mean household income (dollars),"109,698",(X),"120,201",(X),"80,606",(X),"62,766",(X),"67,659",(X),"130,695",(X),"132,352",(X),,,,,,,
2010,With earnings,"506,088",84.50%,"310,959",86.50%,"290,363",85.90%,"205,985",82.40%,"715,068",84.80%,"345,350",88.70%,"96,281",93.50%,,,,,,,
2010,Mean earnings (dollars),"110,714",(X),"118,898",(X),"79,582",(X),"63,726",(X),"67,449",(X),"126,196",(X),"128,809",(X),,,,,,,
2010,With Social Security,"132,034",22.00%,"75,747",21.10%,"66,048",19.50%,"58,855",23.60%,"167,025",19.80%,"69,629",17.90%,"16,221",15.80%,,,,,,,
2010,Mean Social Security income (dollars),"16,911",(X),"17,159",(X),"17,315",(X),"15,609",(X),"15,669",(X),"17,319",(X),"16,167",(X),,,,,,,
2010,With retirement income,"82,393",13.70%,"60,287",16.80%,"48,099",14.20%,"32,027",12.80%,"85,398",10.10%,"74,744",19.20%,"13,465",13.10%,,,,,,,
2010,Mean retirement income (dollars),"25,001",(X),"38,009",(X),"24,369",(X),"19,531",(X),"22,159",(X),"41,868",(X),"35,938",(X),,,,,,,
2010,With Supplemental Security Income,"26,616",4.40%,"7,810",2.20%,"8,339",2.50%,"10,854",4.30%,"36,229",4.30%,"8,862",2.30%,"1,195",1.20%,,,,,,,
2010,Mean Supplemental Security Income (dollars),"10,458",(X),"8,154",(X),"7,655",(X),"8,585",(X),"8,399",(X),"8,341",(X),"9,483",(X),,,,,,,
2010,With cash public assistance income,"17,139",2.90%,"6,656",1.90%,"3,539",1.00%,"7,724",3.10%,"13,234",1.60%,"3,679",0.90%,"1,625",1.60%,,,,,,,
2010,Mean cash public assistance income (dollars),"6,312",(X),"4,494",(X),"4,656",(X),"2,648",(X),"3,925",(X),"3,711",(X),"3,134",(X),,,,,,,
2010,With Food Stamp/SNAP benefits in the past 12 months,"27,385",4.60%,"17,468",4.90%,"21,147",6.30%,"41,247",16.50%,"98,350",11.70%,"13,873",3.60%,"2,338",2.30%,,,,,,,
2010,Families,"424,866","424,866","245,528","245,528","221,603","221,603","141,442","141,442","548,239","548,239","273,016","273,016","82,632","82,632",,,,,,,
2010,"Less than $10,000","12,532",2.90%,"6,149",2.50%,"6,752",3.00%,"10,564",7.50%,"30,990",5.70%,"4,859",1.80%,757,0.90%,,,,,,,
2010,"$10,000 to $14,999","7,723",1.80%,"3,185",1.30%,"7,957",3.60%,"7,846",5.50%,"23,951",4.40%,"2,004",0.70%,651,0.80%,,,,,,,
2010,"$15,000 to $24,999","24,063",5.70%,"9,206",3.70%,"15,147",6.80%,"12,533",8.90%,"64,994",11.90%,"8,780",3.20%,"1,482",1.80%,,,,,,,
2010,"$25,000 to $34,999","23,713",5.60%,"11,614",4.70%,"15,028",6.80%,"14,856",10.50%,"62,799",11.50%,"10,590",3.90%,"1,477",1.80%,,,,,,,
2010,"$35,000 to $49,999","42,266",9.90%,"18,517",7.50%,"21,815",9.80%,"21,872",15.50%,"76,738",14.00%,"19,052",7.00%,"4,392",5.30%,,,,,,,
2010,"$50,000 to $74,999","57,047",13.40%,"33,042",13.50%,"41,020",18.50%,"27,755",19.60%,"100,601",18.30%,"33,023",12.10%,"8,355",10.10%,,,,,,,
2010,"$75,000 to $99,999","49,767",11.70%,"29,342",12.00%,"34,588",15.60%,"15,773",11.20%,"67,126",12.20%,"30,447",11.20%,"10,862",13.10%,,,,,,,
2010,"$100,000 to $149,999","87,333",20.60%,"51,496",21.00%,"42,877",19.30%,"15,234",10.80%,"68,067",12.40%,"56,449",20.70%,"22,339",27.00%,,,,,,,
2010,"$150,000 to $199,999","54,475",12.80%,"34,205",13.90%,"18,934",8.50%,"5,793",4.10%,"23,714",4.30%,"45,370",16.60%,"15,538",18.80%,,,,,,,
2010,"$200,000 or more","65,947",15.50%,"48,772",19.90%,"17,485",7.90%,"9,216",6.50%,"29,259",5.30%,"62,442",22.90%,"16,779",20.30%,,,,,,,
2010,Median family income (dollars),"96,555",(X),"108,828",(X),"77,275",(X),"52,193",(X),"52,507",(X),"122,189",(X),"126,174",(X),,,,,,,
2010,Mean family income (dollars),"121,615",(X),"141,456",(X),"95,763",(X),"77,027",(X),"75,302",(X),"148,768",(X),"141,589",(X),,,,,,,
2010,Per capita income (dollars),"37,599",(X),"44,829",(X),"30,748",(X),"25,992",(X),"24,722",(X),"47,608",(X),"43,777",(X),,,,,,,
2010,Nonfamily households,"174,369","174,369","113,948","113,948","116,451","116,451","108,457","108,457","295,177","295,177","116,399","116,399","20,347","20,347",,,,,,,
2010,Median nonfamily income (dollars),"52,438",(X),"54,477",(X),"39,449",(X),"31,997",(X),"35,587",(X),"71,378",(X),"69,141",(X),,,,,,,
2010,Mean nonfamily income (dollars),"73,659",(X),"70,200",(X),"49,683",(X),"42,208",(X),"50,405",(X),"82,638",(X),"86,947",(X),,,,,,,
2010,Median earnings for workers (dollars),"41,794",(X),"43,534",(X),"33,830",(X),"26,098",(X),"27,265",(X),"50,298",(X),"53,402",(X),,,,,,,
2010,"Median earnings for male full-time, year-round workers (dollars)","74,924",(X),"71,303",(X),"55,801",(X),"41,127",(X),"37,489",(X),"80,025",(X),"90,796",(X),,,,,,,
2010,"Median earnings for female full-time, year-round workers (dollars)","54,360",(X),"57,015",(X),"41,871",(X),"36,520",(X),"35,803",(X),"60,465",(X),"59,155",(X),,,,,,,
2010,HEALTH INSURANCE COVERAGE,,,,,,,,,,,,,,,,,,,,,
2010,Civilian noninstitutionalized population,"1,780,484","1,780,484","968,304","968,304","899,755","899,755","618,801","618,801","2,348,046","2,348,046","1,071,445","1,071,445","312,308","312,308",,,,,,,
2010,With health insurance coverage,"1,566,234",88.00%,"846,857",87.50%,"771,555",85.80%,"506,043",81.80%,"1,675,643",71.40%,"926,572",86.50%,"286,766",91.80%,,,,,,,
2010,With private health insurance,"1,289,828",72.40%,"745,960",77.00%,"672,281",74.70%,"384,681",62.20%,"1,223,699",52.10%,"855,918",79.90%,"277,750",88.90%,,,,,,,
2010,With public coverage,"421,708",23.70%,"198,734",20.50%,"172,697",19.20%,"177,562",28.70%,"598,457",25.50%,"171,728",16.00%,"30,235",9.70%,,,,,,,
2010,No health insurance coverage,"214,250",12.00%,"121,447",12.50%,"128,200",14.20%,"112,758",18.20%,"672,403",28.60%,"144,873",13.50%,"25,542",8.20%,,,,,,,
2010,Civilian noninstitutionalized population under 18 years,"430,316","430,316","233,675","233,675","235,601","235,601","136,290","136,290","655,433","655,433","263,308","263,308","96,089","96,089",,,,,,,
2010,No health insurance coverage,"18,160",4.20%,"10,475",4.50%,"18,602",7.90%,"9,248",6.80%,"117,376",17.90%,"22,170",8.40%,"4,070",4.20%,,,,,,,
2010,Civilian noninstitutionalized population 18 to 64 years,"1,154,933","1,154,933","617,069","617,069","588,792","588,792","417,328","417,328","1,492,448","1,492,448","703,481","703,481","197,041","197,041",,,,,,,
2010,In labor force:,"901,686","901,686","526,897","526,897","474,820","474,820","323,348","323,348","1,173,168","1,173,168","587,065","587,065","170,007","170,007",,,,,,,
2010,Employed:,"801,330","801,330","490,561","490,561","430,406","430,406","290,128","290,128","1,061,138","1,061,138","553,614","553,614","162,194","162,194",,,,,,,
2010,With health insurance coverage,"694,604",86.70%,"416,995",85.00%,"363,027",84.30%,"227,283",78.30%,"716,638",67.50%,"470,120",84.90%,"149,169",92.00%,,,,,,,
2010,With private health insurance,"659,520",82.30%,"404,377",82.40%,"356,196",82.80%,"214,566",74.00%,"690,109",65.00%,"463,209",83.70%,"148,305",91.40%,,,,,,,
2010,With public coverage,"44,416",5.50%,"18,044",3.70%,"13,076",3.00%,"17,324",6.00%,"39,313",3.70%,"17,825",3.20%,"3,073",1.90%,,,,,,,
2010,No health insurance coverage,"106,726",13.30%,"73,566",15.00%,"67,379",15.70%,"62,845",21.70%,"344,500",32.50%,"83,494",15.10%,"13,025",8.00%,,,,,,,
2010,Unemployed:,"100,356","100,356","36,336","36,336","44,414","44,414","33,220","33,220","112,030","112,030","33,451","33,451","7,813","7,813",,,,,,,
2010,With health insurance coverage,"62,538",62.30%,"19,816",54.50%,"23,983",54.00%,"17,090",51.40%,"39,088",34.90%,"18,877",56.40%,"4,432",56.70%,,,,,,,
2010,With private health insurance,"47,356",47.20%,"16,467",45.30%,"20,276",45.70%,"11,008",33.10%,"26,416",23.60%,"16,759",50.10%,"4,197",53.70%,,,,,,,
2010,With public coverage,"17,324",17.30%,"3,918",10.80%,"5,001",11.30%,"6,716",20.20%,"14,056",12.50%,"3,270",9.80%,439,5.60%,,,,,,,
2010,No health insurance coverage,"37,818",37.70%,"16,520",45.50%,"20,431",46.00%,"16,130",48.60%,"72,942",65.10%,"14,574",43.60%,"3,381",43.30%,,,,,,,
2010,Not in labor force:,"253,247","253,247","90,172","90,172","113,972","113,972","93,980","93,980","319,280","319,280","116,416","116,416","27,034","27,034",,,,,,,
2010,With health insurance coverage,"203,530",80.40%,"73,360",81.40%,"93,533",82.10%,"71,418",76.00%,"186,514",58.40%,"95,229",81.80%,"22,852",84.50%,,,,,,,
2010,With private health insurance,"156,307",61.70%,"64,094",71.10%,"77,557",68.00%,"46,900",49.90%,"119,948",37.60%,"87,370",75.00%,"21,676",80.20%,,,,,,,
2010,With public coverage,"58,128",23.00%,"12,842",14.20%,"22,177",19.50%,"31,057",33.00%,"78,222",24.50%,"13,077",11.20%,"2,817",10.40%,,,,,,,
2010,No health insurance coverage,"49,717",19.60%,"16,812",18.60%,"20,439",17.90%,"22,562",24.00%,"132,766",41.60%,"21,187",18.20%,"4,182",15.50%,,,,,,,
2010,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,,,,,,,,,,,,,,,,,,,,,
2010,All families,(X),6.90%,(X),4.90%,(X),8.90%,(X),15.70%,(X),15.60%,(X),3.60%,(X),2.50%,,,,,,,
2010,With related children under 18 years,(X),10.10%,(X),8.10%,(X),13.20%,(X),26.30%,(X),23.30%,(X),5.50%,(X),3.20%,,,,,,,
2010,With related children under 5 years only,(X),6.00%,(X),4.90%,(X),12.80%,(X),25.20%,(X),17.10%,(X),5.40%,(X),4.00%,,,,,,,
2010,Married couple families,(X),4.40%,(X),1.70%,(X),4.80%,(X),6.40%,(X),9.30%,(X),1.60%,(X),1.70%,,,,,,,
2010,With related children under 18 years,(X),6.50%,(X),2.30%,(X),7.00%,(X),10.50%,(X),14.10%,(X),2.20%,(X),1.70%,,,,,,,
2010,With related children under 5 years only,(X),3.00%,(X),1.50%,(X),6.90%,(X),8.20%,(X),10.20%,(X),1.70%,(X),0.00%,,,,,,,
2010,"Families with female householder, no husband present",(X),18.30%,(X),19.00%,(X),24.60%,(X),36.00%,(X),32.10%,(X),14.50%,(X),7.60%,,,,,,,
2010,With related children under 18 years,(X),26.70%,(X),27.10%,(X),30.60%,(X),47.80%,(X),40.80%,(X),19.60%,(X),10.90%,,,,,,,
2010,With related children under 5 years only,(X),28.70%,(X),28.80%,(X),33.30%,(X),56.60%,(X),32.80%,(X),22.40%,(X),23.20%,,,,,,,
2010,All people,(X),10.50%,(X),7.70%,(X),12.00%,(X),20.20%,(X),19.20%,(X),5.80%,(X),3.50%,,,,,,,
2010,Under 18 years,(X),13.50%,(X),9.70%,(X),15.50%,(X),32.20%,(X),29.60%,(X),7.20%,(X),4.30%,,,,,,,
2010,Related children under 18 years,(X),13.20%,(X),9.70%,(X),15.30%,(X),31.90%,(X),29.50%,(X),7.10%,(X),4.00%,,,,,,,
2010,Related children under 5 years,(X),13.90%,(X),8.40%,(X),18.20%,(X),34.90%,(X),30.40%,(X),8.10%,(X),4.10%,,,,,,,
2010,Related children 5 to 17 years,(X),12.80%,(X),10.20%,(X),14.20%,(X),30.40%,(X),29.10%,(X),6.70%,(X),4.00%,,,,,,,
2010,18 years and over,(X),9.60%,(X),7.10%,(X),10.70%,(X),16.70%,(X),15.10%,(X),5.30%,(X),3.20%,,,,,,,
2010,18 to 64 years,(X),9.90%,(X),7.10%,(X),11.40%,(X),17.70%,(X),15.80%,(X),5.40%,(X),3.20%,,,,,,,
2010,65 years and over,(X),7.90%,(X),6.90%,(X),5.80%,(X),10.80%,(X),9.90%,(X),4.80%,(X),2.60%,,,,,,,
2010,People in families,(X),8.10%,(X),5.30%,(X),10.10%,(X),18.00%,(X),18.60%,(X),4.10%,(X),2.60%,,,,,,,
2010,Unrelated individuals 15 years and over,(X),22.70%,(X),18.90%,(X),19.80%,(X),26.30%,(X),21.90%,(X),14.20%,(X),"11.0%Ã¯»¿""Label (Grouping)""",,,,,,,
2010,Median value (dollars),"639,400","447,200","232,800","172,500","129,300","462,000","447,100Ã¯»¿""Label (Grouping)""","Santa Clara County, CaliforniaOwner-occupied housing units with a mortgageEstimate","Montgomery County, MarylandOwner-occupied housing units with a mortgageEstimate","Wake County, North CarolinaOwner-occupied housing units with a mortgageEstimate","Davidson County, TennesseeOwner-occupied housing units with a mortgageEstimate","Dallas County, TexasOwner-occupied housing units with a mortgageEstimate","Fairfax County, VirginiaOwner-occupied housing units with a mortgageEstimate","Loudoun County, VirginiaOwner-occupied housing units with a mortgageEstimate",,,,,,,
2010,Owner-occupied housing units with a mortgage,"256,276","188,428","184,459","99,978","311,935","225,962","72,843",,,,,,,,,,,,,,
2010,VALUE,,,,,,,,,,,,,,,,,,,,,
2010,"Less than $50,000",0.90%,0.50%,1.40%,1.90%,3.70%,0.60%,0.80%,,,,,,,,,,,,,,
2010,"$50,000 to $99,999",1.90%,0.70%,3.20%,9.40%,23.90%,1.10%,1.10%,,,,,,,,,,,,,,
2010,"$100,000 to $149,999",1.00%,1.30%,15.80%,27.70%,29.10%,2.40%,2.70%,,,,,,,,,,,,,,
2010,"$150,000 to $199,999",1.60%,4.40%,19.20%,23.50%,15.30%,2.70%,2.80%,,,,,,,,,,,,,,
2010,"$200,000 to $299,999",5.00%,14.60%,27.60%,18.70%,13.50%,13.60%,12.30%,,,,,,,,,,,,,,
2010,"$300,000 to $499,999",21.70%,36.60%,24.00%,12.40%,8.80%,36.40%,39.30%,,,,,,,,,,,,,,
2010,"$500,000 or more",67.90%,41.90%,8.80%,6.40%,5.80%,43.20%,41.00%,,,,,,,,,,,,,,
2010,Median (dollars),"643,100","451,000","234,400","171,900","135,400","459,900","449,200",,,,,,,,,,,,,,
2010,MORTGAGE STATUS,,,,,,,,,,,,,,,,,,,,,
2010,"With either a second mortgage, or home equity loan, but not both",30.30%,28.10%,23.90%,24.20%,11.70%,29.50%,32.50%,,,,,,,,,,,,,,
2010,Second mortgage only,6.20%,6.50%,4.70%,7.80%,5.60%,7.70%,9.70%,,,,,,,,,,,,,,
2010,Home equity loan only,24.10%,21.50%,19.20%,16.40%,6.10%,21.80%,22.80%,,,,,,,,,,,,,,
2010,Both second mortgage and home equity loan,2.10%,1.40%,1.00%,0.70%,0.40%,1.50%,1.70%,,,,,,,,,,,,,,
2010,No second mortgage and no home equity loan,67.50%,70.60%,75.10%,75.10%,88.00%,68.90%,65.80%,,,,,,,,,,,,,,
2010,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS),,,,,,,,,,,,,,,,,,,,,
2010,"Less than $10,000",1.30%,1.10%,1.20%,2.40%,2.10%,1.40%,0.10%,,,,,,,,,,,,,,
2010,"$10,000 to $24,999",3.00%,3.40%,5.40%,8.00%,8.20%,2.10%,1.60%,,,,,,,,,,,,,,
2010,"$25,000 to $34,999",2.90%,3.00%,5.50%,7.60%,7.20%,1.90%,0.80%,,,,,,,,,,,,,,
