ÃYear,Label,Santa_Clara_County_California,Montgomery_County_Maryland,Wake_County_North_Carolina,Davidson_County_Tennessee,Dallas_County_Texas,Fairfax_County_Virginia,Loudoun_County_Virginia
2015,Male,"965,615","501,379","498,819","326,415","1,257,431","565,709","186,490"
2015,Female,"952,429","538,737","525,379","352,474","1,295,954","576,525","189,139"
2015,Under 5 years,"121,248","68,035","65,326","47,201","195,886","76,362","28,091"
2015,5 to 9 years,"121,923","67,935","72,764","43,087","198,847","79,281","32,692"
2015,10 to 14 years,"123,954","66,837","72,692","34,746","182,004","70,835","31,386"
2015,15 to 19 years,"114,223","63,216","71,077","38,678","170,461","72,452","25,687"
2015,20 to 24 years,"121,682","60,254","67,822","51,897","184,222","68,613","18,389"
2015,25 to 34 years,"293,573","137,409","150,549","130,575","409,662","157,692","46,972"
2015,35 to 44 years,"284,432","144,320","157,302","93,824","358,245","166,394","65,685"
2015,45 to 54 years,"275,335","150,747","148,571","84,321","330,144","170,216","59,598"
2015,55 to 59 years,"122,205","70,751","64,168","42,745","148,280","75,726","19,372"
2015,60 to 64 years,"99,903","64,461","48,511","36,477","123,381","68,486","16,672"
2015,65 to 74 years,"134,656","82,729","65,500","44,168","151,343","84,213","19,685"
2015,75 to 84 years,"71,055","42,869","29,481","21,187","71,199","36,848","8,752"
2015,85 years and over,"33,855","20,553","10,435","9,983","29,711","15,116","2,648"
2015,Median age (years),37.2,38.9,35.7,34.2,33.4,37.6,35.8
2015,18 years and over,"1,481,646","796,649","771,016","533,484","1,870,901","870,655","266,383"
2015,21 years and over,"1,413,444","764,545","731,889","506,892","1,772,948","830,489","255,488"
2015,62 years and over,"293,873","182,950","131,903","95,005","322,541","174,355","40,689"
2015,65 years and over,"239,566","146,151","105,416","75,338","252,253","136,177","31,085"
2015,18 years and over,"1,481,646","796,649","771,016","533,484","1,870,901","870,655","266,383"
2015,Male,"741,959","377,430","370,466","253,698","909,340","426,625","130,735"
2015,Female,"739,687","419,219","400,550","279,786","961,561","444,030","135,648"
2015,65 years and over,"239,566","146,151","105,416","75,338","252,253","136,177","31,085"
2015,Male,"106,496","62,671","45,451","31,357","107,586","62,217","13,796"
2015,Female,"133,070","83,480","59,965","43,981","144,667","73,960","17,289"
2015,RACE,,,,,,,
2015,Total population,"1,918,044","1,040,116","1,024,198","678,889","2,553,385","1,142,234","375,629"
2015,One race,"1,827,630","1,000,399","997,040","659,994","2,489,603","1,088,952","353,337"
2015,Two or more races,"90,414","39,717","27,158","18,895","63,782","53,282","22,292"
2015,One race,"1,827,630","1,000,399","997,040","659,994","2,489,603","1,088,952","353,337"
2015,White,"869,075","564,151","682,435","433,961","1,590,220","701,027","248,621"
2015,Black or African American,"47,419","186,896","214,103","182,939","569,901","109,153","27,685"
2015,American Indian and Alaska Native,"8,435","3,420","3,416","2,769","10,453","1,802",623
2015,Cherokee tribal grouping,0,0,0,0,0,0,0
2015,Chippewa tribal grouping,0,0,0,0,0,0,0
2015,Navajo tribal grouping,0,0,0,0,0,0,0
2015,Sioux tribal grouping,0,0,0,0,0,0,0
2015,Asian,"667,182","156,974","65,485","21,202","151,742","216,996","64,511"
2015,Asian Indian,"167,633","38,435","34,663","4,718","58,603","53,241","28,419"
2015,Chinese,"182,977","46,326","11,613","1,839","13,948","29,684","6,349"
2015,Filipino,"93,414","13,503","2,740",637,"9,616","16,281","6,308"
2015,Japanese,"24,322","2,980",509,555,"2,446","3,471",432
2015,Korean,"29,797","18,038","3,797","1,667","11,043","38,981","5,760"
2015,Vietnamese,"129,303","16,082","4,740","3,614","25,427","35,387","6,524"
2015,Other Asian,"39,736","21,610","7,423","8,172","30,659","39,951","10,719"
2015,Native Hawaiian and Other Pacific Islander,"9,210",429,348,76,"1,328",481,450
2015,Native Hawaiian,"1,009",N,N,N,N,N,N
2015,Guamanian or Chamorro,"3,351",N,N,N,N,N,N
2015,Samoan,"1,510",N,N,N,N,N,N
2015,Other Pacific Islander,"3,340",N,N,N,N,N,N
2015,Some other race,"226,309","88,529","31,253","19,047","165,959","59,493","11,447"
2015,Two or more races,"90,414","39,717","27,158","18,895","63,782","53,282","22,292"
2015,White and Black or African American,"9,424","9,121","8,674","8,061","14,810","10,001","6,353"
2015,White and American Indian and Alaska Native,"8,649","3,015","3,738","1,447","12,613","6,189","1,316"
2015,White and Asian,"38,759","12,976","9,078","4,152","10,279","24,145","7,457"
2015,Black or African American and American Indian and Alaska Native,"1,264","1,383",910,263,"4,486","2,080",176
2015,Race alone or in combination with one or more other races,,,,,,,
2015,Total population,"1,918,044","1,040,116","1,024,198","678,889","2,553,385","1,142,234","375,629"
2015,White,"943,952","593,993","707,174","451,000","1,641,178","748,230","267,335"
2015,Black or African American,"63,872","204,588","226,561","192,808","597,153","125,287","36,834"
2015,American Indian and Alaska Native,"24,489","10,604","9,503","5,669","32,219","11,990","3,466"
2015,Asian,"721,102","175,250","75,725","28,121","168,039","246,207","75,509"
2015,Native Hawaiian and Other Pacific Islander,"16,540","2,174",878,"2,546","4,145","2,549","1,250"
2015,Some other race,"246,179","96,199","33,591","20,718","180,680","64,992","15,470"
2015,HISPANIC OR LATINO AND RACE,,,,,,,
2015,Total population,"1,918,044","1,040,116","1,024,198","678,889","2,553,385","1,142,234","375,629"
2015,Hispanic or Latino (of any race),"505,076","197,396","103,286","67,768","1,009,302","186,859","50,910"
2015,Mexican,"426,875","16,356","49,971","39,392","856,175","18,431","9,846"
2015,Puerto Rican,"8,676","9,145","13,168","3,755","11,085","9,386","4,396"
2015,Cuban,"2,834","4,645","4,876","1,744","5,001","3,649","1,279"
2015,Other Hispanic or Latino,"66,691","167,250","35,271","22,877","137,041","155,393","35,389"
2015,Not Hispanic or Latino,"1,412,968","842,720","920,912","611,121","1,544,083","955,375","324,719"
2015,White alone,"625,303","465,333","619,955","383,703","778,051","585,950","214,958"
2015,Black or African American alone,"45,222","182,681","207,754","182,257","560,784","105,962","26,486"
2015,American Indian and Alaska Native alone,"3,758","1,150","2,922","2,473","3,983",697,623
2015,Asian alone,"663,666","155,100","65,225","21,148","151,314","216,321","63,929"
2015,Native Hawaiian and Other Pacific Islander alone,"6,981",345,348,0,"1,179",426,450
2015,Some other race alone,"4,876","6,304","2,046","3,782","3,612","3,312","2,854"
2015,Two or more races,"63,162","31,807","22,662","17,758","45,160","42,707","15,419"
2015,Two races including Some other race,"3,447","1,894",693,462,"3,027","1,723","1,282"
2015,"Two races excluding Some other race, and Three or more races","59,715","29,913","21,969","17,296","42,133","40,984","14,137"
2015,Total housing units,"660,622","389,030","411,470","298,808","985,429","412,082","126,508"
2015,"CITIZEN, VOTING AGE POPULATION",,,,,,,
2015,"Citizen, 18 and over population","1,165,118","649,696","698,353","479,523","1,471,408","723,490","230,740"
2015,Male,"575,696","303,964","331,153","224,107","695,064","355,320","112,057"
2015,Female,"589,422","345,732","367,200","255,416","776,344","368,170","118,683"
2020,Ã¯»¿,"Santa Clara County, California","Montgomery County, Maryland","Wake County, North Carolina","Davidson County, Tennessee","Dallas County, Texas","Fairfax County, Virginia","Loudoun County, Virginia"
2020,Label,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate
2020,SEX AND AGE,,,,,,,
2020,Total population,"1,924,379","1,047,661","1,091,662","690,540","2,622,634","1,149,439","405,312"
2020,Male,"974,741","506,468","531,038","332,527","1,293,295","570,272","201,277"
2020,Female,"949,638","541,193","560,624","358,013","1,329,339","579,167","204,035"
2020,Sex ratio (males per 100 females),102.6,93.6,94.7,92.9,97.3,98.5,98.6
2020,Under 5 years,"113,558","65,340","67,034","46,061","193,941","73,703","28,451"
2020,5 to 9 years,"116,187","66,083","72,492","38,531","187,344","74,741","32,027"
2020,10 to 14 years,"121,890","70,441","76,241","38,572","194,032","75,944","34,376"
2020,15 to 19 years,"114,160","64,066","75,511","38,801","177,706","73,168","28,574"
2020,20 to 24 years,"117,877","59,411","68,797","49,856","182,940","68,523","20,830"
2020,25 to 34 years,"312,663","132,729","161,738","139,929","434,126","153,524","47,817"
2020,35 to 44 years,"278,111","143,921","162,919","94,660","360,338","165,436","69,212"
2020,45 to 54 years,"263,196","145,867","155,500","80,374","325,415","163,267","63,847"
2020,55 to 59 years,"122,505","73,351","67,600","43,065","153,639","78,033","24,552"
2020,60 to 64 years,"104,244","64,038","56,697","35,943","131,692","67,768","17,607"
2020,65 to 74 years,"144,739","92,156","79,088","51,733","172,451","94,187","22,751"
2020,75 to 84 years,"77,281","47,092","32,424","23,471","76,308","44,012","10,944"
2020,85 years and over,"37,968","23,166","15,621","9,544","32,702","17,133","4,324"
2020,Median age (years),37.2,39.4,36.4,34.4,33.5,38.1,36.5
2020,Under 18 years,"421,988","243,489","260,902","143,847","685,818","270,227","114,090"
2020,16 years and over,"1,549,653","831,326","860,482","560,745","2,011,053","908,390","304,587"
2020,18 years and over,"1,502,391","804,172","830,760","546,693","1,936,816","879,212","291,222"
2020,21 years and over,"1,436,965","771,039","785,940","520,379","1,835,515","840,294","278,284"
2020,62 years and over,"318,337","200,249","159,476","104,823","355,387","193,139","47,477"
2020,65 years and over,"259,988","162,414","127,133","84,748","281,461","155,332","38,019"
2020,18 years and over,"1,502,391","804,172","830,760","546,693","1,936,816","879,212","291,222"
2020,Male,"758,018","381,979","398,324","259,769","943,807","431,716","143,279"
2020,Female,"744,373","422,193","432,436","286,924","993,009","447,496","147,943"
2020,Sex ratio (males per 100 females),101.8,90.5,92.1,90.5,95,96.5,96.8
2020,65 years and over,"259,988","162,414","127,133","84,748","281,461","155,332","38,019"
2020,Male,"115,902","70,384","54,965","35,790","121,243","71,140","16,998"
2020,Female,"144,086","92,030","72,168","48,958","160,218","84,192","21,021"
2020,Sex ratio (males per 100 females),80.4,76.5,76.2,73.1,75.7,84.5,80.9
2020,RACE,,,,,,,
2020,Total population,"1,924,379","1,047,661","1,091,662","690,540","2,622,634","1,149,439","405,312"
2020,One race,"1,780,522","984,786","1,044,222","665,334","2,450,331","1,079,811","378,997"
2020,Two or more races,"143,857","62,875","47,440","25,206","172,303","69,628","26,315"
2020,One race,"1,780,522","984,786","1,044,222","665,334","2,450,331","1,079,811","378,997"
2020,White,"801,381","536,767","696,626","433,926","1,475,503","678,162","253,002"
2020,Black or African American,"47,379","193,450","220,232","185,758","593,081","112,024","31,241"
2020,American Indian and Alaska Native,"9,990","3,083","3,413","1,042","10,364","3,250","1,149"
2020,Cherokee tribal grouping,294,274,600,310,"1,366",216,104
2020,Chippewa tribal grouping,74,18,140,8,79,43,11
2020,Navajo tribal grouping,344,0,12,0,337,0,33
2020,Sioux tribal grouping,105,25,3,17,221,48,6
2020,Asian,"724,855","156,834","80,059","24,936","170,955","227,923","77,861"
2020,Asian Indian,"182,963","41,207","41,565","5,089","63,431","56,126","41,943"
2020,Chinese,"213,474","42,359","12,611","4,228","18,510","34,367","5,208"
2020,Filipino,"89,135","14,010","3,769","1,447","11,868","16,148","4,955"
2020,Japanese,"25,058","3,445","1,233",514,"2,884","3,184",752
2020,Korean,"30,920","17,501","4,777","2,209","8,698","42,816","5,348"
2020,Vietnamese,"140,137","13,825","7,340","2,784","34,053","32,333","4,995"
2020,Other Asian,"43,168","24,487","8,764","8,665","31,511","42,949","14,660"
2020,Native Hawaiian and Other Pacific Islander,"6,949",419,470,403,"1,147",994,508
2020,Native Hawaiian,884,53,161,114,233,208,97
2020,Chamorro,"1,030",84,112,74,272,565,119
2020,Samoan,"1,542",42,5,104,183,46,22
2020,Other Pacific Islander,"3,493",240,192,111,459,175,270
2020,Some other race,"189,968","94,233","43,422","19,269","199,281","57,458","15,236"
2020,Two or more races,"143,857","62,875","47,440","25,206","172,303","69,628","26,315"
2020,White and Black or African American,"9,984","13,052","10,672","7,397","22,252","12,972","3,975"
2020,White and American Indian and Alaska Native,"10,505","3,012","3,627","3,096","10,519","3,979","1,082"
2020,White and Asian,"44,319","15,788","7,940","4,508","11,547","23,863","8,303"
2020,Black or African American and American Indian and Alaska Native,820,963,"2,823",621,"3,469","1,178",226
2020,Race alone or in combination with one or more other races,,,,,,,
2020,Total population,"1,924,379","1,047,661","1,091,662","690,540","2,622,634","1,149,439","405,312"
2020,White,"928,479","589,844","736,488","456,005","1,632,247","741,508","275,973"
2020,Black or African American,"66,223","216,948","240,329","196,349","631,152","131,340","38,386"
2020,American Indian and Alaska Native,"27,748","10,361","12,636","5,462","31,167","11,702","3,964"
2020,Asian,"786,890","179,236","91,728","30,865","190,851","257,638","89,580"
2020,Native Hawaiian and Other Pacific Islander,"16,748","2,037","1,697","1,307","4,455","2,838","1,286"
2020,Some other race,"253,501","118,135","60,964","26,962","314,743","79,006","24,944"
2020,HISPANIC OR LATINO AND RACE,,,,,,,
2020,Total population,"1,924,379","1,047,661","1,091,662","690,540","2,622,634","1,149,439","405,312"
2020,Hispanic or Latino (of any race),"482,101","204,620","110,961","70,926","1,055,049","186,680","55,180"
2020,Mexican,"392,853","16,419","53,189","41,492","866,139","20,585","8,465"
2020,Puerto Rican,"9,471","11,679","16,015","3,703","14,564","12,180","5,194"
2020,Cuban,"3,075","4,152","4,085","2,600","9,191","3,608","1,728"
2020,Other Hispanic or Latino,"76,702","172,370","37,672","23,131","165,155","150,307","39,793"
2020,Not Hispanic or Latino,"1,442,278","843,041","980,701","619,614","1,567,585","962,759","350,132"
2020,White alone,"589,644","451,553","647,265","386,782","749,571","574,760","223,329"
2020,Black or African American alone,"44,917","188,234","214,636","184,488","585,014","108,847","30,117"
2020,American Indian and Alaska Native alone,"3,063","1,430","2,532",883,"5,152","1,543",847
2020,Asian alone,"720,355","156,007","79,871","24,892","169,259","226,465","77,332"
2020,Native Hawaiian and Other Pacific Islander alone,"6,310",377,431,403,883,718,288
2020,Some other race alone,"5,631","6,926","6,130","2,326","6,120","5,035","2,303"
2020,Two or more races,"72,358","38,514","29,836","19,840","51,586","45,391","15,916"
2020,Two races including Some other race,"5,249","3,900","2,856","2,793","3,700","2,912","1,098"
2020,"Two races excluding Some other race, and Three or more races","67,109","34,614","26,980","17,047","47,886","42,479","14,818"
2020,Total housing units,"668,896","390,475","441,720","319,739","1,027,813","415,149","136,398"
2020,"CITIZEN, VOTING AGE POPULATION",,,,,,,
2020,"Citizen, 18 and over population","1,172,801","673,691","760,143","498,687","1,534,897","745,748","253,875"
2020,Male,"585,165","318,848","362,444","233,652","733,598","368,160","124,785"
2020,Female,"587,636","354,843","397,699","265,035","801,299","377,588","129,090"
2023,Ã¯»¿,"Santa Clara County, California","Montgomery County, Maryland","Wake County, North Carolina","Davidson County, Tennessee","Dallas County, Texas","Fairfax County, Virginia","Loudoun County, Virginia"
2023,Label,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate
2023,SEX AND AGE,,,,,,,
2023,Total population,"1,877,592","1,058,474","1,190,275","712,334","2,606,358","1,141,878","436,347"
2023,Male,"957,112","515,740","582,915","344,357","1,292,795","569,883","218,730"
2023,Female,"920,480","542,734","607,360","367,977","1,313,563","571,995","217,617"
2023,Sex ratio (males per 100 females),104,95,96,93.6,98.4,99.6,100.5
2023,Under 5 years,"93,972","59,366","67,560","45,667","175,053","64,777","26,353"
2023,5 to 9 years,"101,352","65,627","73,992","38,317","169,650","67,414","32,357"
2023,10 to 14 years,"107,146","69,844","78,891","38,099","186,213","78,264","33,508"
2023,15 to 19 years,"123,987","67,425","79,529","41,289","182,996","74,526","33,051"
2023,20 to 24 years,"119,250","58,537","73,690","51,609","185,802","66,857","23,798"
2023,25 to 34 years,"299,742","123,643","172,666","143,540","431,351","148,551","45,538"
2023,35 to 44 years,"269,889","147,405","180,255","105,969","358,613","166,188","72,814"
2023,45 to 54 years,"245,711","142,179","166,637","78,209","313,207","156,161","69,166"
2023,55 to 59 years,"115,851","67,201","71,286","38,374","142,638","73,175","26,107"
2023,60 to 64 years,"112,244","70,002","66,530","36,294","143,199","68,208","23,938"
2023,65 to 74 years,"160,518","104,943","95,873","59,296","197,053","102,238","28,246"
2023,75 to 84 years,"92,268","59,733","48,243","26,628","91,041","59,755","16,828"
2023,85 years and over,"35,662","22,569","15,123","9,043","29,542","15,764","4,643"
2023,Median age (years),38.3,40.6,37.7,34.8,34.3,39.5,38.3
2023,Under 18 years,"374,378","238,848","270,699","145,228","645,638","257,820","114,071"
2023,16 years and over,"1,553,552","848,459","951,610","581,955","2,034,431","916,511","336,068"
2023,18 years and over,"1,503,214","819,626","919,576","567,106","1,960,720","884,058","322,276"
2023,21 years and over,"1,430,194","786,018","875,114","540,631","1,858,580","844,985","306,330"
2023,62 years and over,"351,354","229,907","195,717","116,290","404,121","217,030","61,776"
2023,65 years and over,"288,448","187,245","159,239","94,967","317,636","177,757","49,717"
2023,18 years and over,"1,503,214","819,626","919,576","567,106","1,960,720","884,058","322,276"
2023,Male,"763,718","392,711","444,850","270,951","963,082","437,354","159,915"
2023,Female,"739,496","426,915","474,726","296,155","997,638","446,704","162,361"
2023,Sex ratio (males per 100 females),103.3,92,93.7,91.5,96.5,97.9,98.5
2023,65 years and over,"288,448","187,245","159,239","94,967","317,636","177,757","49,717"
2023,Male,"131,480","83,282","70,112","40,965","141,211","82,424","22,529"
2023,Female,"156,968","103,963","89,127","54,002","176,425","95,333","27,188"
2023,Sex ratio (males per 100 females),83.8,80.1,78.7,75.9,80,86.5,82.9
2023,RACE,,,,,,,
2023,Total population,"1,877,592","1,058,474","1,190,275","712,334","2,606,358","1,141,878","436,347"
2023,One race,"1,608,059","932,608","1,082,006","626,805","2,061,933","986,532","379,021"
2023,Two or More Races,"269,533","125,866","108,269","85,529","544,425","155,346","57,326"
2023,One race,"1,608,059","932,608","1,082,006","626,805","2,061,933","986,532","379,021"
2023,White,"547,247","442,729","682,601","393,300","880,012","551,372","228,098"
2023,Black or African American,"45,818","200,386","223,887","170,602","580,032","111,809","32,426"
2023,American Indian and Alaska Native,"18,064","7,637","3,565","7,486","19,508","5,405",931
2023,Aztec,N,N,N,N,N,N,N
2023,Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,N,N,N,N,N,N,N
2023,Maya,N,N,N,N,N,N,N
2023,Native Village of Barrow Inupiat Traditional Government,N,N,N,N,N,N,N
2023,Navajo Nation,N,N,N,N,N,N,N
2023,Nome Eskimo Community,N,N,N,N,N,N,N
2023,Other American Indian and Alaska Native,N,N,N,N,N,N,N
2023,Asian,"771,154","158,558","104,741","23,091","183,930","226,115","95,473"
2023,Asian Indian,"205,534","40,874","60,015","4,023","83,388","53,106","48,492"
2023,Chinese,"234,959","41,701","13,802","3,941","15,865","32,954","6,594"
2023,Filipino,"81,915","17,745","4,358","2,137","10,679","13,173","4,316"
2023,Japanese,"22,053","4,320",683,494,"1,741","4,123",716
2023,Korean,"40,362","17,641","7,547","1,534","5,908","37,299","5,175"
2023,Vietnamese,"134,976","11,407","6,881","1,918","38,922","30,514","3,703"
2023,Other Asian,"51,355","24,870","11,455","9,044","27,427","54,946","26,477"
2023,Native Hawaiian and Other Pacific Islander,"9,133",437,361,904,"8,419",407,238
2023,Chamorro,189,N,N,N,N,N,N
2023,Native Hawaiian,192,N,N,N,N,N,N
2023,Samoan,966,N,N,N,N,N,N
2023,Other Native Hawaiian and Other Pacific Islander,"7,786",N,N,N,N,N,N
2023,Some Other Race,"216,643","122,861","66,851","31,422","390,032","91,424","21,855"
2023,Two or More Races,"269,533","125,866","108,269","85,529","544,425","155,346","57,326"
2023,White and Black or African American,"9,577","11,803","15,673","12,900","21,717","15,870","5,395"
2023,White and American Indian and Alaska Native,"7,894","3,822","4,959","4,068","16,782","4,585","1,535"
2023,White and Asian,"39,880","20,670","13,079","8,043","16,253","29,786","12,260"
2023,White and Some Other Race,"173,673","63,762","57,341","50,926","443,705","87,392","31,103"
2023,Black or African American and American Indian and Alaska Native,692,899,"2,197","1,769","8,120",645,305
2023,Black or African American and Some Other Race,"2,985","5,677","3,010","2,499","5,622","1,185",710
2023,Race alone or in combination with one or more other races,,,,,,,
2023,Total population,"1,877,592","1,058,474","1,190,275","712,334","2,606,358","1,141,878","436,347"
2023,White,"797,846","555,290","782,727","473,474","1,399,275","698,200","283,029"
2023,Black or African American,"68,349","227,328","249,777","191,481","631,832","136,641","42,098"
2023,American Indian and Alaska Native,"44,087","21,790","17,616","14,179","61,469","16,312","4,719"
2023,Asian,"826,215","186,467","122,391","34,063","210,093","264,538","110,912"
2023,Native Hawaiian and Other Pacific Islander,"16,950","1,492","2,279","3,011","10,099","2,683",792
2023,Some Other Race,"417,134","205,406","133,326","86,985","859,817","188,825","57,296"
2023,HISPANIC OR LATINO AND RACE,,,,,,,
2023,Total population,"1,877,592","1,058,474","1,190,275","712,334","2,606,358","1,141,878","436,347"
