label,santa_clara_county_california,montgomery_county_maryland,wake_county_north_carolina,davidson_county_tennessee,dallas_county_texas,fairfax_county_virginia,loudoun_county_virginia
Coal or coke,0,0,0,0,0,0,0
Wood,"1,887",412,"1,091",674,417,613,"1,070"
Solar energy,850,0,0,61,44,0,61
Other fuel,"1,238",427,132,223,258,514,223
No fuel used,"5,792",479,499,561,"1,406",746,226
SELECTED CHARACTERISTICS,,,,,,,
Occupied housing units,"599,235","359,476","338,054","249,899","843,416","389,415","102,979"
Lacking complete plumbing facilities,"3,645","1,527",776,189,"4,247","1,590",548
Lacking complete kitchen facilities,"6,765","2,955","1,703","1,028","7,170","2,292",757
No telephone service available,"10,027","5,286","6,511","4,920","17,779","4,533",894
OCCUPANTS PER ROOM,,,,,,,
Occupied housing units,"599,235","359,476","338,054","249,899","843,416","389,415","102,979"
1.00 or less,"551,916","350,327","330,284","243,125","783,874","377,798","101,545"
1.01 to 1.50,"32,292","6,763","6,206","4,225","42,260","8,054","1,265"
1.51 or more,"15,027","2,386","1,564","2,549","17,282","3,563",169
VALUE,,,,,,,
Owner-occupied units,"342,955","238,022","224,624","135,598","448,918","272,224","80,627"
"Less than $50,000","7,522","1,800","6,275","3,506","30,301","2,668","1,071"
"$50,000 to $99,999","9,155","2,240","8,192","13,382","113,327","3,103",906
"$100,000 to $149,999","4,362","4,056","33,656","35,378","119,343","6,579","2,096"
"$150,000 to $199,999","5,612","9,939","41,619","31,388","63,981","8,558","2,166"
"$200,000 to $299,999","16,502","33,032","61,025","24,836","57,315","35,628","10,526"
"$300,000 to $499,999","70,855","88,356","53,938","18,281","37,670","97,281","30,871"
"$500,000 to $999,999","161,903","79,150","17,272","5,935","19,241","103,781","30,258"
"$1,000,000 or more","67,044","19,449","2,647","2,892","7,740","14,626","2,733"
Median (dollars),"639,400","447,200","232,800","172,500","129,300","462,000","447,100"
MORTGAGE STATUS,,,,,,,
Owner-occupied units,"342,955","238,022","224,624","135,598","448,918","272,224","80,627"
Housing units with a mortgage,"256,276","188,428","184,459","99,978","311,935","225,962","72,843"
Housing units without a mortgage,"86,679","49,594","40,165","35,620","136,983","46,262","7,784"
SELECTED MONTHLY OWNER COSTS (SMOC),,,,,,,
Housing units with a mortgage,"256,276","188,428","184,459","99,978","311,935","225,962","72,843"
Less than $300,441,0,216,0,55,128,0
$300 to $499,"1,586",104,"1,536","1,794","3,103",326,408
$500 to $699,"2,152","1,271","4,407","3,738","10,300","1,370",239
$700 to $999,"4,788","5,128","18,284","18,114","39,066","6,174","1,606"
"$1,000 to $1,499","16,484","20,393","62,193","37,051","115,767","26,465","4,702"
"$1,500 to $1,999","28,710","31,984","45,699","21,427","69,691","37,296","7,782"
"$2,000 or more","202,115","129,548","52,124","17,854","73,953","154,203","58,106"
Median (dollars),"2,994","2,498","1,552","1,366","1,443","2,468","2,766"
Housing units without a mortgage,"86,679","49,594","40,165","35,620","136,983","46,262","7,784"
Less than $100,"1,051",440,50,141,"1,006",615,61
$100 to $199,"3,040",123,"1,432","1,377","3,805",680,95
$200 to $299,"8,855",879,"4,619","5,310","15,946","1,608",357
$300 to $399,"14,202","2,309","7,935","7,440","19,493","2,867",331
$400 or more,"59,531","45,843","26,129","21,352","96,733","40,492","6,940"
Median (dollars),539,740,477,450,527,698,761
SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI),,,,,,,
Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),"255,336","188,258","183,731","99,648","310,211","224,894","72,843"
Less than 20.0 percent,"61,314","64,835","74,034","34,055","107,386","90,026","21,660"
20.0 to 24.9 percent,"37,831","29,894","31,134","16,174","50,155","35,636","13,947"
25.0 to 29.9 percent,"31,228","23,658","24,304","12,866","36,860","28,240","11,662"
30.0 to 34.9 percent,"27,748","17,168","13,720","9,562","27,941","21,979","8,127"
35.0 percent or more,"97,215","52,703","40,539","26,991","87,869","49,013","17,447"
Not computed,940,170,728,330,"1,724","1,068",0
Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),"85,119","49,093","39,783","35,270","135,379","46,100","7,734"
Less than 10.0 percent,"43,387","21,364","19,599","14,035","45,898","22,766","3,922"
10.0 to 14.9 percent,"14,242","8,649","7,305","6,780","30,191","8,953","1,636"
15.0 to 19.9 percent,"8,796","5,044","3,291","5,284","17,372","4,911",513
20.0 to 24.9 percent,"5,781","4,211","2,416","2,666","11,075","2,498",342
25.0 to 29.9 percent,"2,687","2,390","1,781","1,781","8,194","2,169",115
30.0 to 34.9 percent,"2,337","1,381","1,633","1,211","5,391",978,111
35.0 percent or more,"7,889","6,054","3,758","3,513","17,258","3,825","1,095"
Not computed,"1,560",501,382,350,"1,604",162,50
GROSS RENT,,,,,,,
Occupied units paying rent,"250,980","117,459","110,703","110,360","384,011","114,961",N
Less than $200,"1,021","2,039","1,690","2,863","5,256","2,027",N
$200 to $299,"5,127","1,240","2,170","2,366","4,224",605,N
$300 to $499,"5,300","1,572","5,175","8,749","17,951","1,707",N
$500 to $749,"13,324","3,953","24,699","36,505","119,461","3,533",N
$750 to $999,"26,134","8,622","43,244","36,308","113,779","7,203",N
"$1,000 to $1,499","90,157","44,756","25,547","18,407","93,761","42,118",N
"$1,500 or more","109,917","55,277","8,178","5,162","29,579","57,768",N
Median (dollars),"1,418","1,466",858,776,836,"1,504","1,574"
No rent paid,"5,300","3,995","2,727","3,941","10,487","2,230",N
GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),,,,,,,
Occupied units paying rent (excluding units where GRAPI cannot be computed),"246,834","115,699","108,871","108,353","374,383","113,436","21,113"
Less than 15.0 percent,"36,283","8,821","11,627","9,995","44,054","15,523","2,531"
15.0 to 19.9 percent,"35,384","14,408","17,253","13,427","47,499","15,889","2,879"
20.0 to 24.9 percent,"29,917","16,713","15,393","13,793","52,580","17,011","3,121"
25.0 to 29.9 percent,"27,507","13,017","14,664","12,307","43,569","14,887","3,144"
30.0 to 34.9 percent,"23,888","12,304","8,336","9,961","33,645","10,229","2,406"
35.0 percent or more,"93,855","50,436","41,598","48,870","153,036","39,897","7,032"
HOUSING OCCUPANCY,,,,,,,
Total housing units,"660,622","389,030","411,470","298,808","985,429","412,082","126,508"
Occupied housing units,"633,786","371,458","382,638","274,187","905,250","392,822","120,559"
Vacant housing units,"26,836","17,572","28,832","24,621","80,179","19,260","5,949"
Homeowner vacancy rate,0.3,0.8,1.4,1.5,1.5,1.3,1.3
Rental vacancy rate,2.8,3.3,4.9,5.1,6.7,3.7,6.1
UNITS IN STRUCTURE,,,,,,,
Total housing units,"660,622","389,030","411,470","298,808","985,429","412,082","126,508"
"1-unit, detached","344,320","183,624","247,182","157,105","535,130","192,677","67,642"
"1-unit, attached","68,877","70,920","40,001","18,516","37,160","92,516","35,497"
2 units,"12,342","1,702","5,877","17,409","14,752","2,415",582
3 or 4 units,"36,548","6,325","12,382","11,484","38,803","7,116","1,659"
5 to 9 units,"36,676","20,646","23,044","20,189","89,248","20,117","4,415"
10 to 19 units,"34,212","39,053","34,120","32,195","101,339","45,875","10,534"
20 or more units,"107,946","66,255","34,126","37,386","152,966","48,982","5,021"
Mobile home,"19,233",505,"14,315","4,278","15,389","2,300",843
"Boat, RV, van, etc.",468,0,423,246,642,84,315
YEAR STRUCTURE BUILT,,,,,,,
Total housing units,"660,622","389,030","411,470","298,808","985,429","412,082","126,508"
Built 2014 or later,"4,593","2,052","5,663","2,285","8,321","1,325","2,350"
Built 2010 to 2013,"16,903","11,036","25,623","8,790","31,065","8,765","12,283"
Built 2000 to 2009,"59,887","42,804","118,048","45,828","132,536","44,774","41,149"
Built 1990 to 1999,"72,811","44,856","99,411","35,319","126,302","65,018","34,186"
Built 1980 to 1989,"82,075","86,534","65,876","46,829","188,496","99,342","15,783"
Built 1970 to 1979,"144,314","64,331","41,105","49,325","184,077","85,782","9,296"
Built 1960 to 1969,"121,400","57,650","26,166","40,301","129,937","55,426","4,223"
Built 1950 to 1959,"99,142","45,195","15,001","35,214","113,287","39,777","3,528"
Built 1940 to 1949,"26,078","17,468","5,790","15,637","36,003","8,268",450
Built 1939 or earlier,"33,419","17,104","8,787","19,280","35,405","3,605","3,260"
ROOMS,,,,,,,
Total housing units,"660,622","389,030","411,470","298,808","985,429","412,082","126,508"
1 room,"23,399","7,604","5,011","6,889","25,563","5,346",908
2 rooms,"32,228","12,297","12,654","8,240","48,990","12,252","1,272"
3 rooms,"77,792","32,696","31,739","31,085","143,707","36,263","6,437"
4 rooms,"123,943","58,451","58,991","60,994","176,828","53,336","10,445"
5 rooms,"110,958","45,320","71,135","59,339","184,608","44,186","14,104"
6 rooms,"114,279","41,242","61,841","48,345","166,280","46,762","20,091"
7 rooms,"77,225","44,100","50,986","34,782","98,645","48,365","14,012"
8 rooms,"51,630","42,869","40,765","18,679","61,966","46,084","12,867"
9 rooms or more,"49,168","104,451","78,348","30,455","78,842","119,488","46,372"
Median rooms,5.2,6.4,5.9,5.2,5,6.7,7.2
BEDROOMS,,,,,,,
Total housing units,"660,622","389,030","411,470","298,808","985,429","412,082","126,508"
No bedroom,"25,712","9,283","5,203","7,220","28,457","6,141",908
1 bedroom,"89,848","44,730","39,063","41,566","189,876","41,049","6,228"
2 bedrooms,"167,213","81,038","89,638","95,853","247,659","86,790","19,880"
3 bedrooms,"203,040","113,340","160,373","112,151","350,288","110,624","39,934"
4 bedrooms,"137,823","92,395","92,208","34,159","142,424","114,261","40,447"
5 or more bedrooms,"36,986","48,244","24,985","7,859","26,725","53,217","19,111"
HOUSING TENURE,,,,,,,
Occupied housing units,"633,786","371,458","382,638","274,187","905,250","392,822","120,559"
Owner-occupied,"355,812","238,791","240,335","149,048","453,122","263,100","94,477"
Renter-occupied,"277,974","132,667","142,303","125,139","452,128","129,722","26,082"
Average household size of owner-occupied unit,3.03,2.86,2.74,2.44,2.97,2.9,3.21
Average household size of renter-occupied unit,2.88,2.63,2.41,2.36,2.6,2.86,2.71
YEAR HOUSEHOLDER MOVED INTO UNIT,,,,,,,
Occupied housing units,"633,786","371,458","382,638","274,187","905,250","392,822","120,559"
Moved in 2015 or later,"45,546","27,651","34,809","25,747","95,456","28,140","7,369"
Moved in 2010 to 2014,"242,363","128,460","160,213","122,899","392,097","140,328","49,870"
Moved in 2000 to 2009,"176,033","109,496","114,797","70,569","222,018","113,944","43,307"
Moved in 1990 to 1999,"78,360","54,305","44,942","27,292","101,649","60,554","14,187"
Moved in 1980 to 1989,"42,625","30,517","14,512","12,229","42,094","29,372","3,991"
Moved in 1979 and earlier,"48,859","21,029","13,365","15,451","51,936","20,484","1,835"
VEHICLES AVAILABLE,,,,,,,
Occupied housing units,"633,786","371,458","382,638","274,187","905,250","392,822","120,559"
No vehicles available,"33,383","30,185","15,601","21,535","66,517","16,775","3,197"
1 vehicle available,"171,566","123,436","116,551","104,138","338,163","118,042","25,801"
2 vehicles available,"255,747","149,340","171,897","106,557","338,343","170,266","57,738"
3 or more vehicles available,"173,090","68,497","78,589","41,957","162,227","87,739","33,823"
HOUSE HEATING FUEL,,,,,,,
Occupied housing units,"633,786","371,458","382,638","274,187","905,250","392,822","120,559"
Utility gas,"400,776","203,386","159,690","87,274","334,423","221,448","72,163"
"Bottled, tank, or LP gas","9,943","4,543","12,879","3,443","7,324","5,243","7,863"
Electricity,"209,637","146,775","206,617","181,038","557,939","156,381","36,254"
"Fuel oil, kerosene, etc.",745,"11,727","1,270",176,793,"7,269","2,440"
Coal or coke,42,0,188,0,70,41,0
Wood,"2,381","1,233",968,740,459,271,"1,325"
Solar energy,"1,846",363,119,51,270,0,73
Other fuel,613,"1,668",370,208,387,627,226
No fuel used,"7,803","1,763",537,"1,257","3,585","1,542",215
SELECTED CHARACTERISTICS,,,,,,,
Occupied housing units,"633,786","371,458","382,638","274,187","905,250","392,822","120,559"
Lacking complete plumbing facilities,"1,536","1,228",982,720,"3,127",924,472
Lacking complete kitchen facilities,"4,950","2,391","1,344","1,944","6,938","1,992",640
No telephone service available,"11,360","12,155","7,061","6,431","20,770","7,918","1,119"
OCCUPANTS PER ROOM,,,,,,,
Occupied housing units,"633,786","371,458","382,638","274,187","905,250","392,822","120,559"
1.00 or less,"582,158","359,948","374,312","265,061","841,259","378,081","118,876"
1.01 to 1.50,"35,504","7,699","5,923","7,070","45,285","10,366","1,284"
1.51 or more,"16,124","3,811","2,403","2,056","18,706","4,375",399
VALUE,,,,,,,
Owner-occupied units,"355,812","238,791","240,335","149,048","453,122","263,100","94,477"
"Less than $50,000","5,050","2,152","7,095","3,068","28,534","2,065","1,348"
"$50,000 to $99,999","5,897","2,454","8,516","13,326","98,022","1,036",875
"$100,000 to $149,999","4,689","5,616","29,227","33,448","107,398","2,571","1,219"
"$150,000 to $199,999","3,031","7,805","41,139","30,174","65,600","4,925","2,497"
"$200,000 to $299,999","5,999","29,242","63,641","28,893","60,145","20,547","8,692"
"$300,000 to $499,999","32,936","81,797","66,367","25,566","49,988","84,344","36,558"
"$500,000 to $999,999","171,844","87,734","21,202","10,739","27,808","125,565","39,994"
"$1,000,000 or more","126,366","21,991","3,148","3,834","15,627","22,047","3,294"
Median (dollars),"836,800","474,900","252,500","188,200","145,800","544,900","477,700"
MORTGAGE STATUS,,,,,,,
Owner-occupied units,"355,812","238,791","240,335","149,048","453,122","263,100","94,477"
Housing units with a mortgage,"253,341","180,372","185,619","105,807","285,006","204,971","81,640"
Housing units without a mortgage,"102,471","58,419","54,716","43,241","168,116","58,129","12,837"
SELECTED MONTHLY OWNER COSTS (SMOC),,,,,,,
Housing units with a mortgage,"253,341","180,372","185,619","105,807","285,006","204,971","81,640"
Less than $500,544,410,"1,129",509,"1,725",343,44
$500 to $999,"5,434","5,509","26,777","25,490","47,513","4,535","2,705"
"$1,000 to $1,499","17,992","21,143","62,036","42,254","104,058","18,583","7,491"
"$1,500 to $1,999","28,305","33,886","45,850","20,245","59,254","34,738","11,057"
"$2,000 to $2,499","40,098","38,955","23,591","8,441","26,869","42,027","17,350"
"$2,500 to $2,999","39,034","25,282","14,230","3,516","17,707","36,599","16,014"
"$3,000 or more","121,934","55,187","12,006","5,352","27,880","68,146","26,979"
Median (dollars),"2,939","2,375","1,528","1,303","1,445","2,531","2,568"
Housing units without a mortgage,"102,471","58,419","54,716","43,241","168,116","58,129","12,837"
Less than $250,"7,153","1,934","3,105","3,607","14,058","1,287",453
$250 to $399,"13,981","3,384","12,376","11,352","33,960","1,927","1,107"
$400 to $599,"20,740","12,257","22,901","15,324","46,932","9,838","2,832"
$600 to $799,"20,316","14,807","9,749","6,327","31,297","15,958","3,101"
$800 to $999,"13,863","9,861","3,833","2,824","16,298","14,686","1,903"
"$1,000 or more","26,418","16,176","2,752","3,807","25,571","14,433","3,441"
Median (dollars),683,757,492,470,552,801,725
SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI),,,,,,,
Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),"252,059","179,932","185,001","105,076","283,641","204,134","81,292"
Less than 20.0 percent,"90,558","80,006","93,836","47,146","118,577","91,350","36,591"
20.0 to 24.9 percent,"39,995","26,948","30,990","15,606","44,766","34,230","15,220"
25.0 to 29.9 percent,"32,906","21,222","20,804","12,241","30,198","24,204","11,235"
30.0 to 34.9 percent,"23,791","13,252","12,005","7,556","19,537","15,206","5,269"
35.0 percent or more,"64,809","38,504","27,366","22,527","70,563","39,144","12,977"
Not computed,"1,282",440,618,731,"1,365",837,348
Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),"101,377","57,532","54,314","42,683","165,867","57,966","12,759"
Less than 10.0 percent,"52,786","31,813","30,054","20,651","66,965","30,056","7,113"
10.0 to 14.9 percent,"16,386","8,492","9,859","7,560","36,817","11,377","1,836"
15.0 to 19.9 percent,"8,621","4,540","5,561","4,751","20,991","5,618",951
20.0 to 24.9 percent,"5,086","3,663","2,434","2,930","12,669","3,280",640
25.0 to 29.9 percent,"3,724","1,926","1,233","2,012","7,635","1,909",447
30.0 to 34.9 percent,"2,695","1,232","1,335","1,414","4,759","1,191",271
35.0 percent or more,"12,079","5,866","3,838","3,365","16,031","4,535","1,501"
Not computed,"1,094",887,402,558,"2,249",163,78
GROSS RENT,,,,,,,
Occupied units paying rent,"270,960","128,949","138,709","122,195","441,672","125,702",N
Less than $500,"9,452","4,648","6,291","14,205","25,104","4,380",N
$500 to $999,"21,455","9,255","64,197","57,748","217,200","5,034",N
"$1,000 to $1,499","49,107","36,949","50,426","37,470","139,629","29,434",N
"$1,500 to $1,999","68,355","43,614","12,975","8,587","42,499","45,471",N
"$2,000 to $2,499","55,231","19,471","3,498","2,554","9,898","23,526",N
"$2,500 to $2,999","35,640","8,504",646,"1,082","3,356","10,651",N
"$3,000 or more","31,720","6,508",676,549,"3,986","7,206",N
Median (dollars),"1,906","1,656",995,924,956,"1,764","1,676"
No rent paid,"7,014","3,718","3,594","2,944","10,456","4,020",N
GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),,,,,,,
Occupied units paying rent (excluding units where GRAPI cannot be computed),"266,656","127,116","137,219","119,060","431,269","124,434","24,551"
Less than 15.0 percent,"37,218","11,780","18,205","14,435","54,202","15,279","2,733"
15.0 to 19.9 percent,"35,608","14,855","21,989","16,453","59,058","17,797","3,287"
20.0 to 24.9 percent,"34,989","17,859","16,865","16,589","61,326","19,440","4,596"
25.0 to 29.9 percent,"32,246","15,691","19,080","16,195","50,867","16,723","2,433"
30.0 to 34.9 percent,"22,037","12,192","14,035","10,841","37,680","12,371","2,075"
35.0 percent or more,"104,558","54,739","47,045","44,547","168,136","42,824","9,427"
HOUSING OCCUPANCY,,,,,,,
Total housing units,"668,896","390,475","441,720","319,739","1,027,813","415,149","136,398"
Occupied housing units,"635,314","372,825","410,552","289,191","945,996","398,653","132,565"
Vacant housing units,"33,582","17,650","31,168","30,548","81,817","16,496","3,833"
Homeowner vacancy rate,0.5,1.1,0.9,1.2,1.2,0.6,0.6
Rental vacancy rate,4.3,4.3,6,7.2,7.8,3.9,3.6
UNITS IN STRUCTURE,,,,,,,
Total housing units,"668,896","390,475","441,720","319,739","1,027,813","415,149","136,398"
"1-unit, detached","346,896","184,802","260,720","166,123","549,045","193,365","71,849"
"1-unit, attached","73,075","71,398","49,020","25,705","37,365","97,667","40,456"
2 units,"9,919","1,683","5,701","12,812","13,963","1,677",794
3 or 4 units,"37,146","5,445","11,036","11,295","42,537","5,275","1,308"
5 to 9 units,"31,292","18,933","23,915","20,840","76,523","20,401","4,217"
10 to 19 units,"34,913","34,466","36,961","29,228","102,185","40,149","8,648"
20 or more units,"115,935","73,102","42,276","48,811","190,331","54,470","8,321"
Mobile home,"19,220",526,"11,977","4,828","15,486","2,001",706
"Boat, RV, van, etc.",500,120,114,97,378,144,99
YEAR STRUCTURE BUILT,,,,,,,
Total housing units,"668,896","390,475","441,720","319,739","1,027,813","415,149","136,398"
Built 2014 or later,"26,715","14,143","40,066","27,320","51,773","10,132","12,927"
Built 2010 to 2013,"16,539","10,983","30,795","9,719","32,874","8,998","12,115"
Built 2000 to 2009,"58,398","40,082","110,044","45,252","124,031","44,901","41,717"
Built 1990 to 1999,"66,674","47,211","99,181","39,310","125,632","65,636","32,897"
Built 1980 to 1989,"80,896","77,592","67,929","48,158","184,054","95,997","14,974"
Built 1970 to 1979,"145,889","61,019","40,694","44,807","183,500","85,707","8,515"
Built 1960 to 1969,"122,102","55,814","24,381","37,958","133,030","56,354","6,019"
Built 1950 to 1959,"95,284","46,546","13,841","33,661","118,003","35,281","2,446"
Built 1940 to 1949,"23,297","19,061","5,138","13,407","38,492","8,447",938
Built 1939 or earlier,"33,102","18,024","9,651","20,147","36,424","3,696","3,850"
ROOMS,,,,,,,
Total housing units,"668,896","390,475","441,720","319,739","1,027,813","415,149","136,398"
1 room,"27,951","8,872","5,366","8,054","30,335","6,675","1,159"
2 rooms,"38,376","13,761","13,519","13,053","60,574","12,104","2,203"
3 rooms,"83,679","37,014","40,184","38,060","151,421","34,683","5,543"
4 rooms,"120,575","52,315","63,778","60,396","180,022","51,811","11,634"
5 rooms,"110,899","44,586","69,574","57,440","182,247","46,457","14,252"
6 rooms,"110,012","46,841","62,149","52,201","168,902","51,647","20,129"
7 rooms,"77,119","42,755","52,489","33,654","103,959","43,936","15,308"
8 rooms,"52,359","42,578","47,401","23,899","67,563","47,465","15,851"
9 rooms or more,"47,926","101,753","87,260","32,982","82,790","120,371","50,319"
Median rooms,5.1,6.3,6,5.2,5,6.6,7.4
BEDROOMS,,,,,,,
Total housing units,"668,896","390,475","441,720","319,739","1,027,813","415,149","136,398"
No bedroom,"29,922","10,139","5,654","8,759","32,387","7,427","1,334"
1 bedroom,"89,858","48,840","44,872","50,429","209,045","43,379","6,641"
2 bedrooms,"166,697","80,985","92,782","93,949","252,232","80,534","19,704"
3 bedrooms,"205,029","108,656","168,832","117,018","350,979","117,759","42,716"
4 bedrooms,"141,829","94,388","97,522","40,378","153,065","109,886","44,341"
5 or more bedrooms,"35,561","47,467","32,058","9,206","30,105","56,164","21,662"
HOUSING TENURE,,,,,,,
Occupied housing units,"635,314","372,825","410,552","289,191","945,996","398,653","132,565"
Owner-occupied,"358,228","244,613","262,278","157,390","476,375","273,428","103,019"
Renter-occupied,"277,086","128,212","148,274","131,801","469,621","125,225","29,546"
Average household size of owner-occupied unit,3.06,2.9,2.74,2.43,2.96,2.9,3.15
Average household size of renter-occupied unit,2.86,2.58,2.37,2.17,2.52,2.78,2.67
YEAR HOUSEHOLDER MOVED INTO UNIT,,,,,,,
Occupied housing units,"635,314","372,825","410,552","289,191","945,996","398,653","132,565"
Moved in 2019 or later,"34,335","17,600","26,902","20,950","66,952","20,039","6,306"
Moved in 2015 to 2018,"175,759","105,428","141,496","107,039","328,897","115,878","40,971"
Moved in 2010 to 2014,"134,612","71,127","86,448","57,648","191,212","74,895","33,141"
Moved in 2000 to 2009,"138,344","87,683","89,836","54,171","186,052","92,674","36,097"
Moved in 1990 to 1999,"72,502","46,998","40,352","25,903","90,182","51,795","10,943"
Moved in 1989 and earlier,"79,762","43,989","25,518","23,480","82,701","43,372","5,107"
VEHICLES AVAILABLE,,,,,,,
Occupied housing units,"635,314","372,825","410,552","289,191","945,996","398,653","132,565"
