label_grouping,loudoun_county_virginiacount,loudoun_county_virginiapercent,data_type
18 years and over,"155,872",72.9%,Decennial_Housing_2020
21 years and over,"148,372",69.4%,Decennial_Housing_2020
62 years and over,"28,832",13.5%,Decennial_Housing_2020
65 years and over,"23,121",10.8%,Decennial_Housing_2020
Both sexes,37.0,(X),Decennial_Housing_2020
Male,36.4,(X),Decennial_Housing_2020
Female,37.6,(X),Decennial_Housing_2020
Total population,"420,959",100.0%,Decennial_Housing_2020
One Race,"376,302",89.4%,Decennial_Housing_2020
White,"225,974",53.7%,Decennial_Housing_2020
Black or African American,"30,568",7.3%,Decennial_Housing_2020
American Indian and Alaska Native,"1,582",0.4%,Decennial_Housing_2020
Asian,"89,779",21.3%,Decennial_Housing_2020
Native Hawaiian and Other Pacific Islander,263,0.1%,Decennial_Housing_2020
Some Other Race,"28,136",6.7%,Decennial_Housing_2020
Two or More Races,"44,657",10.6%,Decennial_Housing_2020
Total races tallied,"468,784",111.4%,Decennial_Housing_2020
White alone or in combination with one or more other races,"267,606",63.6%,Decennial_Housing_2020
Black or African American alone or in combination with one or more other races,"38,065",9.0%,Decennial_Housing_2020
American Indian and Alaska Native alone or in combination with one or more other races,"6,867",1.6%,Decennial_Housing_2020
Asian alone or in combination with one or more other races,"102,090",24.3%,Decennial_Housing_2020
Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races,"1,009",0.2%,Decennial_Housing_2020
Some Other Race alone or in combination with one or more other races,"53,147",12.6%,Decennial_Housing_2020
Total population,"420,959",100.0%,Decennial_Housing_2020
Hispanic or Latino (of any race),"59,744",14.2%,Decennial_Housing_2020
Not Hispanic or Latino,"361,215",85.8%,Decennial_Housing_2020
Total population,"420,959",100.0%,Decennial_Housing_2020
Hispanic or Latino,"59,744",14.2%,Decennial_Housing_2020
White alone,"9,109",2.2%,Decennial_Housing_2020
Black or African American alone,843,0.2%,Decennial_Housing_2020
American Indian and Alaska Native alone,"1,046",0.2%,Decennial_Housing_2020
Asian alone,407,0.1%,Decennial_Housing_2020
Native Hawaiian and Other Pacific Islander alone,36,0.0%,Decennial_Housing_2020
Some Other Race alone,"25,711",6.1%,Decennial_Housing_2020
Two or More Races,"22,592",5.4%,Decennial_Housing_2020
Not Hispanic or Latino,"361,215",85.8%,Decennial_Housing_2020
White alone,"216,865",51.5%,Decennial_Housing_2020
Black or African American alone,"29,725",7.1%,Decennial_Housing_2020
American Indian and Alaska Native alone,536,0.1%,Decennial_Housing_2020
Asian alone,"89,372",21.2%,Decennial_Housing_2020
Native Hawaiian and Other Pacific Islander alone,227,0.1%,Decennial_Housing_2020
Some Other Race alone,"2,425",0.6%,Decennial_Housing_2020
Two or More Races,"22,065",5.2%,Decennial_Housing_2020
Total population,"420,959",100.0%,Decennial_Housing_2020
In households,"419,718",99.7%,Decennial_Housing_2020
Householder,"137,450",32.7%,Decennial_Housing_2020
Opposite-sex spouse,"89,423",21.2%,Decennial_Housing_2020
Same-sex spouse,504,0.1%,Decennial_Housing_2020
Opposite-sex unmarried partner,"5,518",1.3%,Decennial_Housing_2020
Same-sex unmarried partner,271,0.1%,Decennial_Housing_2020
Child [2],"148,967",35.4%,Decennial_Housing_2020
Under 18 years,"111,132",26.4%,Decennial_Housing_2020
Grandchild,"4,182",1.0%,Decennial_Housing_2020
Under 18 years,"3,561",0.8%,Decennial_Housing_2020
Other relatives,"22,446",5.3%,Decennial_Housing_2020
Nonrelatives,"10,957",2.6%,Decennial_Housing_2020
In group quarters,"1,241",0.3%,Decennial_Housing_2020
Institutionalized population:,651,0.2%,Decennial_Housing_2020
Male,195,0.0%,Decennial_Housing_2020
Female,456,0.1%,Decennial_Housing_2020
Noninstitutionalized population:,590,0.1%,Decennial_Housing_2020
Male,300,0.1%,Decennial_Housing_2020
Female,290,0.1%,Decennial_Housing_2020
Total households,"137,442",100.0%,Decennial_Housing_2020
Married couple household,"89,950",65.4%,Decennial_Housing_2020
With own children under 18 [3],"50,686",36.9%,Decennial_Housing_2020
Cohabiting couple household,"5,787",4.2%,Decennial_Housing_2020
With own children under 18 [3],"1,834",1.3%,Decennial_Housing_2020
"Male householder, no spouse or partner present:","16,387",11.9%,Decennial_Housing_2020
Living alone,"9,855",7.2%,Decennial_Housing_2020
65 years and over,"2,154",1.6%,Decennial_Housing_2020
With own children under 18 [3],"2,257",1.6%,Decennial_Housing_2020
"Female householder, no spouse or partner present:","25,318",18.4%,Decennial_Housing_2020
Living alone,"13,167",9.6%,Decennial_Housing_2020
65 years and over,"5,840",4.2%,Decennial_Housing_2020
With own children under 18 [3],"5,493",4.0%,Decennial_Housing_2020
Households with individuals under 18 years,"63,522",46.2%,Decennial_Housing_2020
Households with individuals 65 years and over,"28,893",21.0%,Decennial_Housing_2020
Total housing units,"142,074",100.0%,Decennial_Housing_2020
Occupied housing units,"137,442",96.7%,Decennial_Housing_2020
Vacant housing units,"4,632",3.3%,Decennial_Housing_2020
For rent,"1,938",1.4%,Decennial_Housing_2020
"Rented, not occupied",141,0.1%,Decennial_Housing_2020
For sale only,749,0.5%,Decennial_Housing_2020
"Sold, not occupied",318,0.2%,Decennial_Housing_2020
"For seasonal, recreational, or occasional use",651,0.5%,Decennial_Housing_2020
All other vacants,835,0.6%,Decennial_Housing_2020
Homeowner vacancy rate (percent) [4],0.7,(X),Decennial_Housing_2020
Rental vacancy rate (percent) [5],5.6,(X),Decennial_Housing_2020
Occupied housing units,"137,442",100.0%,Decennial_Housing_2020
Owner-occupied housing units,"105,060",76.4%,Decennial_Housing_2020
Renter-occupied housing units,"32,382",23.6%,Decennial_Housing_2020
