label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiamargin_of_error,santa_clara_county_californiapercent,santa_clara_county_californiapercent_margin_of_error,montgomery_county_marylandestimate,montgomery_county_marylandmargin_of_error,montgomery_county_marylandpercent,montgomery_county_marylandpercent_margin_of_error,wake_county_north_carolinaestimate,wake_county_north_carolinamargin_of_error,wake_county_north_carolinapercent,wake_county_north_carolinapercent_margin_of_error,davidson_county_tennesseeestimate,davidson_county_tennesseemargin_of_error,davidson_county_tennesseepercent,davidson_county_tennesseepercent_margin_of_error,dallas_county_texasestimate,dallas_county_texasmargin_of_error,dallas_county_texaspercent,dallas_county_texaspercent_margin_of_error,fairfax_county_virginiaestimate,fairfax_county_virginiamargin_of_error,fairfax_county_virginiapercent,fairfax_county_virginiapercent_margin_of_error,loudoun_county_virginiaestimate,loudoun_county_virginiamargin_of_error,loudoun_county_virginiapercent,loudoun_county_virginiapercent_margin_of_error,data_type
Electricity,"244,417","±6,278",36.7%,±0.9,"164,798","±6,094",42.0%,±1.5,"263,761","±7,031",54.8%,±1.3,"230,138","±6,795",67.4%,±1.9,"615,644","±9,118",62.0%,±0.8,"176,144","±4,837",42.4%,±1.2,"45,498","±3,009",31.2%,±2.0,2023_housing_characteristics
"Fuel oil, kerosene, etc.",528,±327,0.1%,±0.1,"8,851","±1,425",2.3%,±0.4,770,±456,0.2%,±0.1,402,±406,0.1%,±0.1,424,±273,0.0%,±0.1,"3,540",±762,0.9%,±0.2,"1,734",±697,1.2%,±0.5,2023_housing_characteristics
Coal or coke,40,±66,0.0%,±0.1,155,±191,0.0%,±0.1,0,±222,0.0%,±0.1,0,±226,0.0%,±0.1,0,±236,0.0%,±0.1,111,±131,0.0%,±0.1,0,±216,0.0%,±0.1,2023_housing_characteristics
Wood,"1,004",±443,0.2%,±0.1,745,±416,0.2%,±0.1,654,±556,0.1%,±0.1,277,±331,0.1%,±0.1,425,±405,0.0%,±0.1,331,±214,0.1%,±0.1,513,±379,0.4%,±0.3,2023_housing_characteristics
Solar energy,"6,558","±1,306",1.0%,±0.2,"1,219",±494,0.3%,±0.1,"1,186",±839,0.2%,±0.2,327,±377,0.1%,±0.1,"2,532",±966,0.3%,±0.1,272,±202,0.1%,±0.1,188,±235,0.1%,±0.2,2023_housing_characteristics
Other fuel,"1,137",±479,0.2%,±0.1,464,±301,0.1%,±0.1,671,±643,0.1%,±0.1,"1,053",±874,0.3%,±0.3,"1,392",±763,0.1%,±0.1,"2,014",±871,0.5%,±0.2,243,±229,0.2%,±0.2,2023_housing_characteristics
No fuel used,"11,798","±2,371",1.8%,±0.4,"2,702",±930,0.7%,±0.2,"1,434",±662,0.3%,±0.1,"2,931","±1,468",0.9%,±0.4,"6,410","±1,723",0.6%,±0.2,"1,789",±824,0.4%,±0.2,312,±356,0.2%,±0.2,2023_housing_characteristics
Occupied housing units,"665,549","±3,723","665,549",(X),"392,629","±2,507","392,629",(X),"481,294","±4,227","481,294",(X),"341,597","±3,999","341,597",(X),"993,312","±5,968","993,312",(X),"414,946","±2,811","414,946",(X),"145,601","±1,354","145,601",(X),2023_housing_characteristics
Lacking complete plumbing facilities,"4,007","±1,167",0.6%,±0.2,780,±396,0.2%,±0.1,197,±172,0.0%,±0.1,751,±537,0.2%,±0.2,"4,311","±1,561",0.4%,±0.2,866,±548,0.2%,±0.1,216,±245,0.1%,±0.2,2023_housing_characteristics
Lacking complete kitchen facilities,"7,697","±1,443",1.2%,±0.2,"1,738",±664,0.4%,±0.2,"2,245",±940,0.5%,±0.2,"2,683","±1,174",0.8%,±0.3,"9,679","±2,293",1.0%,±0.2,"1,570",±812,0.4%,±0.2,814,±440,0.6%,±0.3,2023_housing_characteristics
No telephone service available,"7,409","±1,678",1.1%,±0.3,"2,588","±1,068",0.7%,±0.3,"1,343",±827,0.3%,±0.2,"1,930","±1,023",0.6%,±0.3,"8,457","±2,194",0.9%,±0.2,"2,435",±862,0.6%,±0.2,702,±567,0.5%,±0.4,2023_housing_characteristics
Occupied housing units,"665,549","±3,723","665,549",(X),"392,629","±2,507","392,629",(X),"481,294","±4,227","481,294",(X),"341,597","±3,999","341,597",(X),"993,312","±5,968","993,312",(X),"414,946","±2,811","414,946",(X),"145,601","±1,354","145,601",(X),2023_housing_characteristics
1.00 or less,"616,408","±5,433",92.6%,±0.6,"380,206","±3,149",96.8%,±0.5,"472,468","±4,600",98.2%,±0.5,"329,124","±4,783",96.3%,±0.8,"928,631","±8,317",93.5%,±0.6,"399,390","±4,011",96.3%,±0.7,"143,168","±1,385",98.3%,±0.5,2023_housing_characteristics
1.01 to 1.50,"25,793","±2,764",3.9%,±0.4,"8,449","±1,700",2.2%,±0.4,"5,872","±1,827",1.2%,±0.4,"7,848","±2,246",2.3%,±0.7,"42,968","±4,499",4.3%,±0.5,"8,966","±2,148",2.2%,±0.5,"1,705",±655,1.2%,±0.4,2023_housing_characteristics
1.51 or more,"23,348","±2,950",3.5%,±0.4,"3,974","±1,263",1.0%,±0.3,"2,954","±1,322",0.6%,±0.3,"4,625","±1,525",1.4%,±0.4,"21,713","±3,608",2.2%,±0.4,"6,590","±1,567",1.6%,±0.4,728,±420,0.5%,±0.3,2023_housing_characteristics
Owner-occupied units,"360,190","±5,723","360,190",(X),"252,963","±4,412","252,963",(X),"307,341","±5,811","307,341",(X),"180,349","±6,145","180,349",(X),"499,830","±7,833","499,830",(X),"280,307","±4,684","280,307",(X),"113,560","±2,790","113,560",(X),2023_housing_characteristics
"Less than $50,000","5,404","±1,226",1.5%,±0.3,"4,342","±1,160",1.7%,±0.5,"6,941","±1,537",2.3%,±0.5,"2,620","±1,105",1.5%,±0.6,"18,841","±2,745",3.8%,±0.5,"3,281",±862,1.2%,±0.3,"1,535",±647,1.4%,±0.6,2023_housing_characteristics
"$50,000 to $99,999","2,613",±753,0.7%,±0.2,"1,575",±606,0.6%,±0.2,"2,757",±955,0.9%,±0.3,"2,163",±739,1.2%,±0.4,"12,859","±2,014",2.6%,±0.4,"2,094",±708,0.7%,±0.3,444,±431,0.4%,±0.4,2023_housing_characteristics
"$100,000 to $149,999","4,490","±1,078",1.2%,±0.3,"1,779",±718,0.7%,±0.3,"3,928","±1,332",1.3%,±0.4,"2,530","±1,222",1.4%,±0.7,"25,278","±2,584",5.1%,±0.5,"1,148",±677,0.4%,±0.2,651,±416,0.6%,±0.4,2023_housing_characteristics
"$150,000 to $199,999","3,426",±943,1.0%,±0.3,"3,929",±971,1.6%,±0.4,"7,665","±1,691",2.5%,±0.6,"5,035","±1,590",2.8%,±0.9,"39,444","±3,728",7.9%,±0.8,"2,286",±920,0.8%,±0.3,201,±225,0.2%,±0.2,2023_housing_characteristics
"$200,000 to $299,999","6,816","±1,494",1.9%,±0.4,"15,142","±2,189",6.0%,±0.9,"31,951","±3,395",10.4%,±1.1,"27,261","±3,155",15.1%,±1.7,"134,150","±6,086",26.8%,±1.2,"9,589","±1,581",3.4%,±0.6,"1,976",±699,1.7%,±0.6,2023_housing_characteristics
"$300,000 to $499,999","9,244","±1,450",2.6%,±0.4,"57,675","±3,787",22.8%,±1.3,"110,895","±4,813",36.1%,±1.4,"71,727","±5,168",39.8%,±2.2,"153,070","±6,435",30.6%,±1.2,"43,519","±3,138",15.5%,±1.1,"15,151","±1,661",13.3%,±1.4,2023_housing_characteristics
