label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiaestimate_margin_of_error,santa_clara_county_californiapercent,santa_clara_county_californiapercent_margin_of_error,montgomery_county_marylandestimate,montgomery_county_marylandestimate_margin_of_error,montgomery_county_marylandpercent,montgomery_county_marylandpercent_margin_of_error,wake_county_north_carolinaestimate,wake_county_north_carolinaestimate_margin_of_error,wake_county_north_carolinapercent,wake_county_north_carolinapercent_margin_of_error,davidson_county_tennesseeestimate,davidson_county_tennesseeestimate_margin_of_error,davidson_county_tennesseepercent,davidson_county_tennesseepercent_margin_of_error,dallas_county_texasestimate,dallas_county_texasestimate_margin_of_error,dallas_county_texaspercent,dallas_county_texaspercent_margin_of_error,fairfax_county_virginiaestimate,fairfax_county_virginiaestimate_margin_of_error,fairfax_county_virginiapercent,fairfax_county_virginiapercent_margin_of_error,loudoun_county_virginiaestimate,loudoun_county_virginiaestimate_margin_of_error,loudoun_county_virginiapercent,loudoun_county_virginiapercent_margin_of_error,data_type
Built 1939 or earlier,"34,076","±2,876",5.4%,±0.5,"16,602","±1,566",4.4%,±0.4,"7,833","±1,344",2.1%,±0.4,"21,550","±2,256",7.6%,±0.8,"37,086","±2,452",3.9%,±0.3,"4,751","±1,068",1.2%,±0.3,"4,242",±940,3.9%,±0.9,2010_housing_characteristics
Total housing units,"631,955","±1,523","631,955",(X),"376,023",±835,"376,023",(X),"372,737","±2,035","372,737",(X),"284,263","±2,313","284,263",(X),"943,876","±1,548","943,876",(X),"408,079","±1,185","408,079",(X),"109,955",±750,"109,955",(X),2010_housing_characteristics
1 room,"18,306","±2,584",2.9%,±0.4,"3,706","±1,178",1.0%,±0.3,"4,268","±1,314",1.1%,±0.4,"5,392","±1,507",1.9%,±0.5,"19,263","±2,480",2.0%,±0.3,"3,789","±1,488",0.9%,±0.4,542,±367,0.5%,±0.3,2010_housing_characteristics
2 rooms,"25,842","±2,957",4.1%,±0.5,"9,152","±1,500",2.4%,±0.4,"7,586","±1,512",2.0%,±0.4,"5,177","±1,345",1.8%,±0.5,"24,263","±2,346",2.6%,±0.2,"10,861","±2,057",2.7%,±0.5,"2,242",±911,2.0%,±0.8,2010_housing_characteristics
3 rooms,"77,744","±3,958",12.3%,±0.6,"38,608","±3,352",10.3%,±0.9,"29,642","±2,534",8.0%,±0.7,"29,784","±2,962",10.5%,±1.1,"144,418","±5,643",15.3%,±0.6,"35,148","±2,979",8.6%,±0.7,"6,061","±1,454",5.5%,±1.3,2010_housing_characteristics
4 rooms,"122,207","±4,945",19.3%,±0.8,"52,457","±3,567",14.0%,±0.9,"59,866","±3,699",16.1%,±1.0,"60,109","±3,782",21.1%,±1.3,"171,198","±7,044",18.1%,±0.7,"47,614","±3,731",11.7%,±0.9,"8,816","±1,521",8.0%,±1.4,2010_housing_characteristics
5 rooms,"113,419","±3,777",17.9%,±0.6,"44,566","±3,571",11.9%,±1.0,"62,916","±3,425",16.9%,±0.9,"57,996","±3,244",20.4%,±1.1,"179,302","±5,663",19.0%,±0.6,"48,017","±3,309",11.8%,±0.8,"11,011","±1,679",10.0%,±1.5,2010_housing_characteristics
6 rooms,"108,419","±4,371",17.2%,±0.7,"45,991","±3,728",12.2%,±1.0,"58,007","±3,576",15.6%,±1.0,"47,588","±3,386",16.7%,±1.2,"175,025","±5,847",18.5%,±0.6,"48,910","±3,377",12.0%,±0.8,"14,520","±1,801",13.2%,±1.6,2010_housing_characteristics
7 rooms,"77,656","±3,523",12.3%,±0.6,"41,434","±3,414",11.0%,±0.9,"47,210","±3,102",12.7%,±0.8,"30,591","±2,480",10.8%,±0.9,"94,425","±4,933",10.0%,±0.5,"51,323","±3,654",12.6%,±0.9,"14,075","±2,063",12.8%,±1.9,2010_housing_characteristics
8 rooms,"46,464","±2,786",7.4%,±0.4,"41,895","±2,762",11.1%,±0.7,"38,393","±2,491",10.3%,±0.7,"20,116","±2,197",7.1%,±0.8,"63,907","±3,577",6.8%,±0.4,"51,650","±3,407",12.7%,±0.8,"13,647","±1,745",12.4%,±1.6,2010_housing_characteristics
9 rooms or more,"41,898","±2,745",6.6%,±0.4,"98,214","±3,690",26.1%,±1.0,"64,849","±3,322",17.4%,±0.9,"27,510","±2,514",9.7%,±0.9,"72,075","±3,298",7.6%,±0.4,"110,767","±4,014",27.1%,±1.0,"39,041","±1,960",35.5%,±1.8,2010_housing_characteristics
Median rooms,5.1,±0.1,(X),(X),6.4,±0.2,(X),(X),5.9,±0.1,(X),(X),5.2,±0.1,(X),(X),5.1,±0.1,(X),(X),6.7,±0.1,(X),(X),7.3,±0.2,(X),(X),2010_housing_characteristics
Total housing units,"631,955","±1,523","631,955",(X),"376,023",±835,"376,023",(X),"372,737","±2,035","372,737",(X),"284,263","±2,313","284,263",(X),"943,876","±1,548","943,876",(X),"408,079","±1,185","408,079",(X),"109,955",±750,"109,955",(X),2010_housing_characteristics
No bedroom,"19,944","±2,538",3.2%,±0.4,"5,120","±1,354",1.4%,±0.4,"4,653","±1,353",1.2%,±0.4,"5,775","±1,493",2.0%,±0.5,"20,487","±2,505",2.2%,±0.3,"4,246","±1,472",1.0%,±0.4,542,±367,0.5%,±0.3,2010_housing_characteristics
1 bedroom,"89,100","±4,517",14.1%,±0.7,"49,696","±3,208",13.2%,±0.9,"34,341","±2,971",9.2%,±0.8,"39,814","±3,319",14.0%,±1.2,"186,362","±6,376",19.7%,±0.7,"42,267","±3,189",10.4%,±0.8,"6,220","±1,289",5.7%,±1.2,2010_housing_characteristics
2 bedrooms,"162,836","±5,849",25.8%,±0.9,"78,255","±3,572",20.8%,±0.9,"85,233","±4,020",22.9%,±1.1,"93,739","±4,182",33.0%,±1.4,"238,204","±6,745",25.2%,±0.7,"79,897","±4,301",19.6%,±1.1,"16,016","±2,004",14.6%,±1.8,2010_housing_characteristics
3 bedrooms,"202,224","±5,363",32.0%,±0.8,"107,770","±4,392",28.7%,±1.2,"148,674","±5,033",39.9%,±1.4,"104,886","±4,146",36.9%,±1.4,"339,555","±7,415",36.0%,±0.8,"118,271","±5,025",29.0%,±1.2,"35,770","±2,360",32.5%,±2.1,2010_housing_characteristics
4 bedrooms,"122,330","±4,039",19.4%,±0.6,"88,870","±3,818",23.6%,±1.0,"79,473","±4,474",21.3%,±1.2,"32,134","±2,537",11.3%,±0.9,"136,071","±5,644",14.4%,±0.6,"112,261","±4,525",27.5%,±1.1,"36,834","±2,607",33.5%,±2.4,2010_housing_characteristics
5 or more bedrooms,"35,521","±3,033",5.6%,±0.5,"46,312","±3,050",12.3%,±0.8,"20,363","±1,873",5.5%,±0.5,"7,915","±1,595",2.8%,±0.6,"23,197","±2,202",2.5%,±0.2,"51,137","±3,068",12.5%,±0.7,"14,573","±1,607",13.3%,±1.5,2010_housing_characteristics
Occupied housing units,"599,235","±3,770","599,235",(X),"359,476","±2,836","359,476",(X),"338,054","±3,843","338,054",(X),"249,899","±3,777","249,899",(X),"843,416","±4,626","843,416",(X),"389,415","±3,502","389,415",(X),"102,979","±2,217","102,979",(X),2010_housing_characteristics
Owner-occupied,"342,955","±4,963",57.2%,±0.8,"238,022","±4,307",66.2%,±1.1,"224,624","±3,870",66.4%,±1.0,"135,598","±3,957",54.3%,±1.4,"448,918","±6,552",53.2%,±0.8,"272,224","±4,427",69.9%,±1.0,"80,627","±2,460",78.3%,±1.9,2010_housing_characteristics
Renter-occupied,"256,280","±5,605",42.8%,±0.8,"121,454","±4,093",33.8%,±1.1,"113,430","±3,980",33.6%,±1.0,"114,301","±3,985",45.7%,±1.4,"394,498","±7,447",46.8%,±0.8,"117,191","±4,345",30.1%,±1.0,"22,352","±2,125",21.7%,±1.9,2010_housing_characteristics
Average household size of owner-occupied unit,3.01,±0.04,(X),(X),2.84,±0.04,(X),(X),2.75,±0.04,(X),(X),2.49,±0.06,(X),(X),2.93,±0.04,(X),(X),2.81,±0.04,(X),(X),3.16,±0.07,(X),(X),2010_housing_characteristics
Average household size of renter-occupied unit,2.86,±0.04,(X),(X),2.42,±0.07,(X),(X),2.37,±0.07,(X),(X),2.31,±0.06,(X),(X),2.60,±0.04,(X),(X),2.65,±0.08,(X),(X),2.63,±0.16,(X),(X),2010_housing_characteristics
Occupied housing units,"599,235","±3,770","599,235",(X),"359,476","±2,836","359,476",(X),"338,054","±3,843","338,054",(X),"249,899","±3,777","249,899",(X),"843,416","±4,626","843,416",(X),"389,415","±3,502","389,415",(X),"102,979","±2,217","102,979",(X),2010_housing_characteristics
Moved in 2005 or later,"282,245","±5,474",47.1%,±0.8,"156,028","±4,679",43.4%,±1.2,"190,593","±4,518",56.4%,±1.0,"143,820","±4,224",57.6%,±1.4,"465,673","±7,142",55.2%,±0.7,"172,989","±5,618",44.4%,±1.3,"57,823","±2,733",56.2%,±2.3,2010_housing_characteristics
Moved in 2000 to 2004,"101,772","±4,622",17.0%,±0.8,"66,425","±3,669",18.5%,±1.0,"61,962","±3,270",18.3%,±1.0,"35,713","±2,785",14.3%,±1.1,"132,991","±5,345",15.8%,±0.6,"77,495","±3,834",19.9%,±1.0,"22,948","±2,015",22.3%,±2.0,2010_housing_characteristics
Moved in 1990 to 1999,"101,476","±4,264",16.9%,±0.7,"68,551","±3,264",19.1%,±0.9,"51,726","±2,727",15.3%,±0.8,"35,918","±2,782",14.4%,±1.1,"128,011","±5,166",15.2%,±0.6,"73,445","±3,998",18.9%,±1.0,"15,679","±1,583",15.2%,±1.5,2010_housing_characteristics
Moved in 1980 to 1989,"50,775","±2,999",8.5%,±0.5,"37,132","±2,631",10.3%,±0.7,"17,772","±1,557",5.3%,±0.5,"14,614","±1,865",5.8%,±0.8,"52,437","±3,079",6.2%,±0.4,"38,816","±2,200",10.0%,±0.6,"4,286",±987,4.2%,±1.0,2010_housing_characteristics
Moved in 1970 to 1979,"35,403","±2,408",5.9%,±0.4,"17,853","±1,563",5.0%,±0.4,"10,232","±1,213",3.0%,±0.4,"10,609","±1,301",4.2%,±0.5,"36,573","±2,644",4.3%,±0.3,"17,110","±1,651",4.4%,±0.4,"1,553",±547,1.5%,±0.5,2010_housing_characteristics
Moved in 1969 or earlier,"27,564","±1,921",4.6%,±0.3,"13,487","±1,255",3.8%,±0.3,"5,769","±1,073",1.7%,±0.3,"9,225","±1,208",3.7%,±0.5,"27,731","±1,986",3.3%,±0.2,"9,560","±1,056",2.5%,±0.3,690,±323,0.7%,±0.3,2010_housing_characteristics
Occupied housing units,"599,235","±3,770","599,235",(X),"359,476","±2,836","359,476",(X),"338,054","±3,843","338,054",(X),"249,899","±3,777","249,899",(X),"843,416","±4,626","843,416",(X),"389,415","±3,502","389,415",(X),"102,979","±2,217","102,979",(X),2010_housing_characteristics
No vehicles available,"31,267","±2,142",5.2%,±0.3,"29,180","±2,723",8.1%,±0.8,"15,887","±1,892",4.7%,±0.6,"20,302","±1,997",8.1%,±0.8,"57,890","±3,667",6.9%,±0.4,"15,531","±2,125",4.0%,±0.5,"2,944",±915,2.9%,±0.9,2010_housing_characteristics
1 vehicle available,"168,953","±5,440",28.2%,±0.9,"117,835","±4,895",32.8%,±1.3,"110,880","±4,566",32.8%,±1.4,"101,683","±4,184",40.7%,±1.5,"335,530","±6,361",39.8%,±0.7,"116,197","±4,302",29.8%,±1.1,"21,776","±2,476",21.1%,±2.2,2010_housing_characteristics
2 vehicles available,"249,590","±6,964",41.7%,±1.1,"141,797","±4,297",39.4%,±1.2,"144,133","±5,393",42.6%,±1.4,"90,348","±4,278",36.2%,±1.6,"314,965","±7,220",37.3%,±0.8,"168,487","±5,072",43.3%,±1.2,"50,520","±2,257",49.1%,±2.2,2010_housing_characteristics
3 or more vehicles available,"149,425","±5,973",24.9%,±1.0,"70,664","±3,898",19.7%,±1.1,"67,154","±3,794",19.9%,±1.1,"37,566","±2,710",15.0%,±1.1,"135,031","±6,100",16.0%,±0.7,"89,200","±4,115",22.9%,±1.0,"27,739","±2,121",26.9%,±2.0,2010_housing_characteristics
Occupied housing units,"599,235","±3,770","599,235",(X),"359,476","±2,836","359,476",(X),"338,054","±3,843","338,054",(X),"249,899","±3,777","249,899",(X),"843,416","±4,626","843,416",(X),"389,415","±3,502","389,415",(X),"102,979","±2,217","102,979",(X),2010_housing_characteristics
Utility gas,"401,603","±5,475",67.0%,±0.8,"204,759","±4,708",57.0%,±1.2,"147,026","±4,391",43.5%,±1.3,"85,865","±3,289",34.4%,±1.2,"326,318","±6,862",38.7%,±0.8,"226,402","±5,496",58.1%,±1.3,"63,069","±2,565",61.2%,±2.2,2010_housing_characteristics
"Bottled, tank, or LP gas","8,862","±1,190",1.5%,±0.2,"2,816",±683,0.8%,±0.2,"16,502","±1,953",4.9%,±0.6,"3,090",±729,1.2%,±0.3,"5,117","±1,041",0.6%,±0.1,"5,065","±1,061",1.3%,±0.3,"5,739","±1,152",5.6%,±1.1,2010_housing_characteristics
Electricity,"178,541","±5,382",29.8%,±0.9,"136,695","±4,268",38.0%,±1.2,"171,229","±5,649",50.7%,±1.4,"159,045","±3,716",63.6%,±1.2,"509,682","±7,729",60.4%,±0.8,"145,688","±4,963",37.4%,±1.2,"28,775","±2,317",27.9%,±2.1,2010_housing_characteristics
"Fuel oil, kerosene, etc.",462,±269,0.1%,±0.1,"13,888","±1,788",3.9%,±0.5,"1,575",±600,0.5%,±0.2,380,±247,0.2%,±0.1,174,±203,0.0%,±0.1,"10,387","±1,655",2.7%,±0.4,"3,816",±965,3.7%,±0.9,2010_housing_characteristics
Coal or coke,0,±294,0.0%,±0.1,0,±289,0.0%,±0.1,0,±289,0.0%,±0.1,0,±287,0.0%,±0.1,0,±294,0.0%,±0.1,0,±287,0.0%,±0.1,0,±287,0.0%,±0.2,2010_housing_characteristics
Wood,"1,887",±625,0.3%,±0.1,412,±245,0.1%,±0.1,"1,091",±573,0.3%,±0.2,674,±377,0.3%,±0.2,417,±365,0.0%,±0.1,613,±290,0.2%,±0.1,"1,070",±510,1.0%,±0.5,2010_housing_characteristics
Solar energy,850,±370,0.1%,±0.1,0,±289,0.0%,±0.1,0,±289,0.0%,±0.1,61,±100,0.0%,±0.1,44,±72,0.0%,±0.1,0,±287,0.0%,±0.1,61,±102,0.1%,±0.1,2010_housing_characteristics
Other fuel,"1,238",±577,0.2%,±0.1,427,±289,0.1%,±0.1,132,±156,0.0%,±0.1,223,±161,0.1%,±0.1,258,±194,0.0%,±0.1,514,±289,0.1%,±0.1,223,±211,0.2%,±0.2,2010_housing_characteristics
No fuel used,"5,792","±1,262",1.0%,±0.2,479,±298,0.1%,±0.1,499,±269,0.1%,±0.1,561,±273,0.2%,±0.1,"1,406",±470,0.2%,±0.1,746,±380,0.2%,±0.1,226,±208,0.2%,±0.2,2010_housing_characteristics
Occupied housing units,"599,235","±3,770","599,235",(X),"359,476","±2,836","359,476",(X),"338,054","±3,843","338,054",(X),"249,899","±3,777","249,899",(X),"843,416","±4,626","843,416",(X),"389,415","±3,502","389,415",(X),"102,979","±2,217","102,979",(X),2010_housing_characteristics
Lacking complete plumbing facilities,"3,645","±1,269",0.6%,±0.2,"1,527",±830,0.4%,±0.2,776,±487,0.2%,±0.1,189,±184,0.1%,±0.1,"4,247","±1,158",0.5%,±0.1,"1,590",±938,0.4%,±0.2,548,±447,0.5%,±0.4,2010_housing_characteristics
Lacking complete kitchen facilities,"6,765","±1,368",1.1%,±0.2,"2,955",±898,0.8%,±0.2,"1,703",±591,0.5%,±0.2,"1,028",±405,0.4%,±0.2,"7,170","±1,299",0.9%,±0.2,"2,292","±1,027",0.6%,±0.3,757,±477,0.7%,±0.5,2010_housing_characteristics
No telephone service available,"10,027","±1,634",1.7%,±0.3,"5,286","±1,022",1.5%,±0.3,"6,511","±1,280",1.9%,±0.4,"4,920","±1,010",2.0%,±0.4,"17,779","±2,310",2.1%,±0.3,"4,533","±1,139",1.2%,±0.3,894,±496,0.9%,±0.5,2010_housing_characteristics
Occupied housing units,"599,235","±3,770","599,235",(X),"359,476","±2,836","359,476",(X),"338,054","±3,843","338,054",(X),"249,899","±3,777","249,899",(X),"843,416","±4,626","843,416",(X),"389,415","±3,502","389,415",(X),"102,979","±2,217","102,979",(X),2010_housing_characteristics
1.00 or less,"551,916","±4,276",92.1%,±0.5,"350,327","±3,061",97.5%,±0.5,"330,284","±4,125",97.7%,±0.5,"243,125","±3,977",97.3%,±0.5,"783,874","±5,418",92.9%,±0.5,"377,798","±3,709",97.0%,±0.4,"101,545","±2,359",98.6%,±0.7,2010_housing_characteristics
1.01 to 1.50,"32,292","±3,177",5.4%,±0.5,"6,763","±1,435",1.9%,±0.4,"6,206","±1,382",1.8%,±0.4,"4,225","±1,156",1.7%,±0.5,"42,260","±3,777",5.0%,±0.4,"8,054","±1,607",2.1%,±0.4,"1,265",±631,1.2%,±0.6,2010_housing_characteristics
1.51 or more,"15,027","±2,309",2.5%,±0.4,"2,386",±803,0.7%,±0.2,"1,564",±784,0.5%,±0.2,"2,549",±693,1.0%,±0.3,"17,282","±2,272",2.0%,±0.3,"3,563","±1,167",0.9%,±0.3,169,±197,0.2%,±0.2,2010_housing_characteristics
Owner-occupied units,"342,955","±4,963","342,955",(X),"238,022","±4,307","238,022",(X),"224,624","±3,870","224,624",(X),"135,598","±3,957","135,598",(X),"448,918","±6,552","448,918",(X),"272,224","±4,427","272,224",(X),"80,627","±2,460","80,627",(X),2010_housing_characteristics
"Less than $50,000","7,522","±1,182",2.2%,±0.3,"1,800",±548,0.8%,±0.2,"6,275","±1,561",2.8%,±0.7,"3,506",±828,2.6%,±0.6,"30,301","±2,659",6.7%,±0.6,"2,668",±841,1.0%,±0.3,"1,071",±568,1.3%,±0.7,2010_housing_characteristics
"$50,000 to $99,999","9,155","±1,427",2.7%,±0.4,"2,240",±730,0.9%,±0.3,"8,192","±1,270",3.6%,±0.6,"13,382","±1,769",9.9%,±1.2,"113,327","±5,053",25.2%,±1.0,"3,103",±896,1.1%,±0.3,906,±544,1.1%,±0.7,2010_housing_characteristics
"$100,000 to $149,999","4,362",±878,1.3%,±0.3,"4,056",±869,1.7%,±0.4,"33,656","±2,891",15.0%,±1.2,"35,378","±2,534",26.1%,±1.7,"119,343","±5,533",26.6%,±1.1,"6,579","±1,311",2.4%,±0.5,"2,096",±623,2.6%,±0.7,2010_housing_characteristics
"$150,000 to $199,999","5,612","±1,190",1.6%,±0.3,"9,939","±1,612",4.2%,±0.7,"41,619","±3,057",18.5%,±1.4,"31,388","±2,244",23.1%,±1.5,"63,981","±4,044",14.3%,±0.9,"8,558","±1,339",3.1%,±0.5,"2,166",±722,2.7%,±0.9,2010_housing_characteristics
"$200,000 to $299,999","16,502","±2,029",4.8%,±0.6,"33,032","±2,835",13.9%,±1.1,"61,025","±3,553",27.2%,±1.5,"24,836","±2,007",18.3%,±1.4,"57,315","±3,352",12.8%,±0.8,"35,628","±2,958",13.1%,±1.0,"10,526","±1,535",13.1%,±1.9,2010_housing_characteristics
"$300,000 to $499,999","70,855","±4,015",20.7%,±1.1,"88,356","±3,790",37.1%,±1.4,"53,938","±2,949",24.0%,±1.3,"18,281","±1,474",13.5%,±1.1,"37,670","±2,201",8.4%,±0.5,"97,281","±4,396",35.7%,±1.5,"30,871","±2,354",38.3%,±2.6,2010_housing_characteristics
"$500,000 to $999,999","161,903","±4,450",47.2%,±1.2,"79,150","±3,088",33.3%,±1.3,"17,272","±2,006",7.7%,±0.9,"5,935",±760,4.4%,±0.6,"19,241","±1,920",4.3%,±0.4,"103,781","±3,276",38.1%,±1.2,"30,258","±2,051",37.5%,±2.5,2010_housing_characteristics
