Label (Grouping),"Santa Clara County, California!!Total!!Estimate","Santa Clara County, California!!Male!!Estimate","Santa Clara County, California!!Female!!Estimate","Santa Clara County, California!!Median earnings (dollars)!!Estimate","Santa Clara County, California!!Median earnings (dollars) for male!!Estimate","Santa Clara County, California!!Median earnings (dollars) for female!!Estimate","Montgomery County, Maryland!!Total!!Estimate","Montgomery County, Maryland!!Male!!Estimate","Montgomery County, Maryland!!Female!!Estimate","Montgomery County, Maryland!!Median earnings (dollars)!!Estimate","Montgomery County, Maryland!!Median earnings (dollars) for male!!Estimate","Montgomery County, Maryland!!Median earnings (dollars) for female!!Estimate","Wake County, North Carolina!!Total!!Estimate","Wake County, North Carolina!!Male!!Estimate","Wake County, North Carolina!!Female!!Estimate","Wake County, North Carolina!!Median earnings (dollars)!!Estimate","Wake County, North Carolina!!Median earnings (dollars) for male!!Estimate","Wake County, North Carolina!!Median earnings (dollars) for female!!Estimate","Davidson County, Tennessee!!Total!!Estimate","Davidson County, Tennessee!!Male!!Estimate","Davidson County, Tennessee!!Female!!Estimate","Davidson County, Tennessee!!Median earnings (dollars)!!Estimate","Davidson County, Tennessee!!Median earnings (dollars) for male!!Estimate","Davidson County, Tennessee!!Median earnings (dollars) for female!!Estimate","Dallas County, Texas!!Total!!Estimate","Dallas County, Texas!!Male!!Estimate","Dallas County, Texas!!Female!!Estimate","Dallas County, Texas!!Median earnings (dollars)!!Estimate","Dallas County, Texas!!Median earnings (dollars) for male!!Estimate","Dallas County, Texas!!Median earnings (dollars) for female!!Estimate","Fairfax County, Virginia!!Total!!Estimate","Fairfax County, Virginia!!Male!!Estimate","Fairfax County, Virginia!!Female!!Estimate","Fairfax County, Virginia!!Median earnings (dollars)!!Estimate","Fairfax County, Virginia!!Median earnings (dollars) for male!!Estimate","Fairfax County, Virginia!!Median earnings (dollars) for female!!Estimate","Loudoun County, Virginia!!Total!!Estimate","Loudoun County, Virginia!!Male!!Estimate","Loudoun County, Virginia!!Female!!Estimate","Loudoun County, Virginia!!Median earnings (dollars)!!Estimate","Loudoun County, Virginia!!Median earnings (dollars) for male!!Estimate","Loudoun County, Virginia!!Median earnings (dollars) for female!!Estimate"
        Community and social services occupations,"10,262",28.1%,71.9%,"47,639","53,884","44,002","8,989",36.0%,64.0%,"50,379","50,371","50,385","9,052",39.2%,60.8%,"36,829","35,232","38,486","5,160",42.4%,57.6%,"32,754","36,062","27,579","12,729",44.7%,55.3%,"40,287","40,557","37,489","8,046",32.2%,67.8%,"44,456","50,223","42,164","2,176",22.9%,77.1%,"59,593","85,719","51,929"
        Legal occupations,"10,473",52.1%,47.9%,"93,836","141,075","72,384","17,880",59.8%,40.2%,"128,188","146,929","105,191","7,039",40.2%,59.8%,"61,016","105,163","44,602","3,691",56.0%,44.0%,"49,876","122,101","41,398","17,579",46.6%,53.4%,"72,424","120,757","52,799","20,167",57.0%,43.0%,"111,504","122,157","101,117","1,698",50.9%,49.1%,"94,458","128,877","44,595"
"        Education, training, and library occupations","44,847",32.1%,67.9%,"40,509","45,512","36,639","37,411",30.5%,69.5%,"47,193","56,900","40,902","31,055",26.9%,73.1%,"33,297","42,323","29,337","18,774",30.9%,69.1%,"31,244","37,406","30,297","55,265",25.8%,74.2%,"42,441","48,399","40,931","33,158",23.7%,76.3%,"47,395","55,562","40,535","9,810",20.3%,79.7%,"40,663","55,150","34,583"
"        Arts, design, entertainment, sports, and media occupations","16,845",49.3%,50.7%,"46,653","53,075","38,980","18,548",48.1%,51.9%,"51,578","60,603","47,367","11,141",56.0%,44.0%,"39,901","48,079","12,441","10,095",68.9%,31.1%,"28,528","31,680","26,033","21,902",57.0%,43.0%,"40,222","42,000","36,315","14,279",47.0%,53.0%,"56,328","56,009","56,596","4,786",52.1%,47.9%,"61,063","70,268","51,138"
    Healthcare practitioner and technical occupations:,"36,344",29.6%,70.4%,"80,630","89,660","77,367","33,004",31.8%,68.2%,"68,512","91,796","60,682","27,430",25.6%,74.4%,"51,832","69,049","47,824","20,428",23.1%,76.9%,"50,905","82,426","47,637","43,568",29.4%,70.6%,"51,904","61,460","47,801","23,044",28.5%,71.5%,"70,736","121,867","61,830","6,625",12.7%,87.3%,"58,104","62,011","57,841"
        Health diagnosing and treating practitioners and other technical occupations,"28,191",29.9%,70.1%,"91,512","102,074","90,315","26,199",30.9%,69.1%,"77,213","118,187","66,330","19,183",26.7%,73.3%,"60,423","93,775","55,828","14,434",25.1%,74.9%,"60,354","131,454","52,982","29,217",31.2%,68.8%,"61,860","90,185","59,147","18,852",31.1%,68.9%,"81,371","145,696","70,200","4,153",11.8%,88.2%,"65,354","125,161","62,853"
        Health technologists and technicians,"8,153",28.5%,71.5%,"51,137","49,304","51,439","6,805",35.2%,64.8%,"43,691","45,786","40,390","8,247",23.1%,76.9%,"37,141","45,735","36,469","5,994",18.5%,81.5%,"30,812","37,617","30,053","14,351",25.6%,74.4%,"31,775","41,026","30,655","4,192",16.6%,83.4%,"36,052","26,856","36,510","2,472",14.2%,85.8%,"42,156","31,305","48,211"
Service occupations:,"118,361",45.5%,54.5%,"19,094","21,586","16,382","78,315",42.7%,57.3%,"19,543","22,575","16,312","62,559",46.1%,53.9%,"16,429","21,207","13,926","56,016",43.7%,56.3%,"17,170","20,358","15,641","191,738",46.8%,53.2%,"16,489","20,342","13,651","91,713",45.6%,54.4%,"21,884","26,280","20,149","19,860",49.4%,50.6%,"23,825","28,810","19,104"
    Healthcare support occupations,"12,390",16.5%,83.5%,"27,396","25,785","30,182","7,193",21.3%,78.7%,"25,068","37,352","23,004","6,139",10.0%,90.0%,"20,505","27,464","20,018","5,526",7.9%,92.1%,"25,678","23,585","25,857","20,631",14.6%,85.4%,"22,176","30,579","21,507","6,501",18.4%,81.6%,"28,402","33,902","27,816","1,077",10.9%,89.1%,"21,239",-,"21,857"
    Protective service occupations:,"8,962",75.3%,24.7%,"35,651","34,611","37,682","8,085",74.4%,25.6%,"30,569","30,756","30,040","7,593",68.6%,31.4%,"41,384","43,873","33,718","5,832",67.2%,32.8%,"27,824","30,231","21,178","16,867",71.7%,28.3%,"32,396","33,115","31,348","11,419",75.1%,24.9%,"75,364","77,770","68,768","3,405",81.1%,18.9%,"80,875","85,404","73,949"
"        Fire fighting and prevention, and other protective service workers including supervisors","6,879",77.5%,22.5%,"26,320","27,832","20,640","6,058",73.4%,26.6%,"25,339","25,962","11,966","4,047",66.3%,33.7%,"36,485","41,950","33,268","3,481",68.1%,31.9%,"13,299","14,260","7,115","9,849",73.4%,26.6%,"26,142","26,487","25,141","6,811",76.4%,23.6%,"62,364","61,239","68,891","1,965",79.9%,20.1%,"64,240","63,376","80,230"
        Law enforcement workers including supervisors,"2,083",68.2%,31.8%,"81,303","86,729","76,514","2,027",77.7%,22.3%,"85,689","81,707","86,520","3,546",71.2%,28.8%,"44,313","44,759","34,803","2,351",66.0%,34.0%,"34,863","40,094","33,630","7,018",69.2%,30.8%,"41,603","46,711","38,324","4,608",73.1%,26.9%,"86,826","91,042","68,732","1,440",82.6%,17.4%,"86,309","86,632","73,225"
    Food preparation and serving related occupations,"36,678",51.7%,48.3%,"15,834","19,512","12,300","23,174",53.5%,46.5%,"17,763","19,370","15,872","22,073",50.5%,49.5%,"11,963","14,165","10,814","20,919",47.0%,53.0%,"15,911","18,476","13,275","64,498",52.1%,47.9%,"14,676","17,432","12,018","32,089",54.7%,45.3%,"17,248","21,073","15,369","6,618",41.8%,58.2%,"18,055","21,102","15,617"
    Building and grounds cleaning and maintenance occupations,"27,886",64.9%,35.1%,"20,583","24,392","16,008","18,791",44.4%,55.6%,"17,263","21,031","15,530","13,501",62.1%,37.9%,"17,081","21,546","12,640","12,280",58.1%,41.9%,"15,914","20,139","13,604","58,409",56.9%,43.1%,"16,058","18,686","12,258","21,944",51.2%,48.8%,"25,144","26,033","21,499","3,994",63.0%,37.0%,"28,623","29,139","21,882"
    Personal care and service occupations,"32,445",24.5%,75.5%,"15,976","19,442","14,956","21,072",24.6%,75.4%,"18,800","31,439","16,335","13,253",26.2%,73.8%,"11,995","11,485","12,229","11,459",27.4%,72.6%,"15,375","21,971","11,856","31,333",24.7%,75.3%,"13,576","20,153","12,533","19,760",16.8%,83.2%,"19,582","19,308","19,647","4,766",34.5%,65.5%,"12,196","21,188","11,010"
Sales and office occupations:,"175,131",39.2%,60.8%,"31,999","37,016","29,743","100,347",39.5%,60.5%,"32,799","40,776","30,654","109,051",44.3%,55.7%,"30,877","36,656","27,481","81,490",40.9%,59.1%,"27,170","30,852","25,919","280,276",39.3%,60.7%,"27,819","32,043","25,578","111,965",38.9%,61.1%,"36,732","43,651","32,393","37,778",41.2%,58.8%,"37,158","50,515","31,736"
    Sales and related occupations,"82,848",49.9%,50.1%,"26,978","40,823","19,585","42,679",52.1%,47.9%,"30,693","45,713","17,381","58,293",55.9%,44.1%,"30,687","40,348","20,852","34,087",54.1%,45.9%,"30,609","35,561","22,248","118,316",51.3%,48.7%,"25,806","36,424","18,241","49,077",50.8%,49.2%,"30,405","45,517","16,509","17,342",49.7%,50.3%,"31,324","60,674","19,598"
    Office and administrative support occupations,"92,283",29.5%,70.5%,"35,633","31,575","36,379","57,668",30.2%,69.8%,"34,525","36,605","34,050","50,758",30.8%,69.2%,"31,026","31,558","30,768","47,403",31.4%,68.6%,"26,485","26,222","26,602","161,960",30.4%,69.6%,"28,901","30,266","28,371","62,888",29.6%,70.4%,"40,650","42,162","40,034","20,436",34.0%,66.0%,"38,468","42,981","37,416"
"Natural resources, construction, and maintenance occupations:","55,685",94.9%,5.1%,"32,179","34,214","16,044","29,453",97.4%,2.6%,"33,674","33,835","15,759","26,400",94.3%,5.7%,"26,497","26,707","26,067","23,936",94.6%,5.4%,"22,908","23,743","11,920","130,357",97.9%,2.1%,"23,527","23,560","21,374","31,625",97.4%,2.6%,"32,248","32,226","40,779","7,907",98.0%,2.0%,"42,464","42,464","42,463"
"    Farming, fishing, and forestry occupations","2,832",73.8%,26.2%,"16,520","16,071","16,812",193,100.0%,0.0%,"29,150","29,150",-,612,73.2%,26.8%,"6,982","6,451","16,990",540,37.8%,62.2%,"11,321","15,943","4,643","1,611",97.0%,3.0%,"17,134","16,895",-,451,71.4%,28.6%,"23,842","21,204","24,871",463,96.8%,3.2%,"31,079","31,155",-
    Construction and extraction occupations,"34,828",98.1%,1.9%,"31,298","31,570","13,717","21,256",97.7%,2.3%,"30,432","30,935","13,212","17,360",95.4%,4.6%,"20,867","20,757","27,623","16,963",96.2%,3.8%,"20,982","21,021","14,464","88,883",98.4%,1.6%,"21,563","21,612","14,923","21,440",97.6%,2.4%,"31,176","31,156","32,057","4,891",98.4%,1.6%,"40,548","40,138",-
"    Installation, maintenance, and repair occupations","18,025",92.1%,7.9%,"41,444","42,626","19,442","8,004",96.4%,3.6%,"39,818","39,065","63,945","8,428",93.5%,6.5%,"38,493","39,659","26,077","6,433",95.4%,4.6%,"36,026","36,903","18,273","39,863",97.0%,3.0%,"33,633","33,783","29,619","9,734",98.2%,1.8%,"40,836","40,625","63,674","2,553",97.4%,2.6%,"51,921","52,231",-
"Production, transportation, and material moving occupations:","64,202",74.0%,26.0%,"30,227","30,861","27,269","24,398",79.9%,20.1%,"26,674","29,748","16,382","30,346",80.1%,19.9%,"27,413","29,294","23,097","28,545",76.5%,23.5%,"26,173","27,737","20,665","144,625",74.4%,25.6%,"24,963","27,671","19,192","27,635",77.5%,22.5%,"28,686","30,798","23,131","8,630",68.0%,32.0%,"31,782","40,126","20,573"
    Production occupations,"37,986",66.7%,33.3%,"32,908","35,307","30,082","8,771",71.2%,28.8%,"31,486","34,483","21,954","12,383",75.9%,24.1%,"33,808","40,753","24,475","12,549",62.2%,37.8%,"25,226","30,339","20,217","68,759",64.2%,35.8%,"23,693","26,554","19,769","9,646",73.2%,26.8%,"35,292","40,813","16,981","2,150",64.0%,36.0%,"42,194","50,446","33,526"
    Transportation occupations,"16,395",85.7%,14.3%,"30,857","30,822","31,070","11,182",90.5%,9.5%,"27,391","29,438","12,799","11,989",80.1%,19.9%,"25,886","26,234","25,496","8,132",89.7%,10.3%,"30,401","30,781","28,494","41,603",87.1%,12.9%,"32,484","35,327","21,116","13,946",78.6%,21.4%,"28,709","29,511","26,415","4,774",68.4%,31.6%,"33,200","40,800","20,705"
    Material moving occupations,"9,821",82.9%,17.1%,"22,158","23,542","16,047","4,445",70.6%,29.4%,"15,802","19,764","8,832","5,974",88.9%,11.1%,"17,526","20,516","14,331","7,864",85.7%,14.3%,"22,071","25,146","18,731","34,263",79.7%,20.3%,"20,452","21,382","16,079","4,043",84.1%,15.9%,"12,267","11,574","18,485","1,706",72.0%,28.0%,"16,879","20,046","16,457"
PERCENT IMPUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Civilian employed population 16 years and over,"967,374","538,173",55.6%,"429,201",44.4%,"555,886","286,622",51.6%,"269,264",48.4%,"528,812","280,575",53.1%,"248,237",46.9%,"363,716","187,534",51.6%,"176,182",48.4%,"1,254,419","684,743",54.6%,"569,676",45.4%,"613,246","326,241",53.2%,"287,005",46.8%,"203,967","109,953",53.9%,"94,014",46.1%,,,,,,,
"Management, business, science, and arts occupations:","504,290","284,719",56.5%,"219,571",43.5%,"309,332","156,921",50.7%,"152,411",49.3%,"258,535","130,332",50.4%,"128,203",49.6%,"145,072","66,485",45.8%,"78,587",54.2%,"422,547","203,701",48.2%,"218,846",51.8%,"336,897","180,103",53.5%,"156,794",46.5%,"115,638","62,926",54.4%,"52,712",45.6%,,,,,,,
"    Management, business, and financial occupations:","195,924","106,315",54.3%,"89,609",45.7%,"125,409","67,932",54.2%,"57,477",45.8%,"109,845","60,340",54.9%,"49,505",45.1%,"56,966","28,325",49.7%,"28,641",50.3%,"191,478","100,865",52.7%,"90,613",47.3%,"149,227","80,785",54.1%,"68,442",45.9%,"54,177","30,957",57.1%,"23,220",42.9%,,,,,,,
        Management occupations,"134,156","81,315",60.6%,"52,841",39.4%,"79,912","46,414",58.1%,"33,498",41.9%,"72,690","44,007",60.5%,"28,683",39.5%,"35,908","18,431",51.3%,"17,477",48.7%,"115,945","68,506",59.1%,"47,439",40.9%,"95,640","55,003",57.5%,"40,637",42.5%,"35,445","22,433",63.3%,"13,012",36.7%,,,,,,,
        Business and financial operations occupations,"61,768","25,000",40.5%,"36,768",59.5%,"45,497","21,518",47.3%,"23,979",52.7%,"37,155","16,333",44.0%,"20,822",56.0%,"21,058","9,894",47.0%,"11,164",53.0%,"75,533","32,359",42.8%,"43,174",57.2%,"53,587","25,782",48.1%,"27,805",51.9%,"18,732","8,524",45.5%,"10,208",54.5%,,,,,,,
"    Computer, engineering, and science occupations:","175,129","133,064",76.0%,"42,065",24.0%,"69,405","46,479",67.0%,"22,926",33.0%,"60,005","44,744",74.6%,"15,261",25.4%,"16,331","11,167",68.4%,"5,164",31.6%,"63,081","45,557",72.2%,"17,524",27.8%,"83,102","60,197",72.4%,"22,905",27.6%,"32,817","24,071",73.3%,"8,746",26.7%,,,,,,,
        Computer and mathematical occupations,"104,138","80,650",77.4%,"23,488",22.6%,"33,165","23,918",72.1%,"9,247",27.9%,"37,018","29,592",79.9%,"7,426",20.1%,"9,483","6,728",70.9%,"2,755",29.1%,"40,419","28,923",71.6%,"11,496",28.4%,"61,284","43,919",71.7%,"17,365",28.3%,"24,447","17,587",71.9%,"6,860",28.1%,,,,,,,
        Architecture and engineering occupations,"56,358","45,211",80.2%,"11,147",19.8%,"13,466","10,939",81.2%,"2,527",18.8%,"13,024","10,441",80.2%,"2,583",19.8%,"4,235","3,254",76.8%,981,23.2%,"16,030","13,241",82.6%,"2,789",17.4%,"13,807","11,376",82.4%,"2,431",17.6%,"5,743","4,874",84.9%,869,15.1%,,,,,,,
"        Life, physical, and social science occupations","14,633","7,203",49.2%,"7,430",50.8%,"22,774","11,622",51.0%,"11,152",49.0%,"9,963","4,711",47.3%,"5,252",52.7%,"2,613","1,185",45.4%,"1,428",54.6%,"6,632","3,393",51.2%,"3,239",48.8%,"8,011","4,902",61.2%,"3,109",38.8%,"2,627","1,610",61.3%,"1,017",38.7%,,,,,,,
"    Education, legal, community service, arts, and media occupations:","94,956","36,158",38.1%,"58,798",61.9%,"83,719","32,663",39.0%,"51,056",61.0%,"61,090","18,353",30.0%,"42,737",70.0%,"48,759","19,997",41.0%,"28,762",59.0%,"113,989","41,389",36.3%,"72,600",63.7%,"76,722","31,283",40.8%,"45,439",59.2%,"21,242","6,373",30.0%,"14,869",70.0%,,,,,,,
        Community and social services occupations,"11,673","4,264",36.5%,"7,409",63.5%,"10,730","3,457",32.2%,"7,273",67.8%,"7,721","2,228",28.9%,"5,493",71.1%,"6,548","2,618",40.0%,"3,930",60.0%,"14,081","5,346",38.0%,"8,735",62.0%,"7,959","3,103",39.0%,"4,856",61.0%,"1,455",537,36.9%,918,63.1%,,,,,,,
        Legal occupations,"11,022","5,295",48.0%,"5,727",52.0%,"16,869","9,856",58.4%,"7,013",41.6%,"6,048","2,795",46.2%,"3,253",53.8%,"5,419","2,497",46.1%,"2,922",53.9%,"16,784","9,134",54.4%,"7,650",45.6%,"17,290","11,361",65.7%,"5,929",34.3%,"3,149","1,207",38.3%,"1,942",61.7%,,,,,,,
"        Education, training, and library occupations","51,693","14,773",28.6%,"36,920",71.4%,"36,132","10,204",28.2%,"25,928",71.8%,"36,606","8,229",22.5%,"28,377",77.5%,"22,820","5,870",25.7%,"16,950",74.3%,"56,933","14,384",25.3%,"42,549",74.7%,"35,774","10,002",28.0%,"25,772",72.0%,"11,689","2,170",18.6%,"9,519",81.4%,,,,,,,
"        Arts, design, entertainment, sports, and media occupations","20,568","11,826",57.5%,"8,742",42.5%,"19,988","9,146",45.8%,"10,842",54.2%,"10,715","5,101",47.6%,"5,614",52.4%,"13,972","9,012",64.5%,"4,960",35.5%,"26,191","12,525",47.8%,"13,666",52.2%,"15,699","6,817",43.4%,"8,882",56.6%,"4,949","2,459",49.7%,"2,490",50.3%,,,,,,,
    Healthcare practitioner and technical occupations:,"38,281","9,182",24.0%,"29,099",76.0%,"30,799","9,847",32.0%,"20,952",68.0%,"27,595","6,895",25.0%,"20,700",75.0%,"23,016","6,996",30.4%,"16,020",69.6%,"53,999","15,890",29.4%,"38,109",70.6%,"27,846","7,838",28.1%,"20,008",71.9%,"7,402","1,525",20.6%,"5,877",79.4%,,,,,,,
        Health diagnosing and treating practitioners and other technical occupations,"28,852","6,861",23.8%,"21,991",76.2%,"23,402","8,010",34.2%,"15,392",65.8%,"19,612","4,761",24.3%,"14,851",75.7%,"18,064","5,071",28.1%,"12,993",71.9%,"36,846","11,741",31.9%,"25,105",68.1%,"21,491","6,765",31.5%,"14,726",68.5%,"5,514",945,17.1%,"4,569",82.9%,,,,,,,
        Health technologists and technicians,"9,429","2,321",24.6%,"7,108",75.4%,"7,397","1,837",24.8%,"5,560",75.2%,"7,983","2,134",26.7%,"5,849",73.3%,"4,952","1,925",38.9%,"3,027",61.1%,"17,153","4,149",24.2%,"13,004",75.8%,"6,355","1,073",16.9%,"5,282",83.1%,"1,888",580,30.7%,"1,308",69.3%,,,,,,,
Service occupations:,"154,201","64,835",42.0%,"89,366",58.0%,"91,181","36,646",40.2%,"54,535",59.8%,"71,900","31,923",44.4%,"39,977",55.6%,"60,657","27,910",46.0%,"32,747",54.0%,"217,043","91,136",42.0%,"125,907",58.0%,"103,192","44,107",42.7%,"59,085",57.3%,"28,869","12,487",43.3%,"16,382",56.7%,,,,,,,
    Healthcare support occupations,"15,209","3,028",19.9%,"12,181",80.1%,"10,032","2,420",24.1%,"7,612",75.9%,"9,339","1,247",13.4%,"8,092",86.6%,"4,385",525,12.0%,"3,860",88.0%,"24,517","3,366",13.7%,"21,151",86.3%,"8,211","1,562",19.0%,"6,649",81.0%,"2,132",174,8.2%,"1,958",91.8%,,,,,,,
    Protective service occupations:,"13,275","10,459",78.8%,"2,816",21.2%,"9,331","7,341",78.7%,"1,990",21.3%,"7,918","5,493",69.4%,"2,425",30.6%,"6,884","4,868",70.7%,"2,016",29.3%,"19,124","13,417",70.2%,"5,707",29.8%,"12,678","10,072",79.4%,"2,606",20.6%,"4,833","3,378",69.9%,"1,455",30.1%,,,,,,,
"        Fire fighting and prevention, and other protective service workers including supervisors","9,112","7,312",80.2%,"1,800",19.8%,"5,772","4,371",75.7%,"1,401",24.3%,"4,238","3,384",79.8%,854,20.2%,"5,056","3,529",69.8%,"1,527",30.2%,"13,498","9,271",68.7%,"4,227",31.3%,"8,222","6,180",75.2%,"2,042",24.8%,"2,831","1,918",67.7%,913,32.3%,,,,,,,
        Law enforcement workers including supervisors,"4,163","3,147",75.6%,"1,016",24.4%,"3,559","2,970",83.5%,589,16.5%,"3,680","2,109",57.3%,"1,571",42.7%,"1,828","1,339",73.2%,489,26.8%,"5,626","4,146",73.7%,"1,480",26.3%,"4,456","3,892",87.3%,564,12.7%,"2,002","1,460",72.9%,542,27.1%,,,,,,,
    Food preparation and serving related occupations,"47,720","24,113",50.5%,"23,607",49.5%,"26,584","13,690",51.5%,"12,894",48.5%,"25,672","12,581",49.0%,"13,091",51.0%,"22,332","12,679",56.8%,"9,653",43.2%,"77,672","37,859",48.7%,"39,813",51.3%,"34,074","16,754",49.2%,"17,320",50.8%,"9,052","4,862",53.7%,"4,190",46.3%,,,,,,,
