,Geographic Area Name (NAME),2017 NAICS code (NAICS2017),Meaning of NAICS code (NAICS2017_LABEL),Meaning of Legal form of organization code (LFO_LABEL),Meaning of Employment size of establishments code (EMPSZES_LABEL),Year (YEAR),Number of establishments (ESTAB),"Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)",Number of employees (EMP),Meaning of NAICS Code (NAICS2017_LABEL)
405,"Dallas County, Texas",11,,All establishments,All establishments,2021,22,"3,037",787,74,"Agriculture, forestry, fishing and hunting"
409,"Dallas County, Texas",21,,All establishments,All establishments,2021,300,"627,329","164,171","3,628","Mining, quarrying, and oil and gas extraction"
417,"Dallas County, Texas",22,,All establishments,All establishments,2021,91,"821,727","269,058","4,967",Utilities
425,"Dallas County, Texas",23,,All establishments,All establishments,2021,"4,589","6,233,802","1,566,242","84,370",Construction
436,"Dallas County, Texas",31-33,,All establishments,All establishments,2021,"2,197","7,431,312","2,156,256","102,992",Manufacturing
447,"Dallas County, Texas",42,,All establishments,All establishments,2021,"4,351","6,682,817","1,580,928","84,101",Wholesale trade
456,"Dallas County, Texas",44-45,,All establishments,All establishments,2021,"7,804","4,914,301","1,119,539","128,476",Retail trade
467,"Dallas County, Texas",48-49,,All establishments,All establishments,2021,"2,363","9,001,015","2,213,971","135,786",Transportation and warehousing
481,"Dallas County, Texas",51,,All establishments,All establishments,2021,"1,627","7,661,135","2,208,101","63,193",Information
492,"Dallas County, Texas",52,,All establishments,All establishments,2021,"5,227","13,154,118","3,908,909","108,425",Finance and insurance
504,"Dallas County, Texas",53,,All establishments,All establishments,2021,"4,512","3,549,062","925,563","42,766",Real estate and rental and leasing
513,"Dallas County, Texas",54,,All establishments,All establishments,2021,"10,476","16,669,568","3,660,032","142,004","Professional, scientific, and technical services"
525,"Dallas County, Texas",55,,All establishments,All establishments,2021,807,"8,598,450","2,411,452","70,611",Management of companies and enterprises
536,"Dallas County, Texas",56,,All establishments,All establishments,2021,"3,947","6,285,432","1,396,721","141,160",Administrative and support and waste management and remediation services
548,"Dallas County, Texas",61,,All establishments,All establishments,2021,868,"1,605,345","371,275","30,920",Educational services
558,"Dallas County, Texas",62,,All establishments,All establishments,2021,"8,050","11,177,463","2,637,984","182,912",Health care and social assistance
572,"Dallas County, Texas",71,,All establishments,All establishments,2021,875,"617,180","134,396","13,965","Arts, entertainment, and recreation"
580,"Dallas County, Texas",72,,All establishments,All establishments,2021,"6,318","3,012,230","625,120","116,913",Accommodation and food services
589,"Dallas County, Texas",81,,All establishments,All establishments,2021,"5,440","2,498,964","616,581","49,351",Other services (except public administration)
598,"Dallas County, Texas",99,,All establishments,All establishments,2021,95,"10,585","2,688",224,Industries not classified
602,Geographic Area Name (NAME),2017 NAICS code (NAICS2017),Meaning of NAICS code (NAICS2017_LABEL),Meaning of Legal form of organization code (LFO_LABEL),Meaning of Employment size of establishments code (EMPSZES_LABEL),Year (YEAR),Number of establishments (ESTAB),"Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)",Number of employees (EMP),Meaning of NAICS Code (NAICS2017_LABEL)
603,"Davidson County, Tennessee",0,Total for all sectors,All establishments,All establishments,2019,"20,293","27,419,532","6,797,708","464,535",
613,"Davidson County, Tennessee",11,"Agriculture, forestry, fishing and hunting",All establishments,All establishments,2019,7,691,139,15,
615,"Davidson County, Tennessee",21,"Mining, quarrying, and oil and gas extraction",All establishments,All establishments,2019,8,"10,733","2,586",154,
618,"Davidson County, Tennessee",22,Utilities,All establishments,All establishments,2019,11,"22,001","6,866",258,
621,"Davidson County, Tennessee",23,Construction,All establishments,All establishments,2019,"1,256","1,511,627","333,967","23,485",
629,"Davidson County, Tennessee",31-33,Manufacturing,All establishments,All establishments,2019,572,"1,078,101","263,819","20,510",
638,"Davidson County, Tennessee",42,Wholesale trade,All establishments,All establishments,2019,"1,074","1,652,709","426,574","23,345",
647,"Davidson County, Tennessee",44-45,Retail trade,All establishments,All establishments,2019,"2,592","1,135,802","267,622","36,389",
655,"Davidson County, Tennessee",48-49,Transportation and warehousing,All establishments,All establishments,2019,539,"1,231,556","302,142","26,302",
665,"Davidson County, Tennessee",51,Information,All establishments,All establishments,2019,686,"1,073,738","288,885","13,419",
674,"Davidson County, Tennessee",52,Finance and insurance,All establishments,All establishments,2019,"1,292","2,533,349","787,577","26,143",
684,"Davidson County, Tennessee",53,Real estate and rental and leasing,All establishments,All establishments,2019,"1,177","534,187","125,502","8,480",
691,"Davidson County, Tennessee",54,"Professional, scientific, and technical services",All establishments,All establishments,2019,"2,165","2,549,944","575,169","27,850",
699,"Davidson County, Tennessee",55,Management of companies and enterprises,All establishments,All establishments,2019,251,"2,798,286","717,311","23,958",
709,"Davidson County, Tennessee",56,Administrative and support and waste management and remediation services,All establishments,All establishments,2019,"1,160","1,603,674","432,352","37,444",
719,"Davidson County, Tennessee",61,Educational services,All establishments,All establishments,2019,284,"1,179,010","283,965","26,248",
728,"Davidson County, Tennessee",62,Health care and social assistance,All establishments,All establishments,2019,"2,068","5,241,587","1,237,227","78,757",
738,"Davidson County, Tennessee",71,"Arts, entertainment, and recreation",All establishments,All establishments,2019,928,"1,069,689","238,292","12,536",
746,"Davidson County, Tennessee",72,Accommodation and food services,All establishments,All establishments,2019,"2,216","1,434,239","325,494","58,277",
754,"Davidson County, Tennessee",81,Other services (except public administration),All establishments,All establishments,2019,"1,985","756,798","181,674","20,926",
762,"Davidson County, Tennessee",99,Industries not classified,All establishments,All establishments,2019,22,"1,811",545,39,
764,"Davidson County, Tennessee",0,Total for all sectors,All establishments,All establishments,2020,"20,512","26,899,504","7,042,439","470,435",
777,"Davidson County, Tennessee",11,"Agriculture, forestry, fishing and hunting",All establishments,All establishments,2020,6,766,205,19,
779,"Davidson County, Tennessee",21,"Mining, quarrying, and oil and gas extraction",All establishments,All establishments,2020,9,"11,971","2,865",163,
781,"Davidson County, Tennessee",22,Utilities,All establishments,All establishments,2020,11,"21,576","6,738",251,
784,"Davidson County, Tennessee",23,Construction,All establishments,All establishments,2020,"1,303","1,549,610","351,081","24,366",
792,"Davidson County, Tennessee",31-33,Manufacturing,All establishments,All establishments,2020,559,"1,080,540","268,838","20,296",
800,"Davidson County, Tennessee",42,Wholesale trade,All establishments,All establishments,2020,"1,061","1,628,830","421,341","22,583",
808,"Davidson County, Tennessee",44-45,Retail trade,All establishments,All establishments,2020,"2,583","1,174,975","283,274","37,368",
816,"Davidson County, Tennessee",48-49,Transportation and warehousing,All establishments,All establishments,2020,555,"1,238,341","315,172","28,302",
826,"Davidson County, Tennessee",51,Information,All establishments,All establishments,2020,686,"1,179,785","327,221","14,175",
835,"Davidson County, Tennessee",52,Finance and insurance,All establishments,All establishments,2020,"1,283","2,579,826","760,020","24,901",
844,"Davidson County, Tennessee",53,Real estate and rental and leasing,All establishments,All establishments,2020,"1,181","549,769","141,538","8,829",
851,"Davidson County, Tennessee",54,"Professional, scientific, and technical services",All establishments,All establishments,2020,"2,209","2,511,436","603,385","27,606",
859,"Davidson County, Tennessee",55,Management of companies and enterprises,All establishments,All establishments,2020,241,"2,321,152","658,036","23,339",
869,"Davidson County, Tennessee",56,Administrative and support and waste management and remediation services,All establishments,All establishments,2020,"1,171","1,533,949","448,506","38,124",
879,"Davidson County, Tennessee",61,Educational services,All establishments,All establishments,2020,303,"1,197,282","301,391","24,976",
888,"Davidson County, Tennessee",62,Health care and social assistance,All establishments,All establishments,2020,"2,149","5,678,824","1,335,086","83,212",
899,"Davidson County, Tennessee",71,"Arts, entertainment, and recreation",All establishments,All establishments,2020,939,"843,901","282,381","12,305",
907,"Davidson County, Tennessee",72,Accommodation and food services,All establishments,All establishments,2020,"2,264","1,069,237","348,515","58,884",
915,"Davidson County, Tennessee",81,Other services (except public administration),All establishments,All establishments,2020,"1,966","722,859","185,799","20,656",
923,"Davidson County, Tennessee",99,Industries not classified,All establishments,All establishments,2020,33,"4,875","1,047",80,
925,"Davidson County, Tennessee",0,,All establishments,All establishments,2021,"21,052","29,959,118","7,012,604","445,200",Total for all sectors
937,"Davidson County, Tennessee",11,,All establishments,All establishments,2021,6,915,170,14,"Agriculture, forestry, fishing and hunting"
939,"Davidson County, Tennessee",21,,All establishments,All establishments,2021,6,"7,976","1,689",100,"Mining, quarrying, and oil and gas extraction"
941,"Davidson County, Tennessee",22,,All establishments,All establishments,2021,13,"22,048","6,489",259,Utilities
945,"Davidson County, Tennessee",23,,All establishments,All establishments,2021,"1,370","1,661,570","354,741","24,427",Construction
953,"Davidson County, Tennessee",31-33,,All establishments,All establishments,2021,549,"1,191,256","275,936","20,704",Manufacturing
962,"Davidson County, Tennessee",42,,All establishments,All establishments,2021,"1,050","1,638,240","411,259","20,470",Wholesale trade
970,"Davidson County, Tennessee",44-45,,All establishments,All establishments,2021,"2,610","1,371,506","303,487","38,673",Retail trade
978,"Davidson County, Tennessee",48-49,,All establishments,All establishments,2021,624,"1,348,843","300,806","27,135",Transportation and warehousing
988,"Davidson County, Tennessee",51,,All establishments,All establishments,2021,699,"1,091,791","265,236","11,255",Information
996,"Davidson County, Tennessee",52,,All establishments,All establishments,2021,"1,299","2,975,172","774,550","25,384",Finance and insurance
1006,"Davidson County, Tennessee",53,,All establishments,All establishments,2021,"1,236","583,269","135,457","8,455",Real estate and rental and leasing
1013,"Davidson County, Tennessee",54,,All establishments,All establishments,2021,"2,255","2,660,924","607,030","27,105","Professional, scientific, and technical services"
1021,"Davidson County, Tennessee",55,,All establishments,All establishments,2021,245,"2,866,573","770,014","22,905",Management of companies and enterprises
1030,"Davidson County, Tennessee",56,,All establishments,All establishments,2021,"1,203","1,697,839","400,889","33,820",Administrative and support and waste management and remediation services
1041,"Davidson County, Tennessee",61,,All establishments,All establishments,2021,303,"1,266,639","299,275","23,372",Educational services
1050,"Davidson County, Tennessee",62,,All establishments,All establishments,2021,"2,276","6,444,759","1,454,286","89,233",Health care and social assistance
1060,"Davidson County, Tennessee",71,,All establishments,All establishments,2021,974,"1,035,429","226,231","9,450","Arts, entertainment, and recreation"
1067,"Davidson County, Tennessee",72,,All establishments,All establishments,2021,"2,349","1,325,947","250,005","44,563",Accommodation and food services
1074,"Davidson County, Tennessee",81,,All establishments,All establishments,2021,"1,962","765,694","174,563","17,842",Other services (except public administration)
1082,"Davidson County, Tennessee",99,,All establishments,All establishments,2021,23,"2,728",491,34,Industries not classified
1084,Geographic Area Name (NAME),2017 NAICS code (NAICS2017),Meaning of NAICS code (NAICS2017_LABEL),Meaning of Legal form of organization code (LFO_LABEL),Meaning of Employment size of establishments code (EMPSZES_LABEL),Year (YEAR),Number of establishments (ESTAB),"Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)",Number of employees (EMP),Meaning of NAICS Code (NAICS2017_LABEL)
1085,"Fairfax County, Virginia",0,Total for all sectors,All establishments,All establishments,2019,"31,619","55,389,346","14,447,518","656,234",
1095,"Fairfax County, Virginia",11,"Agriculture, forestry, fishing and hunting",All establishments,All establishments,2019,6,"15,793","3,324",163,
1097,"Fairfax County, Virginia",21,"Mining, quarrying, and oil and gas extraction",All establishments,All establishments,2019,5,"8,696","2,468",81,
1098,"Fairfax County, Virginia",22,Utilities,All establishments,All establishments,2019,16,"160,002","46,689","1,375",
1102,"Fairfax County, Virginia",23,Construction,All establishments,All establishments,2019,"2,390","2,253,160","535,909","28,896",
1111,"Fairfax County, Virginia",31-33,Manufacturing,All establishments,All establishments,2019,341,"356,684","84,535","5,804",
1118,"Fairfax County, Virginia",42,Wholesale trade,All establishments,All establishments,2019,810,"1,916,389","468,884","15,106",
1127,"Fairfax County, Virginia",44-45,Retail trade,All establishments,All establishments,2019,"2,628","1,782,575","420,056","51,262",
1136,"Fairfax County, Virginia",48-49,Transportation and warehousing,All establishments,All establishments,2019,428,"423,770","105,842","8,696",
1144,"Fairfax County, Virginia",51,Information,All establishments,All establishments,2019,898,"5,703,335","1,674,451","40,137",
1154,"Fairfax County, Virginia",52,Finance and insurance,All establishments,All establishments,2019,"1,659","4,406,011","1,442,312","31,021",
1164,"Fairfax County, Virginia",53,Real estate and rental and leasing,All establishments,All establishments,2019,"1,710","936,599","244,045","11,348",
1172,"Fairfax County, Virginia",54,"Professional, scientific, and technical services",All establishments,All establishments,2019,"8,784","24,345,467","6,137,831","218,675",
1182,"Fairfax County, Virginia",55,Management of companies and enterprises,All establishments,All establishments,2019,311,"2,509,093","734,019","18,949",
1191,"Fairfax County, Virginia",56,Administrative and support and waste management and remediation services,All establishments,All establishments,2019,"1,818","3,418,446","821,559","62,234",
1201,"Fairfax County, Virginia",61,Educational services,All establishments,All establishments,2019,684,"743,719","187,716","13,745",
1210,"Fairfax County, Virginia",62,Health care and social assistance,All establishments,All establishments,2019,"3,470","3,796,073","893,582","66,535",
1220,"Fairfax County, Virginia",71,"Arts, entertainment, and recreation",All establishments,All establishments,2019,413,"340,486","94,353","10,637",
1227,"Fairfax County, Virginia",72,Accommodation and food services,All establishments,All establishments,2019,"2,498","1,095,064","259,182","47,190",
1235,"Fairfax County, Virginia",81,Other services (except public administration),All establishments,All establishments,2019,"2,707","1,176,799","290,597","24,341",
1242,"Fairfax County, Virginia",99,Industries not classified,All establishments,All establishments,2019,43,"1,185",164,39,
1244,"Fairfax County, Virginia",0,Total for all sectors,All establishments,All establishments,2020,"31,769","57,393,417","15,250,175","672,100",
1257,"Fairfax County, Virginia",11,"Agriculture, forestry, fishing and hunting",All establishments,All establishments,2020,5,"21,085","5,326",220,
1259,"Fairfax County, Virginia",21,"Mining, quarrying, and oil and gas extraction",All establishments,All establishments,2020,5,"7,020","1,899",70,
1261,"Fairfax County, Virginia",22,Utilities,All establishments,All establishments,2020,19,"167,271","49,083","1,364",
1264,"Fairfax County, Virginia",23,Construction,All establishments,All establishments,2020,"2,384","2,265,823","606,178","30,826",
1273,"Fairfax County, Virginia",31-33,Manufacturing,All establishments,All establishments,2020,349,"358,216","91,057","5,874",
1280,"Fairfax County, Virginia",42,Wholesale trade,All establishments,All establishments,2020,798,"2,041,122","463,408","15,248",
1289,"Fairfax County, Virginia",44-45,Retail trade,All establishments,All establishments,2020,"2,577","1,715,096","428,172","52,277",
1298,"Fairfax County, Virginia",48-49,Transportation and warehousing,All establishments,All establishments,2020,438,"483,792","112,865","10,046",
1306,"Fairfax County, Virginia",51,Information,All establishments,All establishments,2020,868,"5,961,188","1,690,059","38,920",
1317,"Fairfax County, Virginia",52,Finance and insurance,All establishments,All establishments,2020,"1,685","4,667,264","1,493,208","31,245",
1327,"Fairfax County, Virginia",53,Real estate and rental and leasing,All establishments,All establishments,2020,"1,758","980,008","273,197","11,712",
1335,"Fairfax County, Virginia",54,"Professional, scientific, and technical services",All establishments,All establishments,2020,"8,861","25,659,466","6,507,110","228,318",
1348,"Fairfax County, Virginia",55,Management of companies and enterprises,All establishments,All establishments,2020,355,"2,761,085","858,638","21,034",
1357,"Fairfax County, Virginia",56,Administrative and support and waste management and remediation services,All establishments,All establishments,2020,"1,808","3,467,040","863,169","63,936",
1367,"Fairfax County, Virginia",61,Educational services,All establishments,All establishments,2020,702,"753,148","185,061","13,133",
1375,"Fairfax County, Virginia",62,Health care and social assistance,All establishments,All establishments,2020,"3,500","3,918,863","976,477","65,883",
1386,"Fairfax County, Virginia",71,"Arts, entertainment, and recreation",All establishments,All establishments,2020,409,"233,231","85,586","11,188",
1393,"Fairfax County, Virginia",72,Accommodation and food services,All establishments,All establishments,2020,"2,418","854,596","263,125","46,807",
1401,"Fairfax County, Virginia",81,Other services (except public administration),All establishments,All establishments,2020,"2,759","1,076,061","296,116","23,941",
1408,"Fairfax County, Virginia",99,Industries not classified,All establishments,All establishments,2020,71,"2,042",441,58,
1410,"Fairfax County, Virginia",0,,All establishments,All establishments,2021,"31,808","62,668,153","15,468,556","647,247",Total for all sectors
1424,"Fairfax County, Virginia",11,,All establishments,All establishments,2021,6,"28,270","5,594",210,"Agriculture, forestry, fishing and hunting"
1426,"Fairfax County, Virginia",21,,All establishments,All establishments,2021,5,"6,034","1,373",68,"Mining, quarrying, and oil and gas extraction"
1428,"Fairfax County, Virginia",22,,All establishments,All establishments,2021,18,"178,527","53,018","1,707",Utilities
1431,"Fairfax County, Virginia",23,,All establishments,All establishments,2021,"2,444","2,531,175","604,486","30,644",Construction
1440,"Fairfax County, Virginia",31-33,,All establishments,All establishments,2021,349,"395,255","93,863","5,871",Manufacturing
1447,"Fairfax County, Virginia",42,,All establishments,All establishments,2021,808,"2,401,734","534,255","16,208",Wholesale trade
1456,"Fairfax County, Virginia",44-45,,All establishments,All establishments,2021,"2,507","1,854,594","410,402","47,722",Retail trade
1465,"Fairfax County, Virginia",48-49,,All establishments,All establishments,2021,446,"492,618","111,688","9,843",Transportation and warehousing
1473,"Fairfax County, Virginia",51,,All establishments,All establishments,2021,873,"6,822,004","1,819,538","38,204",Information
1484,"Fairfax County, Virginia",52,,All establishments,All establishments,2021,"1,626","4,984,931","1,541,812","32,104",Finance and insurance
1495,"Fairfax County, Virginia",53,,All establishments,All establishments,2021,"1,808","996,688","243,553","10,720",Real estate and rental and leasing
1503,"Fairfax County, Virginia",54,,All establishments,All establishments,2021,"8,767","28,296,684","6,831,378","233,048","Professional, scientific, and technical services"
1515,"Fairfax County, Virginia",55,,All establishments,All establishments,2021,321,"2,737,115","730,814","22,232",Management of companies and enterprises
1525,"Fairfax County, Virginia",56,,All establishments,All establishments,2021,"1,859","3,406,425","778,097","56,067",Administrative and support and waste management and remediation services
1535,"Fairfax County, Virginia",61,,All establishments,All establishments,2021,692,"804,275","166,942","12,034",Educational services
1543,"Fairfax County, Virginia",62,,All establishments,All establishments,2021,"3,606","4,418,937","1,035,508","66,019",Health care and social assistance
1554,"Fairfax County, Virginia",71,,All establishments,All establishments,2021,429,"184,643","37,970","6,067","Arts, entertainment, and recreation"
1561,"Fairfax County, Virginia",72,,All establishments,All establishments,2021,"2,440","1,001,865","206,608","37,850",Accommodation and food services
1568,"Fairfax County, Virginia",81,,All establishments,All establishments,2021,"2,764","1,124,546","261,225","20,580",Other services (except public administration)
1576,"Fairfax County, Virginia",99,,All establishments,All establishments,2021,40,"1,833",432,49,Industries not classified
1578,Geographic Area Name (NAME),2017 NAICS code (NAICS2017),Meaning of NAICS code (NAICS2017_LABEL),Meaning of Legal form of organization code (LFO_LABEL),Meaning of Employment size of establishments code (EMPSZES_LABEL),Year (YEAR),Number of establishments (ESTAB),"Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)",Number of employees (EMP),Meaning of NAICS Code (NAICS2017_LABEL)
1579,"Loudoun County, Virginia",0,Total for all sectors,All establishments,All establishments,2019,"11,028","10,312,852","2,552,811","168,351",
1589,"Loudoun County, Virginia",11,"Agriculture, forestry, fishing and hunting",All establishments,All establishments,2019,25,"2,036",501,69,
1592,"Loudoun County, Virginia",21,"Mining, quarrying, and oil and gas extraction",All establishments,All establishments,2019,6,"25,393","12,416",593,
1594,"Loudoun County, Virginia",22,Utilities,All establishments,All establishments,2019,5,"8,361","2,267",95,
1595,"Loudoun County, Virginia",23,Construction,All establishments,All establishments,2019,883,"966,621","226,715","14,225",
1603,"Loudoun County, Virginia",31-33,Manufacturing,All establishments,All establishments,2019,194,"496,644","121,784","5,729",
1610,"Loudoun County, Virginia",42,Wholesale trade,All establishments,All establishments,2019,286,"257,407","67,053","3,372",
1617,"Loudoun County, Virginia",44-45,Retail trade,All establishments,All establishments,2019,"1,053","592,876","144,128","19,356",
1625,"Loudoun County, Virginia",48-49,Transportation and warehousing,All establishments,All establishments,2019,340,"662,149","170,984","13,563",
1634,"Loudoun County, Virginia",51,Information,All establishments,All establishments,2019,312,"1,222,338","404,154","10,026",
1642,"Loudoun County, Virginia",52,Finance and insurance,All establishments,All establishments,2019,398,"340,235","82,061","3,506",
1648,"Loudoun County, Virginia",53,Real estate and rental and leasing,All establishments,All establishments,2019,485,"103,400","23,998","1,731",
1654,"Loudoun County, Virginia",54,"Professional, scientific, and technical services",All establishments,All establishments,2019,"3,216","2,793,340","658,042","31,048",
1662,"Loudoun County, Virginia",55,Management of companies and enterprises,All establishments,All establishments,2019,58,"320,347","81,494","3,655",
1669,"Loudoun County, Virginia",56,Administrative and support and waste management and remediation services,All establishments,All establishments,2019,605,"653,641","151,137","14,794",
1677,"Loudoun County, Virginia",61,Educational services,All establishments,All establishments,2019,247,"85,474","21,183","2,953",
1683,"Loudoun County, Virginia",62,Health care and social assistance,All establishments,All establishments,2019,"1,049","738,162","171,938","14,567",
1690,"Loudoun County, Virginia",71,"Arts, entertainment, and recreation",All establishments,All establishments,2019,179,"297,391","34,265","3,981",
1697,"Loudoun County, Virginia",72,Accommodation and food services,All establishments,All establishments,2019,780,"409,627","95,782","17,444",
1704,"Loudoun County, Virginia",81,Other services (except public administration),All establishments,All establishments,2019,890,"336,865","82,795","7,626",
1711,"Loudoun County, Virginia",99,Industries not classified,All establishments,All establishments,2019,17,545,114,18,
1713,"Loudoun County, Virginia",0,Total for all sectors,All establishments,All establishments,2020,"11,348","10,346,522","2,666,820","169,437",
1725,"Loudoun County, Virginia",11,"Agriculture, forestry, fishing and hunting",All establishments,All establishments,2020,25,"2,173",461,56,
1728,"Loudoun County, Virginia",21,"Mining, quarrying, and oil and gas extraction",All establishments,All establishments,2020,7,"23,739","5,916",233,
1730,"Loudoun County, Virginia",22,Utilities,All establishments,All establishments,2020,7,"11,732","3,070",127,
1732,"Loudoun County, Virginia",23,Construction,All establishments,All establishments,2020,890,"968,326","239,505","14,153",
1740,"Loudoun County, Virginia",31-33,Manufacturing,All establishments,All establishments,2020,194,"507,966","122,985","5,952",
1747,"Loudoun County, Virginia",42,Wholesale trade,All establishments,All establishments,2020,302,"272,645","77,425","3,994",
1754,"Loudoun County, Virginia",44-45,Retail trade,All establishments,All establishments,2020,"1,032","608,112","149,205","19,936",
1762,"Loudoun County, Virginia",48-49,Transportation and warehousing,All establishments,All establishments,2020,348,"600,533","187,384","14,920",
1771,"Loudoun County, Virginia",51,Information,All establishments,All establishments,2020,334,"1,197,133","401,367","9,492",
1779,"Loudoun County, Virginia",52,Finance and insurance,All establishments,All establishments,2020,405,"376,329","83,074","3,458",
1786,"Loudoun County, Virginia",53,Real estate and rental and leasing,All establishments,All establishments,2020,522,"103,549","24,876","1,756",
