"Geographic identifier code (GEO_ID)","Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Year (YEAR)","Number of firms (FIRM)","Number of establishments (ESTAB)","Sales, value of shipments, or revenue ($1,000) (RCPTOT)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)"
"0500000US48113","Dallas County, Texas","61","2017","73","75","96,535","22,335","5,731","766"
"0500000US48113","Dallas County, Texas","62","2017","6,489","7,772","24,757,411","9,273,367","2,187,821","183,205"
"0500000US48113","Dallas County, Texas","62","2017","6,074","7,202","14,914,946","5,862,894","1,394,770","122,762"
"0500000US48113","Dallas County, Texas","62","2017","426","570","9,842,465","3,410,473","793,051","60,443"
"0500000US48113","Dallas County, Texas","71","2017","654","739","1,919,303","589,279","133,919","17,975"
"0500000US48113","Dallas County, Texas","71","2017","552","623","1,335,817","398,696","90,581","12,652"
"0500000US48113","Dallas County, Texas","71","2017","102","116","583,486","190,583","43,338","5,323"
"0500000US48113","Dallas County, Texas","72","2017","4,309","6,016","9,588,587","2,677,179","649,696","134,426"
"0500000US48113","Dallas County, Texas","81","2017","3,294","3,647","6,320,393","1,479,830","359,396","35,701"
"0500000US48113","Dallas County, Texas","81","2017","2,681","3,009","3,831,699","981,132","235,340","26,632"
"0500000US48113","Dallas County, Texas","81","2017","613","638","2,488,694","498,698","124,056","9,069"
"0500000US51059","Fairfax County, Virginia","22","2017","15","20","Q","121,488","32,120","1,270"
"0500000US51059","Fairfax County, Virginia","31-33","2017","336","342","1,359,776","395,379","97,035","6,064"
"0500000US51059","Fairfax County, Virginia","42","2017","669","738","32,745,695","1,438,178","330,640","13,174"
"0500000US51059","Fairfax County, Virginia","44-45","2017","1,732","2,681","16,029,985","1,649,888","400,657","52,389"
"0500000US51059","Fairfax County, Virginia","48-49 (106)","2017","403","432","2,058,806","376,803","91,613","7,995"
"0500000US51059","Fairfax County, Virginia","51","2017","671","915","N","4,864,284","1,302,049","41,661"
"0500000US51059","Fairfax County, Virginia","52","2017","1,001","1,656","N","3,557,890","1,075,216","29,961"
"0500000US51059","Fairfax County, Virginia","53","2017","1,226","1,665","3,610,820","832,931","210,242","11,578"
"0500000US51059","Fairfax County, Virginia","54","2017","7,474","8,858","50,625,223","20,759,598","5,241,493","206,263"
"0500000US51059","Fairfax County, Virginia","54","2017","7,439","8,813","49,360,690","20,005,955","5,066,421","200,603"
"0500000US51059","Fairfax County, Virginia","54","2017","36","45","1,264,533","753,643","175,072","5,660"
"0500000US51059","Fairfax County, Virginia","56","2017","1,515","1,784","7,143,966","3,512,463","839,077","65,516"
"0500000US51059","Fairfax County, Virginia","61","2017","552","572","1,054,744","328,063","82,875","6,610"
"0500000US51059","Fairfax County, Virginia","61","2017","490","508","564,077","182,887","43,950","4,734"
"0500000US51059","Fairfax County, Virginia","61","2017","62","64","490,667","145,176","38,925","1,876"
"0500000US51059","Fairfax County, Virginia","62","2017","2,765","3,242","8,427,131","3,213,792","777,736","60,021"
"0500000US51059","Fairfax County, Virginia","62","2017","2,596","2,975","5,153,252","2,150,970","516,670","39,249"
"0500000US51059","Fairfax County, Virginia","62","2017","173","267","3,273,879","1,062,822","261,066","20,772"
"0500000US51059","Fairfax County, Virginia","71","2017","376","410","1,207,710","297,886","79,353","11,121"
"0500000US51059","Fairfax County, Virginia","71","2017","294","328","993,708","219,917","61,316","8,307"
"0500000US51059","Fairfax County, Virginia","71","2017","82","82","214,002","77,969","18,037","2,814"
"0500000US51059","Fairfax County, Virginia","72","2017","1,814","2,421","3,518,988","945,381","224,892","44,519"
"0500000US51059","Fairfax County, Virginia","81","2017","1,970","2,124","3,028,375","828,780","201,678","16,922"
"0500000US51059","Fairfax County, Virginia","81","2017","1,487","1,630","1,248,374","383,256","92,159","10,824"
"0500000US51059","Fairfax County, Virginia","81","2017","484","494","1,780,001","445,524","109,519","6,098"
"0500000US51107","Loudoun County, Virginia","22","2017","3","4","Q","D","D","20 to 99 employees"
"0500000US51107","Loudoun County, Virginia","31-33","2017","178","183","2,123,113","494,766","120,700","6,523"
"0500000US51107","Loudoun County, Virginia","42","2017","241","251","1,889,742","230,881","56,151","3,080"
"0500000US51107","Loudoun County, Virginia","44-45","2017","751","1,039","6,080,362","555,904","137,886","19,612"
"0500000US51107","Loudoun County, Virginia","48-49 (106)","2017","300","323","2,997,875","588,271","156,411","12,662"
"0500000US51107","Loudoun County, Virginia","51","2017","201","309","N","1,213,319","399,481","9,714"
"0500000US51107","Loudoun County, Virginia","52","2017","253","402","N","347,629","86,008","3,487"
"0500000US51107","Loudoun County, Virginia","53","2017","368","435","601,397","107,694","28,831","1,676"
"0500000US51107","Loudoun County, Virginia","54","2017","2,947","3,085","5,999,960","2,520,668","614,004","29,087"
"0500000US51107","Loudoun County, Virginia","54","2017","D","D","D","D","D","25,000 to 49,999 employees"
"0500000US51107","Loudoun County, Virginia","54","2017","D","D","D","D","D","500 to 999 employees"
"0500000US51107","Loudoun County, Virginia","56","2017","580","605","1,243,524","523,005","118,181","12,752"
"0500000US51107","Loudoun County, Virginia","61","2017","185","191","108,052","33,249","8,121","1,578"
"0500000US51107","Loudoun County, Virginia","61","2017","173","179","78,924","25,909","6,305","1,423"
"0500000US51107","Loudoun County, Virginia","61","2017","12","12","29,128","7,340","1,816","155"
"0500000US51107","Loudoun County, Virginia","62","2017","821","947","1,761,140","665,496","163,577","14,238"
"0500000US51107","Loudoun County, Virginia","62","2017","774","890","1,183,980","496,185","122,602","10,547"
"0500000US51107","Loudoun County, Virginia","62","2017","49","57","577,160","169,311","40,975","3,691"
"0500000US51107","Loudoun County, Virginia","71","2017","155","156","184,197","59,647","13,285","3,086"
"0500000US51107","Loudoun County, Virginia","71","2017","133","134","170,298","55,671","12,325","2,969"
"0500000US51107","Loudoun County, Virginia","71","2017","22","22","13,899","3,976","960","117"
"0500000US51107","Loudoun County, Virginia","72","2017","642","777","1,310,471","365,045","84,404","16,541"
"0500000US51107","Loudoun County, Virginia","81","2017","645","680","657,074","202,677","49,683","4,846"
"0500000US51107","Loudoun County, Virginia","81","2017","557","592","422,831","154,445","38,244","4,130"
"0500000US51107","Loudoun County, Virginia","81","2017","88","88","234,243","48,232","11,439","716"
