"Label (Grouping)","Santa Clara County, California!!Total!!Estimate","Santa Clara County, California!!Total!!Margin of Error","Santa Clara County, California!!Male!!Estimate","Santa Clara County, California!!Male!!Margin of Error","Santa Clara County, California!!Female!!Estimate","Santa Clara County, California!!Female!!Margin of Error","Montgomery County, Maryland!!Total!!Estimate","Montgomery County, Maryland!!Total!!Margin of Error","Montgomery County, Maryland!!Male!!Estimate","Montgomery County, Maryland!!Male!!Margin of Error","Montgomery County, Maryland!!Female!!Estimate","Montgomery County, Maryland!!Female!!Margin of Error","Wake County, North Carolina!!Total!!Estimate","Wake County, North Carolina!!Total!!Margin of Error","Wake County, North Carolina!!Male!!Estimate","Wake County, North Carolina!!Male!!Margin of Error","Wake County, North Carolina!!Female!!Estimate","Wake County, North Carolina!!Female!!Margin of Error","Davidson County, Tennessee!!Total!!Estimate","Davidson County, Tennessee!!Total!!Margin of Error","Davidson County, Tennessee!!Male!!Estimate","Davidson County, Tennessee!!Male!!Margin of Error","Davidson County, Tennessee!!Female!!Estimate","Davidson County, Tennessee!!Female!!Margin of Error","Dallas County, Texas!!Total!!Estimate","Dallas County, Texas!!Total!!Margin of Error","Dallas County, Texas!!Male!!Estimate","Dallas County, Texas!!Male!!Margin of Error","Dallas County, Texas!!Female!!Estimate","Dallas County, Texas!!Female!!Margin of Error","Fairfax County, Virginia!!Total!!Estimate","Fairfax County, Virginia!!Total!!Margin of Error","Fairfax County, Virginia!!Male!!Estimate","Fairfax County, Virginia!!Male!!Margin of Error","Fairfax County, Virginia!!Female!!Estimate","Fairfax County, Virginia!!Female!!Margin of Error","Loudoun County, Virginia!!Total!!Estimate","Loudoun County, Virginia!!Total!!Margin of Error","Loudoun County, Virginia!!Male!!Estimate","Loudoun County, Virginia!!Male!!Margin of Error","Loudoun County, Virginia!!Female!!Estimate","Loudoun County, Virginia!!Female!!Margin of Error"
"    40 to 44 years","7.6%","±0.2","7.7%","±0.3","7.5%","±0.3","6.8%","±0.3","6.9%","±0.5","6.7%","±0.3","7.4%","±0.4","7.5%","±0.5","7.3%","±0.4","6.4%","±0.5","6.9%","±0.6","6.0%","±0.6","6.7%","±0.2","6.7%","±0.3","6.7%","±0.3","7.0%","±0.3","6.8%","±0.5","7.1%","±0.4","9.1%","±0.5","9.9%","±0.7","8.4%","±0.7"
"    45 to 49 years","7.2%","±0.1","7.2%","±0.1","7.2%","±0.1","7.1%","±0.1","7.0%","±0.1","7.3%","±0.1","7.4%","±0.1","7.4%","±0.1","7.4%","±0.1","6.1%","±0.1","6.2%","±0.1","5.9%","±0.1","6.5%","±0.1","6.6%","±0.1","6.4%","±0.1","7.4%","±0.1","7.3%","±0.1","7.5%","±0.1","8.3%","±0.1","8.4%","±0.1","8.3%","±0.1"
"    50 to 54 years","7.1%","±0.1","7.2%","±0.1","7.0%","±0.1","7.3%","±0.1","7.2%","±0.1","7.5%","±0.1","7.1%","±0.1","7.1%","±0.1","7.1%","±0.1","6.4%","±0.1","6.4%","±0.1","6.3%","±0.1","6.5%","±0.1","6.5%","±0.1","6.4%","±0.1","7.5%","±0.1","7.4%","±0.1","7.6%","±0.1","7.6%","±0.1","7.8%","±0.1","7.3%","±0.1"
"    55 to 59 years","6.4%","±0.2","6.3%","±0.3","6.5%","±0.3","6.8%","±0.2","7.0%","±0.3","6.6%","±0.3","6.3%","±0.3","6.1%","±0.4","6.4%","±0.4","6.3%","±0.4","6.3%","±0.6","6.3%","±0.4","5.8%","±0.2","5.7%","±0.2","5.9%","±0.2","6.6%","±0.3","6.5%","±0.4","6.7%","±0.3","5.2%","±0.4","5.1%","±0.5","5.2%","±0.6"
"    60 to 64 years","5.2%","±0.2","5.1%","±0.3","5.3%","±0.3","6.2%","±0.2","5.7%","±0.3","6.6%","±0.3","4.7%","±0.3","4.6%","±0.4","4.9%","±0.4","5.4%","±0.4","5.1%","±0.6","5.6%","±0.4","4.8%","±0.2","4.7%","±0.2","5.0%","±0.2","6.0%","±0.3","5.9%","±0.4","6.1%","±0.3","4.4%","±0.4","4.5%","±0.5","4.4%","±0.6"
"    65 to 69 years","4.0%","±0.1","3.7%","±0.2","4.4%","±0.2","4.6%","±0.2","4.5%","±0.3","4.6%","±0.3","3.8%","±0.2","3.3%","±0.3","4.2%","±0.2","3.9%","±0.2","3.7%","±0.3","4.2%","±0.3","3.6%","±0.1","3.3%","±0.2","3.8%","±0.2","4.5%","±0.2","4.3%","±0.2","4.8%","±0.2","3.1%","±0.3","2.8%","±0.3","3.3%","±0.4"
"    70 to 74 years","3.0%","±0.1","2.8%","±0.2","3.2%","±0.2","3.4%","±0.2","3.0%","±0.3","3.7%","±0.3","2.6%","±0.2","2.7%","±0.3","2.5%","±0.2","2.6%","±0.2","2.4%","±0.3","2.7%","±0.3","2.3%","±0.1","2.1%","±0.2","2.5%","±0.2","2.8%","±0.2","2.8%","±0.2","2.8%","±0.2","2.2%","±0.3","2.2%","±0.4","2.2%","±0.4"
"    75 to 79 years","2.2%","±0.1","2.0%","±0.2","2.4%","±0.2","2.4%","±0.2","2.2%","±0.2","2.7%","±0.3","1.7%","±0.1","1.4%","±0.2","2.0%","±0.2","1.8%","±0.2","1.5%","±0.2","2.1%","±0.3","1.7%","±0.1","1.5%","±0.1","1.9%","±0.2","1.9%","±0.1","1.7%","±0.2","2.0%","±0.2","1.6%","±0.2","1.2%","±0.3","1.9%","±0.3"
"    80 to 84 years","1.5%","±0.1","1.2%","±0.1","1.8%","±0.2","1.7%","±0.2","1.5%","±0.2","1.8%","±0.2","1.2%","±0.1","1.0%","±0.2","1.3%","±0.2","1.3%","±0.2","1.1%","±0.2","1.6%","±0.2","1.1%","±0.1","0.9%","±0.1","1.4%","±0.1","1.4%","±0.1","1.2%","±0.2","1.5%","±0.2","0.8%","±0.2","0.7%","±0.2","0.8%","±0.3"
"    85 years and over","1.8%","±0.1","1.3%","±0.1","2.2%","±0.2","2.0%","±0.2","1.3%","±0.2","2.6%","±0.3","1.0%","±0.1","0.6%","±0.1","1.4%","±0.2","1.5%","±0.2","1.0%","±0.2","1.9%","±0.3","1.2%","±0.1","0.8%","±0.1","1.5%","±0.1","1.3%","±0.1","0.9%","±0.2","1.7%","±0.2","0.7%","±0.2","0.5%","±0.2","0.9%","±0.3"
"SELECTED AGE CATEGORIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    5 to 14 years","12.8%","±0.1","13.0%","±0.1","12.6%","±0.1","13.0%","±0.1","13.7%","±0.1","12.3%","±0.1","14.2%","±0.1","14.7%","±0.1","13.7%","±0.1","11.5%","±0.1","12.0%","±0.1","10.9%","±0.1","14.9%","±0.1","15.4%","±0.1","14.4%","±0.1","13.1%","±0.1","13.6%","±0.1","12.7%","±0.1","17.1%","±0.1","17.5%","±0.1","16.6%","±0.1"
"    15 to 17 years","3.6%","±0.1","3.7%","±0.1","3.5%","±0.1","3.9%","±0.1","4.1%","±0.1","3.7%","±0.1","4.1%","±0.1","4.2%","±0.1","4.0%","±0.1","3.0%","±0.1","3.3%","±0.2","2.7%","±0.1","4.1%","±0.1","4.3%","±0.1","4.0%","±0.1","3.9%","±0.1","4.1%","±0.1","3.8%","±0.1","4.5%","±0.1","4.6%","±0.1","4.5%","±0.1"
"    18 to 24 years","8.7%","±0.1","9.0%","±0.1","8.4%","±0.1","8.0%","±0.1","8.5%","±0.1","7.5%","±0.1","9.4%","±0.1","9.9%","±0.1","8.9%","±0.1","10.3%","±0.1","10.3%","±0.1","10.4%","±0.2","9.7%","±0.1","10.0%","±0.1","9.5%","±0.1","8.4%","±0.1","8.7%","±0.1","8.1%","±0.1","7.2%","±0.2","7.5%","±0.2","6.9%","±0.3"
"    15 to 44 years","42.4%","±0.1","43.6%","±0.1","41.2%","±0.1","39.0%","±0.1","40.0%","±0.1","38.0%","±0.1","43.6%","±0.1","44.2%","±0.1","43.1%","±0.1","46.4%","±0.1","47.4%","±0.1","45.5%","±0.1","44.0%","±0.1","44.6%","±0.1","43.4%","±0.1","40.7%","±0.1","41.4%","±0.1","40.1%","±0.1","41.7%","±0.1","41.6%","±0.1","41.8%","±0.1"
"    16 years and over","79.7%","±0.1","79.5%","±0.1","80.0%","±0.1","79.1%","±0.2","77.9%","±0.2","80.3%","±0.2","78.0%","±0.2","77.0%","±0.2","79.0%","±0.2","80.3%","±0.2","79.6%","±0.3","81.0%","±0.2","75.9%","±0.1","75.1%","±0.1","76.7%","±0.2","78.8%","±0.1","78.0%","±0.2","79.5%","±0.2","73.7%","±0.3","73.2%","±0.4","74.1%","±0.4"
"    18 years and over","77.2%","*****","76.8%","±0.1","77.7%","±0.1","76.6%","±0.1","75.3%","±0.1","77.8%","±0.1","75.3%","*****","74.3%","±0.1","76.2%","±0.1","78.6%","±0.1","77.7%","±0.2","79.4%","±0.1","73.3%","*****","72.3%","±0.1","74.2%","±0.1","76.2%","±0.1","75.4%","±0.1","77.0%","±0.1","70.9%","*****","70.1%","±0.1","71.7%","±0.1"
"    60 years and over","17.7%","±0.2","16.1%","±0.3","19.3%","±0.3","20.2%","±0.2","18.2%","±0.3","22.1%","±0.3","15.0%","±0.3","13.7%","±0.4","16.3%","±0.4","16.5%","±0.4","14.7%","±0.6","18.1%","±0.4","14.7%","±0.2","13.2%","±0.2","16.2%","±0.2","17.9%","±0.3","16.9%","±0.4","18.9%","±0.3","12.7%","±0.4","11.9%","±0.5","13.5%","±0.6"
"    62 years and over","15.3%","±0.2","13.7%","±0.2","17.0%","±0.2","17.6%","±0.2","15.7%","±0.3","19.4%","±0.3","12.9%","±0.2","11.6%","±0.3","14.1%","±0.3","14.0%","±0.3","12.3%","±0.5","15.6%","±0.4","12.6%","±0.2","11.2%","±0.2","14.1%","±0.2","15.3%","±0.2","14.4%","±0.3","16.2%","±0.3","10.8%","±0.4","10.1%","±0.6","11.6%","±0.5"
"    65 years and over","12.5%","±0.1","11.0%","±0.1","14.0%","±0.1","14.1%","±0.1","12.5%","±0.1","15.5%","±0.1","10.3%","±0.1","9.1%","±0.1","11.4%","±0.1","11.1%","±0.1","9.6%","±0.1","12.5%","±0.1","9.9%","±0.1","8.6%","±0.1","11.2%","±0.1","11.9%","±0.1","11.0%","±0.1","12.8%","±0.1","8.3%","±0.1","7.4%","±0.1","9.1%","±0.1"
"    75 years and over","5.5%","±0.1","4.5%","±0.1","6.4%","±0.1","6.1%","±0.1","4.9%","±0.1","7.2%","±0.1","3.9%","±0.1","3.1%","±0.1","4.7%","±0.1","4.6%","±0.1","3.5%","±0.1","5.6%","±0.1","4.0%","±0.1","3.1%","±0.1","4.8%","±0.1","4.5%","±0.1","3.9%","±0.1","5.2%","±0.1","3.0%","±0.2","2.4%","±0.2","3.6%","±0.2"
"SUMMARY INDICATORS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Median age (years)","37.2","±0.2","36.3","±0.2","38.3","±0.2","38.9","±0.2","37.5","±0.3","40.2","±0.3","35.7","±0.1","34.7","±0.1","36.5","±0.3","34.2","±0.2","33.6","±0.2","34.9","±0.2","33.4","±0.1","32.6","±0.2","34.3","±0.2","37.6","±0.2","36.5","±0.2","38.6","±0.3","35.8","±0.2","35.4","±0.2","36.1","±0.3"
"    Sex ratio (males per 100 females)","101.4","±0.1","(X)","(X)","(X)","(X)","93.1","±0.1","(X)","(X)","(X)","(X)","94.9","±0.1","(X)","(X)","(X)","(X)","92.6","±0.3","(X)","(X)","(X)","(X)","97.0","±0.1","(X)","(X)","(X)","(X)","98.1","±0.2","(X)","(X)","(X)","(X)","98.6","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","54.4","±0.1","(X)","(X)","(X)","(X)","59.9","±0.1","(X)","(X)","(X)","(X)","53.9","±0.1","(X)","(X)","(X)","(X)","48.2","±0.2","(X)","(X)","(X)","(X)","57.7","±0.1","(X)","(X)","(X)","(X)","55.5","±0.1","(X)","(X)","(X)","(X)","59.6","±0.1","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","19.3","±0.1","(X)","(X)","(X)","(X)","22.5","±0.1","(X)","(X)","(X)","(X)","15.8","±0.1","(X)","(X)","(X)","(X)","16.4","±0.1","(X)","(X)","(X)","(X)","15.6","±0.1","(X)","(X)","(X)","(X)","18.5","±0.1","(X)","(X)","(X)","(X)","13.2","±0.1","(X)","(X)","(X)","(X)"
"    Child dependency ratio","35.1","±0.1","(X)","(X)","(X)","(X)","37.4","±0.1","(X)","(X)","(X)","(X)","38.0","±0.1","(X)","(X)","(X)","(X)","31.7","±0.1","(X)","(X)","(X)","(X)","42.2","±0.1","(X)","(X)","(X)","(X)","37.0","±0.1","(X)","(X)","(X)","(X)","46.4","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Sex","0.0%","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.6%","(X)","(X)","(X)","(X)","(X)","2.2%","(X)","(X)","(X)","(X)","(X)","0.9%","(X)","(X)","(X)","(X)","(X)","1.8%","(X)","(X)","(X)","(X)","(X)","1.3%","(X)","(X)","(X)","(X)","(X)","1.6%","(X)","(X)","(X)","(X)","(X)","1.5%","(X)","(X)","(X)","(X)","(X)"
