label_grouping,value,county,metric
    30 to 34 years,±0.1,santa_clara_county_californiamalemargin_of_error,Unknown
    35 to 39 years,±0.3,santa_clara_county_californiamalemargin_of_error,Unknown
    40 to 44 years,±0.3,santa_clara_county_californiamalemargin_of_error,Unknown
    45 to 49 years,±0.1,santa_clara_county_californiamalemargin_of_error,Unknown
    50 to 54 years,±0.1,santa_clara_county_californiamalemargin_of_error,Unknown
    55 to 59 years,±0.3,santa_clara_county_californiamalemargin_of_error,Unknown
    60 to 64 years,±0.3,santa_clara_county_californiamalemargin_of_error,Unknown
    65 to 69 years,±0.2,santa_clara_county_californiamalemargin_of_error,Unknown
    70 to 74 years,±0.2,santa_clara_county_californiamalemargin_of_error,Unknown
    75 to 79 years,±0.2,santa_clara_county_californiamalemargin_of_error,Unknown
    80 to 84 years,±0.1,santa_clara_county_californiamalemargin_of_error,Unknown
    85 years and over,±0.1,santa_clara_county_californiamalemargin_of_error,Unknown
SELECTED AGE CATEGORIES,,santa_clara_county_californiamalemargin_of_error,Unknown
    5 to 14 years,±0.1,santa_clara_county_californiamalemargin_of_error,Unknown
    15 to 17 years,±0.1,santa_clara_county_californiamalemargin_of_error,Unknown
    18 to 24 years,±0.1,santa_clara_county_californiamalemargin_of_error,Unknown
    15 to 44 years,±0.1,santa_clara_county_californiamalemargin_of_error,Unknown
    16 years and over,±0.1,santa_clara_county_californiamalemargin_of_error,Unknown
    18 years and over,±0.1,santa_clara_county_californiamalemargin_of_error,Unknown
    60 years and over,±0.3,santa_clara_county_californiamalemargin_of_error,Unknown
    62 years and over,±0.2,santa_clara_county_californiamalemargin_of_error,Unknown
    65 years and over,±0.1,santa_clara_county_californiamalemargin_of_error,Unknown
    75 years and over,±0.1,santa_clara_county_californiamalemargin_of_error,Unknown
SUMMARY INDICATORS,,santa_clara_county_californiamalemargin_of_error,Unknown
    Median age (years),±0.2,santa_clara_county_californiamalemargin_of_error,Unknown
    Sex ratio (males per 100 females),(X),santa_clara_county_californiamalemargin_of_error,Unknown
    Age dependency ratio,(X),santa_clara_county_californiamalemargin_of_error,Unknown
    Old-Age dependency ratio,(X),santa_clara_county_californiamalemargin_of_error,Unknown
    Child dependency ratio,(X),santa_clara_county_californiamalemargin_of_error,Unknown
PERCENT IMPUTED,,santa_clara_county_californiamalemargin_of_error,Unknown
    Sex,(X),santa_clara_county_californiamalemargin_of_error,Unknown
    Age,(X),santa_clara_county_californiamalemargin_of_error,Unknown
Total population,"952,429",santa_clara_county_californiafemaleestimate,Unknown
AGE,,santa_clara_county_californiafemaleestimate,Unknown
    Under 5 years,6.2%,santa_clara_county_californiafemaleestimate,Unknown
    5 to 9 years,6.0%,santa_clara_county_californiafemaleestimate,Unknown
    10 to 14 years,6.6%,santa_clara_county_californiafemaleestimate,Unknown
    15 to 19 years,5.9%,santa_clara_county_californiafemaleestimate,Unknown
    20 to 24 years,6.0%,santa_clara_county_californiafemaleestimate,Unknown
    25 to 29 years,7.1%,santa_clara_county_californiafemaleestimate,Unknown
    30 to 34 years,7.6%,santa_clara_county_californiafemaleestimate,Unknown
    35 to 39 years,7.1%,santa_clara_county_californiafemaleestimate,Unknown
    40 to 44 years,7.5%,santa_clara_county_californiafemaleestimate,Unknown
    45 to 49 years,7.2%,santa_clara_county_californiafemaleestimate,Unknown
    50 to 54 years,7.0%,santa_clara_county_californiafemaleestimate,Unknown
    55 to 59 years,6.5%,santa_clara_county_californiafemaleestimate,Unknown
    60 to 64 years,5.3%,santa_clara_county_californiafemaleestimate,Unknown
    65 to 69 years,4.4%,santa_clara_county_californiafemaleestimate,Unknown
    70 to 74 years,3.2%,santa_clara_county_californiafemaleestimate,Unknown
    75 to 79 years,2.4%,santa_clara_county_californiafemaleestimate,Unknown
    80 to 84 years,1.8%,santa_clara_county_californiafemaleestimate,Unknown
    85 years and over,2.2%,santa_clara_county_californiafemaleestimate,Unknown
SELECTED AGE CATEGORIES,,santa_clara_county_californiafemaleestimate,Unknown
    5 to 14 years,12.6%,santa_clara_county_californiafemaleestimate,Unknown
    15 to 17 years,3.5%,santa_clara_county_californiafemaleestimate,Unknown
    18 to 24 years,8.4%,santa_clara_county_californiafemaleestimate,Unknown
    15 to 44 years,41.2%,santa_clara_county_californiafemaleestimate,Unknown
    16 years and over,80.0%,santa_clara_county_californiafemaleestimate,Unknown
    18 years and over,77.7%,santa_clara_county_californiafemaleestimate,Unknown
    60 years and over,19.3%,santa_clara_county_californiafemaleestimate,Unknown
    62 years and over,17.0%,santa_clara_county_californiafemaleestimate,Unknown
    65 years and over,14.0%,santa_clara_county_californiafemaleestimate,Unknown
    75 years and over,6.4%,santa_clara_county_californiafemaleestimate,Unknown
SUMMARY INDICATORS,,santa_clara_county_californiafemaleestimate,Unknown
    Median age (years),38.3,santa_clara_county_californiafemaleestimate,Unknown
    Sex ratio (males per 100 females),(X),santa_clara_county_californiafemaleestimate,Unknown
    Age dependency ratio,(X),santa_clara_county_californiafemaleestimate,Unknown
    Old-Age dependency ratio,(X),santa_clara_county_californiafemaleestimate,Unknown
    Child dependency ratio,(X),santa_clara_county_californiafemaleestimate,Unknown
PERCENT IMPUTED,,santa_clara_county_californiafemaleestimate,Unknown
    Sex,(X),santa_clara_county_californiafemaleestimate,Unknown
    Age,(X),santa_clara_county_californiafemaleestimate,Unknown
Total population,±649,santa_clara_county_californiafemalemargin_of_error,Unknown
AGE,,santa_clara_county_californiafemalemargin_of_error,Unknown
    Under 5 years,±0.1,santa_clara_county_californiafemalemargin_of_error,Unknown
    5 to 9 years,±0.3,santa_clara_county_californiafemalemargin_of_error,Unknown
    10 to 14 years,±0.3,santa_clara_county_californiafemalemargin_of_error,Unknown
    15 to 19 years,±0.1,santa_clara_county_californiafemalemargin_of_error,Unknown
    20 to 24 years,±0.1,santa_clara_county_californiafemalemargin_of_error,Unknown
    25 to 29 years,±0.1,santa_clara_county_californiafemalemargin_of_error,Unknown
    30 to 34 years,±0.1,santa_clara_county_californiafemalemargin_of_error,Unknown
    35 to 39 years,±0.3,santa_clara_county_californiafemalemargin_of_error,Unknown
    40 to 44 years,±0.3,santa_clara_county_californiafemalemargin_of_error,Unknown
    45 to 49 years,±0.1,santa_clara_county_californiafemalemargin_of_error,Unknown
    50 to 54 years,±0.1,santa_clara_county_californiafemalemargin_of_error,Unknown
    55 to 59 years,±0.3,santa_clara_county_californiafemalemargin_of_error,Unknown
    60 to 64 years,±0.3,santa_clara_county_californiafemalemargin_of_error,Unknown
    65 to 69 years,±0.2,santa_clara_county_californiafemalemargin_of_error,Unknown
    70 to 74 years,±0.2,santa_clara_county_californiafemalemargin_of_error,Unknown
    75 to 79 years,±0.2,santa_clara_county_californiafemalemargin_of_error,Unknown
    80 to 84 years,±0.2,santa_clara_county_californiafemalemargin_of_error,Unknown
    85 years and over,±0.2,santa_clara_county_californiafemalemargin_of_error,Unknown
SELECTED AGE CATEGORIES,,santa_clara_county_californiafemalemargin_of_error,Unknown
    5 to 14 years,±0.1,santa_clara_county_californiafemalemargin_of_error,Unknown
    15 to 17 years,±0.1,santa_clara_county_californiafemalemargin_of_error,Unknown
    18 to 24 years,±0.1,santa_clara_county_californiafemalemargin_of_error,Unknown
    15 to 44 years,±0.1,santa_clara_county_californiafemalemargin_of_error,Unknown
    16 years and over,±0.1,santa_clara_county_californiafemalemargin_of_error,Unknown
    18 years and over,±0.1,santa_clara_county_californiafemalemargin_of_error,Unknown
    60 years and over,±0.3,santa_clara_county_californiafemalemargin_of_error,Unknown
    62 years and over,±0.2,santa_clara_county_californiafemalemargin_of_error,Unknown
    65 years and over,±0.1,santa_clara_county_californiafemalemargin_of_error,Unknown
    75 years and over,±0.1,santa_clara_county_californiafemalemargin_of_error,Unknown
SUMMARY INDICATORS,,santa_clara_county_californiafemalemargin_of_error,Unknown
    Median age (years),±0.2,santa_clara_county_californiafemalemargin_of_error,Unknown
    Sex ratio (males per 100 females),(X),santa_clara_county_californiafemalemargin_of_error,Unknown
    Age dependency ratio,(X),santa_clara_county_californiafemalemargin_of_error,Unknown
    Old-Age dependency ratio,(X),santa_clara_county_californiafemalemargin_of_error,Unknown
    Child dependency ratio,(X),santa_clara_county_californiafemalemargin_of_error,Unknown
PERCENT IMPUTED,,santa_clara_county_californiafemalemargin_of_error,Unknown
    Sex,(X),santa_clara_county_californiafemalemargin_of_error,Unknown
    Age,(X),santa_clara_county_californiafemalemargin_of_error,Unknown
Total population,"1,040,116",montgomery_county_marylandtotalestimate,Unknown
AGE,,montgomery_county_marylandtotalestimate,Unknown
    Under 5 years,6.5%,montgomery_county_marylandtotalestimate,Unknown
    5 to 9 years,6.5%,montgomery_county_marylandtotalestimate,Unknown
    10 to 14 years,6.4%,montgomery_county_marylandtotalestimate,Unknown
    15 to 19 years,6.1%,montgomery_county_marylandtotalestimate,Unknown
    20 to 24 years,5.8%,montgomery_county_marylandtotalestimate,Unknown
    25 to 29 years,6.3%,montgomery_county_marylandtotalestimate,Unknown
    30 to 34 years,6.9%,montgomery_county_marylandtotalestimate,Unknown
    35 to 39 years,7.1%,montgomery_county_marylandtotalestimate,Unknown
    40 to 44 years,6.8%,montgomery_county_marylandtotalestimate,Unknown
    45 to 49 years,7.1%,montgomery_county_marylandtotalestimate,Unknown
    50 to 54 years,7.3%,montgomery_county_marylandtotalestimate,Unknown
    55 to 59 years,6.8%,montgomery_county_marylandtotalestimate,Unknown
    60 to 64 years,6.2%,montgomery_county_marylandtotalestimate,Unknown
    65 to 69 years,4.6%,montgomery_county_marylandtotalestimate,Unknown
    70 to 74 years,3.4%,montgomery_county_marylandtotalestimate,Unknown
    75 to 79 years,2.4%,montgomery_county_marylandtotalestimate,Unknown
    80 to 84 years,1.7%,montgomery_county_marylandtotalestimate,Unknown
    85 years and over,2.0%,montgomery_county_marylandtotalestimate,Unknown
SELECTED AGE CATEGORIES,,montgomery_county_marylandtotalestimate,Unknown
    5 to 14 years,13.0%,montgomery_county_marylandtotalestimate,Unknown
    15 to 17 years,3.9%,montgomery_county_marylandtotalestimate,Unknown
    18 to 24 years,8.0%,montgomery_county_marylandtotalestimate,Unknown
    15 to 44 years,39.0%,montgomery_county_marylandtotalestimate,Unknown
    16 years and over,79.1%,montgomery_county_marylandtotalestimate,Unknown
    18 years and over,76.6%,montgomery_county_marylandtotalestimate,Unknown
    60 years and over,20.2%,montgomery_county_marylandtotalestimate,Unknown
    62 years and over,17.6%,montgomery_county_marylandtotalestimate,Unknown
    65 years and over,14.1%,montgomery_county_marylandtotalestimate,Unknown
    75 years and over,6.1%,montgomery_county_marylandtotalestimate,Unknown
SUMMARY INDICATORS,,montgomery_county_marylandtotalestimate,Unknown
    Median age (years),38.9,montgomery_county_marylandtotalestimate,Unknown
    Sex ratio (males per 100 females),93.1,montgomery_county_marylandtotalestimate,Unknown
    Age dependency ratio,59.9,montgomery_county_marylandtotalestimate,Unknown
    Old-Age dependency ratio,22.5,montgomery_county_marylandtotalestimate,Unknown
    Child dependency ratio,37.4,montgomery_county_marylandtotalestimate,Unknown
PERCENT IMPUTED,,montgomery_county_marylandtotalestimate,Unknown
    Sex,0.1%,montgomery_county_marylandtotalestimate,Unknown
    Age,2.2%,montgomery_county_marylandtotalestimate,Unknown
Total population,*****,montgomery_county_marylandtotalmargin_of_error,Unknown
AGE,,montgomery_county_marylandtotalmargin_of_error,Unknown
    Under 5 years,±0.1,montgomery_county_marylandtotalmargin_of_error,Unknown
    5 to 9 years,±0.3,montgomery_county_marylandtotalmargin_of_error,Unknown
    10 to 14 years,±0.3,montgomery_county_marylandtotalmargin_of_error,Unknown
    15 to 19 years,±0.1,montgomery_county_marylandtotalmargin_of_error,Unknown
    20 to 24 years,±0.1,montgomery_county_marylandtotalmargin_of_error,Unknown
    25 to 29 years,±0.1,montgomery_county_marylandtotalmargin_of_error,Unknown
    30 to 34 years,±0.1,montgomery_county_marylandtotalmargin_of_error,Unknown
    35 to 39 years,±0.3,montgomery_county_marylandtotalmargin_of_error,Unknown
    40 to 44 years,±0.3,montgomery_county_marylandtotalmargin_of_error,Unknown
    45 to 49 years,±0.1,montgomery_county_marylandtotalmargin_of_error,Unknown
    50 to 54 years,±0.1,montgomery_county_marylandtotalmargin_of_error,Unknown
    55 to 59 years,±0.2,montgomery_county_marylandtotalmargin_of_error,Unknown
    60 to 64 years,±0.2,montgomery_county_marylandtotalmargin_of_error,Unknown
    65 to 69 years,±0.2,montgomery_county_marylandtotalmargin_of_error,Unknown
    70 to 74 years,±0.2,montgomery_county_marylandtotalmargin_of_error,Unknown
    75 to 79 years,±0.2,montgomery_county_marylandtotalmargin_of_error,Unknown
    80 to 84 years,±0.2,montgomery_county_marylandtotalmargin_of_error,Unknown
    85 years and over,±0.2,montgomery_county_marylandtotalmargin_of_error,Unknown
SELECTED AGE CATEGORIES,,montgomery_county_marylandtotalmargin_of_error,Unknown
    5 to 14 years,±0.1,montgomery_county_marylandtotalmargin_of_error,Unknown
    15 to 17 years,±0.1,montgomery_county_marylandtotalmargin_of_error,Unknown
    18 to 24 years,±0.1,montgomery_county_marylandtotalmargin_of_error,Unknown
    15 to 44 years,±0.1,montgomery_county_marylandtotalmargin_of_error,Unknown
    16 years and over,±0.2,montgomery_county_marylandtotalmargin_of_error,Unknown
    18 years and over,±0.1,montgomery_county_marylandtotalmargin_of_error,Unknown
    60 years and over,±0.2,montgomery_county_marylandtotalmargin_of_error,Unknown
    62 years and over,±0.2,montgomery_county_marylandtotalmargin_of_error,Unknown
    65 years and over,±0.1,montgomery_county_marylandtotalmargin_of_error,Unknown
    75 years and over,±0.1,montgomery_county_marylandtotalmargin_of_error,Unknown
SUMMARY INDICATORS,,montgomery_county_marylandtotalmargin_of_error,Unknown
    Median age (years),±0.2,montgomery_county_marylandtotalmargin_of_error,Unknown
    Sex ratio (males per 100 females),±0.1,montgomery_county_marylandtotalmargin_of_error,Unknown
    Age dependency ratio,±0.1,montgomery_county_marylandtotalmargin_of_error,Unknown
    Old-Age dependency ratio,±0.1,montgomery_county_marylandtotalmargin_of_error,Unknown
    Child dependency ratio,±0.1,montgomery_county_marylandtotalmargin_of_error,Unknown
PERCENT IMPUTED,,montgomery_county_marylandtotalmargin_of_error,Unknown
    Sex,(X),montgomery_county_marylandtotalmargin_of_error,Unknown
    Age,(X),montgomery_county_marylandtotalmargin_of_error,Unknown
Total population,"501,379",montgomery_county_marylandmaleestimate,Unknown
AGE,,montgomery_county_marylandmaleestimate,Unknown
    Under 5 years,6.9%,montgomery_county_marylandmaleestimate,Unknown
    5 to 9 years,7.0%,montgomery_county_marylandmaleestimate,Unknown
    10 to 14 years,6.7%,montgomery_county_marylandmaleestimate,Unknown
    15 to 19 years,6.5%,montgomery_county_marylandmaleestimate,Unknown
    20 to 24 years,6.2%,montgomery_county_marylandmaleestimate,Unknown
    25 to 29 years,6.4%,montgomery_county_marylandmaleestimate,Unknown
    30 to 34 years,7.0%,montgomery_county_marylandmaleestimate,Unknown
    35 to 39 years,7.0%,montgomery_county_marylandmaleestimate,Unknown
    40 to 44 years,6.9%,montgomery_county_marylandmaleestimate,Unknown
    45 to 49 years,7.0%,montgomery_county_marylandmaleestimate,Unknown
    50 to 54 years,7.2%,montgomery_county_marylandmaleestimate,Unknown
    55 to 59 years,7.0%,montgomery_county_marylandmaleestimate,Unknown
    60 to 64 years,5.7%,montgomery_county_marylandmaleestimate,Unknown
    65 to 69 years,4.5%,montgomery_county_marylandmaleestimate,Unknown
    70 to 74 years,3.0%,montgomery_county_marylandmaleestimate,Unknown
    75 to 79 years,2.2%,montgomery_county_marylandmaleestimate,Unknown
    80 to 84 years,1.5%,montgomery_county_marylandmaleestimate,Unknown
    85 years and over,1.3%,montgomery_county_marylandmaleestimate,Unknown
SELECTED AGE CATEGORIES,,montgomery_county_marylandmaleestimate,Unknown
    5 to 14 years,13.7%,montgomery_county_marylandmaleestimate,Unknown
    15 to 17 years,4.1%,montgomery_county_marylandmaleestimate,Unknown
    18 to 24 years,8.5%,montgomery_county_marylandmaleestimate,Unknown
    15 to 44 years,40.0%,montgomery_county_marylandmaleestimate,Unknown
    16 years and over,77.9%,montgomery_county_marylandmaleestimate,Unknown
    18 years and over,75.3%,montgomery_county_marylandmaleestimate,Unknown
    60 years and over,18.2%,montgomery_county_marylandmaleestimate,Unknown
    62 years and over,15.7%,montgomery_county_marylandmaleestimate,Unknown
    65 years and over,12.5%,montgomery_county_marylandmaleestimate,Unknown
    75 years and over,4.9%,montgomery_county_marylandmaleestimate,Unknown
SUMMARY INDICATORS,,montgomery_county_marylandmaleestimate,Unknown
    Median age (years),37.5,montgomery_county_marylandmaleestimate,Unknown
    Sex ratio (males per 100 females),(X),montgomery_county_marylandmaleestimate,Unknown
    Age dependency ratio,(X),montgomery_county_marylandmaleestimate,Unknown
    Old-Age dependency ratio,(X),montgomery_county_marylandmaleestimate,Unknown
    Child dependency ratio,(X),montgomery_county_marylandmaleestimate,Unknown
PERCENT IMPUTED,,montgomery_county_marylandmaleestimate,Unknown
    Sex,(X),montgomery_county_marylandmaleestimate,Unknown
    Age,(X),montgomery_county_marylandmaleestimate,Unknown
Total population,±351,montgomery_county_marylandmalemargin_of_error,Unknown
AGE,,montgomery_county_marylandmalemargin_of_error,Unknown
    Under 5 years,±0.1,montgomery_county_marylandmalemargin_of_error,Unknown
    5 to 9 years,±0.5,montgomery_county_marylandmalemargin_of_error,Unknown
    10 to 14 years,±0.5,montgomery_county_marylandmalemargin_of_error,Unknown
    15 to 19 years,±0.1,montgomery_county_marylandmalemargin_of_error,Unknown
    20 to 24 years,±0.1,montgomery_county_marylandmalemargin_of_error,Unknown
    25 to 29 years,±0.1,montgomery_county_marylandmalemargin_of_error,Unknown
    30 to 34 years,±0.1,montgomery_county_marylandmalemargin_of_error,Unknown
    35 to 39 years,±0.5,montgomery_county_marylandmalemargin_of_error,Unknown
    40 to 44 years,±0.5,montgomery_county_marylandmalemargin_of_error,Unknown
    45 to 49 years,±0.1,montgomery_county_marylandmalemargin_of_error,Unknown
    50 to 54 years,±0.1,montgomery_county_marylandmalemargin_of_error,Unknown
    55 to 59 years,±0.3,montgomery_county_marylandmalemargin_of_error,Unknown
    60 to 64 years,±0.3,montgomery_county_marylandmalemargin_of_error,Unknown
    65 to 69 years,±0.3,montgomery_county_marylandmalemargin_of_error,Unknown
    70 to 74 years,±0.3,montgomery_county_marylandmalemargin_of_error,Unknown
    75 to 79 years,±0.2,montgomery_county_marylandmalemargin_of_error,Unknown
