label_grouping,value,county,metric
        Moved in 2000 to 2009,"176,033",santa_clara_county_californiaestimate,Unknown
        Moved in 1990 to 1999,"78,360",santa_clara_county_californiaestimate,Unknown
        Moved in 1980 to 1989,"42,625",santa_clara_county_californiaestimate,Unknown
        Moved in 1979 and earlier,"48,859",santa_clara_county_californiaestimate,Unknown
VEHICLES AVAILABLE,,santa_clara_county_californiaestimate,Unknown
    Occupied housing units,"633,786",santa_clara_county_californiaestimate,Unknown
        No vehicles available,"33,383",santa_clara_county_californiaestimate,Unknown
        1 vehicle available,"171,566",santa_clara_county_californiaestimate,Unknown
        2 vehicles available,"255,747",santa_clara_county_californiaestimate,Unknown
        3 or more vehicles available,"173,090",santa_clara_county_californiaestimate,Unknown
HOUSE HEATING FUEL,,santa_clara_county_californiaestimate,Unknown
    Occupied housing units,"633,786",santa_clara_county_californiaestimate,Unknown
        Utility gas,"400,776",santa_clara_county_californiaestimate,Unknown
"        Bottled, tank, or LP gas","9,943",santa_clara_county_californiaestimate,Unknown
        Electricity,"209,637",santa_clara_county_californiaestimate,Unknown
"        Fuel oil, kerosene, etc.",745,santa_clara_county_californiaestimate,Unknown
        Coal or coke,42,santa_clara_county_californiaestimate,Unknown
        Wood,"2,381",santa_clara_county_californiaestimate,Unknown
        Solar energy,"1,846",santa_clara_county_californiaestimate,Unknown
        Other fuel,613,santa_clara_county_californiaestimate,Unknown
        No fuel used,"7,803",santa_clara_county_californiaestimate,Unknown
SELECTED CHARACTERISTICS,,santa_clara_county_californiaestimate,Unknown
    Occupied housing units,"633,786",santa_clara_county_californiaestimate,Unknown
        Lacking complete plumbing facilities,"1,536",santa_clara_county_californiaestimate,Unknown
        Lacking complete kitchen facilities,"4,950",santa_clara_county_californiaestimate,Unknown
        No telephone service available,"11,360",santa_clara_county_californiaestimate,Unknown
OCCUPANTS PER ROOM,,santa_clara_county_californiaestimate,Unknown
    Occupied housing units,"633,786",santa_clara_county_californiaestimate,Unknown
        1.00 or less,"582,158",santa_clara_county_californiaestimate,Unknown
        1.01 to 1.50,"35,504",santa_clara_county_californiaestimate,Unknown
        1.51 or more,"16,124",santa_clara_county_californiaestimate,Unknown
VALUE,,santa_clara_county_californiaestimate,Unknown
    Owner-occupied units,"355,812",santa_clara_county_californiaestimate,Unknown
"        Less than $50,000","5,050",santa_clara_county_californiaestimate,Unknown
"        $50,000 to $99,999","5,897",santa_clara_county_californiaestimate,Unknown
"        $100,000 to $149,999","4,689",santa_clara_county_californiaestimate,Unknown
"        $150,000 to $199,999","3,031",santa_clara_county_californiaestimate,Unknown
"        $200,000 to $299,999","5,999",santa_clara_county_californiaestimate,Unknown
"        $300,000 to $499,999","32,936",santa_clara_county_californiaestimate,Unknown
"        $500,000 to $999,999","171,844",santa_clara_county_californiaestimate,Unknown
"        $1,000,000 or more","126,366",santa_clara_county_californiaestimate,Unknown
        Median (dollars),"836,800",santa_clara_county_californiaestimate,Unknown
MORTGAGE STATUS,,santa_clara_county_californiaestimate,Unknown
    Owner-occupied units,"355,812",santa_clara_county_californiaestimate,Unknown
        Housing units with a mortgage,"253,341",santa_clara_county_californiaestimate,Unknown
        Housing units without a mortgage,"102,471",santa_clara_county_californiaestimate,Unknown
SELECTED MONTHLY OWNER COSTS (SMOC),,santa_clara_county_californiaestimate,Unknown
    Housing units with a mortgage,"253,341",santa_clara_county_californiaestimate,Unknown
        Less than $500,544,santa_clara_county_californiaestimate,Unknown
        $500 to $999,"5,434",santa_clara_county_californiaestimate,Unknown
"        $1,000 to $1,499","17,992",santa_clara_county_californiaestimate,Unknown
"        $1,500 to $1,999","28,305",santa_clara_county_californiaestimate,Unknown
"        $2,000 to $2,499","40,098",santa_clara_county_californiaestimate,Unknown
"        $2,500 to $2,999","39,034",santa_clara_county_californiaestimate,Unknown
"        $3,000 or more","121,934",santa_clara_county_californiaestimate,Unknown
        Median (dollars),"2,939",santa_clara_county_californiaestimate,Unknown
    Housing units without a mortgage,"102,471",santa_clara_county_californiaestimate,Unknown
        Less than $250,"7,153",santa_clara_county_californiaestimate,Unknown
        $250 to $399,"13,981",santa_clara_county_californiaestimate,Unknown
        $400 to $599,"20,740",santa_clara_county_californiaestimate,Unknown
        $600 to $799,"20,316",santa_clara_county_californiaestimate,Unknown
        $800 to $999,"13,863",santa_clara_county_californiaestimate,Unknown
"        $1,000 or more","26,418",santa_clara_county_californiaestimate,Unknown
        Median (dollars),683,santa_clara_county_californiaestimate,Unknown
SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI),,santa_clara_county_californiaestimate,Unknown
    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),"252,059",santa_clara_county_californiaestimate,Unknown
        Less than 20.0 percent,"90,558",santa_clara_county_californiaestimate,Unknown
        20.0 to 24.9 percent,"39,995",santa_clara_county_californiaestimate,Unknown
        25.0 to 29.9 percent,"32,906",santa_clara_county_californiaestimate,Unknown
        30.0 to 34.9 percent,"23,791",santa_clara_county_californiaestimate,Unknown
        35.0 percent or more,"64,809",santa_clara_county_californiaestimate,Unknown
    Not computed,"1,282",santa_clara_county_californiaestimate,Unknown
    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),"101,377",santa_clara_county_californiaestimate,Unknown
        Less than 10.0 percent,"52,786",santa_clara_county_californiaestimate,Unknown
        10.0 to 14.9 percent,"16,386",santa_clara_county_californiaestimate,Unknown
        15.0 to 19.9 percent,"8,621",santa_clara_county_californiaestimate,Unknown
        20.0 to 24.9 percent,"5,086",santa_clara_county_californiaestimate,Unknown
        25.0 to 29.9 percent,"3,724",santa_clara_county_californiaestimate,Unknown
        30.0 to 34.9 percent,"2,695",santa_clara_county_californiaestimate,Unknown
        35.0 percent or more,"12,079",santa_clara_county_californiaestimate,Unknown
    Not computed,"1,094",santa_clara_county_californiaestimate,Unknown
GROSS RENT,,santa_clara_county_californiaestimate,Unknown
    Occupied units paying rent,"270,960",santa_clara_county_californiaestimate,Unknown
        Less than $500,"9,452",santa_clara_county_californiaestimate,Unknown
        $500 to $999,"21,455",santa_clara_county_californiaestimate,Unknown
"        $1,000 to $1,499","49,107",santa_clara_county_californiaestimate,Unknown
"        $1,500 to $1,999","68,355",santa_clara_county_californiaestimate,Unknown
"        $2,000 to $2,499","55,231",santa_clara_county_californiaestimate,Unknown
"        $2,500 to $2,999","35,640",santa_clara_county_californiaestimate,Unknown
"        $3,000 or more","31,720",santa_clara_county_californiaestimate,Unknown
        Median (dollars),"1,906",santa_clara_county_californiaestimate,Unknown
    No rent paid,"7,014",santa_clara_county_californiaestimate,Unknown
GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),,santa_clara_county_californiaestimate,Unknown
    Occupied units paying rent (excluding units where GRAPI cannot be computed),"266,656",santa_clara_county_californiaestimate,Unknown
        Less than 15.0 percent,"37,218",santa_clara_county_californiaestimate,Unknown
        15.0 to 19.9 percent,"35,608",santa_clara_county_californiaestimate,Unknown
        20.0 to 24.9 percent,"34,989",santa_clara_county_californiaestimate,Unknown
        25.0 to 29.9 percent,"32,246",santa_clara_county_californiaestimate,Unknown
        30.0 to 34.9 percent,"22,037",santa_clara_county_californiaestimate,Unknown
        35.0 percent or more,"104,558",santa_clara_county_californiaestimate,Unknown
    Not computed,"11,318",santa_clara_county_californiaestimate,Unknown
HOUSING OCCUPANCY,,santa_clara_county_californiamargin_of_error,Unknown
    Total housing units,±868,santa_clara_county_californiamargin_of_error,Unknown
        Occupied housing units,"±3,221",santa_clara_county_californiamargin_of_error,Unknown
        Vacant housing units,"±3,200",santa_clara_county_californiamargin_of_error,Unknown
    Homeowner vacancy rate,±0.2,santa_clara_county_californiamargin_of_error,Unknown
    Rental vacancy rate,±0.6,santa_clara_county_californiamargin_of_error,Unknown
UNITS IN STRUCTURE,,santa_clara_county_californiamargin_of_error,Unknown
    Total housing units,±868,santa_clara_county_californiamargin_of_error,Unknown
"        1-unit, detached","±6,237",santa_clara_county_californiamargin_of_error,Unknown
"        1-unit, attached","±4,080",santa_clara_county_californiamargin_of_error,Unknown
        2 units,"±1,964",santa_clara_county_californiamargin_of_error,Unknown
        3 or 4 units,"±2,761",santa_clara_county_californiamargin_of_error,Unknown
        5 to 9 units,"±3,041",santa_clara_county_californiamargin_of_error,Unknown
        10 to 19 units,"±2,953",santa_clara_county_californiamargin_of_error,Unknown
        20 or more units,"±4,535",santa_clara_county_californiamargin_of_error,Unknown
        Mobile home,"±2,190",santa_clara_county_californiamargin_of_error,Unknown
"        Boat, RV, van, etc.",±315,santa_clara_county_californiamargin_of_error,Unknown
YEAR STRUCTURE BUILT,,santa_clara_county_californiamargin_of_error,Unknown
    Total housing units,±868,santa_clara_county_californiamargin_of_error,Unknown
        Built 2014 or later,±926,santa_clara_county_californiamargin_of_error,Unknown
        Built 2010 to 2013,"±1,584",santa_clara_county_californiamargin_of_error,Unknown
        Built 2000 to 2009,"±3,313",santa_clara_county_californiamargin_of_error,Unknown
        Built 1990 to 1999,"±3,948",santa_clara_county_californiamargin_of_error,Unknown
        Built 1980 to 1989,"±4,007",santa_clara_county_californiamargin_of_error,Unknown
        Built 1970 to 1979,"±4,903",santa_clara_county_californiamargin_of_error,Unknown
        Built 1960 to 1969,"±4,249",santa_clara_county_californiamargin_of_error,Unknown
        Built 1950 to 1959,"±4,060",santa_clara_county_californiamargin_of_error,Unknown
        Built 1940 to 1949,"±2,162",santa_clara_county_californiamargin_of_error,Unknown
        Built 1939 or earlier,"±2,370",santa_clara_county_californiamargin_of_error,Unknown
ROOMS,,santa_clara_county_californiamargin_of_error,Unknown
    Total housing units,±868,santa_clara_county_californiamargin_of_error,Unknown
        1 room,"±2,481",santa_clara_county_californiamargin_of_error,Unknown
        2 rooms,"±2,859",santa_clara_county_californiamargin_of_error,Unknown
        3 rooms,"±4,091",santa_clara_county_californiamargin_of_error,Unknown
        4 rooms,"±4,308",santa_clara_county_californiamargin_of_error,Unknown
        5 rooms,"±4,763",santa_clara_county_californiamargin_of_error,Unknown
        6 rooms,"±3,884",santa_clara_county_californiamargin_of_error,Unknown
        7 rooms,"±3,677",santa_clara_county_californiamargin_of_error,Unknown
        8 rooms,"±2,423",santa_clara_county_californiamargin_of_error,Unknown
        9 rooms or more,"±2,697",santa_clara_county_californiamargin_of_error,Unknown
        Median rooms,±0.2,santa_clara_county_californiamargin_of_error,Unknown
BEDROOMS,,santa_clara_county_californiamargin_of_error,Unknown
    Total housing units,±868,santa_clara_county_californiamargin_of_error,Unknown
        No bedroom,"±2,595",santa_clara_county_californiamargin_of_error,Unknown
        1 bedroom,"±3,914",santa_clara_county_californiamargin_of_error,Unknown
        2 bedrooms,"±5,318",santa_clara_county_californiamargin_of_error,Unknown
        3 bedrooms,"±6,063",santa_clara_county_californiamargin_of_error,Unknown
        4 bedrooms,"±5,326",santa_clara_county_californiamargin_of_error,Unknown
        5 or more bedrooms,"±2,437",santa_clara_county_californiamargin_of_error,Unknown
HOUSING TENURE,,santa_clara_county_californiamargin_of_error,Unknown
    Occupied housing units,"±3,221",santa_clara_county_californiamargin_of_error,Unknown
        Owner-occupied,"±6,149",santa_clara_county_californiamargin_of_error,Unknown
        Renter-occupied,"±5,935",santa_clara_county_californiamargin_of_error,Unknown
    Average household size of owner-occupied unit,±0.03,santa_clara_county_californiamargin_of_error,Unknown
    Average household size of renter-occupied unit,±0.04,santa_clara_county_californiamargin_of_error,Unknown
YEAR HOUSEHOLDER MOVED INTO UNIT,,santa_clara_county_californiamargin_of_error,Unknown
    Occupied housing units,"±3,221",santa_clara_county_californiamargin_of_error,Unknown
        Moved in 2015 or later,"±3,327",santa_clara_county_californiamargin_of_error,Unknown
        Moved in 2010 to 2014,"±5,547",santa_clara_county_californiamargin_of_error,Unknown
        Moved in 2000 to 2009,"±5,408",santa_clara_county_californiamargin_of_error,Unknown
        Moved in 1990 to 1999,"±3,474",santa_clara_county_californiamargin_of_error,Unknown
        Moved in 1980 to 1989,"±2,878",santa_clara_county_californiamargin_of_error,Unknown
        Moved in 1979 and earlier,"±2,299",santa_clara_county_californiamargin_of_error,Unknown
VEHICLES AVAILABLE,,santa_clara_county_californiamargin_of_error,Unknown
    Occupied housing units,"±3,221",santa_clara_county_californiamargin_of_error,Unknown
        No vehicles available,"±2,671",santa_clara_county_californiamargin_of_error,Unknown
        1 vehicle available,"±5,098",santa_clara_county_californiamargin_of_error,Unknown
        2 vehicles available,"±6,564",santa_clara_county_californiamargin_of_error,Unknown
        3 or more vehicles available,"±4,732",santa_clara_county_californiamargin_of_error,Unknown
HOUSE HEATING FUEL,,santa_clara_county_californiamargin_of_error,Unknown
    Occupied housing units,"±3,221",santa_clara_county_californiamargin_of_error,Unknown
        Utility gas,"±5,906",santa_clara_county_californiamargin_of_error,Unknown
"        Bottled, tank, or LP gas","±1,206",santa_clara_county_californiamargin_of_error,Unknown
        Electricity,"±6,164",santa_clara_county_californiamargin_of_error,Unknown
"        Fuel oil, kerosene, etc.",±403,santa_clara_county_californiamargin_of_error,Unknown
        Coal or coke,±70,santa_clara_county_californiamargin_of_error,Unknown
        Wood,±573,santa_clara_county_californiamargin_of_error,Unknown
        Solar energy,±642,santa_clara_county_californiamargin_of_error,Unknown
        Other fuel,±286,santa_clara_county_californiamargin_of_error,Unknown
        No fuel used,"±1,112",santa_clara_county_californiamargin_of_error,Unknown
SELECTED CHARACTERISTICS,,santa_clara_county_californiamargin_of_error,Unknown
    Occupied housing units,"±3,221",santa_clara_county_californiamargin_of_error,Unknown
        Lacking complete plumbing facilities,±592,santa_clara_county_californiamargin_of_error,Unknown
        Lacking complete kitchen facilities,±909,santa_clara_county_californiamargin_of_error,Unknown
        No telephone service available,"±1,448",santa_clara_county_californiamargin_of_error,Unknown
OCCUPANTS PER ROOM,,santa_clara_county_californiamargin_of_error,Unknown
    Occupied housing units,"±3,221",santa_clara_county_californiamargin_of_error,Unknown
        1.00 or less,"±3,754",santa_clara_county_californiamargin_of_error,Unknown
        1.01 to 1.50,"±2,544",santa_clara_county_californiamargin_of_error,Unknown
        1.51 or more,"±2,217",santa_clara_county_californiamargin_of_error,Unknown
VALUE,,santa_clara_county_californiamargin_of_error,Unknown
    Owner-occupied units,"±6,149",santa_clara_county_californiamargin_of_error,Unknown
"        Less than $50,000",±902,santa_clara_county_californiamargin_of_error,Unknown
"        $50,000 to $99,999",±953,santa_clara_county_californiamargin_of_error,Unknown
"        $100,000 to $149,999",±888,santa_clara_county_californiamargin_of_error,Unknown
"        $150,000 to $199,999",±755,santa_clara_county_californiamargin_of_error,Unknown
"        $200,000 to $299,999","±1,059",santa_clara_county_californiamargin_of_error,Unknown
"        $300,000 to $499,999","±2,502",santa_clara_county_californiamargin_of_error,Unknown
"        $500,000 to $999,999","±4,786",santa_clara_county_californiamargin_of_error,Unknown
"        $1,000,000 or more","±3,522",santa_clara_county_californiamargin_of_error,Unknown
        Median (dollars),"±9,585",santa_clara_county_californiamargin_of_error,Unknown
MORTGAGE STATUS,,santa_clara_county_californiamargin_of_error,Unknown
    Owner-occupied units,"±6,149",santa_clara_county_californiamargin_of_error,Unknown
        Housing units with a mortgage,"±5,858",santa_clara_county_californiamargin_of_error,Unknown
        Housing units without a mortgage,"±3,244",santa_clara_county_californiamargin_of_error,Unknown
SELECTED MONTHLY OWNER COSTS (SMOC),,santa_clara_county_californiamargin_of_error,Unknown
    Housing units with a mortgage,"±5,858",santa_clara_county_californiamargin_of_error,Unknown
        Less than $500,±253,santa_clara_county_californiamargin_of_error,Unknown
        $500 to $999,"±1,063",santa_clara_county_californiamargin_of_error,Unknown
"        $1,000 to $1,499","±1,760",santa_clara_county_californiamargin_of_error,Unknown
"        $1,500 to $1,999","±2,198",santa_clara_county_californiamargin_of_error,Unknown
"        $2,000 to $2,499","±2,890",santa_clara_county_californiamargin_of_error,Unknown
"        $2,500 to $2,999","±2,728",santa_clara_county_californiamargin_of_error,Unknown
"        $3,000 or more","±3,829",santa_clara_county_californiamargin_of_error,Unknown
        Median (dollars),±39,santa_clara_county_californiamargin_of_error,Unknown
    Housing units without a mortgage,"±3,244",santa_clara_county_californiamargin_of_error,Unknown
        Less than $250,±954,santa_clara_county_californiamargin_of_error,Unknown
        $250 to $399,"±1,382",santa_clara_county_californiamargin_of_error,Unknown
        $400 to $599,"±1,622",santa_clara_county_californiamargin_of_error,Unknown
        $600 to $799,"±1,585",santa_clara_county_californiamargin_of_error,Unknown
        $800 to $999,"±1,437",santa_clara_county_californiamargin_of_error,Unknown
"        $1,000 or more","±2,085",santa_clara_county_californiamargin_of_error,Unknown
        Median (dollars),±17,santa_clara_county_californiamargin_of_error,Unknown
SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI),,santa_clara_county_californiamargin_of_error,Unknown
    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),"±5,903",santa_clara_county_californiamargin_of_error,Unknown
        Less than 20.0 percent,"±3,423",santa_clara_county_californiamargin_of_error,Unknown
        20.0 to 24.9 percent,"±2,727",santa_clara_county_californiamargin_of_error,Unknown
        25.0 to 29.9 percent,"±2,670",santa_clara_county_californiamargin_of_error,Unknown
        30.0 to 34.9 percent,"±2,028",santa_clara_county_californiamargin_of_error,Unknown
        35.0 percent or more,"±3,255",santa_clara_county_californiamargin_of_error,Unknown
    Not computed,±616,santa_clara_county_californiamargin_of_error,Unknown
    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),"±3,128",santa_clara_county_californiamargin_of_error,Unknown
        Less than 10.0 percent,"±2,660",santa_clara_county_californiamargin_of_error,Unknown
        10.0 to 14.9 percent,"±1,888",santa_clara_county_californiamargin_of_error,Unknown
        15.0 to 19.9 percent,"±1,224",santa_clara_county_californiamargin_of_error,Unknown
        20.0 to 24.9 percent,"±1,006",santa_clara_county_californiamargin_of_error,Unknown
        25.0 to 29.9 percent,±947,santa_clara_county_californiamargin_of_error,Unknown
        30.0 to 34.9 percent,±686,santa_clara_county_californiamargin_of_error,Unknown
        35.0 percent or more,"±1,624",santa_clara_county_californiamargin_of_error,Unknown
    Not computed,±432,santa_clara_county_californiamargin_of_error,Unknown
GROSS RENT,,santa_clara_county_californiamargin_of_error,Unknown
    Occupied units paying rent,"±5,811",santa_clara_county_californiamargin_of_error,Unknown
        Less than $500,"±1,444",santa_clara_county_californiamargin_of_error,Unknown
        $500 to $999,"±2,274",santa_clara_county_californiamargin_of_error,Unknown
"        $1,000 to $1,499","±3,351",santa_clara_county_californiamargin_of_error,Unknown
"        $1,500 to $1,999","±3,438",santa_clara_county_californiamargin_of_error,Unknown
"        $2,000 to $2,499","±3,844",santa_clara_county_californiamargin_of_error,Unknown
"        $2,500 to $2,999","±3,121",santa_clara_county_californiamargin_of_error,Unknown
"        $3,000 or more","±2,591",santa_clara_county_californiamargin_of_error,Unknown
        Median (dollars),±25,santa_clara_county_californiamargin_of_error,Unknown
    No rent paid,"±1,200",santa_clara_county_californiamargin_of_error,Unknown
GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),,santa_clara_county_californiamargin_of_error,Unknown
    Occupied units paying rent (excluding units where GRAPI cannot be computed),"±5,783",santa_clara_county_californiamargin_of_error,Unknown
        Less than 15.0 percent,"±2,826",santa_clara_county_californiamargin_of_error,Unknown
        15.0 to 19.9 percent,"±2,918",santa_clara_county_californiamargin_of_error,Unknown
        20.0 to 24.9 percent,"±2,480",santa_clara_county_californiamargin_of_error,Unknown
        25.0 to 29.9 percent,"±2,843",santa_clara_county_californiamargin_of_error,Unknown
        30.0 to 34.9 percent,"±2,089",santa_clara_county_californiamargin_of_error,Unknown
        35.0 percent or more,"±5,247",santa_clara_county_californiamargin_of_error,Unknown
    Not computed,"±1,797",santa_clara_county_californiamargin_of_error,Unknown
HOUSING OCCUPANCY,,santa_clara_county_californiapercent,Unknown
    Total housing units,"660,622",santa_clara_county_californiapercent,Unknown
        Occupied housing units,95.9%,santa_clara_county_californiapercent,Unknown
        Vacant housing units,4.1%,santa_clara_county_californiapercent,Unknown
    Homeowner vacancy rate,(X),santa_clara_county_californiapercent,Unknown
    Rental vacancy rate,(X),santa_clara_county_californiapercent,Unknown
UNITS IN STRUCTURE,,santa_clara_county_californiapercent,Unknown
    Total housing units,"660,622",santa_clara_county_californiapercent,Unknown
"        1-unit, detached",52.1%,santa_clara_county_californiapercent,Unknown
"        1-unit, attached",10.4%,santa_clara_county_californiapercent,Unknown
        2 units,1.9%,santa_clara_county_californiapercent,Unknown
        3 or 4 units,5.5%,santa_clara_county_californiapercent,Unknown
        5 to 9 units,5.6%,santa_clara_county_californiapercent,Unknown
        10 to 19 units,5.2%,santa_clara_county_californiapercent,Unknown
        20 or more units,16.3%,santa_clara_county_californiapercent,Unknown
        Mobile home,2.9%,santa_clara_county_californiapercent,Unknown
"        Boat, RV, van, etc.",0.1%,santa_clara_county_californiapercent,Unknown
YEAR STRUCTURE BUILT,,santa_clara_county_californiapercent,Unknown
    Total housing units,"660,622",santa_clara_county_californiapercent,Unknown
        Built 2014 or later,0.7%,santa_clara_county_californiapercent,Unknown
        Built 2010 to 2013,2.6%,santa_clara_county_californiapercent,Unknown
        Built 2000 to 2009,9.1%,santa_clara_county_californiapercent,Unknown
        Built 1990 to 1999,11.0%,santa_clara_county_californiapercent,Unknown
        Built 1980 to 1989,12.4%,santa_clara_county_californiapercent,Unknown
        Built 1970 to 1979,21.8%,santa_clara_county_californiapercent,Unknown
        Built 1960 to 1969,18.4%,santa_clara_county_californiapercent,Unknown
        Built 1950 to 1959,15.0%,santa_clara_county_californiapercent,Unknown
        Built 1940 to 1949,3.9%,santa_clara_county_californiapercent,Unknown
        Built 1939 or earlier,5.1%,santa_clara_county_californiapercent,Unknown
ROOMS,,santa_clara_county_californiapercent,Unknown
    Total housing units,"660,622",santa_clara_county_californiapercent,Unknown
        1 room,3.5%,santa_clara_county_californiapercent,Unknown
        2 rooms,4.9%,santa_clara_county_californiapercent,Unknown
        3 rooms,11.8%,santa_clara_county_californiapercent,Unknown
        4 rooms,18.8%,santa_clara_county_californiapercent,Unknown
        5 rooms,16.8%,santa_clara_county_californiapercent,Unknown
        6 rooms,17.3%,santa_clara_county_californiapercent,Unknown
        7 rooms,11.7%,santa_clara_county_californiapercent,Unknown
        8 rooms,7.8%,santa_clara_county_californiapercent,Unknown
        9 rooms or more,7.4%,santa_clara_county_californiapercent,Unknown
        Median rooms,(X),santa_clara_county_californiapercent,Unknown
BEDROOMS,,santa_clara_county_californiapercent,Unknown
    Total housing units,"660,622",santa_clara_county_californiapercent,Unknown
        No bedroom,3.9%,santa_clara_county_californiapercent,Unknown
        1 bedroom,13.6%,santa_clara_county_californiapercent,Unknown
        2 bedrooms,25.3%,santa_clara_county_californiapercent,Unknown
        3 bedrooms,30.7%,santa_clara_county_californiapercent,Unknown
        4 bedrooms,20.9%,santa_clara_county_californiapercent,Unknown
        5 or more bedrooms,5.6%,santa_clara_county_californiapercent,Unknown
HOUSING TENURE,,santa_clara_county_californiapercent,Unknown
    Occupied housing units,"633,786",santa_clara_county_californiapercent,Unknown
        Owner-occupied,56.1%,santa_clara_county_californiapercent,Unknown
        Renter-occupied,43.9%,santa_clara_county_californiapercent,Unknown
    Average household size of owner-occupied unit,(X),santa_clara_county_californiapercent,Unknown
    Average household size of renter-occupied unit,(X),santa_clara_county_californiapercent,Unknown
YEAR HOUSEHOLDER MOVED INTO UNIT,,santa_clara_county_californiapercent,Unknown
    Occupied housing units,"633,786",santa_clara_county_californiapercent,Unknown
        Moved in 2015 or later,7.2%,santa_clara_county_californiapercent,Unknown
        Moved in 2010 to 2014,38.2%,santa_clara_county_californiapercent,Unknown
