label_grouping,santa_clara_county_californiatotalestimate,santa_clara_county_californiatotalmargin_of_error,santa_clara_county_californiamaleestimate,santa_clara_county_californiamalemargin_of_error,santa_clara_county_californiafemaleestimate,santa_clara_county_californiafemalemargin_of_error,montgomery_county_marylandtotalestimate,montgomery_county_marylandtotalmargin_of_error,montgomery_county_marylandmaleestimate,montgomery_county_marylandmalemargin_of_error,montgomery_county_marylandfemaleestimate,montgomery_county_marylandfemalemargin_of_error,wake_county_north_carolinatotalestimate,wake_county_north_carolinatotalmargin_of_error,wake_county_north_carolinamaleestimate,wake_county_north_carolinamalemargin_of_error,wake_county_north_carolinafemaleestimate,wake_county_north_carolinafemalemargin_of_error,davidson_county_tennesseetotalestimate,davidson_county_tennesseetotalmargin_of_error,davidson_county_tennesseemaleestimate,davidson_county_tennesseemalemargin_of_error,davidson_county_tennesseefemaleestimate,davidson_county_tennesseefemalemargin_of_error,dallas_county_texastotalestimate,dallas_county_texastotalmargin_of_error,dallas_county_texasmaleestimate,dallas_county_texasmalemargin_of_error,dallas_county_texasfemaleestimate,dallas_county_texasfemalemargin_of_error,fairfax_county_virginiatotalestimate,fairfax_county_virginiatotalmargin_of_error,fairfax_county_virginiamaleestimate,fairfax_county_virginiamalemargin_of_error,fairfax_county_virginiafemaleestimate,fairfax_county_virginiafemalemargin_of_error,loudoun_county_virginiatotalestimate,loudoun_county_virginiatotalmargin_of_error,loudoun_county_virginiamaleestimate,loudoun_county_virginiamalemargin_of_error,loudoun_county_virginiafemaleestimate,loudoun_county_virginiafemalemargin_of_error
    40 to 44 years,0.076,0.2,0.077,0.3,0.075,0.3,0.068,0.3,0.069,0.5,0.067,0.3,0.07400000000000001,0.4,0.075,0.5,0.073,0.4,0.064,0.5,0.069,0.6,0.06,0.6,0.067,0.2,0.067,0.3,0.067,0.3,0.07,0.3,0.068,0.5,0.071,0.4,0.091,0.5,0.099,0.7,0.084,0.7
    45 to 49 years,0.07200000000000001,0.1,0.07200000000000001,0.1,0.07200000000000001,0.1,0.071,0.1,0.07,0.1,0.073,0.1,0.07400000000000001,0.1,0.07400000000000001,0.1,0.07400000000000001,0.1,0.061,0.1,0.062,0.1,0.059000000000000004,0.1,0.065,0.1,0.066,0.1,0.064,0.1,0.07400000000000001,0.1,0.073,0.1,0.075,0.1,0.083,0.1,0.084,0.1,0.083,0.1
    50 to 54 years,0.071,0.1,0.07200000000000001,0.1,0.07,0.1,0.073,0.1,0.07200000000000001,0.1,0.075,0.1,0.071,0.1,0.071,0.1,0.071,0.1,0.064,0.1,0.064,0.1,0.063,0.1,0.065,0.1,0.065,0.1,0.064,0.1,0.075,0.1,0.07400000000000001,0.1,0.076,0.1,0.076,0.1,0.078,0.1,0.073,0.1
    55 to 59 years,0.064,0.2,0.063,0.3,0.065,0.3,0.068,0.2,0.07,0.3,0.066,0.3,0.063,0.3,0.061,0.4,0.064,0.4,0.063,0.4,0.063,0.6,0.063,0.4,0.057999999999999996,0.2,0.057,0.2,0.059000000000000004,0.2,0.066,0.3,0.065,0.4,0.067,0.3,0.052000000000000005,0.4,0.051,0.5,0.052000000000000005,0.6
    60 to 64 years,0.052000000000000005,0.2,0.051,0.3,0.053,0.3,0.062,0.2,0.057,0.3,0.066,0.3,0.047,0.3,0.046,0.4,0.049,0.4,0.054000000000000006,0.4,0.051,0.6,0.055999999999999994,0.4,0.048,0.2,0.047,0.2,0.05,0.2,0.06,0.3,0.059000000000000004,0.4,0.061,0.3,0.044000000000000004,0.4,0.045,0.5,0.044000000000000004,0.6
    65 to 69 years,0.04,0.1,0.037000000000000005,0.2,0.044000000000000004,0.2,0.046,0.2,0.045,0.3,0.046,0.3,0.038,0.2,0.033,0.3,0.042,0.2,0.039,0.2,0.037000000000000005,0.3,0.042,0.3,0.036000000000000004,0.1,0.033,0.2,0.038,0.2,0.045,0.2,0.043,0.2,0.048,0.2,0.031,0.3,0.027999999999999997,0.3,0.033,0.4
    70 to 74 years,0.03,0.1,0.027999999999999997,0.2,0.032,0.2,0.034,0.2,0.03,0.3,0.037000000000000005,0.3,0.026000000000000002,0.2,0.027000000000000003,0.3,0.025,0.2,0.026000000000000002,0.2,0.024,0.3,0.027000000000000003,0.3,0.023,0.1,0.021,0.2,0.025,0.2,0.027999999999999997,0.2,0.027999999999999997,0.2,0.027999999999999997,0.2,0.022000000000000002,0.3,0.022000000000000002,0.4,0.022000000000000002,0.4
    75 to 79 years,0.022000000000000002,0.1,0.02,0.2,0.024,0.2,0.024,0.2,0.022000000000000002,0.2,0.027000000000000003,0.3,0.017,0.1,0.013999999999999999,0.2,0.02,0.2,0.018000000000000002,0.2,0.015,0.2,0.021,0.3,0.017,0.1,0.015,0.1,0.019,0.2,0.019,0.1,0.017,0.2,0.02,0.2,0.016,0.2,0.012,0.3,0.019,0.3
    80 to 84 years,0.015,0.1,0.012,0.1,0.018000000000000002,0.2,0.017,0.2,0.015,0.2,0.018000000000000002,0.2,0.012,0.1,0.01,0.2,0.013000000000000001,0.2,0.013000000000000001,0.2,0.011000000000000001,0.2,0.016,0.2,0.011000000000000001,0.1,0.009000000000000001,0.1,0.013999999999999999,0.1,0.013999999999999999,0.1,0.012,0.2,0.015,0.2,0.008,0.2,0.006999999999999999,0.2,0.008,0.3
    85 years and over,0.018000000000000002,0.1,0.013000000000000001,0.1,0.022000000000000002,0.2,0.02,0.2,0.013000000000000001,0.2,0.026000000000000002,0.3,0.01,0.1,0.006,0.1,0.013999999999999999,0.2,0.015,0.2,0.01,0.2,0.019,0.3,0.012,0.1,0.008,0.1,0.015,0.1,0.013000000000000001,0.1,0.009000000000000001,0.2,0.017,0.2,0.006999999999999999,0.2,0.005,0.2,0.009000000000000001,0.3
SELECTED AGE CATEGORIES,0.07200000000000001,N/A,0.07200000000000001,N/A,0.07050000000000001,N/A,0.0685,N/A,0.07,N/A,0.068,N/A,0.07350000000000001,N/A,0.07350000000000001,N/A,0.072,N/A,0.07200000000000001,N/A,0.0695,N/A,0.066,N/A,0.075,N/A,0.07400000000000001,N/A,0.072,N/A,0.07150000000000001,N/A,0.07050000000000001,N/A,0.069,N/A,0.0795,N/A,0.075,N/A,0.075,N/A
    5 to 14 years,0.128,0.1,0.13,0.1,0.126,0.1,0.13,0.1,0.13699999999999998,0.1,0.12300000000000001,0.1,0.142,0.1,0.147,0.1,0.13699999999999998,0.1,0.115,0.1,0.12,0.1,0.109,0.1,0.149,0.1,0.154,0.1,0.14400000000000002,0.1,0.131,0.1,0.136,0.1,0.127,0.1,0.171,0.1,0.175,0.1,0.166,0.1
    15 to 17 years,0.036000000000000004,0.1,0.037000000000000005,0.1,0.035,0.1,0.039,0.1,0.040999999999999995,0.1,0.037000000000000005,0.1,0.040999999999999995,0.1,0.042,0.1,0.04,0.1,0.03,0.1,0.033,0.2,0.027000000000000003,0.1,0.040999999999999995,0.1,0.043,0.1,0.04,0.1,0.039,0.1,0.040999999999999995,0.1,0.038,0.1,0.045,0.1,0.046,0.1,0.045,0.1
    18 to 24 years,0.087,0.1,0.09,0.1,0.084,0.1,0.08,0.1,0.085,0.1,0.075,0.1,0.094,0.1,0.099,0.1,0.08900000000000001,0.1,0.10300000000000001,0.1,0.10300000000000001,0.1,0.10400000000000001,0.2,0.09699999999999999,0.1,0.1,0.1,0.095,0.1,0.084,0.1,0.087,0.1,0.081,0.1,0.07200000000000001,0.2,0.075,0.2,0.069,0.3
    15 to 44 years,0.424,0.1,0.436,0.1,0.41200000000000003,0.1,0.39,0.1,0.4,0.1,0.38,0.1,0.436,0.1,0.442,0.1,0.431,0.1,0.46399999999999997,0.1,0.474,0.1,0.455,0.1,0.44,0.1,0.446,0.1,0.434,0.1,0.40700000000000003,0.1,0.414,0.1,0.401,0.1,0.41700000000000004,0.1,0.41600000000000004,0.1,0.418,0.1
    16 years and over,0.797,0.1,0.795,0.1,0.8,0.1,0.7909999999999999,0.2,0.779,0.2,0.8029999999999999,0.2,0.78,0.2,0.77,0.2,0.79,0.2,0.8029999999999999,0.2,0.7959999999999999,0.3,0.81,0.2,0.759,0.1,0.7509999999999999,0.1,0.767,0.2,0.7879999999999999,0.1,0.78,0.2,0.795,0.2,0.737,0.3,0.732,0.4,0.741,0.4
    18 years and over,0.772,*****,0.768,0.1,0.777,0.1,0.7659999999999999,0.1,0.753,0.1,0.778,0.1,0.753,*****,0.743,0.1,0.762,0.1,0.7859999999999999,0.1,0.777,0.2,0.794,0.1,0.733,*****,0.723,0.1,0.742,0.1,0.762,0.1,0.754,0.1,0.77,0.1,0.7090000000000001,*****,0.701,0.1,0.7170000000000001,0.1
    60 years and over,0.177,0.2,0.161,0.3,0.193,0.3,0.20199999999999999,0.2,0.182,0.3,0.221,0.3,0.15,0.3,0.13699999999999998,0.4,0.163,0.4,0.165,0.4,0.147,0.6,0.18100000000000002,0.4,0.147,0.2,0.132,0.2,0.162,0.2,0.179,0.3,0.16899999999999998,0.4,0.18899999999999997,0.3,0.127,0.4,0.11900000000000001,0.5,0.135,0.6
    62 years and over,0.153,0.2,0.13699999999999998,0.2,0.17,0.2,0.17600000000000002,0.2,0.157,0.3,0.19399999999999998,0.3,0.129,0.2,0.11599999999999999,0.3,0.141,0.3,0.14,0.3,0.12300000000000001,0.5,0.156,0.4,0.126,0.2,0.11199999999999999,0.2,0.141,0.2,0.153,0.2,0.14400000000000002,0.3,0.162,0.3,0.10800000000000001,0.4,0.10099999999999999,0.6,0.11599999999999999,0.5
    65 years and over,0.125,0.1,0.11,0.1,0.14,0.1,0.141,0.1,0.125,0.1,0.155,0.1,0.10300000000000001,0.1,0.091,0.1,0.114,0.1,0.111,0.1,0.096,0.1,0.125,0.1,0.099,0.1,0.086,0.1,0.11199999999999999,0.1,0.11900000000000001,0.1,0.11,0.1,0.128,0.1,0.083,0.1,0.07400000000000001,0.1,0.091,0.1
    75 years and over,0.055,0.1,0.045,0.1,0.064,0.1,0.061,0.1,0.049,0.1,0.07200000000000001,0.1,0.039,0.1,0.031,0.1,0.047,0.1,0.046,0.1,0.035,0.1,0.055999999999999994,0.1,0.04,0.1,0.031,0.1,0.048,0.1,0.045,0.1,0.039,0.1,0.052000000000000005,0.1,0.03,0.2,0.024,0.2,0.036000000000000004,0.2
SUMMARY INDICATORS,0.07200000000000001,N/A,0.07200000000000001,N/A,0.07050000000000001,N/A,0.0685,N/A,0.07,N/A,0.068,N/A,0.07350000000000001,N/A,0.07350000000000001,N/A,0.072,N/A,0.07200000000000001,N/A,0.0695,N/A,0.066,N/A,0.075,N/A,0.07400000000000001,N/A,0.072,N/A,0.07150000000000001,N/A,0.07050000000000001,N/A,0.069,N/A,0.0795,N/A,0.075,N/A,0.075,N/A
    Median age (years),0.37200000000000005,0.2,0.363,0.2,0.38299999999999995,0.2,0.389,0.2,0.375,0.3,0.402,0.3,0.35700000000000004,0.1,0.34700000000000003,0.1,0.365,0.3,0.342,0.2,0.336,0.2,0.349,0.2,0.33399999999999996,0.1,0.326,0.2,0.34299999999999997,0.2,0.376,0.2,0.365,0.2,0.386,0.3,0.358,0.2,0.354,0.2,0.361,0.3
    Sex ratio (males per 100 females),1.014,0.1,0.07200000000000001,N/A,0.07050000000000001,N/A,0.9309999999999999,0.1,0.07,N/A,0.068,N/A,0.9490000000000001,0.1,0.07350000000000001,N/A,0.072,N/A,0.9259999999999999,0.3,0.0695,N/A,0.066,N/A,0.97,0.1,0.07400000000000001,N/A,0.072,N/A,0.981,0.2,0.07050000000000001,N/A,0.069,N/A,0.986,0.1,0.075,N/A,0.075,N/A
    Age dependency ratio,0.544,0.1,0.07200000000000001,N/A,0.07050000000000001,N/A,0.599,0.1,0.07,N/A,0.068,N/A,0.539,0.1,0.07350000000000001,N/A,0.072,N/A,0.48200000000000004,0.2,0.0695,N/A,0.066,N/A,0.5770000000000001,0.1,0.07400000000000001,N/A,0.072,N/A,0.555,0.1,0.07050000000000001,N/A,0.069,N/A,0.596,0.1,0.075,N/A,0.075,N/A
    Old-Age dependency ratio,0.193,0.1,0.07200000000000001,N/A,0.07050000000000001,N/A,0.225,0.1,0.07,N/A,0.068,N/A,0.158,0.1,0.07350000000000001,N/A,0.072,N/A,0.16399999999999998,0.1,0.0695,N/A,0.066,N/A,0.156,0.1,0.07400000000000001,N/A,0.072,N/A,0.185,0.1,0.07050000000000001,N/A,0.069,N/A,0.132,0.1,0.075,N/A,0.075,N/A
    Child dependency ratio,0.35100000000000003,0.1,0.07200000000000001,N/A,0.07050000000000001,N/A,0.374,0.1,0.07,N/A,0.068,N/A,0.38,0.1,0.07350000000000001,N/A,0.072,N/A,0.317,0.1,0.0695,N/A,0.066,N/A,0.42200000000000004,0.1,0.07400000000000001,N/A,0.072,N/A,0.37,0.1,0.07050000000000001,N/A,0.069,N/A,0.46399999999999997,0.1,0.075,N/A,0.075,N/A
PERCENT IMPUTED,0.07200000000000001,N/A,0.07200000000000001,N/A,0.07050000000000001,N/A,0.0685,N/A,0.07,N/A,0.068,N/A,0.07350000000000001,N/A,0.07350000000000001,N/A,0.072,N/A,0.07200000000000001,N/A,0.0695,N/A,0.066,N/A,0.075,N/A,0.07400000000000001,N/A,0.072,N/A,0.07150000000000001,N/A,0.07050000000000001,N/A,0.069,N/A,0.0795,N/A,0.075,N/A,0.075,N/A
    Sex,0.0,N/A,0.07200000000000001,N/A,0.07050000000000001,N/A,0.001,N/A,0.07,N/A,0.068,N/A,0.0,N/A,0.07350000000000001,N/A,0.072,N/A,0.001,N/A,0.0695,N/A,0.066,N/A,0.0,N/A,0.07400000000000001,N/A,0.072,N/A,0.001,N/A,0.07050000000000001,N/A,0.069,N/A,0.0,N/A,0.075,N/A,0.075,N/A
    Age,0.016,N/A,0.07200000000000001,N/A,0.07050000000000001,N/A,0.022000000000000002,N/A,0.07,N/A,0.068,N/A,0.009000000000000001,N/A,0.07350000000000001,N/A,0.072,N/A,0.018000000000000002,N/A,0.0695,N/A,0.066,N/A,0.013000000000000001,N/A,0.07400000000000001,N/A,0.072,N/A,0.016,N/A,0.07050000000000001,N/A,0.069,N/A,0.015,N/A,0.075,N/A,0.075,N/A
