"Label (Grouping)","Santa Clara County, California!!Total!!Estimate","Santa Clara County, California!!Male!!Estimate","Santa Clara County, California!!Percent Male!!Estimate","Santa Clara County, California!!Female!!Estimate","Santa Clara County, California!!Percent Female!!Estimate","Montgomery County, Maryland!!Total!!Estimate","Montgomery County, Maryland!!Male!!Estimate","Montgomery County, Maryland!!Percent Male!!Estimate","Montgomery County, Maryland!!Female!!Estimate","Montgomery County, Maryland!!Percent Female!!Estimate","Wake County, North Carolina!!Total!!Estimate","Wake County, North Carolina!!Male!!Estimate","Wake County, North Carolina!!Percent Male!!Estimate","Wake County, North Carolina!!Female!!Estimate","Wake County, North Carolina!!Percent Female!!Estimate","Davidson County, Tennessee!!Total!!Estimate","Davidson County, Tennessee!!Male!!Estimate","Davidson County, Tennessee!!Percent Male!!Estimate","Davidson County, Tennessee!!Female!!Estimate","Davidson County, Tennessee!!Percent Female!!Estimate","Dallas County, Texas!!Total!!Estimate","Dallas County, Texas!!Male!!Estimate","Dallas County, Texas!!Percent Male!!Estimate","Dallas County, Texas!!Female!!Estimate","Dallas County, Texas!!Percent Female!!Estimate","Fairfax County, Virginia!!Total!!Estimate","Fairfax County, Virginia!!Male!!Estimate","Fairfax County, Virginia!!Percent Male!!Estimate","Fairfax County, Virginia!!Female!!Estimate","Fairfax County, Virginia!!Percent Female!!Estimate","Loudoun County, Virginia!!Total!!Estimate","Loudoun County, Virginia!!Male!!Estimate","Loudoun County, Virginia!!Percent Male!!Estimate","Loudoun County, Virginia!!Female!!Estimate","Loudoun County, Virginia!!Percent Female!!Estimate"
"        Healthcare support occupations","34,653","8,638","24.9%","26,015","75.1%","13,359","2,370","17.7%","10,989","82.3%","11,918","996","8.4%","10,922","91.6%","8,951","1,419","15.9%","7,532","84.1%","32,581","5,523","17.0%","27,058","83.0%","10,392","1,691","16.3%","8,701","83.7%","3,747","847","22.6%","2,900","77.4%"
"        Protective service occupations:","12,765","10,411","81.6%","2,354","18.4%","8,545","5,857","68.5%","2,688","31.5%","8,608","6,443","74.8%","2,165","25.2%","4,442","2,956","66.5%","1,486","33.5%","22,573","13,899","61.6%","8,674","38.4%","12,065","8,769","72.7%","3,296","27.3%","5,741","4,279","74.5%","1,462","25.5%"
"            Firefighting and prevention, and other protective service workers including supervisors","9,380","7,678","81.9%","1,702","18.1%","5,924","4,177","70.5%","1,747","29.5%","4,153","2,749","66.2%","1,404","33.8%","3,081","1,804","58.6%","1,277","41.4%","15,068","9,265","61.5%","5,803","38.5%","7,642","5,442","71.2%","2,200","28.8%","2,863","1,859","64.9%","1,004","35.1%"
"            Law enforcement workers including supervisors","3,385","2,733","80.7%","652","19.3%","2,621","1,680","64.1%","941","35.9%","4,455","3,694","82.9%","761","17.1%","1,361","1,152","84.6%","209","15.4%","7,505","4,634","61.7%","2,871","38.3%","4,423","3,327","75.2%","1,096","24.8%","2,878","2,420","84.1%","458","15.9%"
"        Food preparation and serving related occupations","43,299","21,002","48.5%","22,297","51.5%","21,840","7,978","36.5%","13,862","63.5%","24,096","9,532","39.6%","14,564","60.4%","23,084","10,603","45.9%","12,481","54.1%","67,476","31,833","47.2%","35,643","52.8%","25,765","13,755","53.4%","12,010","46.6%","5,263","2,274","43.2%","2,989","56.8%"
"        Building and grounds cleaning and maintenance occupations","22,237","11,330","51.0%","10,907","49.0%","19,493","7,907","40.6%","11,586","59.4%","16,082","11,484","71.4%","4,598","28.6%","8,877","4,479","50.5%","4,398","49.5%","47,561","23,085","48.5%","24,476","51.5%","13,672","6,315","46.2%","7,357","53.8%","5,680","1,734","30.5%","3,946","69.5%"
"        Personal care and service occupations","25,001","6,341","25.4%","18,660","74.6%","17,163","4,783","27.9%","12,380","72.1%","13,211","3,337","25.3%","9,874","74.7%","11,111","3,265","29.4%","7,846","70.6%","27,750","7,592","27.4%","20,158","72.6%","15,753","3,546","22.5%","12,207","77.5%","4,668","604","12.9%","4,064","87.1%"
"    Sales and office occupations:","144,739","56,656","39.1%","88,083","60.9%","78,791","32,539","41.3%","46,252","58.7%","113,520","47,876","42.2%","65,644","57.8%","67,601","28,938","42.8%","38,663","57.2%","266,679","99,835","37.4%","166,844","62.6%","88,548","37,508","42.4%","51,040","57.6%","33,534","14,245","42.5%","19,289","57.5%"
"        Sales and related occupations","65,929","33,936","51.5%","31,993","48.5%","37,031","19,237","51.9%","17,794","48.1%","60,868","33,297","54.7%","27,571","45.3%","32,988","17,894","54.2%","15,094","45.8%","120,809","57,769","47.8%","63,040","52.2%","44,369","22,511","50.7%","21,858","49.3%","17,085","10,565","61.8%","6,520","38.2%"
"        Office and administrative support occupations","78,810","22,720","28.8%","56,090","71.2%","41,760","13,302","31.9%","28,458","68.1%","52,652","14,579","27.7%","38,073","72.3%","34,613","11,044","31.9%","23,569","68.1%","145,870","42,066","28.8%","103,804","71.2%","44,179","14,997","33.9%","29,182","66.1%","16,449","3,680","22.4%","12,769","77.6%"
"    Natural resources, construction, and maintenance occupations:","53,674","51,131","95.3%","2,543","4.7%","35,768","34,191","95.6%","1,577","4.4%","31,263","29,064","93.0%","2,199","7.0%","26,848","24,444","91.0%","2,404","9.0%","145,353","136,625","94.0%","8,728","6.0%","27,874","26,690","95.8%","1,184","4.2%","10,700","10,217","95.5%","483","4.5%"
"        Farming, fishing, and forestry occupations","2,765","1,493","54.0%","1,272","46.0%","429","274","63.9%","155","36.1%","876","508","58.0%","368","42.0%","46","0","0.0%","46","100.0%","2,812","1,338","47.6%","1,474","52.4%","445","395","88.8%","50","11.2%","445","386","86.7%","59","13.3%"
"        Construction and extraction occupations","34,710","34,094","98.2%","616","1.8%","22,718","22,020","96.9%","698","3.1%","20,715","19,831","95.7%","884","4.3%","18,864","17,267","91.5%","1,597","8.5%","105,623","100,848","95.5%","4,775","4.5%","19,343","18,564","96.0%","779","4.0%","6,661","6,434","96.6%","227","3.4%"
"        Installation, maintenance, and repair occupations","16,199","15,544","96.0%","655","4.0%","12,621","11,897","94.3%","724","5.7%","9,672","8,725","90.2%","947","9.8%","7,938","7,177","90.4%","761","9.6%","36,918","34,439","93.3%","2,479","6.7%","8,086","7,731","95.6%","355","4.4%","3,594","3,397","94.5%","197","5.5%"
"    Production, transportation, and material moving occupations:","77,570","55,571","71.6%","21,999","28.4%","31,200","24,381","78.1%","6,819","21.9%","44,576","30,341","68.1%","14,235","31.9%","44,147","33,137","75.1%","11,010","24.9%","192,657","141,031","73.2%","51,626","26.8%","34,652","25,913","74.8%","8,739","25.2%","13,596","9,782","71.9%","3,814","28.1%"
"        Production occupations","37,686","25,242","67.0%","12,444","33.0%","9,062","6,384","70.4%","2,678","29.6%","17,865","10,928","61.2%","6,937","38.8%","15,587","10,922","70.1%","4,665","29.9%","68,012","47,518","69.9%","20,494","30.1%","8,901","5,686","63.9%","3,215","36.1%","3,676","1,992","54.2%","1,684","45.8%"
"        Transportation occupations","19,794","16,426","83.0%","3,368","17.0%","13,145","11,309","86.0%","1,836","14.0%","13,152","9,425","71.7%","3,727","28.3%","14,763","12,701","86.0%","2,062","14.0%","53,268","45,656","85.7%","7,612","14.3%","17,690","14,390","81.3%","3,300","18.7%","5,947","4,535","76.3%","1,412","23.7%"
"        Material moving occupations","20,090","13,903","69.2%","6,187","30.8%","8,993","6,688","74.4%","2,305","25.6%","13,559","9,988","73.7%","3,571","26.3%","13,797","9,514","69.0%","4,283","31.0%","71,377","47,857","67.0%","23,520","33.0%","8,061","5,837","72.4%","2,224","27.6%","3,973","3,255","81.9%","718","18.1%"
