"Label (Grouping)","Santa Clara County, California!!Total!!Estimate","Santa Clara County, California!!Male!!Estimate","Santa Clara County, California!!Percent Male!!Estimate","Santa Clara County, California!!Female!!Estimate","Santa Clara County, California!!Percent Female!!Estimate","Montgomery County, Maryland!!Total!!Estimate","Montgomery County, Maryland!!Male!!Estimate","Montgomery County, Maryland!!Percent Male!!Estimate","Montgomery County, Maryland!!Female!!Estimate","Montgomery County, Maryland!!Percent Female!!Estimate","Wake County, North Carolina!!Total!!Estimate","Wake County, North Carolina!!Male!!Estimate","Wake County, North Carolina!!Percent Male!!Estimate","Wake County, North Carolina!!Female!!Estimate","Wake County, North Carolina!!Percent Female!!Estimate","Davidson County, Tennessee!!Total!!Estimate","Davidson County, Tennessee!!Male!!Estimate","Davidson County, Tennessee!!Percent Male!!Estimate","Davidson County, Tennessee!!Female!!Estimate","Davidson County, Tennessee!!Percent Female!!Estimate","Dallas County, Texas!!Total!!Estimate","Dallas County, Texas!!Male!!Estimate","Dallas County, Texas!!Percent Male!!Estimate","Dallas County, Texas!!Female!!Estimate","Dallas County, Texas!!Percent Female!!Estimate","Fairfax County, Virginia!!Total!!Estimate","Fairfax County, Virginia!!Male!!Estimate","Fairfax County, Virginia!!Percent Male!!Estimate","Fairfax County, Virginia!!Female!!Estimate","Fairfax County, Virginia!!Percent Female!!Estimate","Loudoun County, Virginia!!Total!!Estimate","Loudoun County, Virginia!!Male!!Estimate","Loudoun County, Virginia!!Percent Male!!Estimate","Loudoun County, Virginia!!Female!!Estimate","Loudoun County, Virginia!!Percent Female!!Estimate"
"            Health technologists and technicians","11,046","3,649","33.0%","7,397","67.0%","7,883","2,429","30.8%","5,454","69.2%","9,166","1,781","19.4%","7,385","80.6%","6,111","1,799","29.4%","4,312","70.6%","19,905","4,939","24.8%","14,966","75.2%","6,522","1,839","28.2%","4,683","71.8%","1,985","514","25.9%","1,471","74.1%"
"    Service occupations:","143,895","64,231","44.6%","79,664","55.4%","82,859","33,238","40.1%","49,621","59.9%","73,620","33,020","44.9%","40,600","55.1%","59,561","26,589","44.6%","32,972","55.4%","218,849","93,995","42.9%","124,854","57.1%","88,671","38,100","43.0%","50,571","57.0%","28,217","12,470","44.2%","15,747","55.8%"
"        Healthcare support occupations","30,682","6,929","22.6%","23,753","77.4%","13,577","2,186","16.1%","11,391","83.9%","11,465","1,868","16.3%","9,597","83.7%","7,657","1,634","21.3%","6,023","78.7%","36,015","5,403","15.0%","30,612","85.0%","10,128","2,123","21.0%","8,005","79.0%","2,837","528","18.6%","2,309","81.4%"
"        Protective service occupations:","13,125","10,435","79.5%","2,690","20.5%","7,879","6,393","81.1%","1,486","18.9%","7,619","5,452","71.6%","2,167","28.4%","5,342","3,676","68.8%","1,666","31.2%","20,640","14,838","71.9%","5,802","28.1%","12,223","9,198","75.3%","3,025","24.7%","4,833","3,944","81.6%","889","18.4%"
"            Firefighting and prevention, and other protective service workers including supervisors","9,628","7,599","78.9%","2,029","21.1%","4,632","3,694","79.7%","938","20.3%","4,350","3,063","70.4%","1,287","29.6%","3,779","2,502","66.2%","1,277","33.8%","14,673","10,489","71.5%","4,184","28.5%","7,254","5,307","73.2%","1,947","26.8%","2,538","1,885","74.3%","653","25.7%"
"            Law enforcement workers including supervisors","3,497","2,836","81.1%","661","18.9%","3,247","2,699","83.1%","548","16.9%","3,269","2,389","73.1%","880","26.9%","1,563","1,174","75.1%","389","24.9%","5,967","4,349","72.9%","1,618","27.1%","4,969","3,891","78.3%","1,078","21.7%","2,295","2,059","89.7%","236","10.3%"
"        Food preparation and serving related occupations","44,920","23,922","53.3%","20,998","46.7%","23,001","11,344","49.3%","11,657","50.7%","26,115","13,334","51.1%","12,781","48.9%","24,788","12,096","48.8%","12,692","51.2%","72,879","34,485","47.3%","38,394","52.7%","28,425","13,950","49.1%","14,475","50.9%","8,831","4,143","46.9%","4,688","53.1%"
"        Building and grounds cleaning and maintenance occupations","29,038","17,651","60.8%","11,387","39.2%","20,632","9,311","45.1%","11,321","54.9%","14,985","9,285","62.0%","5,700","38.0%","12,754","7,033","55.1%","5,721","44.9%","57,694","30,883","53.5%","26,811","46.5%","19,074","9,019","47.3%","10,055","52.7%","4,811","2,651","55.1%","2,160","44.9%"
"        Personal care and service occupations","26,130","5,294","20.3%","20,836","79.7%","17,770","4,004","22.5%","13,766","77.5%","13,436","3,081","22.9%","10,355","77.1%","9,020","2,150","23.8%","6,870","76.2%","31,621","8,386","26.5%","23,235","73.5%","18,821","3,810","20.2%","15,011","79.8%","6,905","1,204","17.4%","5,701","82.6%"
"    Sales and office occupations:","164,306","66,758","40.6%","97,548","59.4%","91,947","37,729","41.0%","54,218","59.0%","121,006","49,810","41.2%","71,196","58.8%","81,666","31,093","38.1%","50,573","61.9%","287,903","110,013","38.2%","177,890","61.8%","98,762","40,873","41.4%","57,889","58.6%","39,460","17,140","43.4%","22,320","56.6%"
"        Sales and related occupations","78,080","40,473","51.8%","37,607","48.2%","43,765","23,281","53.2%","20,484","46.8%","62,827","32,989","52.5%","29,838","47.5%","38,063","19,514","51.3%","18,549","48.7%","131,235","65,903","50.2%","65,332","49.8%","46,443","24,468","52.7%","21,975","47.3%","20,448","10,856","53.1%","9,592","46.9%"
"        Office and administrative support occupations","86,226","26,285","30.5%","59,941","69.5%","48,182","14,448","30.0%","33,734","70.0%","58,179","16,821","28.9%","41,358","71.1%","43,603","11,579","26.6%","32,024","73.4%","156,668","44,110","28.2%","112,558","71.8%","52,319","16,405","31.4%","35,914","68.6%","19,012","6,284","33.1%","12,728","66.9%"
"    Natural resources, construction, and maintenance occupations:","57,949","55,081","95.1%","2,868","4.9%","31,763","30,460","95.9%","1,303","4.1%","31,914","30,418","95.3%","1,496","4.7%","25,310","23,884","94.4%","1,426","5.6%","151,245","146,304","96.7%","4,941","3.3%","31,547","30,499","96.7%","1,048","3.3%","9,337","9,034","96.8%","303","3.2%"
"        Farming, fishing, and forestry occupations","3,479","2,238","64.3%","1,241","35.7%","492","232","47.2%","260","52.8%","732","509","69.5%","223","30.5%","454","306","67.4%","148","32.6%","1,223","825","67.5%","398","32.5%","251","211","84.1%","40","15.9%","551","524","95.1%","27","4.9%"
"        Construction and extraction occupations","36,553","35,739","97.8%","814","2.2%","21,192","20,543","96.9%","649","3.1%","20,091","19,332","96.2%","759","3.8%","17,560","16,812","95.7%","748","4.3%","110,347","107,795","97.7%","2,552","2.3%","22,147","21,361","96.5%","786","3.5%","5,834","5,705","97.8%","129","2.2%"
"        Installation, maintenance, and repair occupations","17,917","17,104","95.5%","813","4.5%","10,079","9,685","96.1%","394","3.9%","11,091","10,577","95.4%","514","4.6%","7,296","6,766","92.7%","530","7.3%","39,675","37,684","95.0%","1,991","5.0%","9,149","8,927","97.6%","222","2.4%","2,952","2,805","95.0%","147","5.0%"
"    Production, transportation, and material moving occupations:","79,963","57,155","71.5%","22,808","28.5%","32,280","25,524","79.1%","6,756","20.9%","43,326","32,872","75.9%","10,454","24.1%","45,967","33,306","72.5%","12,661","27.5%","177,197","128,475","72.5%","48,722","27.5%","32,736","25,690","78.5%","7,046","21.5%","11,218","8,619","76.8%","2,599","23.2%"
"        Production occupations","40,150","25,670","63.9%","14,480","36.1%","9,919","6,846","69.0%","3,073","31.0%","16,535","11,456","69.3%","5,079","30.7%","17,259","11,097","64.3%","6,162","35.7%","66,973","43,172","64.5%","23,801","35.5%","9,023","5,779","64.0%","3,244","36.0%","3,336","2,299","68.9%","1,037","31.1%"
"        Transportation occupations","20,789","17,780","85.5%","3,009","14.5%","14,073","12,486","88.7%","1,587","11.3%","15,260","12,463","81.7%","2,797","18.3%","14,045","11,596","82.6%","2,449","17.4%","51,643","44,232","85.6%","7,411","14.4%","15,083","13,344","88.5%","1,739","11.5%","5,274","4,392","83.3%","882","16.7%"
"        Material moving occupations","19,024","13,705","72.0%","5,319","28.0%","8,288","6,192","74.7%","2,096","25.3%","11,531","8,953","77.6%","2,578","22.4%","14,663","10,613","72.4%","4,050","27.6%","58,581","41,071","70.1%","17,510","29.9%","8,630","6,567","76.1%","2,063","23.9%","2,608","1,928","73.9%","680","26.1%"
