"Label (Grouping)","Santa Clara County, California!!Estimate","Montgomery County, Maryland!!Estimate","Wake County, North Carolina!!Estimate","Davidson County, Tennessee!!Estimate","Dallas County, Texas!!Estimate","Fairfax County, Virginia!!Estimate","Loudoun County, Virginia!!Estimate"
"        Built 1970 to 1979","139,826","55,824","39,145","44,903","164,877","82,858","10,476"
"        Built 1960 to 1969","125,699","56,261","24,156","33,953","130,256","55,521","2,484"
"        Built 1950 to 1959","92,344","45,347","11,933","32,795","112,847","34,027","1,971"
"        Built 1940 to 1949","21,940","21,531","4,299","12,974","30,731","7,154","697"
"        Built 1939 or earlier","33,403","17,223","7,422","22,834","37,080","7,736","3,080"
"ROOMS","","","","","","",""
"    Total housing units","703,922","406,718","512,256","372,293","1,079,042","431,006","149,238"
"        1 room","39,733","12,285","10,515","14,073","43,077","8,795","2,063"
"        2 rooms","45,838","18,709","18,790","25,112","80,161","15,634","1,983"
"        3 rooms","91,950","42,580","49,717","46,703","156,552","43,363","8,791"
"        4 rooms","128,236","51,812","62,815","72,607","187,118","62,033","13,337"
"        5 rooms","106,587","45,696","81,839","59,323","180,699","41,070","14,263"
"        6 rooms","110,070","46,833","77,326","59,548","169,903","51,562","19,760"
"        7 rooms","73,249","41,635","54,438","32,473","97,268","43,227","17,902"
"        8 rooms","60,038","46,893","49,941","28,037","69,991","45,873","18,304"
"        9 rooms or more","48,221","100,275","106,875","34,417","94,273","119,449","52,835"
"        Median rooms","4.9","6.2","5.9","5.0","4.9","6.4","7.3"
"BEDROOMS","","","","","","",""
"    Total housing units","703,922","406,718","512,256","372,293","1,079,042","431,006","149,238"
"        No bedroom","42,629","13,501","10,971","15,328","48,210","9,724","2,157"
"        1 bedroom","97,699","53,093","47,704","61,722","225,781","48,175","8,393"
"        2 bedrooms","172,805","82,558","102,185","104,189","263,140","88,520","20,264"
"        3 bedrooms","204,696","106,660","192,654","128,765","342,787","113,610","42,317"
"        4 bedrooms","147,029","97,252","114,301","51,726","166,548","109,709","48,014"
"        5 or more bedrooms","39,064","53,654","44,441","10,563","32,576","61,268","28,093"
"HOUSING TENURE","","","","","","",""
"    Occupied housing units","665,549","392,629","481,294","341,597","993,312","414,946","145,601"
"        Owner-occupied","360,190","252,963","307,341","180,349","499,830","280,307","113,560"
"        Renter-occupied","305,359","139,666","173,953","161,248","493,482","134,639","32,041"
"        Average household size of owner-occupied unit","2.88","2.83","2.62","2.11","2.87","2.81","3.15"
"        Average household size of renter-occupied unit","2.62","2.39","2.10","1.93","2.31","2.55","2.42"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","",""
"    Occupied housing units","665,549","392,629","481,294","341,597","993,312","414,946","145,601"
"        Moved in 2021 or later","200,386","106,426","151,418","133,403","354,255","115,112","34,555"
"        Moved in 2018 to 2020","102,458","70,377","104,517","68,384","184,226","74,830","36,868"
"        Moved in 2010 to 2017","140,402","84,723","106,007","60,647","183,558","84,967","37,278"
"        Moved in 2000 to 2009","101,268","61,904","66,355","40,028","135,065","65,663","24,643"
"        Moved in 1990 to 1999","59,302","35,802","34,148","21,095","71,029","39,599","9,152"
"        Moved in 1989 and earlier","61,733","33,397","18,849","18,040","65,179","34,775","3,105"
"VEHICLES AVAILABLE","","","","","","",""
"    Occupied housing units","665,549","392,629","481,294","341,597","993,312","414,946","145,601"
"        No vehicles available","39,177","34,860","21,397","21,833","65,606","18,340","4,160"
"        1 vehicle available","217,368","138,942","149,182","138,299","382,710","136,189","36,397"
"        2 vehicles available","250,244","149,718","208,475","127,495","347,605","175,286","66,646"
"        3 or more vehicles available","158,760","69,109","102,240","53,970","197,391","85,131","38,398"
"HOUSE HEATING FUEL","","","","","","",""
"    Occupied housing units","665,549","392,629","481,294","341,597","993,312","414,946","145,601"
"        Utility gas","385,101","206,169","198,851","101,575","353,376","222,818","85,387"
"        Bottled, tank, or LP gas","14,966","7,526","13,967","4,894","13,109","7,927","11,726"
"        Electricity","244,417","164,798","263,761","230,138","615,644","176,144","45,498"
"        Fuel oil, kerosene, etc.","528","8,851","770","402","424","3,540","1,734"
"        Coal or coke","40","155","0","0","0","111","0"
"        Wood","1,004","745","654","277","425","331","513"
"        Solar energy","6,558","1,219","1,186","327","2,532","272","188"
"        Other fuel","1,137","464","671","1,053","1,392","2,014","243"
"        No fuel used","11,798","2,702","1,434","2,931","6,410","1,789","312"
"SELECTED CHARACTERISTICS","","","","","","",""
"    Occupied housing units","665,549","392,629","481,294","341,597","993,312","414,946","145,601"
"        Lacking complete plumbing facilities","4,007","780","197","751","4,311","866","216"
"        Lacking complete kitchen facilities","7,697","1,738","2,245","2,683","9,679","1,570","814"
"        No telephone service available","7,409","2,588","1,343","1,930","8,457","2,435","702"
"OCCUPANTS PER ROOM","","","","","","",""
"    Occupied housing units","665,549","392,629","481,294","341,597","993,312","414,946","145,601"
"        1.00 or less","616,408","380,206","472,468","329,124","928,631","399,390","143,168"
"        1.01 to 1.50","25,793","8,449","5,872","7,848","42,968","8,966","1,705"
"        1.51 or more","23,348","3,974","2,954","4,625","21,713","6,590","728"
"VALUE","","","","","","",""
"    Owner-occupied units","360,190","252,963","307,341","180,349","499,830","280,307","113,560"
"        Less than $50,000","5,404","4,342","6,941","2,620","18,841","3,281","1,535"
"        $50,000 to $99,999","2,613","1,575","2,757","2,163","12,859","2,094","444"
"        $100,000 to $149,999","4,490","1,779","3,928","2,530","25,278","1,148","651"
"        $150,000 to $199,999","3,426","3,929","7,665","5,035","39,444","2,286","201"
"        $200,000 to $299,999","6,816","15,142","31,951","27,261","134,150","9,589","1,976"
"        $300,000 to $499,999","9,244","57,675","110,895","71,727","153,070","43,519","15,151"
"        $500,000 to $999,999","62,003","121,743","122,827","48,413","84,403","159,664","69,956"
"        $1,000,000 or more","266,194","46,778","20,377","20,600","31,785","58,726","23,646"
"        Median (dollars)","1,443,100","636,200","482,100","437,700","319,100","727,200","734,700"
"MORTGAGE STATUS","","","","","","",""
"    Owner-occupied units","360,190","252,963","307,341","180,349","499,830","280,307","113,560"
"        Housing units with a mortgage","235,931","180,196","225,926","126,900","285,924","195,790","89,200"
"        Housing units without a mortgage","124,259","72,767","81,415","53,449","213,906","84,517","24,360"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","","","","",""
"    Housing units with a mortgage","235,931","180,196","225,926","126,900","285,924","195,790","89,200"
"        Less than $500","915","749","1,127","718","564","939","332"
"        $500 to $999","2,822","2,860","14,633","9,048","12,278","2,121","843"
"        $1,000 to $1,499","5,905","12,238","40,226","31,310","44,164","7,236","3,547"
"        $1,500 to $1,999","10,357","23,298","53,705","29,098","66,499","16,530","6,659"
"        $2,000 to $2,499","16,394","32,947","45,800","21,253","54,812","30,182","15,125"
"        $2,500 to $2,999","21,728","29,577","28,557","13,790","31,358","33,950","15,176"
"        $3,000 or more","177,810","78,527","41,878","21,683","76,249","104,832","47,518"
"        Median (dollars)","4,000+","2,804","2,036","1,882","2,177","3,123","3,103"
"    Housing units without a mortgage","124,259","72,767","81,415","53,449","213,906","84,517","24,360"
"        Less than $250","2,032","917","2,666","1,473","7,201","1,726","187"
"        $250 to $399","4,449","2,045","9,658","7,298","19,464","1,370","689"
"        $400 to $599","10,495","8,036","26,856","18,726","39,204","6,071","1,725"
"        $600 to $799","16,373","15,240","20,669","11,434","42,283","13,489","5,743"
"        $800 to $999","20,100","14,320","9,731","6,162","36,127","15,640","6,663"
"        $1,000 or more","70,810","32,209","11,835","8,356","69,627","46,221","9,353"
"        Median (dollars)","1,143","940","614","591","795","1,044","929"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","235,054","179,457","225,347","126,252","284,122","195,719","88,917"
"        Less than 20.0 percent","102,008","89,490","130,804","59,279","117,113","94,810","51,060"
"        20.0 to 24.9 percent","34,701","25,098","26,111","18,195","41,268","33,837","12,790"
"        25.0 to 29.9 percent","24,384","18,573","20,832","13,564","30,045","19,776","9,130"
"        30.0 to 34.9 percent","18,452","10,085","13,064","9,207","22,170","10,506","4,338"
"        35.0 percent or more","55,509","36,211","34,536","26,007","73,526","36,790","11,599"
"        Not computed","877","739","579","648","1,802","71","283"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","122,501","71,910","80,004","52,727","210,047","83,549","24,360"
"        Less than 10.0 percent","59,652","41,009","47,792","28,289","77,154","42,664","16,029"
"        10.0 to 14.9 percent","21,393","12,266","12,617","9,993","45,929","14,848","3,233"
"        15.0 to 19.9 percent","9,668","4,764","5,714","4,248","26,138","7,489","1,499"
"        20.0 to 24.9 percent","6,458","3,487","3,343","3,111","15,897","5,092","1,044"
"        25.0 to 29.9 percent","4,876","2,267","2,316","2,622","9,410","2,487","400"
"        30.0 to 34.9 percent","3,222","1,041","1,481","831","8,175","2,189","335"
"        35.0 percent or more","17,232","7,076","6,741","3,633","27,344","8,780","1,820"
"        Not computed","1,758","857","1,411","722","3,859","968","0"
"GROSS RENT","","","","","","",""
"    Occupied units paying rent","298,289","136,129","170,330","157,969","483,411","132,232","N"
"        Less than $500","8,051","3,589","3,720","8,462","11,769","2,431","N"
"        $500 to $999","9,861","4,120","15,907","11,906","34,470","4,339","N"
"        $1,000 to $1,499","14,764","15,326","45,753","46,619","164,863","10,773","N"
"        $1,500 to $1,999","33,031","46,510","64,978","50,157","158,173","36,201","N"
"        $2,000 to $2,499","50,491","33,512","26,376","25,635","68,334","39,636","N"
"        $2,500 to $2,999","58,537","15,465","8,671","8,450","26,713","18,565","N"
"        $3,000 or more","123,554","17,607","4,925","6,740","19,089","20,287","N"
"        Median (dollars)","2,781","1,984","1,652","1,620","1,597","2,156","2,321"
"        No rent paid","7,070","3,537","3,623","3,279","10,071","2,407","N"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","293,621","133,138","168,415","155,336","473,885","130,720","30,829"
"        Less than 15.0 percent","47,883","13,133","23,112","16,158","39,852","14,691","3,586"
"        15.0 to 19.9 percent","39,932","17,562","21,474","18,173","58,728","19,063","3,955"
"        20.0 to 24.9 percent","35,999","15,895","20,226","22,333","55,863","19,642","5,546"
"        25.0 to 29.9 percent","33,119","15,137","24,394","19,261","62,501","18,335","4,108"
"        30.0 to 34.9 percent","26,905","11,935","19,205","13,258","49,977","13,242","2,381"
"        35.0 percent or more","109,783","59,476","60,004","66,153","206,964","45,747","11,253"
"        Not computed","11,738","6,528","5,538","5,912","19,597","3,919","1,212"
