"Label (Grouping)","Santa Clara County, California!!Estimate","Montgomery County, Maryland!!Estimate","Wake County, North Carolina!!Estimate","Davidson County, Tennessee!!Estimate","Dallas County, Texas!!Estimate","Fairfax County, Virginia!!Estimate","Loudoun County, Virginia!!Estimate"
"        Moved in 2010 to 2014","242,363","128,460","160,213","122,899","392,097","140,328","49,870"
"        Moved in 2000 to 2009","176,033","109,496","114,797","70,569","222,018","113,944","43,307"
"        Moved in 1990 to 1999","78,360","54,305","44,942","27,292","101,649","60,554","14,187"
"        Moved in 1980 to 1989","42,625","30,517","14,512","12,229","42,094","29,372","3,991"
"        Moved in 1979 and earlier","48,859","21,029","13,365","15,451","51,936","20,484","1,835"
"VEHICLES AVAILABLE","","","","","","",""
"    Occupied housing units","633,786","371,458","382,638","274,187","905,250","392,822","120,559"
"        No vehicles available","33,383","30,185","15,601","21,535","66,517","16,775","3,197"
"        1 vehicle available","171,566","123,436","116,551","104,138","338,163","118,042","25,801"
"        2 vehicles available","255,747","149,340","171,897","106,557","338,343","170,266","57,738"
"        3 or more vehicles available","173,090","68,497","78,589","41,957","162,227","87,739","33,823"
"HOUSE HEATING FUEL","","","","","","",""
"    Occupied housing units","633,786","371,458","382,638","274,187","905,250","392,822","120,559"
"        Utility gas","400,776","203,386","159,690","87,274","334,423","221,448","72,163"
"        Bottled, tank, or LP gas","9,943","4,543","12,879","3,443","7,324","5,243","7,863"
"        Electricity","209,637","146,775","206,617","181,038","557,939","156,381","36,254"
"        Fuel oil, kerosene, etc.","745","11,727","1,270","176","793","7,269","2,440"
"        Coal or coke","42","0","188","0","70","41","0"
"        Wood","2,381","1,233","968","740","459","271","1,325"
"        Solar energy","1,846","363","119","51","270","0","73"
"        Other fuel","613","1,668","370","208","387","627","226"
"        No fuel used","7,803","1,763","537","1,257","3,585","1,542","215"
"SELECTED CHARACTERISTICS","","","","","","",""
"    Occupied housing units","633,786","371,458","382,638","274,187","905,250","392,822","120,559"
"        Lacking complete plumbing facilities","1,536","1,228","982","720","3,127","924","472"
"        Lacking complete kitchen facilities","4,950","2,391","1,344","1,944","6,938","1,992","640"
"        No telephone service available","11,360","12,155","7,061","6,431","20,770","7,918","1,119"
"OCCUPANTS PER ROOM","","","","","","",""
"    Occupied housing units","633,786","371,458","382,638","274,187","905,250","392,822","120,559"
"        1.00 or less","582,158","359,948","374,312","265,061","841,259","378,081","118,876"
"        1.01 to 1.50","35,504","7,699","5,923","7,070","45,285","10,366","1,284"
"        1.51 or more","16,124","3,811","2,403","2,056","18,706","4,375","399"
"VALUE","","","","","","",""
"    Owner-occupied units","355,812","238,791","240,335","149,048","453,122","263,100","94,477"
"        Less than $50,000","5,050","2,152","7,095","3,068","28,534","2,065","1,348"
"        $50,000 to $99,999","5,897","2,454","8,516","13,326","98,022","1,036","875"
"        $100,000 to $149,999","4,689","5,616","29,227","33,448","107,398","2,571","1,219"
"        $150,000 to $199,999","3,031","7,805","41,139","30,174","65,600","4,925","2,497"
"        $200,000 to $299,999","5,999","29,242","63,641","28,893","60,145","20,547","8,692"
"        $300,000 to $499,999","32,936","81,797","66,367","25,566","49,988","84,344","36,558"
"        $500,000 to $999,999","171,844","87,734","21,202","10,739","27,808","125,565","39,994"
"        $1,000,000 or more","126,366","21,991","3,148","3,834","15,627","22,047","3,294"
"        Median (dollars)","836,800","474,900","252,500","188,200","145,800","544,900","477,700"
"MORTGAGE STATUS","","","","","","",""
"    Owner-occupied units","355,812","238,791","240,335","149,048","453,122","263,100","94,477"
"        Housing units with a mortgage","253,341","180,372","185,619","105,807","285,006","204,971","81,640"
"        Housing units without a mortgage","102,471","58,419","54,716","43,241","168,116","58,129","12,837"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","","","","",""
"    Housing units with a mortgage","253,341","180,372","185,619","105,807","285,006","204,971","81,640"
"        Less than $500","544","410","1,129","509","1,725","343","44"
"        $500 to $999","5,434","5,509","26,777","25,490","47,513","4,535","2,705"
"        $1,000 to $1,499","17,992","21,143","62,036","42,254","104,058","18,583","7,491"
"        $1,500 to $1,999","28,305","33,886","45,850","20,245","59,254","34,738","11,057"
"        $2,000 to $2,499","40,098","38,955","23,591","8,441","26,869","42,027","17,350"
"        $2,500 to $2,999","39,034","25,282","14,230","3,516","17,707","36,599","16,014"
"        $3,000 or more","121,934","55,187","12,006","5,352","27,880","68,146","26,979"
"        Median (dollars)","2,939","2,375","1,528","1,303","1,445","2,531","2,568"
"    Housing units without a mortgage","102,471","58,419","54,716","43,241","168,116","58,129","12,837"
"        Less than $250","7,153","1,934","3,105","3,607","14,058","1,287","453"
"        $250 to $399","13,981","3,384","12,376","11,352","33,960","1,927","1,107"
"        $400 to $599","20,740","12,257","22,901","15,324","46,932","9,838","2,832"
"        $600 to $799","20,316","14,807","9,749","6,327","31,297","15,958","3,101"
"        $800 to $999","13,863","9,861","3,833","2,824","16,298","14,686","1,903"
"        $1,000 or more","26,418","16,176","2,752","3,807","25,571","14,433","3,441"
"        Median (dollars)","683","757","492","470","552","801","725"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","252,059","179,932","185,001","105,076","283,641","204,134","81,292"
"        Less than 20.0 percent","90,558","80,006","93,836","47,146","118,577","91,350","36,591"
"        20.0 to 24.9 percent","39,995","26,948","30,990","15,606","44,766","34,230","15,220"
"        25.0 to 29.9 percent","32,906","21,222","20,804","12,241","30,198","24,204","11,235"
"        30.0 to 34.9 percent","23,791","13,252","12,005","7,556","19,537","15,206","5,269"
"        35.0 percent or more","64,809","38,504","27,366","22,527","70,563","39,144","12,977"
"    Not computed","1,282","440","618","731","1,365","837","348"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","101,377","57,532","54,314","42,683","165,867","57,966","12,759"
"        Less than 10.0 percent","52,786","31,813","30,054","20,651","66,965","30,056","7,113"
"        10.0 to 14.9 percent","16,386","8,492","9,859","7,560","36,817","11,377","1,836"
"        15.0 to 19.9 percent","8,621","4,540","5,561","4,751","20,991","5,618","951"
"        20.0 to 24.9 percent","5,086","3,663","2,434","2,930","12,669","3,280","640"
"        25.0 to 29.9 percent","3,724","1,926","1,233","2,012","7,635","1,909","447"
"        30.0 to 34.9 percent","2,695","1,232","1,335","1,414","4,759","1,191","271"
"        35.0 percent or more","12,079","5,866","3,838","3,365","16,031","4,535","1,501"
"    Not computed","1,094","887","402","558","2,249","163","78"
"GROSS RENT","","","","","","",""
"    Occupied units paying rent","270,960","128,949","138,709","122,195","441,672","125,702","N"
"        Less than $500","9,452","4,648","6,291","14,205","25,104","4,380","N"
"        $500 to $999","21,455","9,255","64,197","57,748","217,200","5,034","N"
"        $1,000 to $1,499","49,107","36,949","50,426","37,470","139,629","29,434","N"
"        $1,500 to $1,999","68,355","43,614","12,975","8,587","42,499","45,471","N"
"        $2,000 to $2,499","55,231","19,471","3,498","2,554","9,898","23,526","N"
"        $2,500 to $2,999","35,640","8,504","646","1,082","3,356","10,651","N"
"        $3,000 or more","31,720","6,508","676","549","3,986","7,206","N"
"        Median (dollars)","1,906","1,656","995","924","956","1,764","1,676"
"    No rent paid","7,014","3,718","3,594","2,944","10,456","4,020","N"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","266,656","127,116","137,219","119,060","431,269","124,434","24,551"
"        Less than 15.0 percent","37,218","11,780","18,205","14,435","54,202","15,279","2,733"
"        15.0 to 19.9 percent","35,608","14,855","21,989","16,453","59,058","17,797","3,287"
"        20.0 to 24.9 percent","34,989","17,859","16,865","16,589","61,326","19,440","4,596"
"        25.0 to 29.9 percent","32,246","15,691","19,080","16,195","50,867","16,723","2,433"
"        30.0 to 34.9 percent","22,037","12,192","14,035","10,841","37,680","12,371","2,075"
"        35.0 percent or more","104,558","54,739","47,045","44,547","168,136","42,824","9,427"
"    Not computed","11,318","5,551","5,084","6,079","20,859","5,288","1,531"
