"Label (Grouping)","Santa Clara County, California!!Estimate","Montgomery County, Maryland!!Estimate","Wake County, North Carolina!!Estimate","Davidson County, Tennessee!!Estimate","Dallas County, Texas!!Estimate","Fairfax County, Virginia!!Estimate","Loudoun County, Virginia!!Estimate"
"    Utility gas","401,603","204,759","147,026","85,865","326,318","226,402","63,069"
"    Bottled, tank, or LP gas","8,862","2,816","16,502","3,090","5,117","5,065","5,739"
"    Electricity","178,541","136,695","171,229","159,045","509,682","145,688","28,775"
"    Fuel oil, kerosene, etc.","462","13,888","1,575","380","174","10,387","3,816"
"    Coal or coke","0","0","0","0","0","0","0"
"    Wood","1,887","412","1,091","674","417","613","1,070"
"    Solar energy","850","0","0","61","44","0","61"
"    Other fuel","1,238","427","132","223","258","514","223"
"    No fuel used","5,792","479","499","561","1,406","746","226"
"SELECTED CHARACTERISTICS","","","","","","",""
"    Occupied housing units","599,235","359,476","338,054","249,899","843,416","389,415","102,979"
"    Lacking complete plumbing facilities","3,645","1,527","776","189","4,247","1,590","548"
"    Lacking complete kitchen facilities","6,765","2,955","1,703","1,028","7,170","2,292","757"
"    No telephone service available","10,027","5,286","6,511","4,920","17,779","4,533","894"
"OCCUPANTS PER ROOM","","","","","","",""
"    Occupied housing units","599,235","359,476","338,054","249,899","843,416","389,415","102,979"
"    1.00 or less","551,916","350,327","330,284","243,125","783,874","377,798","101,545"
"    1.01 to 1.50","32,292","6,763","6,206","4,225","42,260","8,054","1,265"
"    1.51 or more","15,027","2,386","1,564","2,549","17,282","3,563","169"
"VALUE","","","","","","",""
"    Owner-occupied units","342,955","238,022","224,624","135,598","448,918","272,224","80,627"
"    Less than $50,000","7,522","1,800","6,275","3,506","30,301","2,668","1,071"
"    $50,000 to $99,999","9,155","2,240","8,192","13,382","113,327","3,103","906"
"    $100,000 to $149,999","4,362","4,056","33,656","35,378","119,343","6,579","2,096"
"    $150,000 to $199,999","5,612","9,939","41,619","31,388","63,981","8,558","2,166"
"    $200,000 to $299,999","16,502","33,032","61,025","24,836","57,315","35,628","10,526"
"    $300,000 to $499,999","70,855","88,356","53,938","18,281","37,670","97,281","30,871"
"    $500,000 to $999,999","161,903","79,150","17,272","5,935","19,241","103,781","30,258"
"    $1,000,000 or more","67,044","19,449","2,647","2,892","7,740","14,626","2,733"
"    Median (dollars)","639,400","447,200","232,800","172,500","129,300","462,000","447,100"
"MORTGAGE STATUS","","","","","","",""
"    Owner-occupied units","342,955","238,022","224,624","135,598","448,918","272,224","80,627"
"    Housing units with a mortgage","256,276","188,428","184,459","99,978","311,935","225,962","72,843"
"    Housing units without a mortgage","86,679","49,594","40,165","35,620","136,983","46,262","7,784"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","","","","",""
"    Housing units with a mortgage","256,276","188,428","184,459","99,978","311,935","225,962","72,843"
"    Less than $300","441","0","216","0","55","128","0"
"    $300 to $499","1,586","104","1,536","1,794","3,103","326","408"
"    $500 to $699","2,152","1,271","4,407","3,738","10,300","1,370","239"
"    $700 to $999","4,788","5,128","18,284","18,114","39,066","6,174","1,606"
"    $1,000 to $1,499","16,484","20,393","62,193","37,051","115,767","26,465","4,702"
"    $1,500 to $1,999","28,710","31,984","45,699","21,427","69,691","37,296","7,782"
"    $2,000 or more","202,115","129,548","52,124","17,854","73,953","154,203","58,106"
"    Median (dollars)","2,994","2,498","1,552","1,366","1,443","2,468","2,766"
"    Housing units without a mortgage","86,679","49,594","40,165","35,620","136,983","46,262","7,784"
"    Less than $100","1,051","440","50","141","1,006","615","61"
"    $100 to $199","3,040","123","1,432","1,377","3,805","680","95"
"    $200 to $299","8,855","879","4,619","5,310","15,946","1,608","357"
"    $300 to $399","14,202","2,309","7,935","7,440","19,493","2,867","331"
"    $400 or more","59,531","45,843","26,129","21,352","96,733","40,492","6,940"
"    Median (dollars)","539","740","477","450","527","698","761"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","255,336","188,258","183,731","99,648","310,211","224,894","72,843"
"    Less than 20.0 percent","61,314","64,835","74,034","34,055","107,386","90,026","21,660"
"    20.0 to 24.9 percent","37,831","29,894","31,134","16,174","50,155","35,636","13,947"
"    25.0 to 29.9 percent","31,228","23,658","24,304","12,866","36,860","28,240","11,662"
"    30.0 to 34.9 percent","27,748","17,168","13,720","9,562","27,941","21,979","8,127"
"    35.0 percent or more","97,215","52,703","40,539","26,991","87,869","49,013","17,447"
"    Not computed","940","170","728","330","1,724","1,068","0"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","85,119","49,093","39,783","35,270","135,379","46,100","7,734"
"    Less than 10.0 percent","43,387","21,364","19,599","14,035","45,898","22,766","3,922"
"    10.0 to 14.9 percent","14,242","8,649","7,305","6,780","30,191","8,953","1,636"
"    15.0 to 19.9 percent","8,796","5,044","3,291","5,284","17,372","4,911","513"
"    20.0 to 24.9 percent","5,781","4,211","2,416","2,666","11,075","2,498","342"
"    25.0 to 29.9 percent","2,687","2,390","1,781","1,781","8,194","2,169","115"
"    30.0 to 34.9 percent","2,337","1,381","1,633","1,211","5,391","978","111"
"    35.0 percent or more","7,889","6,054","3,758","3,513","17,258","3,825","1,095"
"    Not computed","1,560","501","382","350","1,604","162","50"
"GROSS RENT","","","","","","",""
"    Occupied units paying rent","250,980","117,459","110,703","110,360","384,011","114,961","N"
"    Less than $200","1,021","2,039","1,690","2,863","5,256","2,027","N"
"    $200 to $299","5,127","1,240","2,170","2,366","4,224","605","N"
"    $300 to $499","5,300","1,572","5,175","8,749","17,951","1,707","N"
"    $500 to $749","13,324","3,953","24,699","36,505","119,461","3,533","N"
"    $750 to $999","26,134","8,622","43,244","36,308","113,779","7,203","N"
"    $1,000 to $1,499","90,157","44,756","25,547","18,407","93,761","42,118","N"
"    $1,500 or more","109,917","55,277","8,178","5,162","29,579","57,768","N"
"    Median (dollars)","1,418","1,466","858","776","836","1,504","1,574"
"    No rent paid","5,300","3,995","2,727","3,941","10,487","2,230","N"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","246,834","115,699","108,871","108,353","374,383","113,436","21,113"
"    Less than 15.0 percent","36,283","8,821","11,627","9,995","44,054","15,523","2,531"
"    15.0 to 19.9 percent","35,384","14,408","17,253","13,427","47,499","15,889","2,879"
"    20.0 to 24.9 percent","29,917","16,713","15,393","13,793","52,580","17,011","3,121"
"    25.0 to 29.9 percent","27,507","13,017","14,664","12,307","43,569","14,887","3,144"
"    30.0 to 34.9 percent","23,888","12,304","8,336","9,961","33,645","10,229","2,406"
"    35.0 percent or more","93,855","50,436","41,598","48,870","153,036","39,897","7,032"
"    Not computed","9,446","5,755","4,559","5,948","20,115","3,755","1,239"
