"Label (Grouping)","Santa Clara County, California!!Estimate","Montgomery County, Maryland!!Estimate","Wake County, North Carolina!!Estimate","Davidson County, Tennessee!!Estimate","Dallas County, Texas!!Estimate","Fairfax County, Virginia!!Estimate","Loudoun County, Virginia!!Estimate"
"    Total housing units","668,896","390,475","441,720","319,739","1,027,813","415,149","136,398"
"        No bedroom","29,922","10,139","5,654","8,759","32,387","7,427","1,334"
"        1 bedroom","89,858","48,840","44,872","50,429","209,045","43,379","6,641"
"        2 bedrooms","166,697","80,985","92,782","93,949","252,232","80,534","19,704"
"        3 bedrooms","205,029","108,656","168,832","117,018","350,979","117,759","42,716"
"        4 bedrooms","141,829","94,388","97,522","40,378","153,065","109,886","44,341"
"        5 or more bedrooms","35,561","47,467","32,058","9,206","30,105","56,164","21,662"
"HOUSING TENURE","","","","","","",""
"    Occupied housing units","635,314","372,825","410,552","289,191","945,996","398,653","132,565"
"        Owner-occupied","358,228","244,613","262,278","157,390","476,375","273,428","103,019"
"        Renter-occupied","277,086","128,212","148,274","131,801","469,621","125,225","29,546"
"        Average household size of owner-occupied unit","3.06","2.90","2.74","2.43","2.96","2.90","3.15"
"        Average household size of renter-occupied unit","2.86","2.58","2.37","2.17","2.52","2.78","2.67"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","","","","",""
"    Occupied housing units","635,314","372,825","410,552","289,191","945,996","398,653","132,565"
"        Moved in 2019 or later","34,335","17,600","26,902","20,950","66,952","20,039","6,306"
"        Moved in 2015 to 2018","175,759","105,428","141,496","107,039","328,897","115,878","40,971"
"        Moved in 2010 to 2014","134,612","71,127","86,448","57,648","191,212","74,895","33,141"
"        Moved in 2000 to 2009","138,344","87,683","89,836","54,171","186,052","92,674","36,097"
"        Moved in 1990 to 1999","72,502","46,998","40,352","25,903","90,182","51,795","10,943"
"        Moved in 1989 and earlier","79,762","43,989","25,518","23,480","82,701","43,372","5,107"
"VEHICLES AVAILABLE","","","","","","",""
"    Occupied housing units","635,314","372,825","410,552","289,191","945,996","398,653","132,565"
"        No vehicles available","33,974","28,127","15,217","18,141","62,661","17,479","3,584"
"        1 vehicle available","174,987","126,121","127,052","110,810","344,565","119,618","28,290"
"        2 vehicles available","254,418","145,643","177,780","108,660","349,108","170,243","63,217"
"        3 or more vehicles available","171,935","72,934","90,503","51,580","189,662","91,313","37,474"
"HOUSE HEATING FUEL","","","","","","",""
"    Occupied housing units","635,314","372,825","410,552","289,191","945,996","398,653","132,565"
"        Utility gas","395,819","199,387","175,303","93,144","346,538","220,710","77,812"
"        Bottled, tank, or LP gas","11,799","5,364","11,346","3,598","7,340","5,636","8,446"
"        Electricity","212,324","151,084","220,257","190,221","585,133","162,727","41,546"
"        Fuel oil, kerosene, etc.","486","11,621","977","327","462","6,784","2,942"
"        Coal or coke","41","38","18","98","18","62","40"
"        Wood","2,029","700","871","431","475","579","940"
"        Solar energy","4,425","1,374","162","82","834","131","10"
"        Other fuel","744","1,335","300","246","671","515","384"
"        No fuel used","7,647","1,922","1,318","1,044","4,525","1,509","445"
"SELECTED CHARACTERISTICS","","","","","","",""
"    Occupied housing units","635,314","372,825","410,552","289,191","945,996","398,653","132,565"
"        Lacking complete plumbing facilities","1,782","1,171","683","755","2,786","814","460"
"        Lacking complete kitchen facilities","6,019","1,943","1,677","2,184","6,829","1,927","777"
"        No telephone service available","6,983","4,514","4,211","4,657","19,183","3,701","1,107"
"OCCUPANTS PER ROOM","","","","","","",""
"    Occupied housing units","635,314","372,825","410,552","289,191","945,996","398,653","132,565"
"        1.00 or less","583,952","361,113","402,749","281,875","885,132","386,812","130,413"
"        1.01 to 1.50","32,337","7,701","5,648","4,679","41,907","7,900","1,609"
"        1.51 or more","19,025","4,011","2,155","2,637","18,957","3,941","543"
"VALUE","","","","","","",""
"    Owner-occupied units","358,228","244,613","262,278","157,390","476,375","273,428","103,019"
"        Less than $50,000","4,291","2,680","7,258","3,409","21,204","2,629","915"
"        $50,000 to $99,999","2,988","1,616","5,329","5,138","58,835","1,278","605"
"        $100,000 to $149,999","4,384","4,611","17,758","14,913","79,235","1,537","782"
"        $150,000 to $199,999","3,219","6,926","32,792","23,568","87,658","4,969","1,784"
"        $200,000 to $299,999","6,230","26,137","67,087","45,321","96,717","16,841","6,458"
"        $300,000 to $499,999","14,503","83,934","92,271","40,652","75,167","79,638","35,572"
"        $500,000 to $999,999","127,752","92,229","35,515","19,192","39,055","140,981","53,042"
"        $1,000,000 or more","194,861","26,480","4,268","5,197","18,504","25,555","3,861"
"        Median (dollars)","1,061,900","491,700","301,600","267,400","193,900","576,700","534,600"
"MORTGAGE STATUS","","","","","","",""
"    Owner-occupied units","358,228","244,613","262,278","157,390","476,375","273,428","103,019"
"        Housing units with a mortgage","249,944","177,141","197,802","110,185","285,425","205,899","86,735"
"        Housing units without a mortgage","108,284","67,472","64,476","47,205","190,950","67,529","16,284"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","","","","",""
"    Housing units with a mortgage","249,944","177,141","197,802","110,185","285,425","205,899","86,735"
"        Less than $500","580","423","2,160","580","1,377","369","147"
"        $500 to $999","3,794","4,004","20,078","17,211","31,229","3,198","1,523"
"        $1,000 to $1,499","9,908","15,688","55,090","39,084","86,279","12,207","5,399"
"        $1,500 to $1,999","17,001","30,460","50,695","24,950","68,296","27,915","9,241"
"        $2,000 to $2,499","26,748","32,810","32,139","12,883","36,727","39,042","15,056"
"        $2,500 to $2,999","32,585","29,531","19,814","6,875","20,074","38,794","16,974"
"        $3,000 or more","159,328","64,225","17,826","8,602","41,443","84,374","38,395"
"        Median (dollars)","3,548","2,588","1,704","1,478","1,654","2,761","2,854"
"    Housing units without a mortgage","108,284","67,472","64,476","47,205","190,950","67,529","16,284"
"        Less than $250","4,860","1,776","4,264","2,752","12,149","1,521","708"
"        $250 to $399","8,072","3,111","12,528","10,947","30,121","2,278","970"
"        $400 to $599","18,207","11,490","22,492","16,169","50,987","6,802","2,792"
"        $600 to $799","20,308","15,333","15,366","9,016","39,074","15,935","3,981"
"        $800 to $999","15,342","13,284","5,104","3,905","22,204","16,570","3,907"
"        $1,000 or more","41,495","22,478","4,722","4,416","36,415","24,423","3,926"
"        Median (dollars)","834","830","536","507","610","885","789"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","249,067","176,484","197,317","109,574","284,255","205,068","86,485"
"        Less than 20.0 percent","95,279","82,229","113,510","52,035","125,146","94,964","41,987"
"        20.0 to 24.9 percent","38,268","28,711","29,655","17,926","43,212","35,180","16,981"
"        25.0 to 29.9 percent","30,179","17,955","17,873","11,020","29,736","22,566","9,241"
"        30.0 to 34.9 percent","21,019","12,568","9,619","6,950","20,704","15,546","6,260"
"        35.0 percent or more","64,322","35,021","26,660","21,643","65,457","36,812","12,016"
"        Not computed","877","657","485","611","1,170","831","250"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","107,231","67,024","64,092","46,684","188,359","66,894","16,043"
"        Less than 10.0 percent","54,494","37,059","38,564","23,635","77,082","37,189","9,809"
"        10.0 to 14.9 percent","17,925","10,885","10,867","8,946","39,867","11,362","2,495"
"        15.0 to 19.9 percent","9,806","4,874","5,076","4,974","23,031","5,784","1,293"
"        20.0 to 24.9 percent","6,007","3,528","2,568","2,536","12,899","3,399","755"
"        25.0 to 29.9 percent","3,789","1,899","1,813","1,624","8,240","2,153","441"
"        30.0 to 34.9 percent","2,981","1,528","1,389","1,199","5,615","1,440","351"
"        35.0 percent or more","12,229","7,251","3,815","3,770","21,625","5,567","899"
"        Not computed","1,053","448","384","521","2,591","635","241"
"GROSS RENT","","","","","","",""
"    Occupied units paying rent","270,454","124,575","144,759","127,360","458,924","122,109","28,511"
"        Less than $500","8,694","4,105","4,115","9,891","14,917","3,188","385"
"        $500 to $999","13,681","5,975","35,689","32,814","144,207","3,817","1,542"
"        $1,000 to $1,499","25,357","25,302","70,960","53,027","191,234","16,114","4,367"
"        $1,500 to $1,999","45,205","47,386","25,270","21,702","74,552","47,603","9,630"
"        $2,000 to $2,499","54,745","23,792","5,774","6,427","21,230","28,096","6,647"
"        $2,500 to $2,999","50,469","9,823","1,408","1,798","7,084","12,843","3,289"
"        $3,000 or more","72,303","8,192","1,543","1,701","5,700","10,448","2,651"
"        Median (dollars)","2,386","1,784","1,204","1,172","1,159","1,898","1,913"
"        No rent paid","6,632","3,637","3,515","4,441","10,697","3,116","1,035"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","266,993","123,025","143,110","124,898","447,825","120,954","28,036"
"        Less than 15.0 percent","41,139","12,523","20,485","14,539","55,640","14,080","3,769"
"        15.0 to 19.9 percent","37,094","16,051","21,745","16,073","65,040","17,655","4,649"
"        20.0 to 24.9 percent","37,300","18,659","21,045","16,178","64,492","18,432","4,259"
"        25.0 to 29.9 percent","30,575","13,847","17,684","16,423","53,429","15,515","2,956"
"        30.0 to 34.9 percent","24,412","11,760","12,821","12,669","41,985","11,031","2,141"
"        35.0 percent or more","96,473","50,185","49,330","49,016","167,239","44,241","10,262"
"        Not computed","10,093","5,187","5,164","6,903","21,796","4,271","1,510"
