year,label,santa_clara_county_california,montgomery_county_maryland,wake_county_north_carolina,davidson_county_tennessee,dallas_county_texas,fairfax_county_virginia,loudoun_county_virginia
2010,Korean,34265,16210,5151,1284,10783,42749,6304
2010,Vietnamese,124609,13324,4724,2162,27274,28959,2102
2010,Other Asian,36396,18618,6587,6381,20854,31484,8186
2010,Native Hawaiian and Other Pacific Islander,6505,63,112,0,959,795,63
2010,Native Hawaiian,1026,N,N,N,118,N,N
2010,Guamanian or Chamorro,1336,N,N,N,303,N,N
2010,Samoan,2191,N,N,N,349,N,N
2010,Other Pacific Islander,1952,N,N,N,189,N,N
2010,Some other race,178049,74738,24374,26171,312704,62842,14606
2010,White and Black or African American,4847,8273,4784,5270,10321,5470,2520
2010,White and American Indian and Alaska Native,7412,2337,3130,2645,9378,2648,823
2010,White and Asian,33302,10793,5406,4109,7627,16416,5242
2010,Black or African American and American Indian and Alaska Native,775,811,1909,711,5814,1010,97
2010,Race alone or in combination with one or more other races,NA,NA,NA,NA,NA,NA,NA
2010,White,957539,586976,638279,407088,1396900,718072,230231
2010,Black or African American,57869,184034,197734,180875,548749,109931,26080
2010,American Indian and Alaska Native,21768,9572,8408,5656,30947,11270,2115
2010,Asian,621772,153058,56420,23327,131732,214440,53531
2010,Native Hawaiian and Other Pacific Islander,13437,2282,N,N,4009,3297,2851
2010,Some other race,199243,84403,28360,28908,329259,69300,17947
2010,HISPANIC OR LATINO AND RACE,NA,NA,NA,NA,NA,NA,NA
2010,Hispanic or Latino (of any race),482053,166738,88908,61419,913058,169614,39086
2010,Mexican,401981,13975,50336,40243,779924,20766,5054
2010,Puerto Rican,8766,5951,8817,2583,10569,12944,1884
2010,Cuban,2515,3878,4640,2564,3587,2326,1155
2010,Other Hispanic or Latino,68791,142934,25115,16029,118978,133578,30993
2010,Not Hispanic or Latino,1305641,809465,818061,566714,1464293,917129,276048
2010,White alone,626199,479915,563748,360697,783883,592947,196998
2010,Black or African American alone,43819,164668,185199,172882,515498,97321,22420
2010,American Indian and Alaska Native alone,3640,933,1663,589,5506,1764,348
2010,Asian alone,569073,133436,48786,17861,117812,191260,43014
2010,Native Hawaiian and Other Pacific Islander alone,6187,63,112,0,837,795,0
2010,Some other race alone,4439,2659,1753,340,4844,4554,356
2010,Two or more races,52284,27791,16800,14345,35913,28488,12912
2010,Two races including Some other race,3952,2464,568,952,1448,1117,841
2010,Two races excluding Some other race and Three or more races,48332,25327,16232,13393,34465,27371,12071
2010,Total housing units,631955,376023,372737,284263,943876,408079,109955
2015,Ã¯»¿,Santa Clara County California,Montgomery County Maryland,Wake County North Carolina,Davidson County Tennessee,Dallas County Texas,Fairfax County Virginia,Loudoun County Virginia
2015,Label,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate
2015,SEX AND AGE,NA,NA,NA,NA,NA,NA,NA
2015,Total population,1918044,1040116,1024198,678889,2553385,1142234,375629
2015,Male,965615,501379,498819,326415,1257431,565709,186490
2015,Female,952429,538737,525379,352474,1295954,576525,189139
2015,Under 5 years,121248,68035,65326,47201,195886,76362,28091
2015,5 to 9 years,121923,67935,72764,43087,198847,79281,32692
2015,10 to 14 years,123954,66837,72692,34746,182004,70835,31386
2015,15 to 19 years,114223,63216,71077,38678,170461,72452,25687
2015,20 to 24 years,121682,60254,67822,51897,184222,68613,18389
2015,25 to 34 years,293573,137409,150549,130575,409662,157692,46972
2015,35 to 44 years,284432,144320,157302,93824,358245,166394,65685
2015,45 to 54 years,275335,150747,148571,84321,330144,170216,59598
2015,55 to 59 years,122205,70751,64168,42745,148280,75726,19372
2015,60 to 64 years,99903,64461,48511,36477,123381,68486,16672
2015,65 to 74 years,134656,82729,65500,44168,151343,84213,19685
2015,75 to 84 years,71055,42869,29481,21187,71199,36848,8752
2015,85 years and over,33855,20553,10435,9983,29711,15116,2648
2015,Median age (years),37.2,38.9,35.7,34.2,33.4,37.6,35.8
2015,18 years and over,1481646,796649,771016,533484,1870901,870655,266383
2015,21 years and over,1413444,764545,731889,506892,1772948,830489,255488
2015,62 years and over,293873,182950,131903,95005,322541,174355,40689
2015,65 years and over,239566,146151,105416,75338,252253,136177,31085
2015,Male,741959,377430,370466,253698,909340,426625,130735
2015,Female,739687,419219,400550,279786,961561,444030,135648
2015,Male,106496,62671,45451,31357,107586,62217,13796
2015,Female,133070,83480,59965,43981,144667,73960,17289
2015,RACE,NA,NA,NA,NA,NA,NA,NA
2015,One race,1827630,1000399,997040,659994,2489603,1088952,353337
2015,Two or more races,90414,39717,27158,18895,63782,53282,22292
2015,White,869075,564151,682435,433961,1590220,701027,248621
2015,Black or African American,47419,186896,214103,182939,569901,109153,27685
2015,American Indian and Alaska Native,8435,3420,3416,2769,10453,1802,623
2015,Cherokee tribal grouping,0,0,0,0,0,0,0
2015,Chippewa tribal grouping,0,0,0,0,0,0,0
2015,Navajo tribal grouping,0,0,0,0,0,0,0
2015,Sioux tribal grouping,0,0,0,0,0,0,0
2015,Asian,667182,156974,65485,21202,151742,216996,64511
2015,Asian Indian,167633,38435,34663,4718,58603,53241,28419
2015,Chinese,182977,46326,11613,1839,13948,29684,6349
2015,Filipino,93414,13503,2740,637,9616,16281,6308
2015,Japanese,24322,2980,509,555,2446,3471,432
2015,Korean,29797,18038,3797,1667,11043,38981,5760
2015,Vietnamese,129303,16082,4740,3614,25427,35387,6524
2015,Other Asian,39736,21610,7423,8172,30659,39951,10719
2015,Native Hawaiian and Other Pacific Islander,9210,429,348,76,1328,481,450
2015,Native Hawaiian,1009,N,N,N,N,N,N
2015,Guamanian or Chamorro,3351,N,N,N,N,N,N
2015,Samoan,1510,N,N,N,N,N,N
2015,Other Pacific Islander,3340,N,N,N,N,N,N
2015,Some other race,226309,88529,31253,19047,165959,59493,11447
2015,White and Black or African American,9424,9121,8674,8061,14810,10001,6353
2015,White and American Indian and Alaska Native,8649,3015,3738,1447,12613,6189,1316
2015,White and Asian,38759,12976,9078,4152,10279,24145,7457
2015,Black or African American and American Indian and Alaska Native,1264,1383,910,263,4486,2080,176
2015,Race alone or in combination with one or more other races,NA,NA,NA,NA,NA,NA,NA
2015,White,943952,593993,707174,451000,1641178,748230,267335
2015,Black or African American,63872,204588,226561,192808,597153,125287,36834
2015,American Indian and Alaska Native,24489,10604,9503,5669,32219,11990,3466
2015,Asian,721102,175250,75725,28121,168039,246207,75509
2015,Native Hawaiian and Other Pacific Islander,16540,2174,878,2546,4145,2549,1250
2015,Some other race,246179,96199,33591,20718,180680,64992,15470
2015,HISPANIC OR LATINO AND RACE,NA,NA,NA,NA,NA,NA,NA
2015,Hispanic or Latino (of any race),505076,197396,103286,67768,1009302,186859,50910
2015,Mexican,426875,16356,49971,39392,856175,18431,9846
2015,Puerto Rican,8676,9145,13168,3755,11085,9386,4396
2015,Cuban,2834,4645,4876,1744,5001,3649,1279
2015,Other Hispanic or Latino,66691,167250,35271,22877,137041,155393,35389
2015,Not Hispanic or Latino,1412968,842720,920912,611121,1544083,955375,324719
2015,White alone,625303,465333,619955,383703,778051,585950,214958
2015,Black or African American alone,45222,182681,207754,182257,560784,105962,26486
2015,American Indian and Alaska Native alone,3758,1150,2922,2473,3983,697,623
2015,Asian alone,663666,155100,65225,21148,151314,216321,63929
2015,Native Hawaiian and Other Pacific Islander alone,6981,345,348,0,1179,426,450
2015,Some other race alone,4876,6304,2046,3782,3612,3312,2854
2015,Two or more races,63162,31807,22662,17758,45160,42707,15419
2015,Two races including Some other race,3447,1894,693,462,3027,1723,1282
2015,Two races excluding Some other race and Three or more races,59715,29913,21969,17296,42133,40984,14137
2015,Total housing units,660622,389030,411470,298808,985429,412082,126508
2015,CITIZEN VOTING AGE POPULATION,NA,NA,NA,NA,NA,NA,NA
2015,Citizen 18 and over population,1165118,649696,698353,479523,1471408,723490,230740
2015,Male,575696,303964,331153,224107,695064,355320,112057
2015,Female,589422,345732,367200,255416,776344,368170,118683
2020,Ã¯»¿,Santa Clara County California,Montgomery County Maryland,Wake County North Carolina,Davidson County Tennessee,Dallas County Texas,Fairfax County Virginia,Loudoun County Virginia
2020,Label,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate
2020,SEX AND AGE,NA,NA,NA,NA,NA,NA,NA
2020,Total population,1924379,1047661,1091662,690540,2622634,1149439,405312
2020,Male,974741,506468,531038,332527,1293295,570272,201277
2020,Female,949638,541193,560624,358013,1329339,579167,204035
2020,Sex ratio (males per 100 females),102.6,93.6,94.7,92.9,97.3,98.5,98.6
2020,Under 5 years,113558,65340,67034,46061,193941,73703,28451
2020,5 to 9 years,116187,66083,72492,38531,187344,74741,32027
2020,10 to 14 years,121890,70441,76241,38572,194032,75944,34376
2020,15 to 19 years,114160,64066,75511,38801,177706,73168,28574
2020,20 to 24 years,117877,59411,68797,49856,182940,68523,20830
2020,25 to 34 years,312663,132729,161738,139929,434126,153524,47817
2020,35 to 44 years,278111,143921,162919,94660,360338,165436,69212
2020,45 to 54 years,263196,145867,155500,80374,325415,163267,63847
2020,55 to 59 years,122505,73351,67600,43065,153639,78033,24552
2020,60 to 64 years,104244,64038,56697,35943,131692,67768,17607
2020,65 to 74 years,144739,92156,79088,51733,172451,94187,22751
2020,75 to 84 years,77281,47092,32424,23471,76308,44012,10944
2020,85 years and over,37968,23166,15621,9544,32702,17133,4324
2020,Median age (years),37.2,39.4,36.4,34.4,33.5,38.1,36.5
2020,Under 18 years,421988,243489,260902,143847,685818,270227,114090
2020,16 years and over,1549653,831326,860482,560745,2011053,908390,304587
2020,18 years and over,1502391,804172,830760,546693,1936816,879212,291222
2020,21 years and over,1436965,771039,785940,520379,1835515,840294,278284
2020,62 years and over,318337,200249,159476,104823,355387,193139,47477
2020,65 years and over,259988,162414,127133,84748,281461,155332,38019
2020,Male,758018,381979,398324,259769,943807,431716,143279
2020,Female,744373,422193,432436,286924,993009,447496,147943
2020,Sex ratio (males per 100 females),101.8,90.5,92.1,90.5,95,96.5,96.8
2020,Male,115902,70384,54965,35790,121243,71140,16998
2020,Female,144086,92030,72168,48958,160218,84192,21021
2020,Sex ratio (males per 100 females),80.4,76.5,76.2,73.1,75.7,84.5,80.9
2020,RACE,NA,NA,NA,NA,NA,NA,NA
2020,One race,1780522,984786,1044222,665334,2450331,1079811,378997
2020,Two or more races,143857,62875,47440,25206,172303,69628,26315
2020,White,801381,536767,696626,433926,1475503,678162,253002
2020,Black or African American,47379,193450,220232,185758,593081,112024,31241
2020,American Indian and Alaska Native,9990,3083,3413,1042,10364,3250,1149
2020,Cherokee tribal grouping,294,274,600,310,1366,216,104
2020,Chippewa tribal grouping,74,18,140,8,79,43,11
2020,Navajo tribal grouping,344,0,12,0,337,0,33
2020,Sioux tribal grouping,105,25,3,17,221,48,6
2020,Asian,724855,156834,80059,24936,170955,227923,77861
2020,Asian Indian,182963,41207,41565,5089,63431,56126,41943
2020,Chinese,213474,42359,12611,4228,18510,34367,5208
2020,Filipino,89135,14010,3769,1447,11868,16148,4955
2020,Japanese,25058,3445,1233,514,2884,3184,752
2020,Korean,30920,17501,4777,2209,8698,42816,5348
2020,Vietnamese,140137,13825,7340,2784,34053,32333,4995
2020,Other Asian,43168,24487,8764,8665,31511,42949,14660
2020,Native Hawaiian and Other Pacific Islander,6949,419,470,403,1147,994,508
2020,Native Hawaiian,884,53,161,114,233,208,97
2020,Chamorro,1030,84,112,74,272,565,119
2020,Samoan,1542,42,5,104,183,46,22
2020,Other Pacific Islander,3493,240,192,111,459,175,270
2020,Some other race,189968,94233,43422,19269,199281,57458,15236
2020,White and Black or African American,9984,13052,10672,7397,22252,12972,3975
2020,White and American Indian and Alaska Native,10505,3012,3627,3096,10519,3979,1082
2020,White and Asian,44319,15788,7940,4508,11547,23863,8303
2020,Black or African American and American Indian and Alaska Native,820,963,2823,621,3469,1178,226
2020,Race alone or in combination with one or more other races,NA,NA,NA,NA,NA,NA,NA
2020,White,928479,589844,736488,456005,1632247,741508,275973
2020,Black or African American,66223,216948,240329,196349,631152,131340,38386
2020,American Indian and Alaska Native,27748,10361,12636,5462,31167,11702,3964
2020,Asian,786890,179236,91728,30865,190851,257638,89580
2020,Native Hawaiian and Other Pacific Islander,16748,2037,1697,1307,4455,2838,1286
2020,Some other race,253501,118135,60964,26962,314743,79006,24944
2020,HISPANIC OR LATINO AND RACE,NA,NA,NA,NA,NA,NA,NA
2020,Hispanic or Latino (of any race),482101,204620,110961,70926,1055049,186680,55180
2020,Mexican,392853,16419,53189,41492,866139,20585,8465
2020,Puerto Rican,9471,11679,16015,3703,14564,12180,5194
2020,Cuban,3075,4152,4085,2600,9191,3608,1728
2020,Other Hispanic or Latino,76702,172370,37672,23131,165155,150307,39793
2020,Not Hispanic or Latino,1442278,843041,980701,619614,1567585,962759,350132
2020,White alone,589644,451553,647265,386782,749571,574760,223329
2020,Black or African American alone,44917,188234,214636,184488,585014,108847,30117
2020,American Indian and Alaska Native alone,3063,1430,2532,883,5152,1543,847
2020,Asian alone,720355,156007,79871,24892,169259,226465,77332
2020,Native Hawaiian and Other Pacific Islander alone,6310,377,431,403,883,718,288
2020,Some other race alone,5631,6926,6130,2326,6120,5035,2303
2020,Two or more races,72358,38514,29836,19840,51586,45391,15916
2020,Two races including Some other race,5249,3900,2856,2793,3700,2912,1098
2020,Two races excluding Some other race and Three or more races,67109,34614,26980,17047,47886,42479,14818
2020,Total housing units,668896,390475,441720,319739,1027813,415149,136398
2020,CITIZEN VOTING AGE POPULATION,NA,NA,NA,NA,NA,NA,NA
2020,Citizen 18 and over population,1172801,673691,760143,498687,1534897,745748,253875
2020,Male,585165,318848,362444,233652,733598,368160,124785
2020,Female,587636,354843,397699,265035,801299,377588,129090
2023,Ã¯»¿,Santa Clara County California,Montgomery County Maryland,Wake County North Carolina,Davidson County Tennessee,Dallas County Texas,Fairfax County Virginia,Loudoun County Virginia
2023,Label,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate
2023,SEX AND AGE,NA,NA,NA,NA,NA,NA,NA
2023,Total population,1877592,1058474,1190275,712334,2606358,1141878,436347
2023,Male,957112,515740,582915,344357,1292795,569883,218730
2023,Female,920480,542734,607360,367977,1313563,571995,217617
2023,Sex ratio (males per 100 females),104,95,96,93.6,98.4,99.6,100.5
2023,Under 5 years,93972,59366,67560,45667,175053,64777,26353
2023,5 to 9 years,101352,65627,73992,38317,169650,67414,32357
2023,10 to 14 years,107146,69844,78891,38099,186213,78264,33508
2023,15 to 19 years,123987,67425,79529,41289,182996,74526,33051
2023,20 to 24 years,119250,58537,73690,51609,185802,66857,23798
2023,25 to 34 years,299742,123643,172666,143540,431351,148551,45538
2023,35 to 44 years,269889,147405,180255,105969,358613,166188,72814
2023,45 to 54 years,245711,142179,166637,78209,313207,156161,69166
2023,55 to 59 years,115851,67201,71286,38374,142638,73175,26107
2023,60 to 64 years,112244,70002,66530,36294,143199,68208,23938
2023,65 to 74 years,160518,104943,95873,59296,197053,102238,28246
2023,75 to 84 years,92268,59733,48243,26628,91041,59755,16828
2023,85 years and over,35662,22569,15123,9043,29542,15764,4643
2023,Median age (years),38.3,40.6,37.7,34.8,34.3,39.5,38.3
2023,Under 18 years,374378,238848,270699,145228,645638,257820,114071
2023,16 years and over,1553552,848459,951610,581955,2034431,916511,336068
2023,18 years and over,1503214,819626,919576,567106,1960720,884058,322276
2023,21 years and over,1430194,786018,875114,540631,1858580,844985,306330
2023,62 years and over,351354,229907,195717,116290,404121,217030,61776
2023,65 years and over,288448,187245,159239,94967,317636,177757,49717
2023,Male,763718,392711,444850,270951,963082,437354,159915
2023,Female,739496,426915,474726,296155,997638,446704,162361
2023,Sex ratio (males per 100 females),103.3,92,93.7,91.5,96.5,97.9,98.5
2023,Male,131480,83282,70112,40965,141211,82424,22529
2023,Female,156968,103963,89127,54002,176425,95333,27188
2023,Sex ratio (males per 100 females),83.8,80.1,78.7,75.9,80,86.5,82.9
2023,RACE,NA,NA,NA,NA,NA,NA,NA
2023,One race,1608059,932608,1082006,626805,2061933,986532,379021
2023,Two or More Races,269533,125866,108269,85529,544425,155346,57326
2023,White,547247,442729,682601,393300,880012,551372,228098
2023,Black or African American,45818,200386,223887,170602,580032,111809,32426
2023,American Indian and Alaska Native,18064,7637,3565,7486,19508,5405,931
2023,Aztec,N,N,N,N,N,N,N
2023,Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,N,N,N,N,N,N,N
2023,Maya,N,N,N,N,N,N,N
2023,Native Village of Barrow Inupiat Traditional Government,N,N,N,N,N,N,N
2023,Navajo Nation,N,N,N,N,N,N,N
2023,Nome Eskimo Community,N,N,N,N,N,N,N
2023,Other American Indian and Alaska Native,N,N,N,N,N,N,N
2023,Asian,771154,158558,104741,23091,183930,226115,95473
2023,Asian Indian,205534,40874,60015,4023,83388,53106,48492
2023,Chinese,234959,41701,13802,3941,15865,32954,6594
2023,Filipino,81915,17745,4358,2137,10679,13173,4316
2023,Japanese,22053,4320,683,494,1741,4123,716
2023,Korean,40362,17641,7547,1534,5908,37299,5175
2023,Vietnamese,134976,11407,6881,1918,38922,30514,3703
2023,Other Asian,51355,24870,11455,9044,27427,54946,26477
2023,Native Hawaiian and Other Pacific Islander,9133,437,361,904,8419,407,238
2023,Chamorro,189,N,N,N,N,N,N
2023,Native Hawaiian,192,N,N,N,N,N,N
2023,Samoan,966,N,N,N,N,N,N
2023,Other Native Hawaiian and Other Pacific Islander,7786,N,N,N,N,N,N
2023,Some Other Race,216643,122861,66851,31422,390032,91424,21855
2023,White and Black or African American,9577,11803,15673,12900,21717,15870,5395
2023,White and American Indian and Alaska Native,7894,3822,4959,4068,16782,4585,1535
2023,White and Asian,39880,20670,13079,8043,16253,29786,12260
2023,White and Some Other Race,173673,63762,57341,50926,443705,87392,31103
2023,Black or African American and American Indian and Alaska Native,692,899,2197,1769,8120,645,305
2023,Black or African American and Some Other Race,2985,5677,3010,2499,5622,1185,710
2023,Race alone or in combination with one or more other races,NA,NA,NA,NA,NA,NA,NA
2023,White,797846,555290,782727,473474,1399275,698200,283029
2023,Black or African American,68349,227328,249777,191481,631832,136641,42098
2023,American Indian and Alaska Native,44087,21790,17616,14179,61469,16312,4719
2023,Asian,826215,186467,122391,34063,210093,264538,110912
2023,Native Hawaiian and Other Pacific Islander,16950,1492,2279,3011,10099,2683,792
2023,Some Other Race,417134,205406,133326,86985,859817,188825,57296
2023,HISPANIC OR LATINO AND RACE,NA,NA,NA,NA,NA,NA,NA
2023,Hispanic or Latino (of any race),468705,223318,137414,97932,1077852,201948,62022
2023,Mexican,366144,20595,59773,37872,822615,26637,8499
2023,Puerto Rican,7338,8935,15359,4514,19536,14875,4583
2023,Cuban,3504,4061,4175,4802,12108,3279,760
2023,Other Hispanic or Latino,91719,189727,58107,50744,223593,157157,48180
2023,Not Hispanic or Latino,1408887,835156,1052861,614402,1528506,939930,374325
2023,White alone,500717,416960,666121,382636,677730,529813,219828
2023,Black or African American alone,43265,197753,221946,169386,571391,108420,31986
2023,American Indian and Alaska Native alone,3540,1215,2633,833,2897,777,170
2023,Asian alone,766871,158114,104741,22664,181466,225507,95346
2023,Native Hawaiian and Other Pacific Islander alone,7832,303,361,904,7781,407,119
2023,Some Other Race alone,10577,10275,8265,3227,12180,9831,2171
2023,Two or More Races,76085,50536,48794,34752,75061,65175,24705
2023,Two races including Some Other Race,13898,10528,11007,5964,9894,9657,3032
2023,Two races excluding Some Other Race and three or more races,62187,40008,37787,28788,65167,55518,21673
2023,Total housing units,703922,406718,512256,372293,1079042,431006,149238
2023,CITIZEN VOTING AGE POPULATION,NA,NA,NA,NA,NA,NA,NA
2023,Citizen 18 and over population,1162805,688264,832955,510783,1576717,759817,282178
2023,Male,584832,329861,398152,239491,752165,375872,140730
2023,Female,577973,358403,434803,271292,824552,383945,141448
