label_grouping,santa_clara_county_californiatotalestimate,santa_clara_county_californiamaleestimate,santa_clara_county_californiafemaleestimate,santa_clara_county_californiamedian_earnings_dollarsestimate,santa_clara_county_californiamedian_earnings_dollars_for_maleestimate,santa_clara_county_californiamedian_earnings_dollars_for_femaleestimate,montgomery_county_marylandtotalestimate,montgomery_county_marylandmaleestimate,montgomery_county_marylandfemaleestimate,montgomery_county_marylandmedian_earnings_dollarsestimate,montgomery_county_marylandmedian_earnings_dollars_for_maleestimate,montgomery_county_marylandmedian_earnings_dollars_for_femaleestimate,wake_county_north_carolinatotalestimate,wake_county_north_carolinamaleestimate,wake_county_north_carolinafemaleestimate,wake_county_north_carolinamedian_earnings_dollarsestimate,wake_county_north_carolinamedian_earnings_dollars_for_maleestimate,wake_county_north_carolinamedian_earnings_dollars_for_femaleestimate,davidson_county_tennesseetotalestimate,davidson_county_tennesseemaleestimate,davidson_county_tennesseefemaleestimate,davidson_county_tennesseemedian_earnings_dollarsestimate,davidson_county_tennesseemedian_earnings_dollars_for_maleestimate,davidson_county_tennesseemedian_earnings_dollars_for_femaleestimate,dallas_county_texastotalestimate,dallas_county_texasmaleestimate,dallas_county_texasfemaleestimate,dallas_county_texasmedian_earnings_dollarsestimate,dallas_county_texasmedian_earnings_dollars_for_maleestimate,dallas_county_texasmedian_earnings_dollars_for_femaleestimate,fairfax_county_virginiatotalestimate,fairfax_county_virginiamaleestimate,fairfax_county_virginiafemaleestimate,fairfax_county_virginiamedian_earnings_dollarsestimate,fairfax_county_virginiamedian_earnings_dollars_for_maleestimate,fairfax_county_virginiamedian_earnings_dollars_for_femaleestimate,loudoun_county_virginiatotalestimate,loudoun_county_virginiamaleestimate,loudoun_county_virginiafemaleestimate,loudoun_county_virginiamedian_earnings_dollarsestimate,loudoun_county_virginiamedian_earnings_dollars_for_maleestimate,loudoun_county_virginiamedian_earnings_dollars_for_femaleestimate
Natural resources construction and maintenance occupations:,55685,94.90%,5.10%,32179,34214,16044,29453,97.40%,2.60%,33674,33835,15759,26400,94.30%,5.70%,26497,26707,26067,23936,94.60%,5.40%,22908,23743,11920,130357,97.90%,2.10%,23527,23560,21374,31625,97.40%,2.60%,32248,32226,40779,7907,98.00%,2.00%,42464,42464,42463
Farming fishing and forestry occupations,2832,73.80%,26.20%,16520,16071,16812,193,100.00%,0.00%,29150,29150,-,612,73.20%,26.80%,6982,6451,16990,540,37.80%,62.20%,11321,15943,4643,1611,97.00%,3.00%,17134,16895,-,451,71.40%,28.60%,23842,21204,24871,463,96.80%,3.20%,31079,31155,-
Construction and extraction occupations,34828,98.10%,1.90%,31298,31570,13717,21256,97.70%,2.30%,30432,30935,13212,17360,95.40%,4.60%,20867,20757,27623,16963,96.20%,3.80%,20982,21021,14464,88883,98.40%,1.60%,21563,21612,14923,21440,97.60%,2.40%,31176,31156,32057,4891,98.40%,1.60%,40548,40138,-
Installation maintenance and repair occupations,18025,92.10%,7.90%,41444,42626,19442,8004,96.40%,3.60%,39818,39065,63945,8428,93.50%,6.50%,38493,39659,26077,6433,95.40%,4.60%,36026,36903,18273,39863,97.00%,3.00%,33633,33783,29619,9734,98.20%,1.80%,40836,40625,63674,2553,97.40%,2.60%,51921,52231,-
Production transportation and material moving occupations:,64202,74.00%,26.00%,30227,30861,27269,24398,79.90%,20.10%,26674,29748,16382,30346,80.10%,19.90%,27413,29294,23097,28545,76.50%,23.50%,26173,27737,20665,144625,74.40%,25.60%,24963,27671,19192,27635,77.50%,22.50%,28686,30798,23131,8630,68.00%,32.00%,31782,40126,20573
Production occupations,37986,66.70%,33.30%,32908,35307,30082,8771,71.20%,28.80%,31486,34483,21954,12383,75.90%,24.10%,33808,40753,24475,12549,62.20%,37.80%,25226,30339,20217,68759,64.20%,35.80%,23693,26554,19769,9646,73.20%,26.80%,35292,40813,16981,2150,64.00%,36.00%,42194,50446,33526
Transportation occupations,16395,85.70%,14.30%,30857,30822,31070,11182,90.50%,9.50%,27391,29438,12799,11989,80.10%,19.90%,25886,26234,25496,8132,89.70%,10.30%,30401,30781,28494,41603,87.10%,12.90%,32484,35327,21116,13946,78.60%,21.40%,28709,29511,26415,4774,68.40%,31.60%,33200,40800,20705
Material moving occupations,9821,82.90%,17.10%,22158,23542,16047,4445,70.60%,29.40%,15802,19764,8832,5974,88.90%,11.10%,17526,20516,14331,7864,85.70%,14.30%,22071,25146,18731,34263,79.70%,20.30%,20452,21382,16079,4043,84.10%,15.90%,12267,11574,18485,1706,72.00%,28.00%,16879,20046,16457
PERCENT IMPUTED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Civilian employed population 16 years and over,967374,538173,55.60%,429201,44.40%,555886,286622,51.60%,269264,48.40%,528812,280575,53.10%,248237,46.90%,363716,187534,51.60%,176182,48.40%,1254419,684743,54.60%,569676,45.40%,613246,326241,53.20%,287005,46.80%,203967,109953,53.90%,94014,46.10%,NA,NA,NA,NA,NA,NA,NA
Management business science and arts occupations:,504290,284719,56.50%,219571,43.50%,309332,156921,50.70%,152411,49.30%,258535,130332,50.40%,128203,49.60%,145072,66485,45.80%,78587,54.20%,422547,203701,48.20%,218846,51.80%,336897,180103,53.50%,156794,46.50%,115638,62926,54.40%,52712,45.60%,NA,NA,NA,NA,NA,NA,NA
Management business and financial occupations:,195924,106315,54.30%,89609,45.70%,125409,67932,54.20%,57477,45.80%,109845,60340,54.90%,49505,45.10%,56966,28325,49.70%,28641,50.30%,191478,100865,52.70%,90613,47.30%,149227,80785,54.10%,68442,45.90%,54177,30957,57.10%,23220,42.90%,NA,NA,NA,NA,NA,NA,NA
Management occupations,134156,81315,60.60%,52841,39.40%,79912,46414,58.10%,33498,41.90%,72690,44007,60.50%,28683,39.50%,35908,18431,51.30%,17477,48.70%,115945,68506,59.10%,47439,40.90%,95640,55003,57.50%,40637,42.50%,35445,22433,63.30%,13012,36.70%,NA,NA,NA,NA,NA,NA,NA
Business and financial operations occupations,61768,25000,40.50%,36768,59.50%,45497,21518,47.30%,23979,52.70%,37155,16333,44.00%,20822,56.00%,21058,9894,47.00%,11164,53.00%,75533,32359,42.80%,43174,57.20%,53587,25782,48.10%,27805,51.90%,18732,8524,45.50%,10208,54.50%,NA,NA,NA,NA,NA,NA,NA
Computer engineering and science occupations:,175129,133064,76.00%,42065,24.00%,69405,46479,67.00%,22926,33.00%,60005,44744,74.60%,15261,25.40%,16331,11167,68.40%,5164,31.60%,63081,45557,72.20%,17524,27.80%,83102,60197,72.40%,22905,27.60%,32817,24071,73.30%,8746,26.70%,NA,NA,NA,NA,NA,NA,NA
Computer and mathematical occupations,104138,80650,77.40%,23488,22.60%,33165,23918,72.10%,9247,27.90%,37018,29592,79.90%,7426,20.10%,9483,6728,70.90%,2755,29.10%,40419,28923,71.60%,11496,28.40%,61284,43919,71.70%,17365,28.30%,24447,17587,71.90%,6860,28.10%,NA,NA,NA,NA,NA,NA,NA
Architecture and engineering occupations,56358,45211,80.20%,11147,19.80%,13466,10939,81.20%,2527,18.80%,13024,10441,80.20%,2583,19.80%,4235,3254,76.80%,981,23.20%,16030,13241,82.60%,2789,17.40%,13807,11376,82.40%,2431,17.60%,5743,4874,84.90%,869,15.10%,NA,NA,NA,NA,NA,NA,NA
Life physical and social science occupations,14633,7203,49.20%,7430,50.80%,22774,11622,51.00%,11152,49.00%,9963,4711,47.30%,5252,52.70%,2613,1185,45.40%,1428,54.60%,6632,3393,51.20%,3239,48.80%,8011,4902,61.20%,3109,38.80%,2627,1610,61.30%,1017,38.70%,NA,NA,NA,NA,NA,NA,NA
Education legal community service arts and media occupations:,94956,36158,38.10%,58798,61.90%,83719,32663,39.00%,51056,61.00%,61090,18353,30.00%,42737,70.00%,48759,19997,41.00%,28762,59.00%,113989,41389,36.30%,72600,63.70%,76722,31283,40.80%,45439,59.20%,21242,6373,30.00%,14869,70.00%,NA,NA,NA,NA,NA,NA,NA
Community and social services occupations,11673,4264,36.50%,7409,63.50%,10730,3457,32.20%,7273,67.80%,7721,2228,28.90%,5493,71.10%,6548,2618,40.00%,3930,60.00%,14081,5346,38.00%,8735,62.00%,7959,3103,39.00%,4856,61.00%,1455,537,36.90%,918,63.10%,NA,NA,NA,NA,NA,NA,NA
Legal occupations,11022,5295,48.00%,5727,52.00%,16869,9856,58.40%,7013,41.60%,6048,2795,46.20%,3253,53.80%,5419,2497,46.10%,2922,53.90%,16784,9134,54.40%,7650,45.60%,17290,11361,65.70%,5929,34.30%,3149,1207,38.30%,1942,61.70%,NA,NA,NA,NA,NA,NA,NA
Education training and library occupations,51693,14773,28.60%,36920,71.40%,36132,10204,28.20%,25928,71.80%,36606,8229,22.50%,28377,77.50%,22820,5870,25.70%,16950,74.30%,56933,14384,25.30%,42549,74.70%,35774,10002,28.00%,25772,72.00%,11689,2170,18.60%,9519,81.40%,NA,NA,NA,NA,NA,NA,NA
Arts design entertainment sports and media occupations,20568,11826,57.50%,8742,42.50%,19988,9146,45.80%,10842,54.20%,10715,5101,47.60%,5614,52.40%,13972,9012,64.50%,4960,35.50%,26191,12525,47.80%,13666,52.20%,15699,6817,43.40%,8882,56.60%,4949,2459,49.70%,2490,50.30%,NA,NA,NA,NA,NA,NA,NA
Healthcare practitioner and technical occupations:,38281,9182,24.00%,29099,76.00%,30799,9847,32.00%,20952,68.00%,27595,6895,25.00%,20700,75.00%,23016,6996,30.40%,16020,69.60%,53999,15890,29.40%,38109,70.60%,27846,7838,28.10%,20008,71.90%,7402,1525,20.60%,5877,79.40%,NA,NA,NA,NA,NA,NA,NA
Health diagnosing and treating practitioners and other technical occupations,28852,6861,23.80%,21991,76.20%,23402,8010,34.20%,15392,65.80%,19612,4761,24.30%,14851,75.70%,18064,5071,28.10%,12993,71.90%,36846,11741,31.90%,25105,68.10%,21491,6765,31.50%,14726,68.50%,5514,945,17.10%,4569,82.90%,NA,NA,NA,NA,NA,NA,NA
Health technologists and technicians,9429,2321,24.60%,7108,75.40%,7397,1837,24.80%,5560,75.20%,7983,2134,26.70%,5849,73.30%,4952,1925,38.90%,3027,61.10%,17153,4149,24.20%,13004,75.80%,6355,1073,16.90%,5282,83.10%,1888,580,30.70%,1308,69.30%,NA,NA,NA,NA,NA,NA,NA
Service occupations:,154201,64835,42.00%,89366,58.00%,91181,36646,40.20%,54535,59.80%,71900,31923,44.40%,39977,55.60%,60657,27910,46.00%,32747,54.00%,217043,91136,42.00%,125907,58.00%,103192,44107,42.70%,59085,57.30%,28869,12487,43.30%,16382,56.70%,NA,NA,NA,NA,NA,NA,NA
Healthcare support occupations,15209,3028,19.90%,12181,80.10%,10032,2420,24.10%,7612,75.90%,9339,1247,13.40%,8092,86.60%,4385,525,12.00%,3860,88.00%,24517,3366,13.70%,21151,86.30%,8211,1562,19.00%,6649,81.00%,2132,174,8.20%,1958,91.80%,NA,NA,NA,NA,NA,NA,NA
Protective service occupations:,13275,10459,78.80%,2816,21.20%,9331,7341,78.70%,1990,21.30%,7918,5493,69.40%,2425,30.60%,6884,4868,70.70%,2016,29.30%,19124,13417,70.20%,5707,29.80%,12678,10072,79.40%,2606,20.60%,4833,3378,69.90%,1455,30.10%,NA,NA,NA,NA,NA,NA,NA
Fire fighting and prevention and other protective service workers including supervisors,9112,7312,80.20%,1800,19.80%,5772,4371,75.70%,1401,24.30%,4238,3384,79.80%,854,20.20%,5056,3529,69.80%,1527,30.20%,13498,9271,68.70%,4227,31.30%,8222,6180,75.20%,2042,24.80%,2831,1918,67.70%,913,32.30%,NA,NA,NA,NA,NA,NA,NA
Law enforcement workers including supervisors,4163,3147,75.60%,1016,24.40%,3559,2970,83.50%,589,16.50%,3680,2109,57.30%,1571,42.70%,1828,1339,73.20%,489,26.80%,5626,4146,73.70%,1480,26.30%,4456,3892,87.30%,564,12.70%,2002,1460,72.90%,542,27.10%,NA,NA,NA,NA,NA,NA,NA
Food preparation and serving related occupations,47720,24113,50.50%,23607,49.50%,26584,13690,51.50%,12894,48.50%,25672,12581,49.00%,13091,51.00%,22332,12679,56.80%,9653,43.20%,77672,37859,48.70%,39813,51.30%,34074,16754,49.20%,17320,50.80%,9052,4862,53.70%,4190,46.30%,NA,NA,NA,NA,NA,NA,NA
Building and grounds cleaning and maintenance occupations,35146,18045,51.30%,17101,48.70%,22688,7873,34.70%,14815,65.30%,15251,8828,57.90%,6423,42.10%,12206,5940,48.70%,6266,51.30%,55904,26944,48.20%,28960,51.80%,21929,11316,51.60%,10613,48.40%,4703,1854,39.40%,2849,60.60%,NA,NA,NA,NA,NA,NA,NA
Personal care and service occupations,42851,9190,21.40%,33661,78.60%,22546,5322,23.60%,17224,76.40%,13720,3774,27.50%,9946,72.50%,14850,3898,26.20%,10952,73.80%,39826,9550,24.00%,30276,76.00%,26300,4403,16.70%,21897,83.30%,8149,2219,27.20%,5930,72.80%,NA,NA,NA,NA,NA,NA,NA
Sales and office occupations:,172746,75125,43.50%,97621,56.50%,96424,39664,41.10%,56760,58.90%,125447,55753,44.40%,69694,55.60%,86837,34722,40.00%,52115,60.00%,305813,122102,39.90%,183711,60.10%,110523,47636,43.10%,62887,56.90%,39086,17080,43.70%,22006,56.30%,NA,NA,NA,NA,NA,NA,NA
Sales and related occupations,83478,44300,53.10%,39178,46.90%,45810,23687,51.70%,22123,48.30%,67219,38576,57.40%,28643,42.60%,36091,18337,50.80%,17754,49.20%,137094,66827,48.70%,70267,51.30%,50556,26478,52.40%,24078,47.60%,18649,10048,53.90%,8601,46.10%,NA,NA,NA,NA,NA,NA,NA
Office and administrative support occupations,89268,30825,34.50%,58443,65.50%,50614,15977,31.60%,34637,68.40%,58228,17177,29.50%,41051,70.50%,50746,16385,32.30%,34361,67.70%,168719,55275,32.80%,113444,67.20%,59967,21158,35.30%,38809,64.70%,20437,7032,34.40%,13405,65.60%,NA,NA,NA,NA,NA,NA,NA
Natural resources construction and maintenance occupations:,61531,59298,96.40%,2233,3.60%,32922,32187,97.80%,735,2.20%,37370,34867,93.30%,2503,6.70%,28282,27356,96.70%,926,3.30%,142722,139126,97.50%,3596,2.50%,33906,32447,95.70%,1459,4.30%,8581,7953,92.70%,628,7.30%,NA,NA,NA,NA,NA,NA,NA
Farming fishing and forestry occupations,3197,2370,74.10%,827,25.90%,899,840,93.40%,59,6.60%,1122,777,69.30%,345,30.70%,0,0,-,0,-,2575,1973,76.60%,602,23.40%,541,253,46.80%,288,53.20%,225,94,41.80%,131,58.20%,NA,NA,NA,NA,NA,NA,NA
Construction and extraction occupations,36989,36302,98.10%,687,1.90%,24702,24301,98.40%,401,1.60%,24852,23327,93.90%,1525,6.10%,18842,18240,96.80%,602,3.20%,102236,101077,98.90%,1159,1.10%,22811,22117,97.00%,694,3.00%,4797,4656,97.10%,141,2.90%,NA,NA,NA,NA,NA,NA,NA
Installation maintenance and repair occupations,21345,20626,96.60%,719,3.40%,7321,7046,96.20%,275,3.80%,11396,10763,94.40%,633,5.60%,9440,9116,96.60%,324,3.40%,37911,36076,95.20%,1835,4.80%,10554,10077,95.50%,477,4.50%,3559,3203,90.00%,356,10.00%,NA,NA,NA,NA,NA,NA,NA
Production transportation and material moving occupations:,74606,54196,72.60%,20410,27.40%,26027,21204,81.50%,4823,18.50%,35560,27700,77.90%,7860,22.10%,42868,31061,72.50%,11807,27.50%,166294,128678,77.40%,37616,22.60%,28728,21948,76.40%,6780,23.60%,11793,9507,80.60%,2286,19.40%,NA,NA,NA,NA,NA,NA,NA
Production occupations,42819,28056,65.50%,14763,34.50%,8847,6019,68.00%,2828,32.00%,13721,9329,68.00%,4392,32.00%,17131,10134,59.20%,6997,40.80%,68416,47520,69.50%,20896,30.50%,8978,5761,64.20%,3217,35.80%,3794,2180,57.50%,1614,42.50%,NA,NA,NA,NA,NA,NA,NA
Transportation occupations,18420,15255,82.80%,3165,17.20%,13403,12160,90.70%,1243,9.30%,14950,12091,80.90%,2859,19.10%,11402,9951,87.30%,1451,12.70%,49209,44003,89.40%,5206,10.60%,14768,12531,84.90%,2237,15.10%,5346,4736,88.60%,610,11.40%,NA,NA,NA,NA,NA,NA,NA
Civilian employed population 16 years and over,1003304,560555,55.90%,442749,44.10%,559029,287272,51.40%,271757,48.60%,579420,302907,52.30%,276513,47.70%,383444,194858,50.80%,188586,49.20%,1315440,712370,54.20%,603070,45.80%,611782,325491,53.20%,286291,46.80%,220064,118520,53.90%,101544,46.10%,NA,NA,NA,NA,NA,NA,NA
