label,loudoun_cty_va_count,loudoun_cty_va_pct,data_type
        Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races,"1,009",0.2%,Decennial Population
        Some Other Race alone or in combination with one or more other races,"53,147",12.6%,Decennial Population
HISPANIC OR LATINO,"53,147",12.6%,Decennial Population
        Hispanic or Latino (of any race),"59,744",14.2%,Decennial Population
        Not Hispanic or Latino,"361,215",85.8%,Decennial Population
HISPANIC OR LATINO BY RACE,"361,215",85.8%,Decennial Population
        Hispanic or Latino,"59,744",14.2%,Decennial Population
            White alone,"9,109",2.2%,Decennial Population
            Black or African American alone,843,0.2%,Decennial Population
            American Indian and Alaska Native alone,"1,046",0.2%,Decennial Population
            Asian alone,407,0.1%,Decennial Population
            Native Hawaiian and Other Pacific Islander alone,36,0.0%,Decennial Population
            Some Other Race alone,"25,711",6.1%,Decennial Population
            Two or More Races,"22,592",5.4%,Decennial Population
            White alone,"216,865",51.5%,Decennial Population
            Black or African American alone,"29,725",7.1%,Decennial Population
            American Indian and Alaska Native alone,536,0.1%,Decennial Population
            Asian alone,"89,372",21.2%,Decennial Population
            Native Hawaiian and Other Pacific Islander alone,227,0.1%,Decennial Population
            Some Other Race alone,"2,425",0.6%,Decennial Population
            Two or More Races,"22,065",5.2%,Decennial Population
RELATIONSHIP,"22,065",5.2%,Decennial Population
        In households,"419,718",99.7%,Decennial Population
            Householder,"137,450",32.7%,Decennial Population
            Opposite-sex spouse,"89,423",21.2%,Decennial Population
            Same-sex spouse,504,0.1%,Decennial Population
            Opposite-sex unmarried partner,"5,518",1.3%,Decennial Population
            Same-sex unmarried partner,271,0.1%,Decennial Population
            Child [2],"148,967",35.4%,Decennial Population
                Under 18 years,"111,132",26.4%,Decennial Population
            Grandchild,"4,182",1.0%,Decennial Population
                Under 18 years,"3,561",0.8%,Decennial Population
            Other relatives,"22,446",5.3%,Decennial Population
            Nonrelatives,"10,957",2.6%,Decennial Population
        In group quarters,"1,241",0.3%,Decennial Population
            Institutionalized population:,651,0.2%,Decennial Population
                Male,195,0.0%,Decennial Population
                Female,456,0.1%,Decennial Population
            Noninstitutionalized population:,590,0.1%,Decennial Population
                Male,300,0.1%,Decennial Population
                Female,290,0.1%,Decennial Population
HOUSEHOLDS BY TYPE,290,0.1%,Decennial Population
    Total households,"137,442",100.0%,Decennial Population
        Married couple household,"89,950",65.4%,Decennial Population
            With own children under 18 [3],"50,686",36.9%,Decennial Population
        Cohabiting couple household,"5,787",4.2%,Decennial Population
            With own children under 18 [3],"1,834",1.3%,Decennial Population
"        Male householder, no spouse or partner present:","16,387",11.9%,Decennial Population
            Living alone,"9,855",7.2%,Decennial Population
                65 years and over,"2,154",1.6%,Decennial Population
            With own children under 18 [3],"2,257",1.6%,Decennial Population
"        Female householder, no spouse or partner present:","25,318",18.4%,Decennial Population
            Living alone,"13,167",9.6%,Decennial Population
                65 years and over,"5,840",4.2%,Decennial Population
            With own children under 18 [3],"5,493",4.0%,Decennial Population
        Households with individuals under 18 years,"63,522",46.2%,Decennial Population
        Households with individuals 65 years and over,"28,893",21.0%,Decennial Population
HOUSING OCCUPANCY,"28,893",21.0%,Decennial Population
    Total housing units,"142,074",100.0%,Decennial Population
        Occupied housing units,"137,442",96.7%,Decennial Population
        Vacant housing units,"4,632",3.3%,Decennial Population
            For rent,"1,938",1.4%,Decennial Population
"            Rented, not occupied",141,0.1%,Decennial Population
            For sale only,749,0.5%,Decennial Population
"            Sold, not occupied",318,0.2%,Decennial Population
"            For seasonal, recreational, or occasional use",651,0.5%,Decennial Population
            All other vacants,835,0.6%,Decennial Population
VACANCY RATES,835,0.6%,Decennial Population
    Homeowner vacancy rate (percent) [4],0.7,(X),Decennial Population
    Rental vacancy rate (percent) [5],5.6,(X),Decennial Population
HOUSING TENURE,5.6,(X),Decennial Population
    Occupied housing units,"137,442",100.0%,Decennial Population
        Owner-occupied housing units,"105,060",76.4%,Decennial Population
        Renter-occupied housing units,"32,382",23.6%,Decennial Population
