Label (Grouping),"Santa Clara County, California!!Total!!Estimate",demographic,count
    Median age (years),36.2,"Santa Clara County, California!!Total!!Margin of Error",±0.2
    Sex ratio (males per 100 females),100.6,"Santa Clara County, California!!Total!!Margin of Error",±0.2
    Age dependency ratio,54.2,"Santa Clara County, California!!Total!!Margin of Error",±0.1
        Old-Age dependency ratio,17.1,"Santa Clara County, California!!Total!!Margin of Error",±0.1
        Child dependency ratio,37.2,"Santa Clara County, California!!Total!!Margin of Error",±0.1
PERCENT IMPUTED,,"Santa Clara County, California!!Total!!Margin of Error",
    Sex,0.2%,"Santa Clara County, California!!Total!!Margin of Error",(X)
    Age,1.6%,"Santa Clara County, California!!Total!!Margin of Error",(X)
Total population,"1,787,694","Santa Clara County, California!!Male!!Estimate","896,647"
AGE,,"Santa Clara County, California!!Male!!Estimate",
    Under 5 years,7.0%,"Santa Clara County, California!!Male!!Estimate",7.1%
    5 to 9 years,6.8%,"Santa Clara County, California!!Male!!Estimate",6.7%
    10 to 14 years,6.5%,"Santa Clara County, California!!Male!!Estimate",6.8%
    15 to 19 years,6.4%,"Santa Clara County, California!!Male!!Estimate",6.6%
    20 to 24 years,6.4%,"Santa Clara County, California!!Male!!Estimate",6.9%
    25 to 29 years,7.4%,"Santa Clara County, California!!Male!!Estimate",7.6%
    30 to 34 years,7.6%,"Santa Clara County, California!!Male!!Estimate",7.8%
    35 to 39 years,7.8%,"Santa Clara County, California!!Male!!Estimate",8.0%
    40 to 44 years,7.8%,"Santa Clara County, California!!Male!!Estimate",7.7%
    45 to 49 years,7.7%,"Santa Clara County, California!!Male!!Estimate",7.9%
    50 to 54 years,7.1%,"Santa Clara County, California!!Male!!Estimate",7.1%
    55 to 59 years,5.6%,"Santa Clara County, California!!Male!!Estimate",5.5%
    60 to 64 years,4.9%,"Santa Clara County, California!!Male!!Estimate",4.7%
    65 to 69 years,3.5%,"Santa Clara County, California!!Male!!Estimate",3.1%
    70 to 74 years,2.5%,"Santa Clara County, California!!Male!!Estimate",2.4%
    75 to 79 years,1.9%,"Santa Clara County, California!!Male!!Estimate",1.5%
    80 to 84 years,1.6%,"Santa Clara County, California!!Male!!Estimate",1.5%
    85 years and over,1.6%,"Santa Clara County, California!!Male!!Estimate",1.1%
SELECTED AGE CATEGORIES,,"Santa Clara County, California!!Male!!Estimate",
    5 to 14 years,13.2%,"Santa Clara County, California!!Male!!Estimate",13.5%
    15 to 17 years,3.9%,"Santa Clara County, California!!Male!!Estimate",4.0%
    18 to 24 years,8.9%,"Santa Clara County, California!!Male!!Estimate",9.5%
    15 to 44 years,43.5%,"Santa Clara County, California!!Male!!Estimate",44.6%
    16 years and over,78.4%,"Santa Clara County, California!!Male!!Estimate",78.0%
    18 years and over,75.9%,"Santa Clara County, California!!Male!!Estimate",75.4%
    60 years and over,15.9%,"Santa Clara County, California!!Male!!Estimate",14.3%
    62 years and over,13.8%,"Santa Clara County, California!!Male!!Estimate",12.2%
    65 years and over,11.1%,"Santa Clara County, California!!Male!!Estimate",9.6%
    75 years and over,5.1%,"Santa Clara County, California!!Male!!Estimate",4.1%
SUMMARY INDICATORS,,"Santa Clara County, California!!Male!!Estimate",
    Median age (years),36.2,"Santa Clara County, California!!Male!!Estimate",35.4
    Sex ratio (males per 100 females),100.6,"Santa Clara County, California!!Male!!Estimate",(X)
    Age dependency ratio,54.2,"Santa Clara County, California!!Male!!Estimate",(X)
        Old-Age dependency ratio,17.1,"Santa Clara County, California!!Male!!Estimate",(X)
        Child dependency ratio,37.2,"Santa Clara County, California!!Male!!Estimate",(X)
PERCENT IMPUTED,,"Santa Clara County, California!!Male!!Estimate",
    Sex,0.2%,"Santa Clara County, California!!Male!!Estimate",(X)
    Age,1.6%,"Santa Clara County, California!!Male!!Estimate",(X)
Total population,"1,787,694","Santa Clara County, California!!Male!!Margin of Error",±671
AGE,,"Santa Clara County, California!!Male!!Margin of Error",
    Under 5 years,7.0%,"Santa Clara County, California!!Male!!Margin of Error",±0.1
    5 to 9 years,6.8%,"Santa Clara County, California!!Male!!Margin of Error",±0.3
    10 to 14 years,6.5%,"Santa Clara County, California!!Male!!Margin of Error",±0.4
    15 to 19 years,6.4%,"Santa Clara County, California!!Male!!Margin of Error",±0.1
    20 to 24 years,6.4%,"Santa Clara County, California!!Male!!Margin of Error",±0.1
    25 to 29 years,7.4%,"Santa Clara County, California!!Male!!Margin of Error",±0.1
    30 to 34 years,7.6%,"Santa Clara County, California!!Male!!Margin of Error",±0.1
    35 to 39 years,7.8%,"Santa Clara County, California!!Male!!Margin of Error",±0.4
    40 to 44 years,7.8%,"Santa Clara County, California!!Male!!Margin of Error",±0.4
    45 to 49 years,7.7%,"Santa Clara County, California!!Male!!Margin of Error",±0.1
    50 to 54 years,7.1%,"Santa Clara County, California!!Male!!Margin of Error",±0.1
    55 to 59 years,5.6%,"Santa Clara County, California!!Male!!Margin of Error",±0.3
    60 to 64 years,4.9%,"Santa Clara County, California!!Male!!Margin of Error",±0.3
    65 to 69 years,3.5%,"Santa Clara County, California!!Male!!Margin of Error",±0.2
    70 to 74 years,2.5%,"Santa Clara County, California!!Male!!Margin of Error",±0.2
    75 to 79 years,1.9%,"Santa Clara County, California!!Male!!Margin of Error",±0.2
    80 to 84 years,1.6%,"Santa Clara County, California!!Male!!Margin of Error",±0.2
    85 years and over,1.6%,"Santa Clara County, California!!Male!!Margin of Error",±0.1
SELECTED AGE CATEGORIES,,"Santa Clara County, California!!Male!!Margin of Error",
    5 to 14 years,13.2%,"Santa Clara County, California!!Male!!Margin of Error",±0.1
    15 to 17 years,3.9%,"Santa Clara County, California!!Male!!Margin of Error",±0.1
    18 to 24 years,8.9%,"Santa Clara County, California!!Male!!Margin of Error",±0.1
    15 to 44 years,43.5%,"Santa Clara County, California!!Male!!Margin of Error",±0.1
    16 years and over,78.4%,"Santa Clara County, California!!Male!!Margin of Error",±0.2
    18 years and over,75.9%,"Santa Clara County, California!!Male!!Margin of Error",±0.1
    60 years and over,15.9%,"Santa Clara County, California!!Male!!Margin of Error",±0.3
    62 years and over,13.8%,"Santa Clara County, California!!Male!!Margin of Error",±0.2
    65 years and over,11.1%,"Santa Clara County, California!!Male!!Margin of Error",±0.1
    75 years and over,5.1%,"Santa Clara County, California!!Male!!Margin of Error",±0.1
SUMMARY INDICATORS,,"Santa Clara County, California!!Male!!Margin of Error",
    Median age (years),36.2,"Santa Clara County, California!!Male!!Margin of Error",±0.2
    Sex ratio (males per 100 females),100.6,"Santa Clara County, California!!Male!!Margin of Error",(X)
    Age dependency ratio,54.2,"Santa Clara County, California!!Male!!Margin of Error",(X)
        Old-Age dependency ratio,17.1,"Santa Clara County, California!!Male!!Margin of Error",(X)
        Child dependency ratio,37.2,"Santa Clara County, California!!Male!!Margin of Error",(X)
PERCENT IMPUTED,,"Santa Clara County, California!!Male!!Margin of Error",
    Sex,0.2%,"Santa Clara County, California!!Male!!Margin of Error",(X)
    Age,1.6%,"Santa Clara County, California!!Male!!Margin of Error",(X)
Total population,"1,787,694","Santa Clara County, California!!Female!!Estimate","891,047"
AGE,,"Santa Clara County, California!!Female!!Estimate",
    Under 5 years,7.0%,"Santa Clara County, California!!Female!!Estimate",6.8%
    5 to 9 years,6.8%,"Santa Clara County, California!!Female!!Estimate",6.8%
    10 to 14 years,6.5%,"Santa Clara County, California!!Female!!Estimate",6.2%
    15 to 19 years,6.4%,"Santa Clara County, California!!Female!!Estimate",6.2%
    20 to 24 years,6.4%,"Santa Clara County, California!!Female!!Estimate",6.0%
    25 to 29 years,7.4%,"Santa Clara County, California!!Female!!Estimate",7.3%
    30 to 34 years,7.6%,"Santa Clara County, California!!Female!!Estimate",7.5%
    35 to 39 years,7.8%,"Santa Clara County, California!!Female!!Estimate",7.6%
    40 to 44 years,7.8%,"Santa Clara County, California!!Female!!Estimate",7.9%
    45 to 49 years,7.7%,"Santa Clara County, California!!Female!!Estimate",7.5%
    50 to 54 years,7.1%,"Santa Clara County, California!!Female!!Estimate",7.0%
    55 to 59 years,5.6%,"Santa Clara County, California!!Female!!Estimate",5.7%
    60 to 64 years,4.9%,"Santa Clara County, California!!Female!!Estimate",5.1%
    65 to 69 years,3.5%,"Santa Clara County, California!!Female!!Estimate",3.8%
    70 to 74 years,2.5%,"Santa Clara County, California!!Female!!Estimate",2.7%
    75 to 79 years,1.9%,"Santa Clara County, California!!Female!!Estimate",2.3%
    80 to 84 years,1.6%,"Santa Clara County, California!!Female!!Estimate",1.7%
    85 years and over,1.6%,"Santa Clara County, California!!Female!!Estimate",2.0%
SELECTED AGE CATEGORIES,,"Santa Clara County, California!!Female!!Estimate",
    5 to 14 years,13.2%,"Santa Clara County, California!!Female!!Estimate",13.0%
    15 to 17 years,3.9%,"Santa Clara County, California!!Female!!Estimate",3.8%
    18 to 24 years,8.9%,"Santa Clara County, California!!Female!!Estimate",8.3%
    15 to 44 years,43.5%,"Santa Clara County, California!!Female!!Estimate",42.4%
    16 years and over,78.4%,"Santa Clara County, California!!Female!!Estimate",78.8%
    18 years and over,75.9%,"Santa Clara County, California!!Female!!Estimate",76.4%
    60 years and over,15.9%,"Santa Clara County, California!!Female!!Estimate",17.6%
    62 years and over,13.8%,"Santa Clara County, California!!Female!!Estimate",15.4%
    65 years and over,11.1%,"Santa Clara County, California!!Female!!Estimate",12.5%
    75 years and over,5.1%,"Santa Clara County, California!!Female!!Estimate",6.0%
SUMMARY INDICATORS,,"Santa Clara County, California!!Female!!Estimate",
    Median age (years),36.2,"Santa Clara County, California!!Female!!Estimate",37.2
    Sex ratio (males per 100 females),100.6,"Santa Clara County, California!!Female!!Estimate",(X)
    Age dependency ratio,54.2,"Santa Clara County, California!!Female!!Estimate",(X)
        Old-Age dependency ratio,17.1,"Santa Clara County, California!!Female!!Estimate",(X)
        Child dependency ratio,37.2,"Santa Clara County, California!!Female!!Estimate",(X)
PERCENT IMPUTED,,"Santa Clara County, California!!Female!!Estimate",
    Sex,0.2%,"Santa Clara County, California!!Female!!Estimate",(X)
    Age,1.6%,"Santa Clara County, California!!Female!!Estimate",(X)
Total population,"1,787,694","Santa Clara County, California!!Female!!Margin of Error",±671
AGE,,"Santa Clara County, California!!Female!!Margin of Error",
    Under 5 years,7.0%,"Santa Clara County, California!!Female!!Margin of Error",±0.1
    5 to 9 years,6.8%,"Santa Clara County, California!!Female!!Margin of Error",±0.3
    10 to 14 years,6.5%,"Santa Clara County, California!!Female!!Margin of Error",±0.3
    15 to 19 years,6.4%,"Santa Clara County, California!!Female!!Margin of Error",±0.1
    20 to 24 years,6.4%,"Santa Clara County, California!!Female!!Margin of Error",±0.1
    25 to 29 years,7.4%,"Santa Clara County, California!!Female!!Margin of Error",±0.1
    30 to 34 years,7.6%,"Santa Clara County, California!!Female!!Margin of Error",±0.1
    35 to 39 years,7.8%,"Santa Clara County, California!!Female!!Margin of Error",±0.3
    40 to 44 years,7.8%,"Santa Clara County, California!!Female!!Margin of Error",±0.4
    45 to 49 years,7.7%,"Santa Clara County, California!!Female!!Margin of Error",±0.1
    50 to 54 years,7.1%,"Santa Clara County, California!!Female!!Margin of Error",±0.1
    55 to 59 years,5.6%,"Santa Clara County, California!!Female!!Margin of Error",±0.3
    60 to 64 years,4.9%,"Santa Clara County, California!!Female!!Margin of Error",±0.3
    65 to 69 years,3.5%,"Santa Clara County, California!!Female!!Margin of Error",±0.2
    70 to 74 years,2.5%,"Santa Clara County, California!!Female!!Margin of Error",±0.2
    75 to 79 years,1.9%,"Santa Clara County, California!!Female!!Margin of Error",±0.2
    80 to 84 years,1.6%,"Santa Clara County, California!!Female!!Margin of Error",±0.2
    85 years and over,1.6%,"Santa Clara County, California!!Female!!Margin of Error",±0.2
SELECTED AGE CATEGORIES,,"Santa Clara County, California!!Female!!Margin of Error",
    5 to 14 years,13.2%,"Santa Clara County, California!!Female!!Margin of Error",±0.1
    15 to 17 years,3.9%,"Santa Clara County, California!!Female!!Margin of Error",±0.1
    18 to 24 years,8.9%,"Santa Clara County, California!!Female!!Margin of Error",±0.1
    15 to 44 years,43.5%,"Santa Clara County, California!!Female!!Margin of Error",±0.1
    16 years and over,78.4%,"Santa Clara County, California!!Female!!Margin of Error",±0.1
    18 years and over,75.9%,"Santa Clara County, California!!Female!!Margin of Error",±0.1
    60 years and over,15.9%,"Santa Clara County, California!!Female!!Margin of Error",±0.3
    62 years and over,13.8%,"Santa Clara County, California!!Female!!Margin of Error",±0.2
    65 years and over,11.1%,"Santa Clara County, California!!Female!!Margin of Error",±0.1
    75 years and over,5.1%,"Santa Clara County, California!!Female!!Margin of Error",±0.1
SUMMARY INDICATORS,,"Santa Clara County, California!!Female!!Margin of Error",
    Median age (years),36.2,"Santa Clara County, California!!Female!!Margin of Error",±0.2
    Sex ratio (males per 100 females),100.6,"Santa Clara County, California!!Female!!Margin of Error",(X)
    Age dependency ratio,54.2,"Santa Clara County, California!!Female!!Margin of Error",(X)
        Old-Age dependency ratio,17.1,"Santa Clara County, California!!Female!!Margin of Error",(X)
        Child dependency ratio,37.2,"Santa Clara County, California!!Female!!Margin of Error",(X)
PERCENT IMPUTED,,"Santa Clara County, California!!Female!!Margin of Error",
    Sex,0.2%,"Santa Clara County, California!!Female!!Margin of Error",(X)
    Age,1.6%,"Santa Clara County, California!!Female!!Margin of Error",(X)
Total population,"1,787,694","Montgomery County, Maryland!!Total!!Estimate","976,203"
AGE,,"Montgomery County, Maryland!!Total!!Estimate",
    Under 5 years,7.0%,"Montgomery County, Maryland!!Total!!Estimate",6.5%
    5 to 9 years,6.8%,"Montgomery County, Maryland!!Total!!Estimate",6.5%
    10 to 14 years,6.5%,"Montgomery County, Maryland!!Total!!Estimate",6.8%
    15 to 19 years,6.4%,"Montgomery County, Maryland!!Total!!Estimate",6.1%
    20 to 24 years,6.4%,"Montgomery County, Maryland!!Total!!Estimate",5.6%
    25 to 29 years,7.4%,"Montgomery County, Maryland!!Total!!Estimate",6.8%
    30 to 34 years,7.6%,"Montgomery County, Maryland!!Total!!Estimate",6.8%
    35 to 39 years,7.8%,"Montgomery County, Maryland!!Total!!Estimate",6.9%
    40 to 44 years,7.8%,"Montgomery County, Maryland!!Total!!Estimate",7.6%
    45 to 49 years,7.7%,"Montgomery County, Maryland!!Total!!Estimate",8.0%
    50 to 54 years,7.1%,"Montgomery County, Maryland!!Total!!Estimate",7.8%
    55 to 59 years,5.6%,"Montgomery County, Maryland!!Total!!Estimate",6.9%
    60 to 64 years,4.9%,"Montgomery County, Maryland!!Total!!Estimate",5.4%
    65 to 69 years,3.5%,"Montgomery County, Maryland!!Total!!Estimate",3.7%
    70 to 74 years,2.5%,"Montgomery County, Maryland!!Total!!Estimate",2.7%
    75 to 79 years,1.9%,"Montgomery County, Maryland!!Total!!Estimate",2.3%
    80 to 84 years,1.6%,"Montgomery County, Maryland!!Total!!Estimate",1.6%
    85 years and over,1.6%,"Montgomery County, Maryland!!Total!!Estimate",2.0%
SELECTED AGE CATEGORIES,,"Montgomery County, Maryland!!Total!!Estimate",
    5 to 14 years,13.2%,"Montgomery County, Maryland!!Total!!Estimate",13.2%
    15 to 17 years,3.9%,"Montgomery County, Maryland!!Total!!Estimate",4.2%
    18 to 24 years,8.9%,"Montgomery County, Maryland!!Total!!Estimate",7.5%
    15 to 44 years,43.5%,"Montgomery County, Maryland!!Total!!Estimate",39.8%
    16 years and over,78.4%,"Montgomery County, Maryland!!Total!!Estimate",78.8%
    18 years and over,75.9%,"Montgomery County, Maryland!!Total!!Estimate",76.0%
    60 years and over,15.9%,"Montgomery County, Maryland!!Total!!Estimate",17.7%
    62 years and over,13.8%,"Montgomery County, Maryland!!Total!!Estimate",15.4%
    65 years and over,11.1%,"Montgomery County, Maryland!!Total!!Estimate",12.3%
    75 years and over,5.1%,"Montgomery County, Maryland!!Total!!Estimate",5.9%
SUMMARY INDICATORS,,"Montgomery County, Maryland!!Total!!Estimate",
    Median age (years),36.2,"Montgomery County, Maryland!!Total!!Estimate",38.6
    Sex ratio (males per 100 females),100.6,"Montgomery County, Maryland!!Total!!Estimate",92.4
    Age dependency ratio,54.2,"Montgomery County, Maryland!!Total!!Estimate",57.0
        Old-Age dependency ratio,17.1,"Montgomery County, Maryland!!Total!!Estimate",19.4
        Child dependency ratio,37.2,"Montgomery County, Maryland!!Total!!Estimate",37.6
PERCENT IMPUTED,,"Montgomery County, Maryland!!Total!!Estimate",
    Sex,0.2%,"Montgomery County, Maryland!!Total!!Estimate",0.2%
    Age,1.6%,"Montgomery County, Maryland!!Total!!Estimate",1.1%
Total population,"1,787,694","Montgomery County, Maryland!!Total!!Margin of Error",*****
AGE,,"Montgomery County, Maryland!!Total!!Margin of Error",
    Under 5 years,7.0%,"Montgomery County, Maryland!!Total!!Margin of Error",±0.1
    5 to 9 years,6.8%,"Montgomery County, Maryland!!Total!!Margin of Error",±0.3
    10 to 14 years,6.5%,"Montgomery County, Maryland!!Total!!Margin of Error",±0.3
    15 to 19 years,6.4%,"Montgomery County, Maryland!!Total!!Margin of Error",±0.1
    20 to 24 years,6.4%,"Montgomery County, Maryland!!Total!!Margin of Error",±0.1
    25 to 29 years,7.4%,"Montgomery County, Maryland!!Total!!Margin of Error",±0.1
    30 to 34 years,7.6%,"Montgomery County, Maryland!!Total!!Margin of Error",±0.1
    35 to 39 years,7.8%,"Montgomery County, Maryland!!Total!!Margin of Error",±0.3
    40 to 44 years,7.8%,"Montgomery County, Maryland!!Total!!Margin of Error",±0.3
    45 to 49 years,7.7%,"Montgomery County, Maryland!!Total!!Margin of Error",±0.1
    50 to 54 years,7.1%,"Montgomery County, Maryland!!Total!!Margin of Error",±0.1
    55 to 59 years,5.6%,"Montgomery County, Maryland!!Total!!Margin of Error",±0.3
    60 to 64 years,4.9%,"Montgomery County, Maryland!!Total!!Margin of Error",±0.3
    65 to 69 years,3.5%,"Montgomery County, Maryland!!Total!!Margin of Error",±0.2
    70 to 74 years,2.5%,"Montgomery County, Maryland!!Total!!Margin of Error",±0.2
    75 to 79 years,1.9%,"Montgomery County, Maryland!!Total!!Margin of Error",±0.2
    80 to 84 years,1.6%,"Montgomery County, Maryland!!Total!!Margin of Error",±0.1
    85 years and over,1.6%,"Montgomery County, Maryland!!Total!!Margin of Error",±0.1
SELECTED AGE CATEGORIES,,"Montgomery County, Maryland!!Total!!Margin of Error",
    5 to 14 years,13.2%,"Montgomery County, Maryland!!Total!!Margin of Error",±0.1
    15 to 17 years,3.9%,"Montgomery County, Maryland!!Total!!Margin of Error",±0.1
    18 to 24 years,8.9%,"Montgomery County, Maryland!!Total!!Margin of Error",±0.1
    15 to 44 years,43.5%,"Montgomery County, Maryland!!Total!!Margin of Error",±0.1
    16 years and over,78.4%,"Montgomery County, Maryland!!Total!!Margin of Error",±0.2
    18 years and over,75.9%,"Montgomery County, Maryland!!Total!!Margin of Error",±0.1
    60 years and over,15.9%,"Montgomery County, Maryland!!Total!!Margin of Error",±0.3
    62 years and over,13.8%,"Montgomery County, Maryland!!Total!!Margin of Error",±0.3
    65 years and over,11.1%,"Montgomery County, Maryland!!Total!!Margin of Error",±0.1
    75 years and over,5.1%,"Montgomery County, Maryland!!Total!!Margin of Error",±0.1
SUMMARY INDICATORS,,"Montgomery County, Maryland!!Total!!Margin of Error",
    Median age (years),36.2,"Montgomery County, Maryland!!Total!!Margin of Error",±0.2
    Sex ratio (males per 100 females),100.6,"Montgomery County, Maryland!!Total!!Margin of Error",±0.2
    Age dependency ratio,54.2,"Montgomery County, Maryland!!Total!!Margin of Error",±0.1
        Old-Age dependency ratio,17.1,"Montgomery County, Maryland!!Total!!Margin of Error",±0.1
        Child dependency ratio,37.2,"Montgomery County, Maryland!!Total!!Margin of Error",±0.1
PERCENT IMPUTED,,"Montgomery County, Maryland!!Total!!Margin of Error",
    Sex,0.2%,"Montgomery County, Maryland!!Total!!Margin of Error",(X)
    Age,1.6%,"Montgomery County, Maryland!!Total!!Margin of Error",(X)
Total population,"1,787,694","Montgomery County, Maryland!!Male!!Estimate","468,914"
AGE,,"Montgomery County, Maryland!!Male!!Estimate",
    Under 5 years,7.0%,"Montgomery County, Maryland!!Male!!Estimate",7.0%
    5 to 9 years,6.8%,"Montgomery County, Maryland!!Male!!Estimate",6.6%
    10 to 14 years,6.5%,"Montgomery County, Maryland!!Male!!Estimate",7.4%
    15 to 19 years,6.4%,"Montgomery County, Maryland!!Male!!Estimate",6.6%
    20 to 24 years,6.4%,"Montgomery County, Maryland!!Male!!Estimate",5.8%
    25 to 29 years,7.4%,"Montgomery County, Maryland!!Male!!Estimate",7.0%
    30 to 34 years,7.6%,"Montgomery County, Maryland!!Male!!Estimate",6.8%
    35 to 39 years,7.8%,"Montgomery County, Maryland!!Male!!Estimate",6.8%
    40 to 44 years,7.8%,"Montgomery County, Maryland!!Male!!Estimate",7.5%
    45 to 49 years,7.7%,"Montgomery County, Maryland!!Male!!Estimate",7.9%
    50 to 54 years,7.1%,"Montgomery County, Maryland!!Male!!Estimate",7.7%
    55 to 59 years,5.6%,"Montgomery County, Maryland!!Male!!Estimate",6.8%
    60 to 64 years,4.9%,"Montgomery County, Maryland!!Male!!Estimate",5.3%
    65 to 69 years,3.5%,"Montgomery County, Maryland!!Male!!Estimate",3.6%
    70 to 74 years,2.5%,"Montgomery County, Maryland!!Male!!Estimate",2.5%
    75 to 79 years,1.9%,"Montgomery County, Maryland!!Male!!Estimate",2.3%
    80 to 84 years,1.6%,"Montgomery County, Maryland!!Male!!Estimate",1.1%
    85 years and over,1.6%,"Montgomery County, Maryland!!Male!!Estimate",1.3%
SELECTED AGE CATEGORIES,,"Montgomery County, Maryland!!Male!!Estimate",
    5 to 14 years,13.2%,"Montgomery County, Maryland!!Male!!Estimate",14.0%
    15 to 17 years,3.9%,"Montgomery County, Maryland!!Male!!Estimate",4.4%
    18 to 24 years,8.9%,"Montgomery County, Maryland!!Male!!Estimate",8.0%
    15 to 44 years,43.5%,"Montgomery County, Maryland!!Male!!Estimate",40.6%
    16 years and over,78.4%,"Montgomery County, Maryland!!Male!!Estimate",77.4%
    18 years and over,75.9%,"Montgomery County, Maryland!!Male!!Estimate",74.6%
    60 years and over,15.9%,"Montgomery County, Maryland!!Male!!Estimate",16.1%
    62 years and over,13.8%,"Montgomery County, Maryland!!Male!!Estimate",13.8%
    65 years and over,11.1%,"Montgomery County, Maryland!!Male!!Estimate",10.8%
    75 years and over,5.1%,"Montgomery County, Maryland!!Male!!Estimate",4.7%
SUMMARY INDICATORS,,"Montgomery County, Maryland!!Male!!Estimate",
    Median age (years),36.2,"Montgomery County, Maryland!!Male!!Estimate",37.1
    Sex ratio (males per 100 females),100.6,"Montgomery County, Maryland!!Male!!Estimate",(X)
    Age dependency ratio,54.2,"Montgomery County, Maryland!!Male!!Estimate",(X)
        Old-Age dependency ratio,17.1,"Montgomery County, Maryland!!Male!!Estimate",(X)
        Child dependency ratio,37.2,"Montgomery County, Maryland!!Male!!Estimate",(X)
PERCENT IMPUTED,,"Montgomery County, Maryland!!Male!!Estimate",
    Sex,0.2%,"Montgomery County, Maryland!!Male!!Estimate",(X)
    Age,1.6%,"Montgomery County, Maryland!!Male!!Estimate",(X)
Total population,"1,787,694","Montgomery County, Maryland!!Male!!Margin of Error",±443
AGE,,"Montgomery County, Maryland!!Male!!Margin of Error",
    Under 5 years,7.0%,"Montgomery County, Maryland!!Male!!Margin of Error",±0.1
    5 to 9 years,6.8%,"Montgomery County, Maryland!!Male!!Margin of Error",±0.5
    10 to 14 years,6.5%,"Montgomery County, Maryland!!Male!!Margin of Error",±0.5
    15 to 19 years,6.4%,"Montgomery County, Maryland!!Male!!Margin of Error",±0.1
    20 to 24 years,6.4%,"Montgomery County, Maryland!!Male!!Margin of Error",±0.1
    25 to 29 years,7.4%,"Montgomery County, Maryland!!Male!!Margin of Error",±0.1
    30 to 34 years,7.6%,"Montgomery County, Maryland!!Male!!Margin of Error",±0.1
    35 to 39 years,7.8%,"Montgomery County, Maryland!!Male!!Margin of Error",±0.5
    40 to 44 years,7.8%,"Montgomery County, Maryland!!Male!!Margin of Error",±0.5
    45 to 49 years,7.7%,"Montgomery County, Maryland!!Male!!Margin of Error",±0.1
    50 to 54 years,7.1%,"Montgomery County, Maryland!!Male!!Margin of Error",±0.1
    55 to 59 years,5.6%,"Montgomery County, Maryland!!Male!!Margin of Error",±0.4
    60 to 64 years,4.9%,"Montgomery County, Maryland!!Male!!Margin of Error",±0.4
    65 to 69 years,3.5%,"Montgomery County, Maryland!!Male!!Margin of Error",±0.3
    70 to 74 years,2.5%,"Montgomery County, Maryland!!Male!!Margin of Error",±0.3
    75 to 79 years,1.9%,"Montgomery County, Maryland!!Male!!Margin of Error",±0.2
    80 to 84 years,1.6%,"Montgomery County, Maryland!!Male!!Margin of Error",±0.2
    85 years and over,1.6%,"Montgomery County, Maryland!!Male!!Margin of Error",±0.2
SELECTED AGE CATEGORIES,,"Montgomery County, Maryland!!Male!!Margin of Error",
    5 to 14 years,13.2%,"Montgomery County, Maryland!!Male!!Margin of Error",±0.1
    15 to 17 years,3.9%,"Montgomery County, Maryland!!Male!!Margin of Error",±0.1
