Label (Grouping),"Santa Clara County, California!!Estimate",characteristic,value
    1 bedroom,"89,100","Santa Clara County, California!!Estimate Margin of Error","±4,517"
    2 bedrooms,"162,836","Santa Clara County, California!!Estimate Margin of Error","±5,849"
    3 bedrooms,"202,224","Santa Clara County, California!!Estimate Margin of Error","±5,363"
    4 bedrooms,"122,330","Santa Clara County, California!!Estimate Margin of Error","±4,039"
    5 or more bedrooms,"35,521","Santa Clara County, California!!Estimate Margin of Error","±3,033"
HOUSING TENURE,,"Santa Clara County, California!!Estimate Margin of Error",
    Occupied housing units,"599,235","Santa Clara County, California!!Estimate Margin of Error","±3,770"
    Owner-occupied,"342,955","Santa Clara County, California!!Estimate Margin of Error","±4,963"
    Renter-occupied,"256,280","Santa Clara County, California!!Estimate Margin of Error","±5,605"
    Average household size of owner-occupied unit,3.01,"Santa Clara County, California!!Estimate Margin of Error",±0.04
    Average household size of renter-occupied unit,2.86,"Santa Clara County, California!!Estimate Margin of Error",±0.04
YEAR HOUSEHOLDER MOVED INTO UNIT,,"Santa Clara County, California!!Estimate Margin of Error",
    Occupied housing units,"599,235","Santa Clara County, California!!Estimate Margin of Error","±3,770"
    Moved in 2005 or later,"282,245","Santa Clara County, California!!Estimate Margin of Error","±5,474"
    Moved in 2000 to 2004,"101,772","Santa Clara County, California!!Estimate Margin of Error","±4,622"
    Moved in 1990 to 1999,"101,476","Santa Clara County, California!!Estimate Margin of Error","±4,264"
    Moved in 1980 to 1989,"50,775","Santa Clara County, California!!Estimate Margin of Error","±2,999"
    Moved in 1970 to 1979,"35,403","Santa Clara County, California!!Estimate Margin of Error","±2,408"
    Moved in 1969 or earlier,"27,564","Santa Clara County, California!!Estimate Margin of Error","±1,921"
VEHICLES AVAILABLE,,"Santa Clara County, California!!Estimate Margin of Error",
    Occupied housing units,"599,235","Santa Clara County, California!!Estimate Margin of Error","±3,770"
    No vehicles available,"31,267","Santa Clara County, California!!Estimate Margin of Error","±2,142"
    1 vehicle available,"168,953","Santa Clara County, California!!Estimate Margin of Error","±5,440"
    2 vehicles available,"249,590","Santa Clara County, California!!Estimate Margin of Error","±6,964"
    3 or more vehicles available,"149,425","Santa Clara County, California!!Estimate Margin of Error","±5,973"
HOUSE HEATING FUEL,,"Santa Clara County, California!!Estimate Margin of Error",
    Occupied housing units,"599,235","Santa Clara County, California!!Estimate Margin of Error","±3,770"
    Utility gas,"401,603","Santa Clara County, California!!Estimate Margin of Error","±5,475"
"    Bottled, tank, or LP gas","8,862","Santa Clara County, California!!Estimate Margin of Error","±1,190"
    Electricity,"178,541","Santa Clara County, California!!Estimate Margin of Error","±5,382"
"    Fuel oil, kerosene, etc.",462,"Santa Clara County, California!!Estimate Margin of Error",±269
    Coal or coke,0,"Santa Clara County, California!!Estimate Margin of Error",±294
    Wood,"1,887","Santa Clara County, California!!Estimate Margin of Error",±625
    Solar energy,850,"Santa Clara County, California!!Estimate Margin of Error",±370
    Other fuel,"1,238","Santa Clara County, California!!Estimate Margin of Error",±577
    No fuel used,"5,792","Santa Clara County, California!!Estimate Margin of Error","±1,262"
SELECTED CHARACTERISTICS,,"Santa Clara County, California!!Estimate Margin of Error",
    Occupied housing units,"599,235","Santa Clara County, California!!Estimate Margin of Error","±3,770"
    Lacking complete plumbing facilities,"3,645","Santa Clara County, California!!Estimate Margin of Error","±1,269"
    Lacking complete kitchen facilities,"6,765","Santa Clara County, California!!Estimate Margin of Error","±1,368"
    No telephone service available,"10,027","Santa Clara County, California!!Estimate Margin of Error","±1,634"
OCCUPANTS PER ROOM,,"Santa Clara County, California!!Estimate Margin of Error",
    Occupied housing units,"599,235","Santa Clara County, California!!Estimate Margin of Error","±3,770"
    1.00 or less,"551,916","Santa Clara County, California!!Estimate Margin of Error","±4,276"
    1.01 to 1.50,"32,292","Santa Clara County, California!!Estimate Margin of Error","±3,177"
    1.51 or more,"15,027","Santa Clara County, California!!Estimate Margin of Error","±2,309"
VALUE,,"Santa Clara County, California!!Estimate Margin of Error",
    Owner-occupied units,"342,955","Santa Clara County, California!!Estimate Margin of Error","±4,963"
"    Less than $50,000","7,522","Santa Clara County, California!!Estimate Margin of Error","±1,182"
"    $50,000 to $99,999","9,155","Santa Clara County, California!!Estimate Margin of Error","±1,427"
"    $100,000 to $149,999","4,362","Santa Clara County, California!!Estimate Margin of Error",±878
"    $150,000 to $199,999","5,612","Santa Clara County, California!!Estimate Margin of Error","±1,190"
"    $200,000 to $299,999","16,502","Santa Clara County, California!!Estimate Margin of Error","±2,029"
"    $300,000 to $499,999","70,855","Santa Clara County, California!!Estimate Margin of Error","±4,015"
"    $500,000 to $999,999","161,903","Santa Clara County, California!!Estimate Margin of Error","±4,450"
"    $1,000,000 or more","67,044","Santa Clara County, California!!Estimate Margin of Error","±3,106"
    Median (dollars),"639,400","Santa Clara County, California!!Estimate Margin of Error","±8,631"
MORTGAGE STATUS,,"Santa Clara County, California!!Estimate Margin of Error",
    Owner-occupied units,"342,955","Santa Clara County, California!!Estimate Margin of Error","±4,963"
    Housing units with a mortgage,"256,276","Santa Clara County, California!!Estimate Margin of Error","±5,674"
    Housing units without a mortgage,"86,679","Santa Clara County, California!!Estimate Margin of Error","±3,495"
SELECTED MONTHLY OWNER COSTS (SMOC),,"Santa Clara County, California!!Estimate Margin of Error",
    Housing units with a mortgage,"256,276","Santa Clara County, California!!Estimate Margin of Error","±5,674"
    Less than $300,441,"Santa Clara County, California!!Estimate Margin of Error",±292
    $300 to $499,"1,586","Santa Clara County, California!!Estimate Margin of Error",±584
    $500 to $699,"2,152","Santa Clara County, California!!Estimate Margin of Error",±704
    $700 to $999,"4,788","Santa Clara County, California!!Estimate Margin of Error","±1,034"
"    $1,000 to $1,499","16,484","Santa Clara County, California!!Estimate Margin of Error","±1,998"
"    $1,500 to $1,999","28,710","Santa Clara County, California!!Estimate Margin of Error","±2,920"
"    $2,000 or more","202,115","Santa Clara County, California!!Estimate Margin of Error","±4,991"
    Median (dollars),"2,994","Santa Clara County, California!!Estimate Margin of Error",±43
    Housing units without a mortgage,"86,679","Santa Clara County, California!!Estimate Margin of Error","±3,495"
    Less than $100,"1,051","Santa Clara County, California!!Estimate Margin of Error",±498
    $100 to $199,"3,040","Santa Clara County, California!!Estimate Margin of Error",±718
    $200 to $299,"8,855","Santa Clara County, California!!Estimate Margin of Error","±1,367"
    $300 to $399,"14,202","Santa Clara County, California!!Estimate Margin of Error","±1,385"
    $400 or more,"59,531","Santa Clara County, California!!Estimate Margin of Error","±3,064"
    Median (dollars),539,"Santa Clara County, California!!Estimate Margin of Error",±17
SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI),,"Santa Clara County, California!!Estimate Margin of Error",
    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),"255,336","Santa Clara County, California!!Estimate Margin of Error","±5,648"
    Less than 20.0 percent,"61,314","Santa Clara County, California!!Estimate Margin of Error","±3,545"
    20.0 to 24.9 percent,"37,831","Santa Clara County, California!!Estimate Margin of Error","±2,986"
    25.0 to 29.9 percent,"31,228","Santa Clara County, California!!Estimate Margin of Error","±2,586"
    30.0 to 34.9 percent,"27,748","Santa Clara County, California!!Estimate Margin of Error","±2,314"
    35.0 percent or more,"97,215","Santa Clara County, California!!Estimate Margin of Error","±4,198"
    Not computed,940,"Santa Clara County, California!!Estimate Margin of Error",±513
    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),"85,119","Santa Clara County, California!!Estimate Margin of Error","±3,504"
    Less than 10.0 percent,"43,387","Santa Clara County, California!!Estimate Margin of Error","±2,632"
    10.0 to 14.9 percent,"14,242","Santa Clara County, California!!Estimate Margin of Error","±1,551"
    15.0 to 19.9 percent,"8,796","Santa Clara County, California!!Estimate Margin of Error","±1,283"
    20.0 to 24.9 percent,"5,781","Santa Clara County, California!!Estimate Margin of Error","±1,251"
    25.0 to 29.9 percent,"2,687","Santa Clara County, California!!Estimate Margin of Error",±742
    30.0 to 34.9 percent,"2,337","Santa Clara County, California!!Estimate Margin of Error",±726
    35.0 percent or more,"7,889","Santa Clara County, California!!Estimate Margin of Error","±1,238"
    Not computed,"1,560","Santa Clara County, California!!Estimate Margin of Error",±724
GROSS RENT,,"Santa Clara County, California!!Estimate Margin of Error",
    Occupied units paying rent,"250,980","Santa Clara County, California!!Estimate Margin of Error","±5,530"
    Less than $200,"1,021","Santa Clara County, California!!Estimate Margin of Error",±497
    $200 to $299,"5,127","Santa Clara County, California!!Estimate Margin of Error","±1,227"
    $300 to $499,"5,300","Santa Clara County, California!!Estimate Margin of Error","±1,033"
    $500 to $749,"13,324","Santa Clara County, California!!Estimate Margin of Error","±2,024"
    $750 to $999,"26,134","Santa Clara County, California!!Estimate Margin of Error","±2,942"
"    $1,000 to $1,499","90,157","Santa Clara County, California!!Estimate Margin of Error","±5,262"
"    $1,500 or more","109,917","Santa Clara County, California!!Estimate Margin of Error","±5,126"
    Median (dollars),"1,418","Santa Clara County, California!!Estimate Margin of Error",±21
    No rent paid,"5,300","Santa Clara County, California!!Estimate Margin of Error","±1,144"
GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),,"Santa Clara County, California!!Estimate Margin of Error",
    Occupied units paying rent (excluding units where GRAPI cannot be computed),"246,834","Santa Clara County, California!!Estimate Margin of Error","±5,624"
    Less than 15.0 percent,"36,283","Santa Clara County, California!!Estimate Margin of Error","±3,210"
    15.0 to 19.9 percent,"35,384","Santa Clara County, California!!Estimate Margin of Error","±3,322"
    20.0 to 24.9 percent,"29,917","Santa Clara County, California!!Estimate Margin of Error","±2,668"
    25.0 to 29.9 percent,"27,507","Santa Clara County, California!!Estimate Margin of Error","±3,050"
    30.0 to 34.9 percent,"23,888","Santa Clara County, California!!Estimate Margin of Error","±2,770"
    35.0 percent or more,"93,855","Santa Clara County, California!!Estimate Margin of Error","±4,180"
    Not computed,"9,446","Santa Clara County, California!!Estimate Margin of Error","±1,489"
HOUSING OCCUPANCY,,"Santa Clara County, California!!Percent",
    Total housing units,"631,955","Santa Clara County, California!!Percent","631,955"
    Occupied housing units,"599,235","Santa Clara County, California!!Percent",94.8%
    Vacant housing units,"32,720","Santa Clara County, California!!Percent",5.2%
    Homeowner vacancy rate,1.8,"Santa Clara County, California!!Percent",(X)
    Rental vacancy rate,4.1,"Santa Clara County, California!!Percent",(X)
UNITS IN STRUCTURE,,"Santa Clara County, California!!Percent",
    Total housing units,"631,955","Santa Clara County, California!!Percent","631,955"
"    1-unit, detached","332,653","Santa Clara County, California!!Percent",52.6%
"    1-unit, attached","68,576","Santa Clara County, California!!Percent",10.9%
    2 units,"14,314","Santa Clara County, California!!Percent",2.3%
    3 or 4 units,"38,225","Santa Clara County, California!!Percent",6.0%
    5 to 9 units,"35,293","Santa Clara County, California!!Percent",5.6%
    10 to 19 units,"31,079","Santa Clara County, California!!Percent",4.9%
    20 or more units,"92,993","Santa Clara County, California!!Percent",14.7%
    Mobile home,"18,161","Santa Clara County, California!!Percent",2.9%
"    Boat, RV, van, etc.",661,"Santa Clara County, California!!Percent",0.1%
YEAR STRUCTURE BUILT,,"Santa Clara County, California!!Percent",
    Total housing units,"631,955","Santa Clara County, California!!Percent","631,955"
    Built 2005 or later,"27,044","Santa Clara County, California!!Percent",4.3%
    Built 2000 to 2004,"37,364","Santa Clara County, California!!Percent",5.9%
    Built 1990 to 1999,"66,881","Santa Clara County, California!!Percent",10.6%
    Built 1980 to 1989,"75,301","Santa Clara County, California!!Percent",11.9%
    Built 1970 to 1979,"142,515","Santa Clara County, California!!Percent",22.6%
    Built 1960 to 1969,"125,418","Santa Clara County, California!!Percent",19.8%
    Built 1950 to 1959,"97,176","Santa Clara County, California!!Percent",15.4%
    Built 1940 to 1949,"26,180","Santa Clara County, California!!Percent",4.1%
    Built 1939 or earlier,"34,076","Santa Clara County, California!!Percent",5.4%
ROOMS,,"Santa Clara County, California!!Percent",
    Total housing units,"631,955","Santa Clara County, California!!Percent","631,955"
    1 room,"18,306","Santa Clara County, California!!Percent",2.9%
    2 rooms,"25,842","Santa Clara County, California!!Percent",4.1%
    3 rooms,"77,744","Santa Clara County, California!!Percent",12.3%
    4 rooms,"122,207","Santa Clara County, California!!Percent",19.3%
    5 rooms,"113,419","Santa Clara County, California!!Percent",17.9%
    6 rooms,"108,419","Santa Clara County, California!!Percent",17.2%
    7 rooms,"77,656","Santa Clara County, California!!Percent",12.3%
    8 rooms,"46,464","Santa Clara County, California!!Percent",7.4%
    9 rooms or more,"41,898","Santa Clara County, California!!Percent",6.6%
    Median rooms,5.1,"Santa Clara County, California!!Percent",(X)
BEDROOMS,,"Santa Clara County, California!!Percent",
    Total housing units,"631,955","Santa Clara County, California!!Percent","631,955"
    No bedroom,"19,944","Santa Clara County, California!!Percent",3.2%
    1 bedroom,"89,100","Santa Clara County, California!!Percent",14.1%
    2 bedrooms,"162,836","Santa Clara County, California!!Percent",25.8%
    3 bedrooms,"202,224","Santa Clara County, California!!Percent",32.0%
    4 bedrooms,"122,330","Santa Clara County, California!!Percent",19.4%
    5 or more bedrooms,"35,521","Santa Clara County, California!!Percent",5.6%
HOUSING TENURE,,"Santa Clara County, California!!Percent",
    Occupied housing units,"599,235","Santa Clara County, California!!Percent","599,235"
    Owner-occupied,"342,955","Santa Clara County, California!!Percent",57.2%
    Renter-occupied,"256,280","Santa Clara County, California!!Percent",42.8%
    Average household size of owner-occupied unit,3.01,"Santa Clara County, California!!Percent",(X)
    Average household size of renter-occupied unit,2.86,"Santa Clara County, California!!Percent",(X)
YEAR HOUSEHOLDER MOVED INTO UNIT,,"Santa Clara County, California!!Percent",
    Occupied housing units,"599,235","Santa Clara County, California!!Percent","599,235"
    Moved in 2005 or later,"282,245","Santa Clara County, California!!Percent",47.1%
    Moved in 2000 to 2004,"101,772","Santa Clara County, California!!Percent",17.0%
    Moved in 1990 to 1999,"101,476","Santa Clara County, California!!Percent",16.9%
    Moved in 1980 to 1989,"50,775","Santa Clara County, California!!Percent",8.5%
    Moved in 1970 to 1979,"35,403","Santa Clara County, California!!Percent",5.9%
    Moved in 1969 or earlier,"27,564","Santa Clara County, California!!Percent",4.6%
VEHICLES AVAILABLE,,"Santa Clara County, California!!Percent",
    Occupied housing units,"599,235","Santa Clara County, California!!Percent","599,235"
    No vehicles available,"31,267","Santa Clara County, California!!Percent",5.2%
    1 vehicle available,"168,953","Santa Clara County, California!!Percent",28.2%
    2 vehicles available,"249,590","Santa Clara County, California!!Percent",41.7%
    3 or more vehicles available,"149,425","Santa Clara County, California!!Percent",24.9%
HOUSE HEATING FUEL,,"Santa Clara County, California!!Percent",
    Occupied housing units,"599,235","Santa Clara County, California!!Percent","599,235"
    Utility gas,"401,603","Santa Clara County, California!!Percent",67.0%
"    Bottled, tank, or LP gas","8,862","Santa Clara County, California!!Percent",1.5%
    Electricity,"178,541","Santa Clara County, California!!Percent",29.8%
"    Fuel oil, kerosene, etc.",462,"Santa Clara County, California!!Percent",0.1%
    Coal or coke,0,"Santa Clara County, California!!Percent",0.0%
    Wood,"1,887","Santa Clara County, California!!Percent",0.3%
    Solar energy,850,"Santa Clara County, California!!Percent",0.1%
    Other fuel,"1,238","Santa Clara County, California!!Percent",0.2%
    No fuel used,"5,792","Santa Clara County, California!!Percent",1.0%
SELECTED CHARACTERISTICS,,"Santa Clara County, California!!Percent",
    Occupied housing units,"599,235","Santa Clara County, California!!Percent","599,235"
    Lacking complete plumbing facilities,"3,645","Santa Clara County, California!!Percent",0.6%
    Lacking complete kitchen facilities,"6,765","Santa Clara County, California!!Percent",1.1%
    No telephone service available,"10,027","Santa Clara County, California!!Percent",1.7%
OCCUPANTS PER ROOM,,"Santa Clara County, California!!Percent",
    Occupied housing units,"599,235","Santa Clara County, California!!Percent","599,235"
    1.00 or less,"551,916","Santa Clara County, California!!Percent",92.1%
    1.01 to 1.50,"32,292","Santa Clara County, California!!Percent",5.4%
    1.51 or more,"15,027","Santa Clara County, California!!Percent",2.5%
VALUE,,"Santa Clara County, California!!Percent",
    Owner-occupied units,"342,955","Santa Clara County, California!!Percent","342,955"
"    Less than $50,000","7,522","Santa Clara County, California!!Percent",2.2%
"    $50,000 to $99,999","9,155","Santa Clara County, California!!Percent",2.7%
"    $100,000 to $149,999","4,362","Santa Clara County, California!!Percent",1.3%
"    $150,000 to $199,999","5,612","Santa Clara County, California!!Percent",1.6%
"    $200,000 to $299,999","16,502","Santa Clara County, California!!Percent",4.8%
"    $300,000 to $499,999","70,855","Santa Clara County, California!!Percent",20.7%
"    $500,000 to $999,999","161,903","Santa Clara County, California!!Percent",47.2%
"    $1,000,000 or more","67,044","Santa Clara County, California!!Percent",19.5%
    Median (dollars),"639,400","Santa Clara County, California!!Percent",(X)
MORTGAGE STATUS,,"Santa Clara County, California!!Percent",
    Owner-occupied units,"342,955","Santa Clara County, California!!Percent","342,955"
    Housing units with a mortgage,"256,276","Santa Clara County, California!!Percent",74.7%
    Housing units without a mortgage,"86,679","Santa Clara County, California!!Percent",25.3%
SELECTED MONTHLY OWNER COSTS (SMOC),,"Santa Clara County, California!!Percent",
    Housing units with a mortgage,"256,276","Santa Clara County, California!!Percent","256,276"
    Less than $300,441,"Santa Clara County, California!!Percent",0.2%
    $300 to $499,"1,586","Santa Clara County, California!!Percent",0.6%
    $500 to $699,"2,152","Santa Clara County, California!!Percent",0.8%
    $700 to $999,"4,788","Santa Clara County, California!!Percent",1.9%
"    $1,000 to $1,499","16,484","Santa Clara County, California!!Percent",6.4%
"    $1,500 to $1,999","28,710","Santa Clara County, California!!Percent",11.2%
"    $2,000 or more","202,115","Santa Clara County, California!!Percent",78.9%
    Median (dollars),"2,994","Santa Clara County, California!!Percent",(X)
    Housing units without a mortgage,"86,679","Santa Clara County, California!!Percent","86,679"
    Less than $100,"1,051","Santa Clara County, California!!Percent",1.2%
    $100 to $199,"3,040","Santa Clara County, California!!Percent",3.5%
    $200 to $299,"8,855","Santa Clara County, California!!Percent",10.2%
    $300 to $399,"14,202","Santa Clara County, California!!Percent",16.4%
    $400 or more,"59,531","Santa Clara County, California!!Percent",68.7%
    Median (dollars),539,"Santa Clara County, California!!Percent",(X)
SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI),,"Santa Clara County, California!!Percent",
    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),"255,336","Santa Clara County, California!!Percent","255,336"
    Less than 20.0 percent,"61,314","Santa Clara County, California!!Percent",24.0%
    20.0 to 24.9 percent,"37,831","Santa Clara County, California!!Percent",14.8%
    25.0 to 29.9 percent,"31,228","Santa Clara County, California!!Percent",12.2%
    30.0 to 34.9 percent,"27,748","Santa Clara County, California!!Percent",10.9%
    35.0 percent or more,"97,215","Santa Clara County, California!!Percent",38.1%
    Not computed,940,"Santa Clara County, California!!Percent",(X)
    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),"85,119","Santa Clara County, California!!Percent","85,119"
    Less than 10.0 percent,"43,387","Santa Clara County, California!!Percent",51.0%
    10.0 to 14.9 percent,"14,242","Santa Clara County, California!!Percent",16.7%
    15.0 to 19.9 percent,"8,796","Santa Clara County, California!!Percent",10.3%
    20.0 to 24.9 percent,"5,781","Santa Clara County, California!!Percent",6.8%
    25.0 to 29.9 percent,"2,687","Santa Clara County, California!!Percent",3.2%
    30.0 to 34.9 percent,"2,337","Santa Clara County, California!!Percent",2.7%
    35.0 percent or more,"7,889","Santa Clara County, California!!Percent",9.3%
    Not computed,"1,560","Santa Clara County, California!!Percent",(X)
GROSS RENT,,"Santa Clara County, California!!Percent",
    Occupied units paying rent,"250,980","Santa Clara County, California!!Percent","250,980"
    Less than $200,"1,021","Santa Clara County, California!!Percent",0.4%
    $200 to $299,"5,127","Santa Clara County, California!!Percent",2.0%
    $300 to $499,"5,300","Santa Clara County, California!!Percent",2.1%
    $500 to $749,"13,324","Santa Clara County, California!!Percent",5.3%
    $750 to $999,"26,134","Santa Clara County, California!!Percent",10.4%
"    $1,000 to $1,499","90,157","Santa Clara County, California!!Percent",35.9%
"    $1,500 or more","109,917","Santa Clara County, California!!Percent",43.8%
    Median (dollars),"1,418","Santa Clara County, California!!Percent",(X)
    No rent paid,"5,300","Santa Clara County, California!!Percent",(X)
GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),,"Santa Clara County, California!!Percent",
    Occupied units paying rent (excluding units where GRAPI cannot be computed),"246,834","Santa Clara County, California!!Percent","246,834"
    Less than 15.0 percent,"36,283","Santa Clara County, California!!Percent",14.7%
    15.0 to 19.9 percent,"35,384","Santa Clara County, California!!Percent",14.3%
    20.0 to 24.9 percent,"29,917","Santa Clara County, California!!Percent",12.1%
    25.0 to 29.9 percent,"27,507","Santa Clara County, California!!Percent",11.1%
    30.0 to 34.9 percent,"23,888","Santa Clara County, California!!Percent",9.7%
    35.0 percent or more,"93,855","Santa Clara County, California!!Percent",38.0%
    Not computed,"9,446","Santa Clara County, California!!Percent",(X)
HOUSING OCCUPANCY,,"Santa Clara County, California!!Percent Margin of Error",
    Total housing units,"631,955","Santa Clara County, California!!Percent Margin of Error",(X)
    Occupied housing units,"599,235","Santa Clara County, California!!Percent Margin of Error",±0.5
    Vacant housing units,"32,720","Santa Clara County, California!!Percent Margin of Error",±0.5
    Homeowner vacancy rate,1.8,"Santa Clara County, California!!Percent Margin of Error",(X)
    Rental vacancy rate,4.1,"Santa Clara County, California!!Percent Margin of Error",(X)
UNITS IN STRUCTURE,,"Santa Clara County, California!!Percent Margin of Error",
    Total housing units,"631,955","Santa Clara County, California!!Percent Margin of Error",(X)
"    1-unit, detached","332,653","Santa Clara County, California!!Percent Margin of Error",±0.9
"    1-unit, attached","68,576","Santa Clara County, California!!Percent Margin of Error",±0.6
    2 units,"14,314","Santa Clara County, California!!Percent Margin of Error",±0.4
    3 or 4 units,"38,225","Santa Clara County, California!!Percent Margin of Error",±0.5
    5 to 9 units,"35,293","Santa Clara County, California!!Percent Margin of Error",±0.5
    10 to 19 units,"31,079","Santa Clara County, California!!Percent Margin of Error",±0.5
    20 or more units,"92,993","Santa Clara County, California!!Percent Margin of Error",±0.7
    Mobile home,"18,161","Santa Clara County, California!!Percent Margin of Error",±0.3
"    Boat, RV, van, etc.",661,"Santa Clara County, California!!Percent Margin of Error",±0.1
YEAR STRUCTURE BUILT,,"Santa Clara County, California!!Percent Margin of Error",
    Total housing units,"631,955","Santa Clara County, California!!Percent Margin of Error",(X)
    Built 2005 or later,"27,044","Santa Clara County, California!!Percent Margin of Error",±0.4
    Built 2000 to 2004,"37,364","Santa Clara County, California!!Percent Margin of Error",±0.5
    Built 1990 to 1999,"66,881","Santa Clara County, California!!Percent Margin of Error",±0.6
    Built 1980 to 1989,"75,301","Santa Clara County, California!!Percent Margin of Error",±0.6
    Built 1970 to 1979,"142,515","Santa Clara County, California!!Percent Margin of Error",±0.7
    Built 1960 to 1969,"125,418","Santa Clara County, California!!Percent Margin of Error",±0.7
    Built 1950 to 1959,"97,176","Santa Clara County, California!!Percent Margin of Error",±0.7
    Built 1940 to 1949,"26,180","Santa Clara County, California!!Percent Margin of Error",±0.4
    Built 1939 or earlier,"34,076","Santa Clara County, California!!Percent Margin of Error",±0.5
ROOMS,,"Santa Clara County, California!!Percent Margin of Error",
    Total housing units,"631,955","Santa Clara County, California!!Percent Margin of Error",(X)
    1 room,"18,306","Santa Clara County, California!!Percent Margin of Error",±0.4
    2 rooms,"25,842","Santa Clara County, California!!Percent Margin of Error",±0.5
    3 rooms,"77,744","Santa Clara County, California!!Percent Margin of Error",±0.6
    4 rooms,"122,207","Santa Clara County, California!!Percent Margin of Error",±0.8
    5 rooms,"113,419","Santa Clara County, California!!Percent Margin of Error",±0.6
    6 rooms,"108,419","Santa Clara County, California!!Percent Margin of Error",±0.7
    7 rooms,"77,656","Santa Clara County, California!!Percent Margin of Error",±0.6
    8 rooms,"46,464","Santa Clara County, California!!Percent Margin of Error",±0.4
    9 rooms or more,"41,898","Santa Clara County, California!!Percent Margin of Error",±0.4
    Median rooms,5.1,"Santa Clara County, California!!Percent Margin of Error",(X)
