"Label (Grouping)","Santa Clara County, California!!Owner-occupied housing units with a mortgage!!Estimate","Montgomery County, Maryland!!Owner-occupied housing units with a mortgage!!Estimate","Wake County, North Carolina!!Owner-occupied housing units with a mortgage!!Estimate","Davidson County, Tennessee!!Owner-occupied housing units with a mortgage!!Estimate","Dallas County, Texas!!Owner-occupied housing units with a mortgage!!Estimate","Fairfax County, Virginia!!Owner-occupied housing units with a mortgage!!Estimate","Loudoun County, Virginia!!Owner-occupied housing units with a mortgage!!Estimate"
"    $25,000 to $34,999","2.9%","3.0%","5.5%","7.6%","7.2%","1.9%","0.8%"
"    $35,000 to $49,999","6.1%","5.1%","10.4%","15.4%","12.8%","4.5%","3.3%"
"    $50,000 to $74,999","10.9%","11.9%","20.1%","24.8%","21.3%","10.1%","9.8%"
"    $75,000 to $99,999","12.5%","12.7%","17.1%","13.9%","15.5%","12.5%","11.5%"
"    $100,000 to $149,999","24.0%","23.7%","21.8%","14.9%","18.2%","22.8%","31.4%"
"    $150,000 or more","39.3%","39.1%","18.3%","13.0%","14.7%","44.5%","41.5%"
"    Median household income (dollars)","126,786","123,649","84,654","66,234","72,758","135,433","132,281"
"RATIO OF VALUE TO HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","",""
"    Less than 2.0","7.1%","13.1%","26.0%","30.4%","50.9%","16.3%","15.8%"
"    2.0 to 2.9","12.9%","25.5%","32.0%","27.9%","22.3%","26.8%","29.1%"
"    3.0 to 3.9","17.7%","19.2%","18.4%","14.9%","9.6%","21.3%","24.0%"
"    4.0 or more","62.0%","42.1%","23.2%","26.5%","16.6%","35.1%","31.2%"
"    Not computed","0.4%","0.1%","0.4%","0.3%","0.6%","0.5%","0.0%"
"MONTHLY HOUSING COSTS","","","","","","",""
"    Less than $200","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"    $200 to $299","0.1%","0.0%","0.1%","0.0%","0.0%","0.0%","0.0%"
"    $300 to $399","0.2%","0.0%","0.3%","0.6%","0.2%","0.0%","0.2%"
"    $400 to $499","0.4%","0.1%","0.6%","1.2%","0.8%","0.1%","0.4%"
"    $500 to $599","0.3%","0.2%","0.8%","1.7%","1.0%","0.3%","0.1%"
"    $600 to $699","0.5%","0.4%","1.6%","2.0%","2.3%","0.3%","0.3%"
"    $700 to $799","0.3%","0.4%","2.2%","4.0%","3.2%","0.7%","0.7%"
"    $800 to $899","0.7%","1.1%","2.9%","6.4%","3.9%","0.8%","0.7%"
"    $900 to $999","0.8%","1.3%","4.8%","7.7%","5.4%","1.2%","0.8%"
"    $1,000 to $1,249","2.9%","4.1%","16.8%","17.1%","19.8%","4.8%","2.7%"
"    $1,250 to $1,499","3.5%","6.8%","16.9%","20.0%","17.3%","6.9%","3.8%"
"    $1,500 to $1,999","11.2%","17.0%","24.8%","21.4%","22.3%","16.5%","10.7%"
"    $2,000 or more","78.9%","68.8%","28.3%","17.9%","23.7%","68.2%","79.8%"
"    Median (dollars)","2,994","2,498","1,552","1,366","1,443","2,468","2,766"
"MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","",""
"    Less than $20,000","2.8%","2.8%","4.0%","6.0%","5.9%","2.2%","1.2%"
"        Less than 20 percent","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"        20 to 29 percent","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.1%"
"        30 percent or more","2.8%","2.8%","4.0%","6.0%","5.9%","2.2%","1.1%"
"    $20,000 to $34,999","4.0%","4.6%","7.8%","11.6%","11.0%","2.8%","1.3%"
"        Less than 20 percent","0.0%","0.0%","0.2%","0.5%","0.1%","0.0%","0.0%"
"        20 to 29 percent","0.1%","0.1%","0.3%","0.6%","0.8%","0.2%","0.0%"
"        30 percent or more","3.8%","4.5%","7.4%","10.5%","10.1%","2.6%","1.3%"
"    $35,000 to $49,999","6.1%","5.1%","10.4%","15.4%","12.8%","4.5%","3.3%"
"        Less than 20 percent","0.2%","0.0%","0.7%","0.8%","0.8%","0.1%","0.4%"
"        20 to 29 percent","0.4%","0.5%","2.9%","5.9%","3.1%","0.8%","0.8%"
"        30 percent or more","5.6%","4.6%","6.9%","8.7%","8.9%","3.7%","2.1%"
"    $50,000 to $74,999","10.9%","11.9%","20.1%","24.8%","21.3%","10.1%","9.8%"
"        Less than 20 percent","0.8%","0.7%","2.9%","5.5%","4.1%","0.5%","0.5%"
"        20 to 29 percent","1.3%","2.9%","10.0%","11.4%","9.7%","2.5%","1.7%"
"        30 percent or more","8.8%","8.2%","7.3%","7.9%","7.5%","7.1%","7.6%"
"    $75,000 or more","75.8%","75.5%","57.2%","41.8%","48.4%","79.8%","84.4%"
"        Less than 20 percent","22.9%","33.6%","36.4%","27.3%","29.5%","39.2%","28.8%"
"        20 to 29 percent","25.1%","24.9%","16.9%","11.2%","14.2%","24.8%","32.6%"
"        30 percent or more","27.8%","17.0%","3.9%","3.3%","4.7%","15.8%","22.9%"
"        Zero or negative income","0.4%","0.1%","0.4%","0.3%","0.6%","0.5%","0.0%"
"REAL ESTATE TAXES","","","","","","",""
"    Less than $800","2.0%","1.7%","5.7%","8.0%","6.0%","2.3%","2.0%"
"    $800 to $1,499","5.5%","5.6%","27.2%","37.6%","12.6%","4.1%","2.0%"
"    $1,500 or more","91.4%","92.2%","66.8%","52.7%","78.5%","92.3%","95.3%"
"    No real estate taxes paid","1.1%","0.6%","0.3%","1.7%","2.9%","1.3%","0.8%"
"    Median (dollars)","5,668","3,967","1,916","1,585","2,990","4,420","5,143"
"PERCENT IMPUTED","","","","","","",""
"    Mortgage status","38.3%","31.5%","32.5%","30.1%","35.6%","32.1%","36.6%"
