,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
"Santa Clara County, California!!Female!!Margin of Error","±1,092",,±851,"±2,730","±2,751",±824,±746,"±1,015",±344,"±3,313","±3,368",±174,±348,"±2,952","±2,900","±2,360","±2,388","±2,116","±1,855","±2,004",,±353,±671,"±1,114",±964,±706,"±1,661",±203,"±2,227","±2,916","±2,555",±406,±256,,±0.3,(X),(X),(X),(X),,(X),(X)
"Santa Clara County, California!!Percent Female!!Estimate",(X),,4.9%,5.3%,5.7%,6.5%,6.2%,7.3%,7.9%,7.0%,6.9%,6.5%,6.7%,6.2%,5.9%,5.0%,4.0%,3.2%,2.4%,2.3%,,11.0%,3.8%,19.7%,8.9%,41.7%,83.1%,80.3%,76.4%,23.0%,20.5%,17.1%,8.0%,,(X),(X),(X),(X),(X),,(X),(X)
"Santa Clara County, California!!Percent Female!!Margin of Error",(X),,±0.1,±0.3,±0.3,±0.1,±0.1,±0.1,±0.1,±0.4,±0.4,±0.1,±0.1,±0.3,±0.3,±0.3,±0.3,±0.2,±0.2,±0.2,,±0.1,±0.1,±0.1,±0.1,±0.1,±0.2,±0.1,±0.3,±0.3,±0.3,±0.1,±0.1,,(X),(X),(X),(X),(X),,(X),(X)
"Montgomery County, Maryland!!Total!!Estimate","1,058,474",,"59,366","65,627","69,844","67,425","58,537","59,317","64,326","73,642","73,763","69,944","72,235","67,201","70,002","56,295","48,648","38,637","21,096","22,569",,"135,471","44,011","238,848","81,951","397,010","848,459","819,626","786,018","257,247","229,907","187,245","82,302",,40.6,95.0,67.4,29.6,37.8,,(X),(X)
"Montgomery County, Maryland!!Total!!Margin of Error",*****,,±217,"±3,840","±3,852",±264,±204,±79,±176,"±3,863","±3,861",±158,±325,"±3,409","±3,352","±2,614","±2,609","±2,948","±2,242","±2,400",,±238,±122,±166,±387,±338,"±1,585",±166,"±2,285","±3,379","±3,323",±175,±239,,±0.2,±0.1,±0.1,±0.1,±0.1,,(X),(X)
"Montgomery County, Maryland!!Percent!!Estimate",(X),,5.6%,6.2%,6.6%,6.4%,5.5%,5.6%,6.1%,7.0%,7.0%,6.6%,6.8%,6.3%,6.6%,5.3%,4.6%,3.7%,2.0%,2.1%,,12.8%,4.2%,22.6%,7.7%,37.5%,80.2%,77.4%,74.3%,24.3%,21.7%,17.7%,7.8%,,(X),(X),(X),(X),(X),,0.0%,1.4%
"Montgomery County, Maryland!!Percent!!Margin of Error",(X),,±0.1,±0.4,±0.4,±0.1,±0.1,±0.1,±0.1,±0.4,±0.4,±0.1,±0.1,±0.3,±0.3,±0.2,±0.2,±0.3,±0.2,±0.2,,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.2,±0.3,±0.3,±0.1,±0.1,,(X),(X),(X),(X),(X),,(X),(X)
"Montgomery County, Maryland!!Male!!Estimate","515,740",,"30,705","35,028","34,518","34,957","29,550","29,025","31,914","35,822","36,090","34,082","34,820","33,214","32,733","26,602","22,322","17,042","9,569","7,747",,"69,546","22,778","123,029","41,729","197,358","408,311","392,711","375,457","116,015","102,478","83,282","34,358",,39.5,(X),(X),(X),(X),,(X),(X)
"Montgomery County, Maryland!!Male!!Margin of Error",±328,,±206,"±2,716","±2,697",±122,±172,±4,±160,"±2,356","±2,337",±132,±83,"±2,223","±2,214","±1,669","±1,666","±1,547","±1,443","±1,381",,±141,±122,±258,±172,±169,"±1,003",±180,"±1,261","±2,195","±2,232",±222,±243,,±0.3,(X),(X),(X),(X),,(X),(X)
"Montgomery County, Maryland!!Percent Male!!Estimate",(X),,6.0%,6.8%,6.7%,6.8%,5.7%,5.6%,6.2%,6.9%,7.0%,6.6%,6.8%,6.4%,6.3%,5.2%,4.3%,3.3%,1.9%,1.5%,,13.5%,4.4%,23.9%,8.1%,38.3%,79.2%,76.1%,72.8%,22.5%,19.9%,16.1%,6.7%,,(X),(X),(X),(X),(X),,(X),(X)
"Montgomery County, Maryland!!Percent Male!!Margin of Error",(X),,±0.1,±0.5,±0.5,±0.1,±0.1,±0.1,±0.1,±0.5,±0.5,±0.1,±0.1,±0.4,±0.4,±0.3,±0.3,±0.3,±0.3,±0.3,,±0.1,±0.1,±0.1,±0.1,±0.1,±0.2,±0.1,±0.2,±0.4,±0.4,±0.1,±0.1,,(X),(X),(X),(X),(X),,(X),(X)
"Montgomery County, Maryland!!Female!!Estimate","542,734",,"28,661","30,599","35,326","32,468","28,987","30,292","32,412","37,820","37,673","35,862","37,415","33,987","37,269","29,693","26,326","21,595","11,527","14,822",,"65,925","21,233","115,819","40,222","199,652","440,148","426,915","410,561","141,232","127,429","103,963","47,944",,41.8,(X),(X),(X),(X),,(X),(X)
"Montgomery County, Maryland!!Female!!Margin of Error",±328,,±69,"±2,352","±2,365",±232,±73,±79,±111,"±2,571","±2,581",±49,±298,"±2,113","±2,084","±1,832","±1,822","±2,206","±1,574","±1,751",,±275,±2,±277,±252,±320,"±1,376",±211,"±1,818","±2,099","±2,337",±126,±78,,±0.4,(X),(X),(X),(X),,(X),(X)
"Montgomery County, Maryland!!Percent Female!!Estimate",(X),,5.3%,5.6%,6.5%,6.0%,5.3%,5.6%,6.0%,7.0%,6.9%,6.6%,6.9%,6.3%,6.9%,5.5%,4.9%,4.0%,2.1%,2.7%,,12.1%,3.9%,21.3%,7.4%,36.8%,81.1%,78.7%,75.6%,26.0%,23.5%,19.2%,8.8%,,(X),(X),(X),(X),(X),,(X),(X)
"Montgomery County, Maryland!!Percent Female!!Margin of Error",(X),,±0.1,±0.4,±0.4,±0.1,±0.1,±0.1,±0.1,±0.5,±0.5,±0.1,±0.1,±0.4,±0.4,±0.3,±0.3,±0.4,±0.3,±0.3,,±0.1,±0.1,±0.1,±0.1,±0.1,±0.3,±0.1,±0.3,±0.4,±0.4,±0.1,±0.1,,(X),(X),(X),(X),(X),,(X),(X)
"Wake County, North Carolina!!Total!!Estimate","1,190,275",,"67,560","73,992","78,891","79,529","73,690","82,621","90,045","90,944","89,311","84,136","82,501","71,286","66,530","55,548","40,325","29,808","18,435","15,123",,"152,883","50,256","270,699","102,963","506,140","951,610","919,576","875,114","225,769","195,717","159,239","63,366",,37.7,96.0,56.5,20.9,35.6,,(X),(X)
"Wake County, North Carolina!!Total!!Margin of Error",*****,,±163,"±4,060","±4,043",±866,±852,±140,±168,"±3,917","±3,875",±507,±323,"±3,682","±3,649","±2,634","±2,456","±2,018","±2,235","±1,836",,±242,±249,±55,±293,±431,"±2,446",±55,"±2,576","±3,689","±2,939",±224,±543,,±0.3,±0.1,±0.1,±0.1,±0.1,,(X),(X)
"Wake County, North Carolina!!Percent!!Estimate",(X),,5.7%,6.2%,6.6%,6.7%,6.2%,6.9%,7.6%,7.6%,7.5%,7.1%,6.9%,6.0%,5.6%,4.7%,3.4%,2.5%,1.5%,1.3%,,12.8%,4.2%,22.7%,8.7%,42.5%,79.9%,77.3%,73.5%,19.0%,16.4%,13.4%,5.3%,,(X),(X),(X),(X),(X),,0.0%,1.4%
"Wake County, North Carolina!!Percent!!Margin of Error",(X),,±0.1,±0.3,±0.3,±0.1,±0.1,±0.1,±0.1,±0.3,±0.3,±0.1,±0.1,±0.3,±0.3,±0.2,±0.2,±0.2,±0.2,±0.2,,±0.1,±0.1,±0.1,±0.1,±0.1,±0.2,±0.1,±0.2,±0.3,±0.2,±0.1,±0.1,,(X),(X),(X),(X),(X),,(X),(X)
"Wake County, North Carolina!!Male!!Estimate","582,915",,"34,326","37,772","40,327","40,550","36,495","40,401","44,281","45,720","42,787","41,516","41,335","33,855","33,438","26,910","16,549","13,114","8,456","5,083",,"78,099","25,640","138,065","51,405","250,234","461,528","444,850","423,810","103,550","88,197","70,112","26,653",,36.8,(X),(X),(X),(X),,(X),(X)
"Wake County, North Carolina!!Male!!Margin of Error",±241,,±81,"±3,173","±3,214",±723,±680,±68,±31,"±2,583","±2,569",±326,±261,"±2,351","±2,336","±1,565","±1,449","±1,353","±1,408","±1,010",,±298,±244,±214,±139,±321,"±1,816",±111,"±1,678","±2,354","±1,975",±134,±548,,±0.3,(X),(X),(X),(X),,(X),(X)
"Wake County, North Carolina!!Percent Male!!Estimate",(X),,5.9%,6.5%,6.9%,7.0%,6.3%,6.9%,7.6%,7.8%,7.3%,7.1%,7.1%,5.8%,5.7%,4.6%,2.8%,2.2%,1.5%,0.9%,,13.4%,4.4%,23.7%,8.8%,42.9%,79.2%,76.3%,72.7%,17.8%,15.1%,12.0%,4.6%,,(X),(X),(X),(X),(X),,(X),(X)
"Wake County, North Carolina!!Percent Male!!Margin of Error",(X),,±0.1,±0.5,±0.6,±0.1,±0.1,±0.1,±0.1,±0.4,±0.4,±0.1,±0.1,±0.4,±0.4,±0.3,±0.2,±0.2,±0.2,±0.2,,±0.1,±0.1,±0.1,±0.1,±0.1,±0.3,±0.1,±0.3,±0.4,±0.3,±0.1,±0.1,,(X),(X),(X),(X),(X),,(X),(X)
"Wake County, North Carolina!!Female!!Estimate","607,360",,"33,234","36,220","38,564","38,979","37,195","42,220","45,764","45,224","46,524","42,620","41,166","37,431","33,092","28,638","23,776","16,694","9,979","10,040",,"74,784","24,616","132,634","51,558","255,906","490,082","474,726","451,304","122,219","107,520","89,127","36,713",,38.5,(X),(X),(X),(X),,(X),(X)
"Wake County, North Carolina!!Female!!Margin of Error",±241,,±143,"±2,840","±2,837",±600,±668,±123,±157,"±3,144","±3,101",±320,±182,"±2,368","±2,362","±1,964","±1,933","±1,510","±1,680","±1,454",,±207,±161,±213,±241,±403,"±1,498",±119,"±1,861","±2,378","±1,908",±192,±134,,±0.3,(X),(X),(X),(X),,(X),(X)
"Wake County, North Carolina!!Percent Female!!Estimate",(X),,5.5%,6.0%,6.3%,6.4%,6.1%,7.0%,7.5%,7.4%,7.7%,7.0%,6.8%,6.2%,5.4%,4.7%,3.9%,2.7%,1.6%,1.7%,,12.3%,4.1%,21.8%,8.5%,42.1%,80.7%,78.2%,74.3%,20.1%,17.7%,14.7%,6.0%,,(X),(X),(X),(X),(X),,(X),(X)
"Wake County, North Carolina!!Percent Female!!Margin of Error",(X),,±0.1,±0.5,±0.5,±0.1,±0.1,±0.1,±0.1,±0.5,±0.5,±0.1,±0.1,±0.4,±0.4,±0.3,±0.3,±0.2,±0.3,±0.2,,±0.1,±0.1,±0.1,±0.1,±0.1,±0.3,±0.1,±0.3,±0.4,±0.3,±0.1,±0.1,,(X),(X),(X),(X),(X),,(X),(X)
"Davidson County, Tennessee!!Total!!Estimate","712,334",,"45,667","38,317","38,099","41,289","51,609","71,788","71,752","58,605","47,364","40,395","37,814","38,374","36,294","32,636","26,660","17,386","9,242","9,043",,"76,416","23,145","145,228","69,753","342,407","581,955","567,106","540,631","131,261","116,290","94,967","35,671",,34.8,93.6,50.9,20.1,30.8,,(X),(X)
"Davidson County, Tennessee!!Total!!Margin of Error",*****,,±221,"±3,342","±3,358","±1,478","±1,445",±186,±257,"±3,902","±3,944","±1,233","±1,034","±2,893","±2,889","±2,233","±2,320","±1,576","±1,181","±1,500",,±248,±92,±238,±278,±926,"±1,676",±238,"±1,835","±2,893","±2,555",±201,±773,,±0.1,±0.2,±0.1,±0.1,±0.1,,(X),(X)
"Davidson County, Tennessee!!Percent!!Estimate",(X),,6.4%,5.4%,5.3%,5.8%,7.2%,10.1%,10.1%,8.2%,6.6%,5.7%,5.3%,5.4%,5.1%,4.6%,3.7%,2.4%,1.3%,1.3%,,10.7%,3.2%,20.4%,9.8%,48.1%,81.7%,79.6%,75.9%,18.4%,16.3%,13.3%,5.0%,,(X),(X),(X),(X),(X),,0.0%,2.4%
"Davidson County, Tennessee!!Percent!!Margin of Error",(X),,±0.1,±0.5,±0.5,±0.2,±0.2,±0.1,±0.1,±0.5,±0.6,±0.2,±0.1,±0.4,±0.4,±0.3,±0.3,±0.2,±0.2,±0.2,,±0.1,±0.1,±0.1,±0.1,±0.1,±0.2,±0.1,±0.3,±0.4,±0.4,±0.1,±0.1,,(X),(X),(X),(X),(X),,(X),(X)
"Davidson County, Tennessee!!Male!!Estimate","344,357",,"23,113","21,489","16,912","20,772","24,545","33,768","35,222","30,067","22,950","19,944","18,915","20,108","15,587","14,064","12,602","8,104","3,541","2,654",,"38,401","11,892","73,406","33,425","167,324","277,557","270,951","258,497","56,552","50,388","40,965","14,299",,34.3,(X),(X),(X),(X),,(X),(X)
"Davidson County, Tennessee!!Male!!Margin of Error",±334,,±221,"±2,366","±2,364",±405,±332,±163,±195,"±2,975","±2,912",±500,±398,"±1,860","±1,858","±1,500","±1,684",±996,±763,±694,,±125,±331,±392,±238,±730,"±1,396",±238,±980,"±1,861","±1,748",±139,±584,,±0.2,(X),(X),(X),(X),,(X),(X)
"Davidson County, Tennessee!!Percent Male!!Estimate",(X),,6.7%,6.2%,4.9%,6.0%,7.1%,9.8%,10.2%,8.7%,6.7%,5.8%,5.5%,5.8%,4.5%,4.1%,3.7%,2.4%,1.0%,0.8%,,11.2%,3.5%,21.3%,9.7%,48.6%,80.6%,78.7%,75.1%,16.4%,14.6%,11.9%,4.2%,,(X),(X),(X),(X),(X),,(X),(X)
"Davidson County, Tennessee!!Percent Male!!Margin of Error",(X),,±0.1,±0.7,±0.7,±0.1,±0.1,±0.1,±0.1,±0.9,±0.8,±0.1,±0.1,±0.5,±0.5,±0.4,±0.5,±0.3,±0.2,±0.2,,±0.1,±0.1,±0.1,±0.1,±0.2,±0.4,±0.1,±0.3,±0.5,±0.5,±0.1,±0.2,,(X),(X),(X),(X),(X),,(X),(X)
"Davidson County, Tennessee!!Female!!Estimate","367,977",,"22,554","16,828","21,187","20,517","27,064","38,020","36,530","28,538","24,414","20,451","18,899","18,266","20,707","18,572","14,058","9,282","5,701","6,389",,"38,015","11,253","71,822","36,328","175,083","304,398","296,155","282,134","74,709","65,902","54,002","21,372",,35.2,(X),(X),(X),(X),,(X),(X)
"Davidson County, Tennessee!!Female!!Margin of Error",±334,,±3,"±2,478","±2,496","±1,499","±1,390",±144,±180,"±2,575","±2,565","±1,136",±974,"±1,993","±1,996","±1,467","±1,470","±1,188",±841,"±1,259",,±130,±334,±335,±114,±741,"±1,028",*****,"±1,763","±1,993","±1,743",±140,±425,,±0.1,(X),(X),(X),(X),,(X),(X)
"Davidson County, Tennessee!!Percent Female!!Estimate",(X),,6.1%,4.6%,5.8%,5.6%,7.4%,10.3%,9.9%,7.8%,6.6%,5.6%,5.1%,5.0%,5.6%,5.0%,3.8%,2.5%,1.5%,1.7%,,10.3%,3.1%,19.5%,9.9%,47.6%,82.7%,80.5%,76.7%,20.3%,17.9%,14.7%,5.8%,,(X),(X),(X),(X),(X),,(X),(X)
"Davidson County, Tennessee!!Percent Female!!Margin of Error",(X),,±0.1,±0.7,±0.7,±0.4,±0.4,±0.1,±0.1,±0.7,±0.7,±0.3,±0.3,±0.5,±0.5,±0.4,±0.4,±0.3,±0.2,±0.3,,±0.1,±0.1,±0.1,±0.1,±0.2,±0.3,±0.1,±0.5,±0.5,±0.5,±0.1,±0.1,,(X),(X),(X),(X),(X),,(X),(X)
"Dallas County, Texas!!Total!!Estimate","2,606,358",,"175,053","169,650","186,213","182,996","185,802","219,092","212,259","192,434","166,179","157,012","156,195","142,638","143,199","112,894","84,159","57,493","33,548","29,542",,"355,863","114,722","645,638","254,076","1,158,762","2,034,431","1,960,720","1,858,580","460,835","404,121","317,636","120,583",,34.3,98.4,58.6,19.3,39.3,,(X),(X)
"Dallas County, Texas!!Total!!Margin of Error",*****,,*****,"±6,078","±6,077",±234,±434,±371,*****,"±7,275","±7,235",±254,±340,"±5,041","±5,040","±3,634","±3,671","±3,262","±2,551","±2,609",,*****,*****,*****,±370,±330,"±3,244",*****,"±3,238","±5,040","±5,256",*****,±280,,±0.1,±0.1,*****,*****,*****,,(X),(X)
"Dallas County, Texas!!Percent!!Estimate",(X),,6.7%,6.5%,7.1%,7.0%,7.1%,8.4%,8.1%,7.4%,6.4%,6.0%,6.0%,5.5%,5.5%,4.3%,3.2%,2.2%,1.3%,1.1%,,13.7%,4.4%,24.8%,9.7%,44.5%,78.1%,75.2%,71.3%,17.7%,15.5%,12.2%,4.6%,,(X),(X),(X),(X),(X),,0.0%,0.9%
"Dallas County, Texas!!Percent!!Margin of Error",(X),,*****,±0.2,±0.2,±0.1,±0.1,±0.1,*****,±0.3,±0.3,±0.1,±0.1,±0.2,±0.2,±0.1,±0.1,±0.1,±0.1,±0.1,,*****,*****,*****,±0.1,±0.1,±0.1,*****,±0.1,±0.2,±0.2,*****,±0.1,,(X),(X),(X),(X),(X),,(X),(X)
"Dallas County, Texas!!Male!!Estimate","1,292,795",,"89,064","85,184","96,767","93,667","92,785","109,577","106,892","99,045","82,514","77,007","76,890","73,672","68,520","52,548","39,271","24,524","13,578","11,290",,"181,951","58,698","329,713","127,754","584,480","1,000,936","963,082","909,006","209,731","181,603","141,211","49,392",,33.6,(X),(X),(X),(X),,(X),(X)
"Dallas County, Texas!!Male!!Margin of Error",±189,,±120,"±4,724","±4,724",±283,±259,±171,*****,"±4,264","±4,253",±138,*****,"±3,634","±3,634","±2,524","±2,621","±1,853","±1,302","±1,582",,*****,±153,±189,±171,±189,"±2,597",*****,"±2,637","±3,633","±3,679",*****,±281,,±0.2,(X),(X),(X),(X),,(X),(X)
"Dallas County, Texas!!Percent Male!!Estimate",(X),,6.9%,6.6%,7.5%,7.2%,7.2%,8.5%,8.3%,7.7%,6.4%,6.0%,5.9%,5.7%,5.3%,4.1%,3.0%,1.9%,1.1%,0.9%,,14.1%,4.5%,25.5%,9.9%,45.2%,77.4%,74.5%,70.3%,16.2%,14.0%,10.9%,3.8%,,(X),(X),(X),(X),(X),,(X),(X)
"Dallas County, Texas!!Percent Male!!Margin of Error",(X),,±0.1,±0.4,±0.4,±0.1,±0.1,±0.1,±0.1,±0.3,±0.3,±0.1,±0.1,±0.3,±0.3,±0.2,±0.2,±0.1,±0.1,±0.1,,±0.1,±0.1,±0.1,±0.1,±0.1,±0.2,±0.1,±0.2,±0.3,±0.3,±0.1,±0.1,,(X),(X),(X),(X),(X),,(X),(X)
"Dallas County, Texas!!Female!!Estimate","1,313,563",,"85,989","84,466","89,446","89,329","93,017","109,515","105,367","93,389","83,665","80,005","79,305","68,966","74,679","60,346","44,888","32,969","19,970","18,252",,"173,912","56,024","315,925","126,322","574,282","1,033,495","997,638","949,574","251,104","222,518","176,425","71,191",,35.0,(X),(X),(X),(X),,(X),(X)
"Dallas County, Texas!!Female!!Margin of Error",±189,,±121,"±4,532","±4,531",±197,±349,±365,*****,"±5,079","±5,040",±203,±340,"±3,691","±3,690","±2,571","±2,570","±2,554","±2,108","±1,900",,*****,±153,±190,±364,±330,"±2,217",*****,"±2,220","±3,689","±3,522",*****,*****,,±0.1,(X),(X),(X),(X),,(X),(X)
"Dallas County, Texas!!Percent Female!!Estimate",(X),,6.5%,6.4%,6.8%,6.8%,7.1%,8.3%,8.0%,7.1%,6.4%,6.1%,6.0%,5.3%,5.7%,4.6%,3.4%,2.5%,1.5%,1.4%,,13.2%,4.3%,24.1%,9.6%,43.7%,78.7%,75.9%,72.3%,19.1%,16.9%,13.4%,5.4%,,(X),(X),(X),(X),(X),,(X),(X)
"Dallas County, Texas!!Percent Female!!Margin of Error",(X),,±0.1,±0.3,±0.3,±0.1,±0.1,±0.1,±0.1,±0.4,±0.4,±0.1,±0.1,±0.3,±0.3,±0.2,±0.2,±0.2,±0.2,±0.1,,±0.1,±0.1,±0.1,±0.1,±0.1,±0.2,±0.1,±0.2,±0.3,±0.3,±0.1,±0.1,,(X),(X),(X),(X),(X),,(X),(X)
"Fairfax County, Virginia!!Total!!Estimate","1,141,878",,"64,777","67,414","78,264","74,526","66,857","72,699","75,852","79,466","86,722","77,898","78,263","73,175","68,208","58,478","43,760","36,795","22,960","15,764",,"145,678","47,365","257,820","94,018","456,122","916,511","884,058","844,985","245,965","217,030","177,757","75,519",,39.5,99.6,61.7,25.2,36.5,,(X),(X)
"Fairfax County, Virginia!!Total!!Margin of Error",*****,,±154,"±3,684","±3,674",±144,±171,±252,±269,"±4,856","±4,891",±163,±158,"±3,226","±3,252","±2,683","±2,650","±1,957","±1,875","±1,821",,±134,±144,±100,±171,±217,"±1,690",±100,"±1,842","±3,229","±2,840",±167,±135,,±0.3,±0.1,±0.1,±0.1,±0.1,,(X),(X)
"Fairfax County, Virginia!!Percent!!Estimate",(X),,5.7%,5.9%,6.9%,6.5%,5.9%,6.4%,6.6%,7.0%,7.6%,6.8%,6.9%,6.4%,6.0%,5.1%,3.8%,3.2%,2.0%,1.4%,,12.8%,4.1%,22.6%,8.2%,39.9%,80.3%,77.4%,74.0%,21.5%,19.0%,15.6%,6.6%,,(X),(X),(X),(X),(X),,0.0%,1.3%
"Fairfax County, Virginia!!Percent!!Margin of Error",(X),,±0.1,±0.3,±0.3,±0.1,±0.1,±0.1,±0.1,±0.4,±0.4,±0.1,±0.1,±0.3,±0.3,±0.2,±0.2,±0.2,±0.2,±0.2,,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.1,±0.2,±0.3,±0.2,±0.1,±0.1,,(X),(X),(X),(X),(X),,(X),(X)
"Fairfax County, Virginia!!Male!!Estimate","569,883",,"33,055","33,223","41,579","38,885","33,689","36,999","38,740","40,278","43,034","38,429","39,057","35,503","34,988","27,289","21,923","16,566","10,741","5,905",,"74,802","24,672","132,529","47,902","231,625","454,799","437,354","417,531","117,412","102,177","82,424","33,212",,38.7,(X),(X),(X),(X),,(X),(X)
"Fairfax County, Virginia!!Male!!Margin of Error",±197,,±44,"±2,593","±2,586",±65,±72,±188,±200,"±3,379","±3,414",±97,±74,"±2,066","±2,067","±1,838","±1,837","±1,265","±1,232",±990,,±92,±65,±104,±73,±137,"±1,357",±183,"±1,174","±2,052","±1,683",±134,±127,,±0.3,(X),(X),(X),(X),,(X),(X)
"Fairfax County, Virginia!!Percent Male!!Estimate",(X),,5.8%,5.8%,7.3%,6.8%,5.9%,6.5%,6.8%,7.1%,7.6%,6.7%,6.9%,6.2%,6.1%,4.8%,3.8%,2.9%,1.9%,1.0%,,13.1%,4.3%,23.3%,8.4%,40.6%,79.8%,76.7%,73.3%,20.6%,17.9%,14.5%,5.8%,,(X),(X),(X),(X),(X),,(X),(X)
"Fairfax County, Virginia!!Percent Male!!Margin of Error",(X),,±0.1,±0.5,±0.5,±0.1,±0.1,±0.1,±0.1,±0.6,±0.6,±0.1,±0.1,±0.4,±0.4,±0.3,±0.3,±0.2,±0.2,±0.2,,±0.1,±0.1,±0.1,±0.1,±0.1,±0.2,±0.1,±0.2,±0.4,±0.3,±0.1,±0.1,,(X),(X),(X),(X),(X),,(X),(X)
"Fairfax County, Virginia!!Female!!Estimate","571,995",,"31,722","34,191","36,685","35,641","33,168","35,700","37,112","39,188","43,688","39,469","39,206","37,672","33,220","31,189","21,837","20,229","12,219","9,859",,"70,876","22,693","125,291","46,116","224,497","461,712","446,704","427,454","128,553","114,853","95,333","42,307",,40.4,(X),(X),(X),(X),,(X),(X)
