label_grouping,santa_clara_county_californiatotalestimate,santa_clara_county_californiatotalmargin_of_error,santa_clara_county_californiamaleestimate,santa_clara_county_californiamalemargin_of_error,santa_clara_county_californiafemaleestimate,santa_clara_county_californiafemalemargin_of_error,montgomery_county_marylandtotalestimate,montgomery_county_marylandtotalmargin_of_error,montgomery_county_marylandmaleestimate,montgomery_county_marylandmalemargin_of_error,montgomery_county_marylandfemaleestimate,montgomery_county_marylandfemalemargin_of_error,wake_county_north_carolinatotalestimate,wake_county_north_carolinatotalmargin_of_error,wake_county_north_carolinamaleestimate,wake_county_north_carolinamalemargin_of_error,wake_county_north_carolinafemaleestimate,wake_county_north_carolinafemalemargin_of_error,davidson_county_tennesseetotalestimate,davidson_county_tennesseetotalmargin_of_error,davidson_county_tennesseemaleestimate,davidson_county_tennesseemalemargin_of_error,davidson_county_tennesseefemaleestimate,davidson_county_tennesseefemalemargin_of_error,dallas_county_texastotalestimate,dallas_county_texastotalmargin_of_error,dallas_county_texasmaleestimate,dallas_county_texasmalemargin_of_error,dallas_county_texasfemaleestimate,dallas_county_texasfemalemargin_of_error,fairfax_county_virginiatotalestimate,fairfax_county_virginiatotalmargin_of_error,fairfax_county_virginiamaleestimate,fairfax_county_virginiamalemargin_of_error,fairfax_county_virginiafemaleestimate,fairfax_county_virginiafemalemargin_of_error,loudoun_county_virginiatotalestimate,loudoun_county_virginiatotalmargin_of_error,loudoun_county_virginiamaleestimate,loudoun_county_virginiamalemargin_of_error,loudoun_county_virginiafemaleestimate,loudoun_county_virginiafemalemargin_of_error
    40 to 44 years,0.078,0.3,0.077,0.4,0.079,0.4,0.076,0.3,0.075,0.5,0.077,0.5,0.081,0.4,0.081,0.5,0.08,0.5,0.066,0.4,0.07400000000000001,0.6,0.059000000000000004,0.5,0.07,0.2,0.07,0.3,0.071,0.3,0.078,0.3,0.081,0.5,0.076,0.4,0.091,0.5,0.095,0.8,0.087,0.8
    45 to 49 years,0.077,0.1,0.079,0.1,0.075,0.1,0.08,0.1,0.079,0.1,0.081,0.1,0.077,0.1,0.077,0.1,0.077,0.1,0.068,0.1,0.07,0.2,0.067,0.1,0.069,0.1,0.07,0.1,0.069,0.1,0.08199999999999999,0.1,0.081,0.1,0.083,0.1,0.09,0.1,0.094,0.3,0.087,0.1
    50 to 54 years,0.071,0.1,0.071,0.1,0.07,0.1,0.078,0.1,0.077,0.1,0.079,0.1,0.068,0.1,0.068,0.1,0.068,0.1,0.067,0.1,0.065,0.1,0.068,0.1,0.065,0.1,0.064,0.1,0.065,0.1,0.079,0.1,0.077,0.1,0.08,0.1,0.065,0.1,0.064,0.3,0.066,0.1
    55 to 59 years,0.055999999999999994,0.2,0.055,0.3,0.057,0.3,0.069,0.3,0.068,0.4,0.071,0.4,0.053,0.3,0.053,0.4,0.052000000000000005,0.4,0.06,0.4,0.062,0.5,0.059000000000000004,0.5,0.052000000000000005,0.2,0.051,0.2,0.053,0.3,0.065,0.3,0.064,0.4,0.067,0.4,0.048,0.4,0.048,0.7,0.049,0.6
    60 to 64 years,0.049,0.2,0.047,0.3,0.051,0.3,0.054000000000000006,0.3,0.053,0.4,0.055,0.4,0.046,0.3,0.042,0.4,0.05,0.4,0.047,0.3,0.042,0.5,0.051,0.4,0.043,0.2,0.04,0.2,0.046,0.3,0.057,0.3,0.055999999999999994,0.4,0.057999999999999996,0.4,0.039,0.4,0.04,0.7,0.039,0.6
    65 to 69 years,0.035,0.1,0.031,0.2,0.038,0.2,0.037000000000000005,0.2,0.036000000000000004,0.3,0.038,0.3,0.03,0.2,0.03,0.3,0.031,0.2,0.032,0.3,0.028999999999999998,0.3,0.034,0.4,0.028999999999999998,0.1,0.027999999999999997,0.1,0.031,0.1,0.035,0.2,0.036000000000000004,0.3,0.035,0.3,0.024,0.3,0.024,0.4,0.025,0.4
    70 to 74 years,0.025,0.1,0.024,0.2,0.027000000000000003,0.2,0.027000000000000003,0.2,0.025,0.3,0.03,0.3,0.02,0.2,0.018000000000000002,0.2,0.021,0.2,0.026000000000000002,0.3,0.022000000000000002,0.3,0.028999999999999998,0.3,0.02,0.1,0.018000000000000002,0.1,0.022000000000000002,0.1,0.023,0.2,0.022000000000000002,0.3,0.025,0.3,0.013000000000000001,0.3,0.013000000000000001,0.4,0.013999999999999999,0.4
    75 to 79 years,0.019,0.1,0.015,0.2,0.023,0.2,0.023,0.2,0.023,0.2,0.024,0.3,0.015,0.2,0.012,0.2,0.017,0.2,0.019,0.2,0.015,0.3,0.022000000000000002,0.4,0.015,0.1,0.013000000000000001,0.1,0.018000000000000002,0.1,0.017,0.1,0.013999999999999999,0.2,0.019,0.2,0.012,0.3,0.013000000000000001,0.3,0.011000000000000001,0.5
    80 to 84 years,0.016,0.1,0.015,0.2,0.017,0.2,0.016,0.1,0.011000000000000001,0.2,0.02,0.2,0.011000000000000001,0.1,0.009000000000000001,0.2,0.013000000000000001,0.2,0.013999999999999999,0.2,0.011000000000000001,0.3,0.017,0.3,0.012,0.1,0.01,0.1,0.015,0.1,0.012,0.1,0.01,0.1,0.013999999999999999,0.2,0.009000000000000001,0.2,0.005,0.2,0.013999999999999999,0.3
    85 years and over,0.016,0.1,0.011000000000000001,0.1,0.02,0.2,0.02,0.1,0.013000000000000001,0.2,0.026000000000000002,0.2,0.009000000000000001,0.1,0.005,0.1,0.013999999999999999,0.2,0.016,0.2,0.01,0.3,0.022000000000000002,0.3,0.011000000000000001,0.1,0.006999999999999999,0.1,0.015,0.1,0.012,0.1,0.009000000000000001,0.2,0.013999999999999999,0.2,0.006,0.2,0.002,0.2,0.011000000000000001,0.4
SELECTED AGE CATEGORIES,0.07500000000000001,N/A,0.0735,N/A,0.07150000000000001,N/A,0.069,N/A,0.07,N/A,0.0695,N/A,0.07550000000000001,N/A,0.076,N/A,0.07200000000000001,N/A,0.071,N/A,0.07200000000000001,N/A,0.0675,N/A,0.07550000000000001,N/A,0.0755,N/A,0.072,N/A,0.07400000000000001,N/A,0.07250000000000001,N/A,0.073,N/A,0.0785,N/A,0.0685,N/A,0.0745,N/A
    5 to 14 years,0.132,0.1,0.135,0.1,0.13,0.1,0.132,0.1,0.14,0.1,0.125,0.1,0.146,0.1,0.153,0.1,0.14,0.1,0.114,0.1,0.12,0.1,0.109,0.1,0.151,0.1,0.155,0.1,0.146,0.1,0.134,0.1,0.139,0.1,0.129,0.1,0.17300000000000001,0.1,0.17800000000000002,0.1,0.16899999999999998,0.1
    15 to 17 years,0.039,0.1,0.04,0.1,0.038,0.1,0.042,0.1,0.044000000000000004,0.1,0.039,0.1,0.040999999999999995,0.1,0.043,0.1,0.038,0.1,0.032,0.1,0.034,0.2,0.03,0.2,0.044000000000000004,0.1,0.045,0.1,0.042,0.1,0.040999999999999995,0.1,0.043,0.1,0.039,0.1,0.043,0.1,0.045,0.3,0.042,0.3
    18 to 24 years,0.08900000000000001,0.1,0.095,0.1,0.083,0.1,0.075,0.1,0.08,0.1,0.07,0.1,0.09699999999999999,0.1,0.10099999999999999,0.1,0.09300000000000001,0.1,0.11699999999999999,0.1,0.11699999999999999,0.1,0.11800000000000001,0.1,0.1,0.1,0.10300000000000001,0.1,0.09699999999999999,0.1,0.076,0.1,0.08,0.1,0.073,0.1,0.06,0.2,0.063,0.3,0.055999999999999994,0.2
    15 to 44 years,0.435,0.1,0.446,0.1,0.424,0.1,0.39799999999999996,0.1,0.406,0.1,0.391,0.1,0.452,0.1,0.45799999999999996,0.1,0.446,0.1,0.467,0.1,0.479,0.2,0.456,0.1,0.451,0.1,0.46,0.1,0.442,0.1,0.41600000000000004,0.1,0.423,0.1,0.41,0.1,0.429,0.1,0.428,0.2,0.43,0.2
    16 years and over,0.784,0.1,0.78,0.2,0.7879999999999999,0.1,0.7879999999999999,0.2,0.774,0.3,0.8009999999999999,0.2,0.767,0.2,0.757,0.2,0.777,0.2,0.805,0.2,0.792,0.3,0.8170000000000001,0.2,0.753,0.1,0.745,0.2,0.76,0.2,0.785,0.1,0.779,0.2,0.792,0.2,0.725,0.2,0.7170000000000001,0.4,0.733,0.3
    18 years and over,0.759,*****,0.754,0.1,0.764,0.1,0.76,0.1,0.746,0.1,0.774,0.1,0.74,0.1,0.7290000000000001,0.1,0.7509999999999999,0.1,0.7829999999999999,0.1,0.7709999999999999,0.2,0.794,0.2,0.7240000000000001,0.1,0.715,0.1,0.733,0.1,0.758,0.1,0.748,0.1,0.767,0.1,0.6940000000000001,0.1,0.6859999999999999,0.3,0.7020000000000001,0.3
    60 years and over,0.159,0.2,0.14300000000000002,0.3,0.17600000000000002,0.3,0.177,0.3,0.161,0.4,0.192,0.4,0.131,0.3,0.11599999999999999,0.4,0.146,0.4,0.152,0.4,0.129,0.5,0.174,0.5,0.131,0.2,0.115,0.2,0.147,0.3,0.156,0.3,0.146,0.4,0.165,0.4,0.105,0.5,0.09699999999999999,0.7,0.11199999999999999,0.7
    62 years and over,0.138,0.2,0.122,0.2,0.154,0.2,0.154,0.3,0.138,0.4,0.16699999999999998,0.3,0.111,0.3,0.098,0.3,0.124,0.4,0.132,0.3,0.11199999999999999,0.4,0.151,0.4,0.11199999999999999,0.2,0.096,0.2,0.128,0.2,0.13,0.2,0.122,0.3,0.138,0.3,0.09,0.5,0.079,0.7,0.1,0.5
    65 years and over,0.111,0.1,0.096,0.1,0.125,0.1,0.12300000000000001,0.1,0.10800000000000001,0.1,0.13699999999999998,0.1,0.085,0.1,0.07400000000000001,0.1,0.096,0.1,0.106,0.1,0.087,0.2,0.12300000000000001,0.2,0.08800000000000001,0.1,0.07400000000000001,0.1,0.10099999999999999,0.1,0.099,0.1,0.091,0.1,0.107,0.1,0.065,0.1,0.057999999999999996,0.2,0.073,0.2
    75 years and over,0.051,0.1,0.040999999999999995,0.1,0.06,0.1,0.059000000000000004,0.1,0.047,0.1,0.07,0.1,0.035,0.1,0.026000000000000002,0.1,0.044000000000000004,0.1,0.049,0.1,0.036000000000000004,0.1,0.061,0.1,0.039,0.1,0.028999999999999998,0.1,0.048,0.1,0.04,0.1,0.033,0.1,0.047,0.1,0.027999999999999997,0.2,0.02,0.2,0.035,0.2
SUMMARY INDICATORS,0.07500000000000001,N/A,0.0735,N/A,0.07150000000000001,N/A,0.069,N/A,0.07,N/A,0.0695,N/A,0.07550000000000001,N/A,0.076,N/A,0.07200000000000001,N/A,0.071,N/A,0.07200000000000001,N/A,0.0675,N/A,0.07550000000000001,N/A,0.0755,N/A,0.072,N/A,0.07400000000000001,N/A,0.07250000000000001,N/A,0.073,N/A,0.0785,N/A,0.0685,N/A,0.0745,N/A
    Median age (years),0.36200000000000004,0.2,0.354,0.2,0.37200000000000005,0.2,0.386,0.2,0.371,0.3,0.4,0.4,0.344,0.1,0.335,0.2,0.353,0.1,0.34,0.2,0.331,0.3,0.349,0.1,0.324,0.2,0.314,0.2,0.33399999999999996,0.1,0.375,0.2,0.366,0.3,0.38299999999999995,0.3,0.349,0.2,0.344,0.4,0.35100000000000003,0.2
    Sex ratio (males per 100 females),1.006,0.2,0.0735,N/A,0.07150000000000001,N/A,0.924,0.2,0.07,N/A,0.0695,N/A,0.95,0.1,0.076,N/A,0.07200000000000001,N/A,0.937,0.5,0.07200000000000001,N/A,0.0675,N/A,0.9790000000000001,0.1,0.0755,N/A,0.072,N/A,0.976,0.1,0.07250000000000001,N/A,0.073,N/A,0.9740000000000001,0.7,0.0685,N/A,0.0745,N/A
    Age dependency ratio,0.542,0.1,0.0735,N/A,0.07150000000000001,N/A,0.57,0.1,0.07,N/A,0.0695,N/A,0.527,0.2,0.076,N/A,0.07200000000000001,N/A,0.47600000000000003,0.2,0.07200000000000001,N/A,0.0675,N/A,0.5720000000000001,0.1,0.0755,N/A,0.072,N/A,0.518,0.1,0.07250000000000001,N/A,0.073,N/A,0.59,0.4,0.0685,N/A,0.0745,N/A
        Old-Age dependency ratio,0.171,0.1,0.0735,N/A,0.07150000000000001,N/A,0.19399999999999998,0.1,0.07,N/A,0.0695,N/A,0.13,0.1,0.076,N/A,0.07200000000000001,N/A,0.156,0.2,0.07200000000000001,N/A,0.0675,N/A,0.138,0.1,0.0755,N/A,0.072,N/A,0.15,0.1,0.07250000000000001,N/A,0.073,N/A,0.10400000000000001,0.3,0.0685,N/A,0.0745,N/A
        Child dependency ratio,0.37200000000000005,0.1,0.0735,N/A,0.07150000000000001,N/A,0.376,0.1,0.07,N/A,0.0695,N/A,0.397,0.1,0.076,N/A,0.07200000000000001,N/A,0.32,0.1,0.07200000000000001,N/A,0.0675,N/A,0.434,0.1,0.0755,N/A,0.072,N/A,0.368,0.1,0.07250000000000001,N/A,0.073,N/A,0.486,0.3,0.0685,N/A,0.0745,N/A
PERCENT IMPUTED,0.07500000000000001,N/A,0.0735,N/A,0.07150000000000001,N/A,0.069,N/A,0.07,N/A,0.0695,N/A,0.07550000000000001,N/A,0.076,N/A,0.07200000000000001,N/A,0.071,N/A,0.07200000000000001,N/A,0.0675,N/A,0.07550000000000001,N/A,0.0755,N/A,0.072,N/A,0.07400000000000001,N/A,0.07250000000000001,N/A,0.073,N/A,0.0785,N/A,0.0685,N/A,0.0745,N/A
    Sex,0.002,N/A,0.0735,N/A,0.07150000000000001,N/A,0.002,N/A,0.07,N/A,0.0695,N/A,0.001,N/A,0.076,N/A,0.07200000000000001,N/A,0.002,N/A,0.07200000000000001,N/A,0.0675,N/A,0.001,N/A,0.0755,N/A,0.072,N/A,0.002,N/A,0.07250000000000001,N/A,0.073,N/A,0.004,N/A,0.0685,N/A,0.0745,N/A
    Age,0.016,N/A,0.0735,N/A,0.07150000000000001,N/A,0.011000000000000001,N/A,0.07,N/A,0.0695,N/A,0.011000000000000001,N/A,0.076,N/A,0.07200000000000001,N/A,0.006,N/A,0.07200000000000001,N/A,0.0675,N/A,0.013000000000000001,N/A,0.0755,N/A,0.072,N/A,0.016,N/A,0.07250000000000001,N/A,0.073,N/A,0.012,N/A,0.0685,N/A,0.0745,N/A
