"Label (Grouping)","Santa Clara County, California!!Total!!Estimate","Santa Clara County, California!!Male!!Estimate","Santa Clara County, California!!Female!!Estimate","Santa Clara County, California!!Median earnings (dollars)!!Estimate","Santa Clara County, California!!Median earnings (dollars) for male!!Estimate","Santa Clara County, California!!Median earnings (dollars) for female!!Estimate","Montgomery County, Maryland!!Total!!Estimate","Montgomery County, Maryland!!Male!!Estimate","Montgomery County, Maryland!!Female!!Estimate","Montgomery County, Maryland!!Median earnings (dollars)!!Estimate","Montgomery County, Maryland!!Median earnings (dollars) for male!!Estimate","Montgomery County, Maryland!!Median earnings (dollars) for female!!Estimate","Wake County, North Carolina!!Total!!Estimate","Wake County, North Carolina!!Male!!Estimate","Wake County, North Carolina!!Female!!Estimate","Wake County, North Carolina!!Median earnings (dollars)!!Estimate","Wake County, North Carolina!!Median earnings (dollars) for male!!Estimate","Wake County, North Carolina!!Median earnings (dollars) for female!!Estimate","Davidson County, Tennessee!!Total!!Estimate","Davidson County, Tennessee!!Male!!Estimate","Davidson County, Tennessee!!Female!!Estimate","Davidson County, Tennessee!!Median earnings (dollars)!!Estimate","Davidson County, Tennessee!!Median earnings (dollars) for male!!Estimate","Davidson County, Tennessee!!Median earnings (dollars) for female!!Estimate","Dallas County, Texas!!Total!!Estimate","Dallas County, Texas!!Male!!Estimate","Dallas County, Texas!!Female!!Estimate","Dallas County, Texas!!Median earnings (dollars)!!Estimate","Dallas County, Texas!!Median earnings (dollars) for male!!Estimate","Dallas County, Texas!!Median earnings (dollars) for female!!Estimate","Fairfax County, Virginia!!Total!!Estimate","Fairfax County, Virginia!!Male!!Estimate","Fairfax County, Virginia!!Female!!Estimate","Fairfax County, Virginia!!Median earnings (dollars)!!Estimate","Fairfax County, Virginia!!Median earnings (dollars) for male!!Estimate","Fairfax County, Virginia!!Median earnings (dollars) for female!!Estimate","Loudoun County, Virginia!!Total!!Estimate","Loudoun County, Virginia!!Male!!Estimate","Loudoun County, Virginia!!Female!!Estimate","Loudoun County, Virginia!!Median earnings (dollars)!!Estimate","Loudoun County, Virginia!!Median earnings (dollars) for male!!Estimate","Loudoun County, Virginia!!Median earnings (dollars) for female!!Estimate"
"    Utilities","1,971","74.9%","25.1%","89,792","96,863","71,613","767","52.8%","47.2%","52,984","80,511","45,823","4,508","73.7%","26.3%","81,277","93,674","49,675","1,849","73.3%","26.7%","54,971","57,428","28,421","6,094","69.0%","31.0%","50,285","50,379","49,337","1,612","81.5%","18.5%","59,824","59,564","85,049","264","81.1%","18.9%","100,747","101,392","-"
"Information","30,861","58.8%","41.2%","76,337","92,064","67,435","16,346","58.9%","41.1%","64,851","71,102","53,107","11,500","68.6%","31.4%","55,680","64,607","42,199","9,415","57.3%","42.7%","38,282","46,672","32,134","27,332","55.0%","45.0%","42,424","48,099","38,750","18,673","61.5%","38.5%","71,384","70,675","75,402","7,608","64.1%","35.9%","90,585","97,866","70,949"
"Finance and insurance, and real estate and rental and leasing:","41,459","40.8%","59.2%","49,973","53,351","42,699","32,943","56.3%","43.7%","64,755","80,541","53,338","29,963","49.9%","50.1%","44,884","52,415","40,043","19,974","48.7%","51.3%","41,095","52,386","36,163","107,710","46.8%","53.2%","40,792","50,028","36,769","41,097","51.0%","49.0%","68,604","87,363","51,943","11,108","46.9%","53.1%","63,733","81,270","50,177"
"    Finance and insurance","23,028","36.1%","63.9%","52,369","68,291","50,329","22,131","59.7%","40.3%","71,702","82,401","55,009","21,325","44.8%","55.2%","48,400","58,227","42,386","14,037","44.3%","55.7%","42,316","63,074","36,807","75,621","42.7%","57.3%","41,876","52,367","37,532","24,051","47.6%","52.4%","74,504","98,558","55,150","7,363","47.1%","52.9%","66,584","91,641","47,899"
"    Real estate and rental and leasing","18,431","46.6%","53.4%","40,389","41,672","36,477","10,812","49.4%","50.6%","52,005","62,101","46,842","8,638","62.5%","37.5%","34,707","40,869","30,998","5,937","59.1%","40.9%","34,933","36,541","33,903","32,089","56.5%","43.5%","36,787","38,993","33,273","17,046","55.7%","44.3%","57,460","77,021","50,713","3,745","46.5%","53.5%","61,432","66,958","51,715"
"Professional, scientific, and management, and administrative and waste management services:","153,969","63.5%","36.5%","71,278","85,791","52,713","111,816","55.6%","44.4%","65,964","81,430","52,466","73,272","58.0%","42.0%","52,454","61,964","42,327","30,115","58.3%","41.7%","31,289","31,518","30,597","144,022","57.5%","42.5%","36,447","40,276","32,871","139,634","60.6%","39.4%","80,386","92,433","64,013","46,219","62.7%","37.3%","97,282","110,548","66,458"
"    Professional, scientific, and technical services","119,890","63.6%","36.4%","87,147","100,748","63,743","87,993","56.2%","43.8%","80,489","95,227","62,231","52,874","55.7%","44.3%","66,835","78,020","51,721","17,531","51.4%","48.6%","43,053","60,159","40,145","78,001","53.5%","46.5%","55,118","64,235","47,164","116,350","61.3%","38.7%","90,344","102,518","71,823","40,787","63.3%","36.7%","100,422","111,132","70,946"
"    Management of companies and enterprises","373","46.4%","53.6%","57,331","91,286","-","363","48.5%","51.5%","90,472","90,611","24,935","493","79.9%","20.1%","40,810","34,500","42,292","107","52.3%","47.7%","59,888","-","-","1,029","37.5%","62.5%","52,380","101,500","40,364","508","40.4%","59.6%","133,623","46,286","158,247","346","58.4%","41.6%","165,534","-","50,212"
"    Administrative and support and waste management services","33,706","63.5%","36.5%","27,314","29,978","22,006","23,460","53.2%","46.8%","24,328","25,174","23,611","19,905","63.7%","36.3%","27,046","27,114","26,875","12,477","68.2%","31.8%","20,111","20,474","17,929","64,992","62.7%","37.3%","21,036","21,537","19,038","22,776","57.8%","42.2%","30,107","32,008","22,140","5,086","57.8%","42.2%","40,774","60,130","38,832"
"Educational services, and health care and social assistance:","160,641","28.5%","71.5%","42,311","48,633","41,108","114,768","30.9%","69.1%","45,458","60,729","40,483","95,599","27.2%","72.8%","36,716","46,373","34,073","77,468","30.4%","69.6%","35,163","41,558","31,829","199,218","27.2%","72.8%","33,689","42,186","31,291","92,976","24.3%","75.7%","42,253","60,399","38,193","27,998","22.4%","77.6%","41,459","50,082","41,039"
"    Educational services","70,030","32.7%","67.3%","41,121","44,222","40,386","52,486","38.3%","61.7%","49,339","54,627","45,116","43,950","34.4%","65.6%","36,835","41,444","34,431","28,770","36.7%","63.3%","31,538","31,949","31,362","84,815","31.4%","68.6%","40,500","42,311","38,878","43,441","27.3%","72.7%","47,285","55,021","43,110","14,728","26.5%","73.5%","41,663","52,948","40,597"
"    Health care and social assistance","90,611","25.2%","74.8%","45,395","56,414","41,626","62,282","24.8%","75.2%","42,061","79,841","37,485","51,649","21.1%","78.9%","36,622","57,174","33,786","48,698","26.7%","73.3%","36,265","53,668","31,989","114,403","24.2%","75.8%","31,527","41,931","30,105","49,535","21.7%","78.3%","39,555","76,294","35,904","13,270","17.8%","82.2%","41,198","39,766","41,759"
"Arts, entertainment, and recreation, and accommodation and food services:","57,324","51.3%","48.7%","17,858","21,508","13,091","45,371","53.8%","46.2%","20,265","22,790","17,724","41,681","53.2%","46.8%","13,883","17,203","11,467","37,083","49.5%","50.5%","17,751","21,246","13,829","101,238","49.6%","50.4%","16,133","20,062","13,298","54,128","54.0%","46.0%","20,631","22,435","17,446","13,215","48.3%","51.7%","21,458","25,548","17,329"
"    Arts, entertainment, and recreation","13,207","52.9%","47.1%","24,721","30,073","16,333","10,696","58.6%","41.4%","21,900","27,169","17,917","9,437","57.7%","42.3%","17,605","12,061","18,425","8,778","63.6%","36.4%","24,501","25,669","20,955","16,090","56.1%","43.9%","20,955","24,723","16,065","9,353","46.6%","53.4%","25,086","27,707","21,677","4,147","54.9%","45.1%","28,276","50,914","14,418"
"    Accommodation and food services","44,117","50.8%","49.2%","17,130","20,804","12,678","34,675","52.3%","47.7%","19,907","22,597","17,716","32,244","51.9%","48.1%","13,724","17,401","10,557","28,305","45.2%","54.8%","16,077","19,864","13,281","85,148","48.4%","51.6%","15,706","19,159","12,832","44,775","55.5%","44.5%","20,366","22,128","17,005","9,068","45.3%","54.7%","21,046","23,285","17,952"
"Other services, except public administration","37,362","50.3%","49.7%","24,035","28,041","18,653","36,984","35.9%","64.1%","31,344","38,094","26,572","21,437","38.2%","61.8%","24,472","33,411","20,943","16,588","41.9%","58.1%","24,532","31,946","17,382","64,829","48.3%","51.7%","20,869","23,818","17,402","35,130","34.3%","65.7%","31,105","48,032","26,152","8,230","51.4%","48.6%","41,788","65,573","29,450"
"Public administration","21,300","46.9%","53.1%","62,137","75,405","60,812","59,856","52.7%","47.3%","95,615","105,897","85,134","27,090","50.0%","50.0%","46,942","55,386","41,419","15,105","53.8%","46.2%","40,084","43,656","37,764","32,708","46.4%","53.6%","42,140","49,224","39,667","76,905","57.6%","42.4%","100,102","105,371","90,629","14,022","59.8%","40.2%","91,038","101,141","71,844"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Industry","6.5%","(X)","(X)","(X)","(X)","(X)","5.2%","(X)","(X)","(X)","(X)","(X)","5.9%","(X)","(X)","(X)","(X)","(X)","5.3%","(X)","(X)","(X)","(X)","(X)","7.4%","(X)","(X)","(X)","(X)","(X)","6.3%","(X)","(X)","(X)","(X)","(X)","6.3%","(X)","(X)","(X)","(X)","(X)"
