"Label (Grouping)","Santa Clara County, California!!Total!!Estimate","Santa Clara County, California!!Male!!Estimate","Santa Clara County, California!!Percent Male!!Estimate","Santa Clara County, California!!Female!!Estimate","Santa Clara County, California!!Percent Female!!Estimate","Montgomery County, Maryland!!Total!!Estimate","Montgomery County, Maryland!!Male!!Estimate","Montgomery County, Maryland!!Percent Male!!Estimate","Montgomery County, Maryland!!Female!!Estimate","Montgomery County, Maryland!!Percent Female!!Estimate","Wake County, North Carolina!!Total!!Estimate","Wake County, North Carolina!!Male!!Estimate","Wake County, North Carolina!!Percent Male!!Estimate","Wake County, North Carolina!!Female!!Estimate","Wake County, North Carolina!!Percent Female!!Estimate","Davidson County, Tennessee!!Total!!Estimate","Davidson County, Tennessee!!Male!!Estimate","Davidson County, Tennessee!!Percent Male!!Estimate","Davidson County, Tennessee!!Female!!Estimate","Davidson County, Tennessee!!Percent Female!!Estimate","Dallas County, Texas!!Total!!Estimate","Dallas County, Texas!!Male!!Estimate","Dallas County, Texas!!Percent Male!!Estimate","Dallas County, Texas!!Female!!Estimate","Dallas County, Texas!!Percent Female!!Estimate","Fairfax County, Virginia!!Total!!Estimate","Fairfax County, Virginia!!Male!!Estimate","Fairfax County, Virginia!!Percent Male!!Estimate","Fairfax County, Virginia!!Female!!Estimate","Fairfax County, Virginia!!Percent Female!!Estimate","Loudoun County, Virginia!!Total!!Estimate","Loudoun County, Virginia!!Male!!Estimate","Loudoun County, Virginia!!Percent Male!!Estimate","Loudoun County, Virginia!!Female!!Estimate","Loudoun County, Virginia!!Percent Female!!Estimate"
"Finance and insurance, and real estate and rental and leasing:","45,740","22,892","50.0%","22,848","50.0%","34,517","19,535","56.6%","14,982","43.4%","39,890","20,319","50.9%","19,571","49.1%","28,501","12,305","43.2%","16,196","56.8%","104,549","47,959","45.9%","56,590","54.1%","40,381","22,402","55.5%","17,979","44.5%","15,290","8,251","54.0%","7,039","46.0%"
"    Finance and insurance","26,486","11,736","44.3%","14,750","55.7%","21,547","12,756","59.2%","8,791","40.8%","28,135","13,988","49.7%","14,147","50.3%","19,954","7,913","39.7%","12,041","60.3%","74,611","30,875","41.4%","43,736","58.6%","23,337","12,235","52.4%","11,102","47.6%","11,976","6,368","53.2%","5,608","46.8%"
"    Real estate and rental and leasing","19,254","11,156","57.9%","8,098","42.1%","12,970","6,779","52.3%","6,191","47.7%","11,755","6,331","53.9%","5,424","46.1%","8,547","4,392","51.4%","4,155","48.6%","29,938","17,084","57.1%","12,854","42.9%","17,044","10,167","59.7%","6,877","40.3%","3,314","1,883","56.8%","1,431","43.2%"
"Professional, scientific, and management, and administrative and waste management services:","191,319","118,496","61.9%","72,823","38.1%","125,133","72,672","58.1%","52,461","41.9%","101,164","60,622","59.9%","40,542","40.1%","46,996","24,901","53.0%","22,095","47.0%","180,026","99,195","55.1%","80,831","44.9%","152,042","93,150","61.3%","58,892","38.7%","54,248","31,799","58.6%","22,449","41.4%"
"    Professional, scientific, and technical services","146,353","91,196","62.3%","55,157","37.7%","97,313","58,737","60.4%","38,576","39.6%","75,702","45,433","60.0%","30,269","40.0%","27,830","14,630","52.6%","13,200","47.4%","99,101","55,724","56.2%","43,377","43.8%","123,193","76,737","62.3%","46,456","37.7%","45,633","27,535","60.3%","18,098","39.7%"
"    Management of companies and enterprises","1,022","548","53.6%","474","46.4%","895","395","44.1%","500","55.9%","117","41","35.0%","76","65.0%","962","204","21.2%","758","78.8%","2,364","906","38.3%","1,458","61.7%","526","132","25.1%","394","74.9%","631","418","66.2%","213","33.8%"
"    Administrative and support and waste management services","43,944","26,752","60.9%","17,192","39.1%","26,925","13,540","50.3%","13,385","49.7%","25,345","15,148","59.8%","10,197","40.2%","18,204","10,067","55.3%","8,137","44.7%","78,561","42,565","54.2%","35,996","45.8%","28,323","16,281","57.5%","12,042","42.5%","7,984","3,846","48.2%","4,138","51.8%"
"Educational services, and health care and social assistance:","179,670","48,668","27.1%","131,002","72.9%","118,328","34,233","28.9%","84,095","71.1%","107,542","29,169","27.1%","78,373","72.9%","86,084","25,763","29.9%","60,321","70.1%","219,955","57,310","26.1%","162,645","73.9%","113,127","30,465","26.9%","82,662","73.1%","31,973","7,081","22.1%","24,892","77.9%"
"    Educational services","78,218","24,209","31.0%","54,009","69.0%","49,917","16,452","33.0%","33,465","67.0%","49,081","15,126","30.8%","33,955","69.2%","33,414","10,570","31.6%","22,844","68.4%","87,073","25,084","28.8%","61,989","71.2%","52,848","16,345","30.9%","36,503","69.1%","16,061","3,895","24.3%","12,166","75.7%"
"    Health care and social assistance","101,452","24,459","24.1%","76,993","75.9%","68,411","17,781","26.0%","50,630","74.0%","58,461","14,043","24.0%","44,418","76.0%","52,670","15,193","28.8%","37,477","71.2%","132,882","32,226","24.3%","100,656","75.7%","60,279","14,120","23.4%","46,159","76.6%","15,912","3,186","20.0%","12,726","80.0%"
"Arts, entertainment, and recreation, and accommodation and food services:","83,740","42,346","50.6%","41,394","49.4%","50,278","24,750","49.2%","25,528","50.8%","46,214","22,831","49.4%","23,383","50.6%","45,233","24,065","53.2%","21,168","46.8%","127,970","65,220","51.0%","62,750","49.0%","59,250","28,961","48.9%","30,289","51.1%","17,780","10,523","59.2%","7,257","40.8%"
"    Arts, entertainment, and recreation","19,816","11,359","57.3%","8,457","42.7%","11,762","6,950","59.1%","4,812","40.9%","9,838","5,335","54.2%","4,503","45.8%","12,211","7,171","58.7%","5,040","41.3%","19,430","10,361","53.3%","9,069","46.7%","13,602","6,651","48.9%","6,951","51.1%","5,320","3,280","61.7%","2,040","38.3%"
"    Accommodation and food services","63,924","30,987","48.5%","32,937","51.5%","38,516","17,800","46.2%","20,716","53.8%","36,376","17,496","48.1%","18,880","51.9%","33,022","16,894","51.2%","16,128","48.8%","108,540","54,859","50.5%","53,681","49.5%","45,648","22,310","48.9%","23,338","51.1%","12,460","7,243","58.1%","5,217","41.9%"
"Other services, except public administration","37,819","16,567","43.8%","21,252","56.2%","36,551","13,028","35.6%","23,523","64.4%","21,748","8,618","39.6%","13,130","60.4%","18,831","9,335","49.6%","9,496","50.4%","69,459","32,556","46.9%","36,903","53.1%","40,596","13,696","33.7%","26,900","66.3%","9,691","3,544","36.6%","6,147","63.4%"
"Public administration","26,524","12,579","47.4%","13,945","52.6%","60,365","31,579","52.3%","28,786","47.7%","26,088","11,037","42.3%","15,051","57.7%","14,396","6,790","47.2%","7,606","52.8%","26,853","12,574","46.8%","14,279","53.2%","70,770","43,685","61.7%","27,085","38.3%","17,038","10,060","59.0%","6,978","41.0%"
